"control","iteration","source_rows","source_tokens","unique_sequences","exact_duplicate_groups","exact_duplicate_rows","exact_duplicate_row_share","top_sequence_count","collapsed_rows","collapsed_tokens","unique_signs","rows_length_gt_1","stored_higher_than_reversed","reversed_higher_than_stored","ties","stored_higher_share","mean_stored_minus_reversed","median_stored_minus_reversed","frequency_top1_accuracy","frequency_top5_accuracy","position_top1_accuracy","position_top5_accuracy","length_position_top1_accuracy","length_position_top5_accuracy","bidirectional_top1_accuracy","bidirectional_top5_accuracy"
"edge_position_shuffle","14","2883","11645","2602","112","393","0.136316","15","2602","11074","571","2602","2436","161","5","0.936203","5.405971","5.703782","0.097526","0.238577","0.109987","0.297092","0.12281","0.306755","0.110439","0.2905"
"edge_position_shuffle","15","2883","11645","2608","117","392","0.135969","14","2608","11088","571","2608","2425","174","9","0.929831","5.399456","5.619152","0.097763","0.238185","0.108856","0.287338","0.113817","0.299423","0.10588","0.295905"
"edge_position_shuffle","16","2883","11645","2620","107","370","0.128339","15","2620","11112","571","2620","2442","160","18","0.932061","5.396045","5.680564","0.097822","0.238481","0.111771","0.294366","0.113391","0.306425","0.110781","0.302376"
"edge_position_shuffle","17","2883","11645","2619","108","372","0.129032","17","2619","11110","571","2619","2441","164","14","0.932035","5.42146","5.735766","0.09775","0.238614","0.110531","0.293879","0.117642","0.30342","0.111431","0.2982"
"edge_position_shuffle","18","2883","11645","2611","122","394","0.136663","14","2611","11095","571","2611","2450","151","10","0.938338","5.457328","5.723917","0.098693","0.239567","0.111041","0.295088","0.11717","0.314466","0.109329","0.298513"
"edge_position_shuffle","19","2883","11645","2610","113","386","0.133888","18","2610","11090","571","2610","2443","159","8","0.936015","5.381378","5.659482","0.096573","0.238503","0.109829","0.287015","0.113616","0.313796","0.106312","0.294229"
"edge_position_shuffle","20","2883","11645","2613","117","387","0.134235","15","2613","11097","571","2613","2452","153","8","0.938385","5.476332","5.723311","0.097143","0.237812","0.11021","0.297017","0.116428","0.301072","0.108227","0.296927"
"edge_frame_template_shuffle","1","2883","11645","2293","101","691","0.239681","117","2293","10442","571","2293","2145","140","8","0.935456","6.189098","6.771936","0.113676","0.244972","0.1267","0.302911","0.131297","0.328194","0.123731","0.300038"
"edge_frame_template_shuffle","2","2883","11645","2296","100","687","0.238293","117","2296","10450","571","2296","2155","132","9","0.938589","6.267328","6.843735","0.114354","0.245455","0.1289","0.304115","0.131962","0.323828","0.125742","0.303062"
"edge_frame_template_shuffle","3","2883","11645","2300","98","681","0.236212","117","2300","10463","571","2300","2159","132","9","0.938696","6.181007","6.775366","0.114021","0.242856","0.128931","0.304884","0.137437","0.330785","0.123292","0.29676"
"edge_frame_template_shuffle","4","2883","11645","2294","104","693","0.240375","117","2294","10444","571","2294","2158","130","6","0.940715","6.196897","6.762151","0.113462","0.244734","0.130218","0.30563","0.137782","0.328227","0.124569","0.297874"
"edge_frame_template_shuffle","5","2883","11645","2294","103","692","0.240028","117","2294","10445","571","2294","2157","125","12","0.940279","6.219864","6.818514","0.114122","0.242604","0.12561","0.302154","0.136142","0.327046","0.128291","0.300622"
"edge_frame_template_shuffle","6","2883","11645","2297","103","689","0.238987","117","2297","10454","571","2297","2155","132","10","0.93818","6.215617","6.926086","0.113928","0.245456","0.129137","0.299885","0.134494","0.328678","0.126267","0.305146"
"edge_frame_template_shuffle","7","2883","11645","2285","109","707","0.245231","117","2285","10417","571","2285","2147","131","7","0.939606","6.200932","6.800654","0.11366","0.244408","0.12614","0.305654","0.131612","0.329749","0.127868","0.299414"
"edge_frame_template_shuffle","8","2883","11645","2294","105","694","0.240721","117","2294","10442","571","2294","2158","129","7","0.940715","6.158267","6.777077","0.113771","0.244493","0.122295","0.300038","0.130435","0.331737","0.127083","0.297261"
"edge_frame_template_shuffle","9","2883","11645","2289","106","700","0.242803","117","2289","10429","571","2289","2149","133","7","0.938838","6.178641","6.695799","0.113434","0.221402","0.125899","0.298207","0.133666","0.327165","0.126858","0.296385"
"edge_frame_template_shuffle","10","2883","11645","2297","101","687","0.238293","117","2297","10454","571","2297","2149","138","10","0.935568","6.201125","6.84588","0.113832","0.245265","0.128468","0.295676","0.137842","0.330878","0.12598","0.302372"
"edge_frame_template_shuffle","11","2883","11645","2296","99","686","0.237947","117","2296","10451","571","2296","2165","122","9","0.942944","6.308451","6.982092","0.114152","0.244761","0.126304","0.302076","0.137212","0.336236","0.124677","0.305521"
"edge_frame_template_shuffle","12","2883","11645","2299","99","683","0.236906","117","2299","10460","571","2299","2162","127","10","0.940409","6.21563","6.819743","0.113862","0.245411","0.126004","0.295985","0.132218","0.332027","0.13021","0.301147"
"edge_frame_template_shuffle","13","2883","11645","2286","108","705","0.244537","117","2286","10420","571","2286","2149","125","12","0.94007","6.227989","6.804002","0.11334","0.241267","0.126392","0.3","0.132342","0.328311","0.123129","0.299712"
"edge_frame_template_shuffle","14","2883","11645","2291","103","695","0.241068","117","2291","10434","571","2291","2155","128","8","0.940637","6.144419","6.770953","0.113379","0.244489","0.124018","0.297201","0.136573","0.32835","0.12373","0.299406"
"edge_frame_template_shuffle","15","2883","11645","2293","104","694","0.240721","117","2293","10442","571","2293","2157","126","10","0.940689","6.204002","6.923875","0.113771","0.243344","0.126891","0.302432","0.13666","0.328768","0.126125","0.300804"
"edge_frame_template_shuffle","16","2883","11645","2296","104","691","0.239681","117","2296","10451","571","2296","2153","134","9","0.937718","6.220232","6.764939","0.114247","0.245048","0.129557","0.300354","0.138073","0.332026","0.128409","0.3082"
"edge_frame_template_shuffle","17","2883","11645","2290","108","701","0.243149","117","2290","10431","571","2290","2155","127","8","0.941048","6.213812","6.812345","0.113124","0.24408","0.128271","0.304285","0.128943","0.331032","0.125012","0.2993"
"edge_frame_template_shuffle","18","2883","11645","2288","108","703","0.243843","117","2288","10427","571","2288","2143","136","9","0.936626","6.186965","6.821287","0.113743","0.244174","0.128513","0.296538","0.134746","0.322912","0.128225","0.30258"
"edge_frame_template_shuffle","19","2883","11645","2292","104","695","0.241068","117","2292","10439","571","2292","2153","128","11","0.939354","6.224354","6.887793","0.113804","0.245138","0.126449","0.298879","0.131526","0.325223","0.127982","0.301657"
"edge_frame_template_shuffle","20","2883","11645","2298","101","686","0.237947","117","2298","10455","571","2298","2162","126","10","0.940818","6.275642","6.778499","0.113725","0.244955","0.129412","0.3033","0.137733","0.325777","0.124725","0.304161"
"position_slot_shuffle","1","2883","11645","2475","101","509","0.176552","55","2475","10819","571","2475","2340","122","13","0.945455","6.392579","6.777077","0.108883","0.240133","0.146779","0.330807","0.173861","0.398004","0.147241","0.312413"
"position_slot_shuffle","2","2883","11645","2469","114","528","0.183143","44","2469","10805","571","2469","2323","136","10","0.940867","6.355659","6.743554","0.108191","0.239704","0.146043","0.331421","0.174826","0.399537","0.141509","0.308931"
"position_slot_shuffle","3","2883","11645","2475","106","514","0.178287","48","2475","10815","571","2475","2323","143","9","0.938586","6.348867","6.719013","0.108368","0.23976","0.146093","0.331761","0.17485","0.398428","0.145446","0.308738"
"position_slot_shuffle","4","2883","11645","2465","107","525","0.182102","42","2465","10796","571","2465","2308","145","12","0.936308","6.395463","6.863019","0.108281","0.238977","0.146073","0.330771","0.171545","0.399315","0.144127","0.314376"
"position_slot_shuffle","5","2883","11645","2462","110","531","0.184183","46","2462","10793","571","2462","2312","135","15","0.939074","6.343639","6.706249","0.108311","0.2396","0.146206","0.331233","0.174743","0.398684","0.146113","0.31437"
"position_slot_shuffle","6","2883","11645","2475","113","521","0.180715","55","2475","10818","571","2475","2325","131","19","0.939394","6.356335","6.771721","0.108338","0.239693","0.146145","0.332409","0.171473","0.398872","0.143095","0.312904"
"position_slot_shuffle","7","2883","11645","2469","103","517","0.179327","47","2469","10800","571","2469","2322","137","10","0.940462","6.348421","6.737862","0.108241","0.239537","0.146204","0.331204","0.171111","0.400926","0.143981","0.312778"
"position_slot_shuffle","8","2883","11645","2474","105","514","0.178287","47","2474","10816","571","2474","2306","150","18","0.932094","6.3512","6.77404","0.108173","0.240015","0.14608","0.331176","0.172245","0.397189","0.144323","0.311853"
"position_slot_shuffle","9","2883","11645","2468","105","520","0.180368","47","2468","10808","571","2468","2304","155","9","0.933549","6.384918","6.798498","0.108993","0.240563","0.146928","0.330959","0.174685","0.398038","0.146651","0.318375"
"position_slot_shuffle","10","2883","11645","2461","111","533","0.184877","56","2461","10792","571","2461","2318","137","6","0.941894","6.359225","6.809039","0.108321","0.240363","0.146312","0.331542","0.171979","0.39937","0.143532","0.310415"
"position_slot_shuffle","11","2883","11645","2472","100","511","0.177246","50","2472","10815","571","2472","2331","135","6","0.942961","6.403896","6.847941","0.108553","0.240129","0.146463","0.332224","0.175405","0.402034","0.143597","0.311234"
"position_slot_shuffle","12","2883","11645","2472","101","512","0.177593","54","2472","10814","571","2472","2317","138","17","0.937298","6.318038","6.802395","0.108933","0.239967","0.146754","0.330405","0.173849","0.400314","0.146384","0.311818"
"position_slot_shuffle","13","2883","11645","2471","102","514","0.178287","51","2471","10813","571","2471","2326","138","7","0.941319","6.316088","6.679599","0.108203","0.239989","0.14612","0.332193","0.172108","0.400906","0.140756","0.312679"
"position_slot_shuffle","14","2883","11645","2473","105","515","0.178633","44","2473","10819","571","2473","2342","123","8","0.947028","6.385646","6.776887","0.10953","0.240503","0.147426","0.331639","0.174878","0.400222","0.145208","0.315464"
"position_slot_shuffle","15","2883","11645","2467","107","523","0.181408","53","2467","10796","571","2467","2312","142","13","0.937171","6.239659","6.539008","0.108003","0.238885","0.14598","0.330493","0.173861","0.398388","0.139959","0.312894"
"position_slot_shuffle","16","2883","11645","2470","99","512","0.177593","51","2470","10802","571","2470","2315","146","9","0.937247","6.300688","6.732658","0.10748","0.23866","0.145436","0.329476","0.170617","0.400111","0.14377","0.306517"
"position_slot_shuffle","17","2883","11645","2471","103","515","0.178633","41","2471","10812","571","2471","2333","133","5","0.944152","6.430995","6.849346","0.108491","0.239734","0.146411","0.331946","0.175268","0.398909","0.142249","0.31613"
"position_slot_shuffle","18","2883","11645","2467","115","531","0.184183","49","2467","10798","571","2467","2324","133","10","0.942035","6.35552","6.802395","0.108909","0.240322","0.146786","0.332654","0.174569","0.400352","0.145583","0.313391"
"position_slot_shuffle","19","2883","11645","2474","101","510","0.176899","50","2474","10815","571","2474","2334","129","11","0.943411","6.362111","6.686639","0.10846","0.239575","0.146371","0.331299","0.17411","0.395839","0.145261","0.31031"
"position_slot_shuffle","20","2883","11645","2470","107","520","0.180368","41","2470","10804","571","2470","2326","131","13","0.9417","6.240601","6.622758","0.108201","0.240004","0.146057","0.331544","0.174565","0.399944","0.141892","0.31007"
