"type","sequence_signature","artifact_count","sample_cisi","priority_counts","short_tokens","long_tokens"
"TAB:B","1:]435-255-055+|2:+700-033+","1","H-703","P2_tab_b_core_short_queue:1","033;700",""
"TAB:B","1:]482-240+|2:+700-745+","1","H-745","P2_tab_b_core_short_queue:1","700;745",""
"TAB:B","1:+000-000+|2:+700-032+|3:+740-000+","1","H-877","P2_tab_b_core_short_queue:1","032;700",""
"TAB:B","1:+000-480-176+|2:+700-032+","1","H-837","P2_tab_b_core_short_queue:1","032;700",""
"TAB:B","1:+000-690-000+|2:+700-033+|3:+740-100-415+","1","H-847","P1_mixed_short_long_core:1","033;700","100;415;740"
"TAB:B","1:+000-700+|2:+550-233+","1","H-791","P3_other_short_mark:1","233;550",""
"TAB:B","1:+002-820+|2:+861-003+","1","H-1882","P2_tab_b_core_short_queue:1","002;003;820;861",""
"TAB:B","1:+032-257-840+|2:+700-034+","1","H-771","P2_tab_b_core_short_queue:1","034;700","032;257;840"
"TAB:B","1:+032-700+|2:+000-000-740-233-240+","1","H-779","P2_tab_b_core_short_queue:1","032;700",""
"TAB:B","1:+032-700+|2:+390-004-104+","1","H-777","P2_tab_b_core_short_queue:1","032;700","004;104;390"
"TAB:B","1:+032-700+|2:+400-140+","1","H-839","P2_tab_b_core_short_queue:1","032;140;400;700",""
"TAB:B","1:+032-700+|2:+400-153-118+","1","H-1855","P1_mixed_short_long_core:1","032;700","118;153;400"
"TAB:B","1:+032-700+|2:+400-740-000-832-000+","1","H-1932","P2_tab_b_core_short_queue:1","032;700",""
"TAB:B","1:+032-700+|2:+400-740-388-717-705+","1","H-1945","P1_mixed_short_long_core:1","032;700","388;400;705;717;740"
"TAB:B","1:+032-700+|2:+405-035-002-861+","1","H-1942","P2_tab_b_core_short_queue:1","032;700","002;035;405;861"
"TAB:B","1:+032-700+|2:+740-142-062-002-817+","1","H-1864","P1_mixed_short_long_core:1","032;700","002;062;142;740;817"
"TAB:B","1:+032-700+|2:+740-690-435-255-055+","1","H-1797","P1_mixed_short_long_core:1","032;700","055;255;435;690;740"
"TAB:B","1:+032-820-100-415+|2:+700-033+","1","H-799","P2_tab_b_core_short_queue:1","033;700","032;100;415;820"
"TAB:B","1:+033-700+|2:+167-705+","1","H-1878","P3_other_short_mark:1","167;705",""
"TAB:B","1:+033-700+|2:+400-740-904-240+","1","H-1897","P1_mixed_short_long_core:1","033;700","240;400;740;904"
"TAB:B","1:+033-700+|2:+442-000-220-000+","1","H-795","P2_tab_b_core_short_queue:1","033;700",""
"TAB:B","1:+033-700+|2:+520-000-255+","1","H-1112","P2_tab_b_core_short_queue:1","033;700",""
"TAB:B","1:+033-700+|2:+520-233+","1","H-249","P2_tab_b_core_short_queue:1","033;233;520;700",""
"TAB:B","1:+033-700+|2:+520-240+","1","H-1912","P2_tab_b_core_short_queue:1","033;240;520;700",""
"TAB:B","1:+033-700+|2:+550-003-435+","1","H-1924","P2_tab_b_core_short_queue:1","033;700","003;435;550"
"TAB:B","1:+033-700+|2:+740-690-435-176-233-803+","1","H-1842","P1_mixed_short_long_core:1","033;700","176;233;435;690;740;803"
"TAB:B","1:+033-700+|2:+740-690-435-255+","1","H-1938","P1_mixed_short_long_core:1","033;700","255;435;690;740"
"TAB:B","1:+033-700+|2:+740-803-892-031-002-861+","1","H-1851","P1_mixed_short_long_core:1","033;700","002;031;740;803;861;892"
"TAB:B","1:+033-700+|2:+740-904-240+","1","H-781","P1_mixed_short_long_core:1","033;700","240;740;904"
"TAB:B","1:+033-700+|2:+740-923-235+","1","H-1903","P1_mixed_short_long_core:1","033;700","235;740;923"
"TAB:B","1:+034-700+|2:+520-033-033+","1","H-1880","P2_tab_b_core_short_queue:1","034;700","033;520"
"TAB:B","1:+034-700+|2:+740-690-435-255+","1","H-1937","P1_mixed_short_long_core:1","034;700","255;435;690;740"
"TAB:B","1:+065-826+|2:+700-032+","1","H-766","P2_tab_b_core_short_queue:1","032;065;700;826",""
"TAB:B","1:+137-002-820+|2:+700-033+","1","H-702","P2_tab_b_core_short_queue:1","033;700","002;137;820"
"TAB:B","1:+144+|2:+700-033+","1","H-1768","P2_tab_b_core_short_queue:1","033;700",""
"TAB:B","1:+151-840-416+|2:+700-033+","1","H-770","P2_tab_b_core_short_queue:1","033;700","151;416;840"
"TAB:B","1:+158-999-792+|2:+700-033+","1","H-798","P2_tab_b_core_short_queue:1","033;700",""
"TAB:B","1:+200-705-380+|2:+700-032+","1","H-1156","P2_tab_b_core_short_queue:1","032;700",""
"TAB:B","1:+200-705-380+|2:+700-033+","1","H-876","P2_tab_b_core_short_queue:1","033;700","200;380;705"
"TAB:B","1:+220-000-700+|2:+400-698+","1","H-1892","P3_other_short_mark:1","400;698",""
"TAB:B","1:+368-035+|2:+033-700+","1","H-812","P2_tab_b_core_short_queue:1","033;035;368;700",""
"TAB:B","1:+368-817+|2:+740-032-840+","1","H-825","P3_other_short_mark:1","368;817","032;740;840"
"TAB:B","1:+370-455+|2:+700-032+","1","H-796","P2_tab_b_core_short_queue:1","032;370;455;700",""
"TAB:B","1:+390-060/740-500-091+|2:+700-033+","1","H-239","P2_tab_b_core_short_queue:1","033;700",""
"TAB:B","1:+400-156-118+|2:+032-700+","1","H-212","P1_mixed_short_long_core:1","032;700","118;156;400"
"TAB:B","1:+400-226-032+|2:+700-032+","1","H-1321","P1_mixed_short_long_core:1","032;700","032;226;400"
"TAB:B","1:+400-232-235+|2:+032-700+","1","H-794","P1_mixed_short_long_core:1","032;700","232;235;400"
"TAB:B","1:+400-236-220+|2:+700-033+","1","H-1124","P1_mixed_short_long_core:1","033;700","220;236;400"
"TAB:B","1:+400-520-220-016+|2:+033-700+","1","H-789","P1_mixed_short_long_core:1","033;700","016;220;400;520"
"TAB:B","1:+400-520-400-352+|2:+700-032+","1","H-213","P1_mixed_short_long_core:1","032;700","352;400;520"
"TAB:B","1:+400-520-400-353+|2:+700-032+","1","H-214","P1_mixed_short_long_core:1","032;700","353;400;520"
"TAB:B","1:+400-740-033-705-233-235-000+|2:+700-032+","1","H-768","P2_tab_b_core_short_queue:1","032;700",""
"TAB:B","1:+400-740-100-031-705+|2:+700-033+","1","H-846","P1_mixed_short_long_core:1","033;700","031;100;400;705;740"
"TAB:B","1:+400-740-100-240+|2:+700-032+","1","H-251","P1_mixed_short_long_core:1","032;700","100;240;400;740"
"TAB:B","1:+400-740-176+|2:+700-033+","1","H-233","P1_mixed_short_long_core:1","033;700","176;400;740"
"TAB:B","1:+400-740-177-519+|2:+700-032+","1","H-232","P1_mixed_short_long_core:1","032;700","177;400;519;740"
"TAB:B","1:+400-740-220-415-798+|2:+700-033+","1","H-767","P1_mixed_short_long_core:1","033;700","220;400;415;740;798"
"TAB:B","1:+400-740-335-000+|2:+116-032+","1","H-247","P2_tab_b_core_short_queue:1","032;116",""
"TAB:B","1:+400-740-335-003+|2:+700-032+","1","H-854","P1_mixed_short_long_core:1","032;700","003;335;400;740"
"TAB:B","1:+400-740-335-482-175+|2:+700-032+","1","H-1774","P1_mixed_short_long_core:1","032;700","175;335;400;482;740"
"TAB:B","1:+400-740-336-018+|2:+032-700+","1","H-817","P1_mixed_short_long_core:1","032;700","018;336;400;740"
"TAB:B","1:+400-740-337-000+|2:+700-032+","1","H-802","P2_tab_b_core_short_queue:1","032;700",""
"TAB:B","1:+400-740-382+|2:+700-032+","1","H-1102","P1_mixed_short_long_core:1","032;700","382;400;740"
"TAB:B","1:+400-740-384-033+|2:+700-033+","1","H-790","P1_mixed_short_long_core:1","033;700","033;384;400;740"
"TAB:B","1:+400-740-388+|2:+368-091+","1","H-1863","P3_other_short_mark:1","091;368","388;400;740"
"TAB:B","1:+400-740-390-590+|2:+033-700+","1","H-816","P1_mixed_short_long_core:1","033;700","390;400;590;740"
"TAB:B","1:+400-740-690-000+|2:+700-033+","1","H-783","P2_tab_b_core_short_queue:1","033;700",""
"TAB:B","1:+400-740-690-436-255+|2:+700-033+","1","H-834","P1_mixed_short_long_core:1","033;700","255;400;436;690;740"
"TAB:B","1:+400-740-892-617+|2:+700-033+","1","H-229","P1_mixed_short_long_core:1","033;700","400;617;740;892"
"TAB:B","1:+400-740-898-617+|2:+033-700+","1","H-211","P1_mixed_short_long_core:1","033;700","400;617;740;898"
"TAB:B","1:+400-740-920-320-233-240-798+|2:+700-033+","1","H-248","P1_mixed_short_long_core:1","033;700","233;240;320;400;740;798;920"
"TAB:B","1:+400-807-740-219+|2:+700-033+","1","H-245","P1_mixed_short_long_core:1","033;700","219;400;740;807"
"TAB:B","1:+400-820-100-415+|2:+700-032+","1","H-814","P1_mixed_short_long_core:1","032;700","100;400;415;820"
"TAB:B","1:+400-892-000+|2:+032-700+","1","H-813","P2_tab_b_core_short_queue:1","032;700",""
"TAB:B","1:+400-892-000+|2:+700-032+","1","H-1134","P2_tab_b_core_short_queue:1","032;700",""
"TAB:B","1:+400-892-831+|2:+700-032+","1","H-1133","P1_mixed_short_long_core:1","032;700","400;831;892"
"TAB:B","1:+400-921-690-435-255-055+|2:+700-032+","1","H-209","P1_mixed_short_long_core:1","032;700","055;255;400;435;690;921"
"TAB:B","1:+407-590-740-072+|2:+167-706+|3:+032-700-100-001+","1","H-196","P3_other_short_mark:1","167;706","001;032;072;100;407;590;700;740"
"TAB:B","1:+415-035-171+|2:+700-033+","1","H-219","P2_tab_b_core_short_queue:1","033;700","035;171;415"
"TAB:B","1:+520-072-219+|2:+700-032+","1","H-230","P2_tab_b_core_short_queue:1","032;700","072;219;520"
"TAB:B","1:+520-220-240-002-820+|2:+700-033+","1","H-231","P1_mixed_short_long_core:1","033;700","002;220;240;520;820"
"TAB:B","1:+525-550-220+|2:+700-032+","1","H-1123","P2_tab_b_core_short_queue:1","032;700","220;525;550"
"TAB:B","1:+526-554-002-820+|2:+700-032+","1","H-833","P2_tab_b_core_short_queue:1","032;700","002;526;554;820"
"TAB:B","1:+700-004+|2:+400-151-097+","1","H-1917","P1_mixed_short_long_core:1","004;700","097;151;400"
"TAB:B","1:+700-004+|2:+520-070-255-832+","1","H-1916","P2_tab_b_core_short_queue:1","004;700","070;255;520;832"
"TAB:B","1:+700-014+|2:+144+|3:+700-125+","1","H-1946","P2_tab_b_core_short_queue:1","014;125;700",""
"TAB:B","1:+700-031+|2:+740-892+","1","H-1919","P2_tab_b_core_short_queue:1","031;700;740;892",""
"TAB:B","1:+700-032+|2:+000-591+","1","H-1804","P2_tab_b_core_short_queue:1","032;700",""
"TAB:B","1:+700-032+|2:+158-003-494+","1","H-1902","P2_tab_b_core_short_queue:1","032;700","003;158;494"
"TAB:B","1:+700-032+|2:+390-004-817+","1","H-778","P2_tab_b_core_short_queue:1","032;700","004;390;817"
"TAB:B","1:+700-032+|2:+400-090-740-400-090+","1","H-1906","P1_mixed_short_long_core:1","032;700","090;400;740"
"TAB:B","1:+700-032+|2:+400-236-220+","1","H-1941","P1_mixed_short_long_core:1","032;700","220;236;400"
"TAB:B","1:+700-032+|2:+400-617-829+","1","H-1853","P1_mixed_short_long_core:1","032;700","400;617;829"
"TAB:B","1:+700-032+|2:+400-740-000-792+","1","H-1836","P2_tab_b_core_short_queue:1","032;700",""
"TAB:B","1:+700-032+|2:+400-740-032-840+","1","H-1923","P1_mixed_short_long_core:1","032;700","032;400;740;840"
"TAB:B","1:+700-032+|2:+400-740-176-791+","1","H-1931","P1_mixed_short_long_core:1","032;700","176;400;740;791"
"TAB:B","1:+700-032+|2:+400-740-920-320-233-240-798+","1","H-1922","P1_mixed_short_long_core:1","032;700","233;240;320;400;740;798;920"
"TAB:B","1:+700-032+|2:+511-032-142+","1","H-1936","P2_tab_b_core_short_queue:1","032;700","032;142;511"
"TAB:B","1:+700-032+|2:+520-072-219+","1","H-815","P2_tab_b_core_short_queue:1","032;700","072;219;520"
"TAB:B","1:+700-032+|2:+526-554-002-820+","1","H-1146","P2_tab_b_core_short_queue:1","032;700","002;526;554;820"
"TAB:B","1:+700-032+|2:+740-000-000+","1","H-969","P2_tab_b_core_short_queue:1","032;700",""
"TAB:B","1:+700-032+|2:+740-540-204-255+","1","H-1841","P1_mixed_short_long_core:1","032;700","204;255;540;740"
"TAB:B","1:+700-032+|2:+740-702-061-002-000+","1","H-1865","P2_tab_b_core_short_queue:1","032;700",""
"TAB:B","1:+700-032+|2:+740-760-268-233-220+","1","H-852","P1_mixed_short_long_core:1","032;700","220;233;268;740;760"
"TAB:B","1:+700-032+|2:+740-817-491+","1","H-1909","P1_mixed_short_long_core:1","032;700","491;740;817"
"TAB:B","1:+700-033+|2:+000-000-000+","1","H-827","P2_tab_b_core_short_queue:1","033;700",""
"TAB:B","1:+700-033+|2:+032-920-491+","1","H-1915","P2_tab_b_core_short_queue:1","033;700","032;491;920"
"TAB:B","1:+700-033+|2:+368-091+","1","H-1861","P2_tab_b_core_short_queue:1","033;091;368;700",""
"TAB:B","1:+700-033+|2:+400-151-142+","1","H-1995","P1_mixed_short_long_core:1","033;700","142;151;400"
"TAB:B","1:+700-033+|2:+400-236-220+","1","H-1872","P1_mixed_short_long_core:1","033;700","220;236;400"
"TAB:B","1:+700-033+|2:+400-236-233+","1","H-1873","P1_mixed_short_long_core:1","033;700","233;236;400"
"TAB:B","1:+700-033+|2:+400-368-741+","1","H-1898","P1_mixed_short_long_core:1","033;700","368;400;741"
"TAB:B","1:+700-033+|2:+400-520-400-352+","1","H-1933","P1_mixed_short_long_core:1","033;700","352;400;520"
"TAB:B","1:+700-033+|2:+400-740-061-140+","1","H-1929","P1_mixed_short_long_core:1","033;700","061;140;400;740"
"TAB:B","1:+700-033+|2:+400-740-067-100+","1","H-1940","P1_mixed_short_long_core:1","033;700","067;100;400;740"
"TAB:B","1:+700-033+|2:+400-740-176-519+","1","H-1822","P1_mixed_short_long_core:1","033;700","176;400;519;740"
"TAB:B","1:+700-033+|2:+400-892-831+","1","H-1896","P1_mixed_short_long_core:1","033;700","400;831;892"
"TAB:B","1:+700-033+|2:+520-240+","1","H-1908","P2_tab_b_core_short_queue:1","033;240;520;700",""
"TAB:B","1:+700-033+|2:+526-550-233+","1","H-2142","P2_tab_b_core_short_queue:1","033;700","233;526;550"
"TAB:B","1:+700-033+|2:+740-000-031+|3:+740-630-000+","1","H-1947","P2_tab_b_core_short_queue:1","033;700",""
"TAB:B","1:+700-033+|2:+740-000-220-004-002-390-095+","1","H-1993","P2_tab_b_core_short_queue:1","033;700",""
"TAB:B","1:+700-033+|2:+740-100-175-630-705+","1","H-1839","P1_mixed_short_long_core:1","033;700","100;175;630;705;740"
"TAB:B","1:+700-033+|2:+740-790-032+","1","H-1883","P1_mixed_short_long_core:1","033;700","032;740;790"
"TAB:B","1:+700-034+|2:+000-004-745-590+","1","H-1981","P2_tab_b_core_short_queue:1","034;700",""
"TAB:B","1:+700-034+|2:+002-220-455-000+","1","H-1874","P2_tab_b_core_short_queue:1","034;700",""
"TAB:B","1:+700-034+|2:+151-740-221+","1","H-1867","P1_mixed_short_long_core:1","034;700","151;221;740"
"TAB:B","1:+700-034+|2:+151-740-235+","1","H-1871","P1_mixed_short_long_core:1","034;700","151;235;740"
"TAB:B","1:+700-034+|2:+158-221+","1","H-1870","P2_tab_b_core_short_queue:1","034;158;221;700",""
"TAB:B","1:+700-034+|2:+390-000-742-000+","1","H-1982","P2_tab_b_core_short_queue:1","034;700",""
"TAB:B","1:+700-034+|2:+390-004-455-371-741-590+","1","H-1987","P2_tab_b_core_short_queue:1","034;700","004;371;390;455;590;741"
"TAB:B","1:+700-034+|2:+400-097+","1","H-1860","P2_tab_b_core_short_queue:1","034;097;400;700",""
"TAB:B","1:+700-034+|2:+400-137+","1","H-215","P2_tab_b_core_short_queue:1","034;137;400;700",""
"TAB:B","1:+700-034+|2:+400-154-690+","1","H-1844","P1_mixed_short_long_core:1","034;700","154;400;690"
"TAB:B","1:+700-034+|2:+400-297-352-892-590-740-176+","1","H-1832","P1_mixed_short_long_core:1","034;700","176;297;352;400;590;740;892"
"TAB:B","1:+700-034+|2:+400-525-554+","1","H-1817","P1_mixed_short_long_core:1","034;700","400;525;554"
"TAB:B","1:+700-034+|2:+400-740-061-140+","1","H-1894","P1_mixed_short_long_core:1","034;700","061;140;400;740"
"TAB:B","1:+700-034+|2:+400-740-100-240+","1","H-1895","P1_mixed_short_long_core:1","034;700","100;240;400;740"
"TAB:B","1:+700-034+|2:+400-740-717+","1","H-1854","P1_mixed_short_long_core:1","034;700","400;717;740"
"TAB:B","1:+700-034+|2:+400-740-760-382+","1","H-1850","P1_mixed_short_long_core:1","034;700","382;400;740;760"
"TAB:B","1:+700-034+|2:+400-740-798-365-415-001+","1","H-1823","P1_mixed_short_long_core:1","034;700","001;365;400;415;740;798"
"TAB:B","1:+700-034+|2:+740-176-031-060-201+","1","H-1824","P1_mixed_short_long_core:1","034;700","031;060;176;201;740"
"TAB:B","1:+700-034+|2:+740-176-220+","1","H-1825","P1_mixed_short_long_core:1","034;700","176;220;740"
"TAB:B","1:+700-034+|2:+740-255-000+","1","H-785","P2_tab_b_core_short_queue:1","034;700",""
"TAB:B","1:+700-034+|2:+740-384-031+","1","H-1943","P1_mixed_short_long_core:1","034;700","031;384;740"
"TAB:B","1:+700-034+|2:+740-603-240-060-692+","1","H-1846","P1_mixed_short_long_core:1","034;700","060;240;603;692;740"
"TAB:B","1:+700-034+|2:+740-636-240-060-692+","1","H-823","P1_mixed_short_long_core:1","034;700","060;240;636;692;740"
"TAB:B","1:+700-034+|2:+740-642-240-060-692+","1","H-1845","P1_mixed_short_long_core:1","034;700","060;240;642;692;740"
"TAB:B","1:+700-036+|2:+415-035-171+","1","H-801","P2_tab_b_core_short_queue:1","036;700","035;171;415"
"TAB:B","1:+700-036+|2:+415-700-033-171+","1","H-1881","P2_tab_b_core_short_queue:1","036;700","033;171;415;700"
"TAB:B","1:+700-745+|2:+740-752-482-240+","1","H-743","P1_mixed_short_long_core:1","700;745","240;482;740;752"
"TAB:B","1:+705-904+|2:+700-032+","1","H-717","P2_tab_b_core_short_queue:1","032;700;705;904",""
"TAB:B","1:+740-000-000-000-000+|2:+700-032+","1","H-1153","P2_tab_b_core_short_queue:1","032;700",""
"TAB:B","1:+740-000-000-705+|2:+700-034+","1","H-1120","P2_tab_b_core_short_queue:1","034;700",""
"TAB:B","1:+740-100-000-000+|2:+700-033+","1","H-848","P2_tab_b_core_short_queue:1","033;700",""
"TAB:B","1:+740-177-231+|2:+034-700+","1","H-853","P1_mixed_short_long_core:1","034;700","177;231;740"
"TAB:B","1:+740-255-000+|2:+700-034+","1","H-788","P2_tab_b_core_short_queue:1","034;700",""
"TAB:B","1:+740-336-018+|2:+700-033+","1","H-818","P1_mixed_short_long_core:1","033;700","018;336;740"
"TAB:B","1:+740-336-176+|2:+700-033+","1","H-218","P1_mixed_short_long_core:1","033;700","176;336;740"
"TAB:B","1:+740-337-484+|2:+700-032+","1","H-217","P1_mixed_short_long_core:1","032;700","337;484;740"
"TAB:B","1:+740-337-484+|2:+700-033+","1","H-216","P1_mixed_short_long_core:1","033;700","337;484;740"
"TAB:B","1:+740-337-692-490+|2:+700-033+","1","H-800","P1_mixed_short_long_core:1","033;700","337;490;692;740"
"TAB:B","1:+740-390-590-235+|2:+700-033+","1","H-857","P1_mixed_short_long_core:1","033;700","235;390;590;740"
"TAB:B","1:+740-400-142-061+|2:+700-034+","1","H-780","P1_mixed_short_long_core:1","034;700","061;142;400;740"
"TAB:B","1:+740-603-240-060-692+|2:+700-034+","1","H-1138","P1_mixed_short_long_core:1","034;700","060;240;603;692;740"
"TAB:B","1:+740-615-495-002-817+|2:+700-033+","1","H-838","P1_mixed_short_long_core:1","033;700","002;495;615;740;817"
"TAB:B","1:+740-642-240-060-692+|2:+700-033+","1","H-237","P1_mixed_short_long_core:1","033;700","060;240;642;692;740"
"TAB:B","1:+740-642-240-204-705-621+|2:+700-033+","1","H-206","P1_mixed_short_long_core:1","033;700","204;240;621;642;705;740"
"TAB:B","1:+740-752-482-240+|2:+700-745+","1","H-1793","P1_mixed_short_long_core:1","700;745","240;482;740;752"
"TAB:B","1:+740-803-741-031-032-716+|2:+033-700+","1","H-776","P1_mixed_short_long_core:1","033;700","031;032;716;740;741;803"
"TAB:B","1:+740-843+|2:+700-033+","1","H-1905","P2_tab_b_core_short_queue:1","033;700;740;843",""
"TAB:B","1:+740-850+|2:+740-850+","1","H-1126","P3_other_short_mark:1","740;850",""
"TAB:B","1:+824-700+|2:+400-740-152-240+","1","H-2189","P1_mixed_short_long_core:1","700;824","152;240;400;740"
"TAB:I","1:]033-000-000+|2:+033-255+","1","H-1189","P2_tab_i_core_short_queue:1","033;255",""
"TAB:I","1:]740-176+|2:+700-032+","1","H-963","P2_tab_i_core_short_queue:1","032;700",""
"TAB:I","1:]740-176+|2:+700-033+","1","H-1348","P2_tab_i_core_short_queue:1","033;700",""
"TAB:I","1:+000-000-000-000-000-000+|2:+700-033+|3:+000-000-000+","1","H-986","P2_tab_i_core_short_queue:1","033;700",""
"TAB:I","1:+000-000-000+|2:+033-700+","1","H-931","P2_tab_i_core_short_queue:1","033;700",""
"TAB:I","1:+000-000-000+|2:+700-033+","1","H-1295","P2_tab_i_core_short_queue:1","033;700",""
"TAB:I","1:+000-000-740-519+|2:+033-720+","1","H-1177","P2_tab_i_core_short_queue:1","033;720",""
"TAB:I","1:+000-740-176+|2:+700-033+","1","H-961","P2_tab_i_core_short_queue:1","033;700",""
"TAB:I","1:+000-820+|2:+740-926+","1","H-325","P3_other_short_mark:1","740;926",""
"TAB:I","1:+002-861-416+|2:+700-034+","1","H-910","P2_tab_i_core_short_queue:1","034;700","002;416;861"
"TAB:I","1:+013-840-032-626-000[|2:+700-032+","1","H-340","P2_tab_i_core_short_queue:1","032;700",""
"TAB:I","1:+034-700+|2:+002-861-416+","1","H-2097","P2_tab_i_core_short_queue:1","034;700","002;416;861"
"TAB:I","1:+034-700+|2:+400-226+","1","H-2154","P2_tab_i_core_short_queue:1","034;226;400;700",""
"TAB:I","1:+034-700+|2:+400-740-032-027+","1","H-2208","P1_mixed_short_long_core:1","034;700","027;032;400;740"
"TAB:I","1:+034-700+|2:+400-740-176+","1","H-933","P1_mixed_short_long_core:1","034;700","176;400;740"
"TAB:I","1:+090-740-327+|2:+861-003+","1","H-2190","P1_mixed_short_long_core:1","003;861","090;327;740"
"TAB:I","1:+090-740-362+|2:+700-033+","1","H-345","P1_mixed_short_long_core:1","033;700","090;362;740"
"TAB:I","1:+137+|2:+700-034+","1","H-2105","P2_tab_i_core_short_queue:1","034;700",""
"TAB:I","1:+156-000-000+|2:+700-032+","1","H-327","P2_tab_i_core_short_queue:1","032;700",""
"TAB:I","1:+156-176-741-060-920+|2:+700-032+","1","H-1309","P1_mixed_short_long_core:1","032;700","060;156;176;741;920"
"TAB:I","1:+220+|2:+167-705+","1","H-1166","P3_other_short_mark:1","167;705",""
"TAB:I","1:+255-033+|2:+416-590-033+","1","H-2099","P2_tab_i_core_short_queue:1","033;255","033;416;590"
"TAB:I","1:+368-000+|2:+700-033+","1","H-1270","P2_tab_i_core_short_queue:1","033;700",""
"TAB:I","1:+368-900+|2:+700-034+","1","H-307","P2_tab_i_core_short_queue:1","034;368;700;900",""
"TAB:I","1:+388-134-368-590+|2:+700-033+","1","H-951","P2_tab_i_core_short_queue:1","033;700","134;368;388;590"
"TAB:I","1:+400-137+|2:+700-033+","1","H-976","P2_tab_i_core_short_queue:1","033;137;400;700",""
"TAB:I","1:+400-151-229+|2:+700-033+","1","H-948","P1_mixed_short_long_core:1","033;700","151;229;400"
"TAB:I","1:+400-151-336-630-706+|2:+700-034+","1","H-297","P1_mixed_short_long_core:1","034;700","151;336;400;630;706"
"TAB:I","1:+400-156-140-032+|2:+700-033+","1","H-1287","P1_mixed_short_long_core:1","033;700","032;140;156;400"
