"id","cisi","site","region","area_section","material","shape","type","sides","condition","complete","dir","class","text_length","text","signs","length","position_0","position_1","at_start","at_end","prev","next","next2","prev2","frame","damaged_or_open"
"121.1","C-40","Chanhu-daro","Lower Indus","--","Copper","-","IMPL","2","Poor","Y","R/L","LC","8","+390-095-909-005-825-776-220-016+","390-095-909-005-825-776-220-016","8","6","7","False","False","776","016","<END>","825","776-220-016","False"
"130.1","-","Dholavira","Gujarat/Kutch","Bailey-","Steatite","square","SEAL:S","1","Fair","Y","R/L","2L","9","+244-165/740-879-220-416-803-002-861+","244-165-740-879-220-416-803-002-861","9","4","5","False","False","879","416","803","740","879-220-416","False"
"149.1","-","Farmana","Eastern Headwaters","East AreaSE","Steatite","square","SEAL:S","1","Good","Y","L/R","SS","2","+240-220+","240-220","2","1","2","False","True","240","<END>","<END>","<START>","240-220-<END>","False"
"151.1","-","Farmana","Eastern Headwaters","North AreaTrench 02","Steatite","square","SEAL:S","1","Fair","Y","R/L","ZN","2","+220-032+","220-032","2","0","1","True","False","<START>","032","<END>","<START>","<START>-220-032","False"
"166.1","H-1392","Harappa","Inter-Riverine","--","-","-","POT:T:g","1","Poor","N","-","??","3","+000-220-000+","000-220-000","3","1","2","False","False","000","000","<END>","<START>","000-220-000","False"
"173.1","H-1086","Harappa","Inter-Riverine","--","Clay","-","POT:T:s","1","Poor","Y","R/L","ZN","2","+220-016+","220-016","2","0","1","True","False","<START>","016","<END>","<START>","<START>-220-016","False"
"174.1","H-1394","Harappa","Inter-Riverine","FGranery","Clay","-","POT:T:g","1","Poor","?","R/L","UC","3+?","]590-220-003+","590-220-003","3","1","2","False","False","590","003","<END>","<START>","590-220-003","True"
"175.1","H-1418","Harappa","Inter-Riverine","--","Clay","-","POT:T:g","1","Poor","?","R/L","UC","2+?","]220-032+","220-032","2","0","1","True","False","<START>","032","<END>","<START>","<START>-220-032","True"
"185.1","H-1410","Harappa","Inter-Riverine","--","Clay","-","POT:T:g","1","Poor","?","R/L","UC","3+?","]080-388-220[","080-388-220","3","2","3","False","True","388","<END>","<END>","080","388-220-<END>","True"
"186.1","H-1403","Harappa","Inter-Riverine","--","Clay","-","POT:T:g","1","Poor","N","-","??","3+?","]000-000-220+","000-000-220","3","2","3","False","True","000","<END>","<END>","000","000-220-<END>","True"
"187.2","H-1282","Harappa","Inter-Riverine","--","Steatite","-","TAB:I","2","Poor","?","-","UC","1+?","]220[","220","1","0","1","True","True","<START>","<END>","<END>","<START>","<START>-220-<END>","True"
"199.1","H-423","Harappa","Inter-Riverine","--","Steatite","square","SEAL:S","1","Poor","Y","R/L","LP","6","+520-220-240-798-060-692+","520-220-240-798-060-692","6","1","2","False","False","520","240","798","<START>","520-220-240","False"
"206.1","H-1404","Harappa","Inter-Riverine","--","Clay","-","POT:T:g","1","Poor","N","-","??","3+?","]000-220-840[","000-220-840","3","1","2","False","False","000","840","<END>","<START>","000-220-840","True"
"217.1","H-294","Harappa","Inter-Riverine","FTrench IV+V","Steatite","rectangular","TAB:I","1","Good","Y","R/L","MT","4","+090-740-240-220+","090-740-240-220","4","3","4","False","True","240","<END>","<END>","740","240-220-<END>","False"
"220.1","H-1142","Harappa","Inter-Riverine","FTrench VI","Faience","oval","TAB:B","1","Fair","Y","L/R","MT","4","+400-154-440-220+","400-154-440-220","4","3","4","False","True","440","<END>","<END>","154","440-220-<END>","False"
"221.1","H-1326","Harappa","Inter-Riverine","FTrench VI","Steatite","rectangular-round","TAB:I","1","Fair","Y","R/L","MT","3","+520-220-415+","520-220-415","3","1","2","False","False","520","415","<END>","<START>","520-220-415","False"
"223.1","H-1042","Harappa","Inter-Riverine","FTrench VI","Steatite","square","SEAL:S","1","Poor","N","R/L","??","6","+740-923-000-220-002-817+","740-923-000-220-002-817","6","3","4","False","False","000","002","817","923","000-220-002","False"
"237.1","H-1056","Harappa","Inter-Riverine","FTrench IV+V","Steatite","square","SEAL:S","1","Fair","Y","R/L","MT","5","+400-090-740-220-003+","400-090-740-220-003","5","3","4","False","False","740","003","<END>","090","740-220-003","False"
"250.1","H-1166","Harappa","Inter-Riverine","FTrench I","Steatite","rectangular","TAB:I","2","Poor","Y","NR","ZN","1","+220+","220","1","0","1","True","True","<START>","<END>","<END>","<START>","<START>-220-<END>","False"
"252.1","H-1174","Harappa","Inter-Riverine","F-","Steatite","-","TAB:I","2","Poor","?","-","UC","1+?","]220[","220","1","0","1","True","True","<START>","<END>","<END>","<START>","<START>-220-<END>","True"
"258.1","H-1121","Harappa","Inter-Riverine","FTrench III","Faience","rectangular","TAB:B","2","Poor","Y","L/R","MT","4","+400-520-220-016+","400-520-220-016","4","2","3","False","False","520","016","<END>","400","520-220-016","False"
"277.2","H-1184","Harappa","Inter-Riverine","F-","Steatite","rectangular","TAB:I","2","Poor","?","R/L","UC","2+?","+520-220[","520-220","2","1","2","False","True","520","<END>","<END>","<START>","520-220-<END>","True"
"282.2","H-1330","Harappa","Inter-Riverine","FTrench I","Steatite","circular","TAB:I","2","Fair","Y","R/L","MT","2","+520-220+","520-220","2","1","2","False","True","520","<END>","<END>","<START>","520-220-<END>","False"
"291.1","-","Harappa","Inter-Riverine","FGranery","Clay","cylindrical","TAB:B","1","Poor","Y","R/L","LT","11","+740-407-590-690-436-255-920-318-220-415-803+","740-407-590-690-436-255-920-318-220-415-803","11","8","9","False","False","318","415","803","920","318-220-415","False"
"293.1","H-1033","Harappa","Inter-Riverine","FTrench I","Steatite","square","SEAL:S","1","Poor","Y","R/L","LC","6","+220-500-520-002-862-032+","220-500-520-002-862-032","6","0","1","True","False","<START>","500","520","<START>","<START>-220-500","False"
"302.2","H-1152","Harappa","Inter-Riverine","F-","Faience","prism","TAB:B","2","Poor","?","R/L","UC","2+?","]220-700[","220-700","2","0","1","True","False","<START>","700","<END>","<START>","<START>-220-700","True"
"303.1","H-1043","Harappa","Inter-Riverine","AB-","Steatite","square","SEAL:S","1","Poor","Y","R/L","SP","6","+151-760-220-003-002-861+","151-760-220-003-002-861","6","2","3","False","False","760","003","002","151","760-220-003","False"
"308.2","-","Harappa","Inter-Riverine","FTrench IV+V","Steatite","fish","TAB:I","2","Poor","N","R/L","??","2","+000-220+","000-220","2","1","2","False","True","000","<END>","<END>","<START>","000-220-<END>","False"
"311.1","H-1192","Harappa","Inter-Riverine","F-","Steatite","rectangular","TAB:I","2","Fair","Y","R/L","MT","5","+400-740-767-220-416+","400-740-767-220-416","5","3","4","False","False","767","416","<END>","740","767-220-416","False"
"311.2","H-1192","Harappa","Inter-Riverine","F-","Steatite","rectangular","TAB:I","2","Fair","Y","R/L","VX","3","+700-220-004+","700-220-004","3","1","2","False","False","700","004","<END>","<START>","700-220-004","False"
"313.1","H-1123","Harappa","Inter-Riverine","FGranery","Faience","rectangular","TAB:B","2","Good","Y","R/L","MT","3","+525-550-220+","525-550-220","3","2","3","False","True","550","<END>","<END>","525","550-220-<END>","False"
"318.1","H-1028","Harappa","Inter-Riverine","F-","Steatite","square","SEAL:S","1","Poor","Y","R/L","ZN","2","+220-016+","220-016","2","0","1","True","False","<START>","016","<END>","<START>","<START>-220-016","False"
"388.2","H-1874","Harappa","Inter-Riverine","ETrench 54","Faience","rectangular","TAB:B","2","Poor","N","R/L","??","4","+002-220-455-000+","002-220-455-000","4","1","2","False","False","002","455","000","<START>","002-220-455","False"
"416.1","H-2035","Harappa","Inter-Riverine","ETrench 54","Steatite","rectangular","TAB:I","1","Poor","Y","R/L","SS","2","+220-233+","220-233","2","0","1","True","False","<START>","233","<END>","<START>","<START>-220-233","False"
"467.2","H-1825","Harappa","Inter-Riverine","ETrench 54","Faience","rectangular","TAB:B","2","Good","Y","L/R","MT","3","+740-176-220+","740-176-220","3","2","3","False","True","176","<END>","<END>","740","176-220-<END>","False"
"479.1","H-1669","Harappa","Inter-Riverine","ETrench 11","Steatite","square","SEAL:S","1","Poor","Y","R/L","SP","5","+520-220-415-060-920+","520-220-415-060-920","5","1","2","False","False","520","415","060","<START>","520-220-415","False"
"481.1","H-2148","Harappa","Inter-Riverine","ETrench 11","Steatite","rectangular","TAB:I","2","Good","Y","R/L","MT","3","+520-220-415+","520-220-415","3","1","2","False","False","520","415","<END>","<START>","520-220-415","False"
"485.1","H-1953","Harappa","Inter-Riverine","ETrench 11","Clay","rectangular","TAB:B","2","Fair","Y","R/L","VX","3","+700-032-220+","700-032-220","3","2","3","False","True","032","<END>","<END>","700","032-220-<END>","False"
"485.2","H-1953","Harappa","Inter-Riverine","ETrench 11","Clay","rectangular","TAB:B","2","Fair","Y","R/L","MT","5","+520-220-415-240-803+","520-220-415-240-803","5","1","2","False","False","520","415","240","<START>","520-220-415","False"
"491.1","H-2127","Harappa","Inter-Riverine","ETrench 11","Steatite","rectangular","TAB:I","2","Fair","Y","R/L","SC","4","+455-590-142-220+","455-590-142-220","4","3","4","False","True","142","<END>","<END>","590","142-220-<END>","False"
"517.1","H-1722","Harappa","Inter-Riverine","E-","-","-","TAG","2","Poor","N","R/L","??","4+?","+520-220-415-000[","520-220-415-000","4","1","2","False","False","520","415","000","<START>","520-220-415","True"
"517.2","H-1722","Harappa","Inter-Riverine","E-","-","-","TAG","2","Poor","N","R/L","??","2+?","]000-220[","000-220","2","1","2","False","True","000","<END>","<END>","<START>","000-220-<END>","True"
"538.1","H-2343","Harappa","Inter-Riverine","--","Clay","-","POT:T:g","1","Poor","N","R/L","??","4+?","]220-032-176-000+","220-032-176-000","4","0","1","True","False","<START>","032","176","<START>","<START>-220-032","True"
"553.2","-","Harappa","Inter-Riverine","--","Faience","-","TAB:B","2","Poor","Y","NR","ZN","1","+220+","220","1","0","1","True","True","<START>","<END>","<END>","<START>","<START>-220-<END>","False"
"568.1","H-1777","Harappa","Inter-Riverine","ETTrench 9","Faience","cylindrical","TAB:B","2","Poor","?","-","UC","1+?","]220+","220","1","0","1","True","True","<START>","<END>","<END>","<START>","<START>-220-<END>","True"
"576.1","H-1685","Harappa","Inter-Riverine","--","-","square","SEAL:S","1","Poor","N","R/L","??","7","+090-740-220-000-000-000-000+","090-740-220-000-000-000-000","7","2","3","False","False","740","000","000","090","740-220-000","False"
"586.1","H-2194","Harappa","Inter-Riverine","ETrench 10W/11","Steatite","triangular","TAB:I","2","Poor","?","R/L","UC","3+?","+590-032-220[","590-032-220","3","2","3","False","True","032","<END>","<END>","590","032-220-<END>","True"
"589.1","H-2128","Harappa","Inter-Riverine","ETrench 10W/11","Steatite","rectangular","TAB:I","2","Good","Y","R/L","SC","4","+455-590-142-220+","455-590-142-220","4","3","4","False","True","142","<END>","<END>","590","142-220-<END>","False"
"595.1","H-1892","Harappa","Inter-Riverine","--","Faience","rectangular","TAB:B","2","Poor","N","R/L","??","3","+220-000-700+","220-000-700","3","0","1","True","False","<START>","000","700","<START>","<START>-220-000","False"
"632.1","H-2193","Harappa","Inter-Riverine","ETrench 10W/11","Steatite","triangular","TAB:I","2","Poor","Y","R/L","SC","3","+590-032-220+","590-032-220","3","2","3","False","True","032","<END>","<END>","590","032-220-<END>","False"
"653.1","H-1813","Harappa","Inter-Riverine","ETrench 10W/11","Faience","rectangular","TAB:B","2","Fair","Y","R/L","MT","6","+400-525-550-033-705-220+","400-525-550-033-705-220","6","5","6","False","True","705","<END>","<END>","033","705-220-<END>","False"
"673.2","H-2147","Harappa","Inter-Riverine","ETrench 10W/11","Steatite","rectangular","TAB:I","2","Poor","?","-","UC","2+?","]220-415+","220-415","2","0","1","True","False","<START>","415","<END>","<START>","<START>-220-415","True"
"707.1","H-2336","Harappa","Inter-Riverine","--","Clay","-","POT:T:g","1","Poor","?","R/L","UC","4+?","+740-463-495-220[","740-463-495-220","4","3","4","False","True","495","<END>","<END>","463","495-220-<END>","True"
"715.1","H-1734","Harappa","Inter-Riverine","ETrench 10W/11","Clay","-","POT:T:s","1","Poor","Y","R/L","SC","3","+016-220-382+","016-220-382","3","1","2","False","False","016","382","<END>","<START>","016-220-382","False"
"729.1","H-2010","Harappa","Inter-Riverine","FTrench 37","Faience","oval","TAB:B","2","Fair","Y","R/L","MT","4","+740-176-220-235+","740-176-220-235","4","2","3","False","False","176","235","<END>","740","176-220-235","False"
"739.1","H-1687","Harappa","Inter-Riverine","FTrench 37","Steatite","square","SEAL:S","1","Poor","?","R/L","UC","2+?","+520-220[","520-220","2","1","2","False","True","520","<END>","<END>","<START>","520-220-<END>","True"
"741.1","H-1690","Harappa","Inter-Riverine","FTrench 37","Steatite","square","SEAL:S","1","Poor","N","R/L","??","5+?","]000-741-615-440-220+","000-741-615-440-220","5","4","5","False","True","440","<END>","<END>","615","440-220-<END>","True"
"744.2","H-1993","Harappa","Inter-Riverine","FTrench 37","Clay","rectangular","TAB:B","2","Poor","N","R/L","??","7","+740-000-220-004-002-390-095+","740-000-220-004-002-390-095","7","2","3","False","False","000","004","002","740","000-220-004","False"
"751.2","H-1872","Harappa","Inter-Riverine","FTrench 37","Faience","rectangular","TAB:B","2","Good","Y","R/L","MT","3","+400-236-220+","400-236-220","3","2","3","False","True","236","<END>","<END>","400","236-220-<END>","False"
"770.2","H-2150","Harappa","Inter-Riverine","ETrench 11","Steatite","rectangular","TAB:I","2","Poor","?","R/L","UC","2+?","]220-415+","220-415","2","0","1","True","False","<START>","415","<END>","<START>","<START>-220-415","True"
"795.2","H-2080","Harappa","Inter-Riverine","ETrench 11","Steatite","-","TAB:I","2","Poor","?","-","UC","2+?","]220-760[","220-760","2","0","1","True","False","<START>","760","<END>","<START>","<START>-220-760","True"
"816.1","H-2240","Harappa","Inter-Riverine","ETrench 11","Steatite","rectangular","TAB:I","2","Good","Y","R/L","MT","3","+520-220-415+","520-220-415","3","1","2","False","False","520","415","<END>","<START>","520-220-415","False"
"824.2","H-1775","Harappa","Inter-Riverine","ETrench 11","Faience","rectangular","TAB:B","2","Poor","N","R/L","??","4","+220-000-700-033+","220-000-700-033","4","0","1","True","False","<START>","000","700","<START>","<START>-220-000","False"
"827.2","H-2145","Harappa","Inter-Riverine","ETrench 11","Steatite","rectangular","TAB:I","2","Fair","Y","-","MT","3","+074-220-415+","074-220-415","3","1","2","False","False","074","415","<END>","<START>","074-220-415","False"
"841.1","H-2146","Harappa","Inter-Riverine","ETrench 11","Steatite","rectangular","TAB:I","2","Fair","Y","R/L","MT","3","+520-220-415+","520-220-415","3","1","2","False","False","520","415","<END>","<START>","520-220-415","False"
"848.1","H-2149","Harappa","Inter-Riverine","ETrench 11","Steatite","rectangular","TAB:I","2","Fair","Y","R/L","MT","3","+520-220-415+","520-220-415","3","1","2","False","False","520","415","<END>","<START>","520-220-415","False"
"865.2","H-2152","Harappa","Inter-Riverine","ETrench 11","Steatite","rectangular","TAB:I","2","Poor","?","R/L","UC","2+?","]220-415+","220-415","2","0","1","True","False","<START>","415","<END>","<START>","<START>-220-415","True"
"891.2","H-2195","Harappa","Inter-Riverine","ETrench 11","Steatite","triangular","TAB:I","2","Poor","N","R/L","??","2+?","]000-220+","000-220","2","1","2","False","True","000","<END>","<END>","<START>","000-220-<END>","True"
"902.2","H-2020","Harappa","Inter-Riverine","ETrench 11","Clay","prism","TAB:B","2","Poor","Y","R/L","SC","4","+690-590-032-220+","690-590-032-220","4","3","4","False","True","032","<END>","<END>","590","032-220-<END>","False"
"904.2","H-2019","Harappa","Inter-Riverine","ETrench 11","Clay","prism","TAB:B","2","Good","Y","R/L","SC","4","+690-590-032-220+","690-590-032-220","4","3","4","False","True","032","<END>","<END>","590","032-220-<END>","False"
"913.1","H-1992","Harappa","Inter-Riverine","ETrench 11","Faience","cylindrical","TAB:B","2","Poor","Y","R/L","MT","3","+520-220-415+","520-220-415","3","1","2","False","False","520","415","<END>","<START>","520-220-415","False"
"913.2","H-1992","Harappa","Inter-Riverine","ETrench 11","Faience","cylindrical","TAB:B","2","Poor","Y","R/L","MT","3","+520-220-415+","520-220-415","3","1","2","False","False","520","415","<END>","<START>","520-220-415","False"
"920.1","H-1678","Harappa","Inter-Riverine","FTrench 41","Steatite","square","SEAL:S","1","Good","Y","R/L","MT","5","+520-233-240-220-032+","520-233-240-220-032","5","3","4","False","False","240","032","<END>","233","240-220-032","False"
"925.2","H-1838","Harappa","Inter-Riverine","--","Faience","rectangular","TAB:B","2","Poor","N","R/L","??","4","+220-000-000-000+","220-000-000-000","4","0","1","True","False","<START>","000","000","<START>","<START>-220-000","False"
"927.2","H-1941","Harappa","Inter-Riverine","--","Faience","prism","TAB:B","2","Fair","Y","R/L","MT","3","+400-236-220+","400-236-220","3","2","3","False","True","236","<END>","<END>","400","236-220-<END>","False"
"928.1","H-1837","Harappa","Inter-Riverine","ETrench 11W","Faience","rectangular","TAB:B","2","Poor","N","R/L","??","3+?","+220-000-700[","220-000-700","3","0","1","True","False","<START>","000","700","<START>","<START>-220-000","True"
"937.1","H-2011","Harappa","Inter-Riverine","ETrench 11W","Clay","elliptical","TAB:B","2","Poor","Y","R/L","MT","4","+740-176-220-235+","740-176-220-235","4","2","3","False","False","176","235","<END>","740","176-220-235","False"
"947.2","H-1805","Harappa","Inter-Riverine","FTrench 43","Faience","-","TAB:B","2","Poor","N","-","??","3+?","]705-220-000[","705-220-000","3","1","2","False","False","705","000","<END>","<START>","705-220-000","True"
"984.1","-","Harappa","Inter-Riverine","ABTrench 39N","Clay","-","POT:T:g","1","Poor","Y","NR","ZN","1","+220+","220","1","0","1","True","True","<START>","<END>","<END>","<START>","<START>-220-<END>","False"
"1017.1","H-1737","Harappa","Inter-Riverine","FTrench 43","Clay","rectangular","POT:T:s","1","Poor","Y","R/L","ZN","2","+220-033+","220-033","2","0","1","True","False","<START>","033","<END>","<START>","<START>-220-033","False"
"1019.2","H-2012","Harappa","Inter-Riverine","FTrench 43","Clay","-","TAB:B","2","Poor","?","R/L","UC","2+?","]235-220+","235-220","2","1","2","False","True","235","<END>","<END>","<START>","235-220-<END>","True"
"1020.1","H-1657","Harappa","Inter-Riverine","FTrench 43","Steatite","square","SEAL:S","1","Good","Y","R/L","LP","13","+740-405-590-032-900-003-806-235-220-032-002-690-921+","740-405-590-032-900-003-806-235-220-032-002-690-921","13","8","9","False","False","235","032","002","806","235-220-032","False"
"1025.2","H-2178","Harappa","Inter-Riverine","FTrench 43","Steatite","-","TAB:I","2","Poor","?","R/L","UC","2+?","]220-415+","220-415","2","0","1","True","False","<START>","415","<END>","<START>","<START>-220-415","True"
"1029.1","H-1738","Harappa","Inter-Riverine","FTrench 43","Clay","-","POT:T:s","1","Poor","?","-","UC","1+?","+220[","220","1","0","1","True","True","<START>","<END>","<END>","<START>","<START>-220-<END>","True"
"1032.1","H-1736","Harappa","Inter-Riverine","FTrench 43","Clay","rectangular","POT:T:s","1","Poor","Y","R/L","ZN","2","+220-033+","220-033","2","0","1","True","False","<START>","033","<END>","<START>","<START>-220-033","False"
"1065.1","H-4","Harappa","Inter-Riverine","F-","Steatite","square","SEAL:S","1","Fine","Y","R/L","SC","3","+220-063-051+","220-063-051","3","0","1","True","False","<START>","063","051","<START>","<START>-220-063","False"
"1070.1","H-9","Harappa","Inter-Riverine","FTrench I","Steatite","square","SEAL:S","1","Good","Y","R/L","ZN","2","+220-017+","220-017","2","0","1","True","False","<START>","017","<END>","<START>","<START>-220-017","False"
"1073.1","H-12","Harappa","Inter-Riverine","FTrench I","Steatite","square","SEAL:S","1","Good","Y","R/L","LP","10","+740-690-435-255-803-220-240-235-002-817+","740-690-435-255-803-220-240-235-002-817","10","5","6","False","False","803","240","235","255","803-220-240","False"
"1078.1","H-18","Harappa","Inter-Riverine","FTrench IV+V","Steatite","square","SEAL:S","1","Poor","N","R/L","??","5+?","]000-220-032-002-820+","000-220-032-002-820","5","1","2","False","False","000","032","002","<START>","000-220-032","True"
"1080.1","H-20","Harappa","Inter-Riverine","FTrench III","Steatite","square","SEAL:S","1","Fine","Y","R/L","LP","10","+740-176-690-435-255-220-032-806-060-550+","740-176-690-435-255-220-032-806-060-550","10","5","6","False","False","255","032","806","435","255-220-032","False"
"1094.1","H-35","Harappa","Inter-Riverine","--","-","square","SEAL:S","1","Poor","N","R/L","??","5+?","+679-220-240-803-000[","679-220-240-803-000","5","1","2","False","False","679","240","803","<START>","679-220-240","True"
"1095.1","H-36","Harappa","Inter-Riverine","J-","Steatite","square","SEAL:S","1","Good","Y","R/L","SP","5","+740-798-220-742-146+","740-798-220-742-146","5","2","3","False","False","798","742","146","740","798-220-742","False"
"1127.1","H-68","Harappa","Inter-Riverine","FTrench IV+V","Steatite","square","SEAL:S","1","Fair","Y","R/L","LP","7","+090-740-220-003-002-390-072+","090-740-220-003-002-390-072","7","2","3","False","False","740","003","002","090","740-220-003","False"
"1139.1","H-82","Harappa","Inter-Riverine","FTrench I","Steatite","square","SEAL:S","1","Poor","Y","R/L","IM","6","+390-017-002-220-455-741+","390-017-002-220-455-741","6","3","4","False","False","002","455","741","017","002-220-455","False"
"1148.1","H-92","Harappa","Inter-Riverine","FTrench I","Steatite","square","SEAL:S","1","Fair","Y","R/L","LP","7","+156-176-518-220-416-002-615+","156-176-518-220-416-002-615","7","3","4","False","False","518","416","002","176","518-220-416","False"
"1153.1","H-98","Harappa","Inter-Riverine","F-","Steatite","square","SEAL:S","1","Good","Y","R/L","2L","5","+861-920/520-220-016+","861-920-520-220-016","5","3","4","False","False","520","016","<END>","920","520-220-016","False"
"1159.1","H-1007","Harappa","Inter-Riverine","--","Clay","-","POT:T:p","1","Poor","N","-","??","2+?","+220-000[","220-000","2","0","1","True","False","<START>","000","<END>","<START>","<START>-220-000","True"
"1169.1","H-103","Harappa","Inter-Riverine","AB-","Steatite","square","SEAL:S","1","Fair","Y","R/L","3L","10","+159-097/520-033-705/740-717-220-415-806+","159-097-520-033-705-740-717-220-415-806","10","7","8","False","False","717","415","806","740","717-220-415","False"
"1170.1","H-129","Harappa","Inter-Riverine","F-","Steatite","cuboid-convex","SEAL:R","1","Good","Y","R/L","LP","10","+409-061-740-235-220-031-002-861-244-165+","409-061-740-235-220-031-002-861-244-165","10","4","5","False","False","235","031","002","740","235-220-031","False"
"1174.1","H-133","Harappa","Inter-Riverine","FTrench IV+V","Steatite","cuboid-convex","SEAL:R","1","Fair","Y","R/L","LP","7","+740-554-220-415-798-060-692+","740-554-220-415-798-060-692","7","2","3","False","False","554","415","798","740","554-220-415","False"
"1175.1","H-134","Harappa","Inter-Riverine","F-","Steatite","cuboid-convex","SEAL:R","1","Good","Y","R/L","LP","7","+740-405-590-220-003-002-861+","740-405-590-220-003-002-861","7","3","4","False","False","590","003","002","405","590-220-003","False"
"1190.1","H-149","Harappa","Inter-Riverine","F-","Steatite","cuboid-convex","SEAL:R","1","Poor","Y","R/L","LP","9","+405-061-033-706-794-630-220-002-820+","405-061-033-706-794-630-220-002-820","9","6","7","False","False","630","002","820","794","630-220-002","False"
"1216.1","H-183","Harappa","Inter-Riverine","FTrench I","-","cylindrical","TAB:B","1","Good","Y","R/L","SC","5","+400-202-892-220-920+","400-202-892-220-920","5","3","4","False","False","892","920","<END>","202","892-220-920","False"
"1217.1","H-184","Harappa","Inter-Riverine","FGranery","Steatite","cylindrical","TAB:B","1","Poor","Y","R/L","SC","5","+400-202-892-220-920+","400-202-892-220-920","5","3","4","False","False","892","920","<END>","202","892-220-920","False"
"1234.1","H-203","Harappa","Inter-Riverine","F-","Faience","rectangular","TAB:B","1","Good","Y","R/L","MT","5","+400-740-220-415-798+","400-740-220-415-798","5","2","3","False","False","740","415","798","400","740-220-415","False"
"1258.1","H-231","Harappa","Inter-Riverine","FTrench VI","Faience","elliptical","TAB:B","2","Fair","Y","R/L","SP","5","+520-220-240-002-820+","520-220-240-002-820","5","1","2","False","False","520","240","002","<START>","520-220-240","False"
"1293.1","H-268","Harappa","Inter-Riverine","AB-","Steatite","square","SEAL:S","1","Poor","Y","R/L","LP","10","+740-585-017-033-706-803-002-220-455-920+","740-585-017-033-706-803-002-220-455-920","10","7","8","False","False","002","455","920","803","002-220-455","False"
"1294.1","H-270","Harappa","Inter-Riverine","AB-","Steatite","square","SEAL:S","1","Fair","Y","R/L","LP","9","+740-482-055-220-415-798-803-742-617+","740-482-055-220-415-798-803-742-617","9","3","4","False","False","055","415","798","482","055-220-415","False"
"1300.1","H-278","Harappa","Inter-Riverine","F-","Steatite","cylindrical","TAB:B","1","Fair","Y","R/L","LT","11","+740-407-590-690-436-255-920-318-220-415-803+","740-407-590-690-436-255-920-318-220-415-803","11","8","9","False","False","318","415","803","920","318-220-415","False"
"1301.1","H-279","Harappa","Inter-Riverine","FGranery","Clay","cylindrical","TAB:B","1","Poor","Y","R/L","LT","11","+740-407-590-690-436-255-920-318-220-415-803+","740-407-590-690-436-255-920-318-220-415-803","11","8","9","False","False","318","415","803","920","318-220-415","False"
