checked_date,object,row_id,site,type,shape,material,head,x,tail_after_x,observed_continuation,x000_expected,x000_prediction_pass,x000_gloss_skeleton,text
2026-05-31,M-279,2800.1,Mohenjo-daro,SEAL:S,square,Steatite,700,000,<END>,closed,closed_zero_complement,true,FRAME(002) HEAD(700) ZERO_COMPLEMENT(000),+520-220-415-002-700-000+
2026-05-31,M-451,2936.1,Mohenjo-daro,TAB:B,rectangular,-,520,000,000 000 906 388,multi:000-000-906-388,null_chain_or_zero_repeat,true,FRAME(002) HEAD(520) ZERO_CHAIN(000) TAIL(000 000 906 388),+000-002-520-000-000-000-906-388+
2026-05-31,M-692,3123.1,Mohenjo-daro,SEAL:S,square,Steatite,817,000,<END>,closed,closed_zero_complement,true,FRAME(002) HEAD(817) ZERO_COMPLEMENT(000),+000-004-002-817-000[
2026-05-31,M-1027,3409.1,Mohenjo-daro,SEAL:S,square,-,435,000,<END>,closed,closed_zero_complement,true,FRAME(002) HEAD(435) ZERO_COMPLEMENT(000),+740-176-220-415-002-435-000[
2026-05-31,M-1045,3422.1,Mohenjo-daro,SEAL:S,square,Steatite,820,000,<END>,closed,closed_zero_complement,true,FRAME(002) HEAD(820) ZERO_COMPLEMENT(000),+740-100-415-070-032-002-820-000+
2026-05-31,TY-106,3886.1,Tepe Yahya,POT:T:s,-,Clay,095,000,<END>,closed,closed_zero_complement,true,FRAME(002) HEAD(095) ZERO_COMPLEMENT(000),+002-095-000[
2026-05-31,M-1995,4018.1,Mohenjo-daro,SEAL,-,metal,000,000,<END>,closed,closed_zero_complement,true,FRAME(002) HEAD(000) ZERO_COMPLEMENT(000),]000-220-832-002-000-000[
2026-05-31,-:4148.1,4148.1,Rakhigarhi,SEAL:S,-,-,267,000,033,one:033,head267_033_exception,true,FRAME(002) HEAD(267) ZERO_COMPLEMENT(000) EXCEPTION(033),+740-690-435-255-002-267-000-033+
2026-05-31,-:4344.1,4344.1,Dholavira,TAG,-,Clay,031,000,<END>,closed,closed_zero_complement,true,FRAME(002) HEAD(031) ZERO_COMPLEMENT(000),]240-002-031-000[
2026-05-31,K-146,5274.1,Kalibangan,SEAL:S,-,-,296,000,<END>,closed,closed_zero_complement,true,FRAME(002) HEAD(296) ZERO_COMPLEMENT(000),]460-350-002-296-000[
2026-05-31,K-155,5282.1,Kalibangan,TAG,-,Terracotta,817,000,<END>,closed,closed_zero_complement,true,FRAME(002) HEAD(817) ZERO_COMPLEMENT(000),]002-817-000+
2026-05-31,Ns-66,5367.1,Nausharo,POT:T:g,-,Clay,892,000,002,one:002,frame_reset_exception,true,FRAME(002) HEAD(892) ZERO_COMPLEMENT(000) RESET(002),+033-999-400-090-740-100-000-002-892-000-002+
2026-05-31,Ns-67,5368.1,Nausharo,POT:T:g,-,Clay,000,000,<END>,closed,closed_zero_complement,true,FRAME(002) HEAD(000) ZERO_COMPLEMENT(000),+000-151-390-000-002-000-000[
2026-05-31,-:5541.1,5541.1,Shikarpur,POT:T:p,-,Clay,861,000,<END>,closed,closed_zero_complement,true,FRAME(002) HEAD(861) ZERO_COMPLEMENT(000),+002-861-000[
