"cisi","type","site","row_count","side_indexes","sequence_signature","context_class","long_mark","long_side_indexes","short_mark_class","short_side_indexes","other_side_texts","raw_ids","excavation_ids","horizontal_mm","vertical_mm","thickness_mm","source_status","validation_need","interpretation_status"
"H-960","TAB:I","Harappa","2","1;2","1:+700-034+|2:+400-740-176+","two_side_short1_long2","+400-740-176+","2","034","1","","1837.1;1837.2","1261543","10.2","7.6","0","T3_lipi_planning_layer_pending_image_or_plate_validation","Confirm physical side relation, side order, sign segmentation, 033/034 contrast, and whether the short mark is a true side mark before any functional test.","no_reading_admissible"
"H-978","TAB:I","Harappa","2","1;2","1:+400-740-176+|2:+700-033+","two_side_long1_short2","+400-740-176+","1","033","2","","1855.1;1855.2","1277","15.2","6.4","0","T3_lipi_planning_layer_pending_image_or_plate_validation","Confirm physical side relation, side order, sign segmentation, 033/034 contrast, and whether the short mark is a true side mark before any functional test.","no_reading_admissible"
"H-979","TAB:I","Harappa","2","1;2","1:+700-033+|2:+400-740-176+","two_side_short1_long2","+400-740-176+","2","033","1","","1856.1;1856.2","3534b","16.5","7","0","T3_lipi_planning_layer_pending_image_or_plate_validation","Confirm physical side relation, side order, sign segmentation, 033/034 contrast, and whether the short mark is a true side mark before any functional test.","no_reading_admissible"
"H-987","TAB:I","Harappa","3","1;2;3","1:+690-365-817+|2:+700-033+|3:+400-740-176+","three_side_extra_long_text","+400-740-176+","3","033","2","1:+690-365-817+","1863.1;1863.2;1863.3","11715586","16.5","6.4","0","T3_lipi_planning_layer_pending_image_or_plate_validation","Confirm physical side relation, side order, sign segmentation, 033/034 contrast, and whether the short mark is a true side mark before any functional test.","no_reading_admissible"
"H-1273","TAB:I","Harappa","2","1;2","1:+400-740-176+|2:+700-034+","two_side_long1_short2","+400-740-176+","1","034","2","","265.1;265.2","2568508","11.4","7.1","0","T3_lipi_planning_layer_pending_image_or_plate_validation","Confirm physical side relation, side order, sign segmentation, 033/034 contrast, and whether the short mark is a true side mark before any functional test.","no_reading_admissible"
"H-1302","TAB:I","Harappa","2","1;2","1:+400-740-176+|2:+700-033+","two_side_long1_short2","+400-740-176+","1","033","2","","4073.1;4073.2","2366","14","6.4","0","T3_lipi_planning_layer_pending_image_or_plate_validation","Confirm physical side relation, side order, sign segmentation, 033/034 contrast, and whether the short mark is a true side mark before any functional test.","no_reading_admissible"
"H-1303","TAB:I","Harappa","2","1;2","1:+400-740-176+|2:+700-033+","two_side_long1_short2","+400-740-176+","1","033","2","","4077.1;4077.2","2357879","13.2","7.6","0","T3_lipi_planning_layer_pending_image_or_plate_validation","Confirm physical side relation, side order, sign segmentation, 033/034 contrast, and whether the short mark is a true side mark before any functional test.","no_reading_admissible"
"H-1304","TAB:I","Harappa","2","1;2","1:+400-740-176+|2:+700-033+","two_side_long1_short2","+400-740-176+","1","033","2","","5470.1;5470.2","2480","14.5","0","0","T3_lipi_planning_layer_pending_image_or_plate_validation","Confirm physical side relation, side order, sign segmentation, 033/034 contrast, and whether the short mark is a true side mark before any functional test.","no_reading_admissible"
"H-1344","TAB:I","Harappa","2","1;2","1:+400-740-176+|2:+700-033+","two_side_long1_short2","+400-740-176+","1","033","2","","4085.1;4085.2","-752","14","8","0","T3_lipi_planning_layer_pending_image_or_plate_validation","Confirm physical side relation, side order, sign segmentation, 033/034 contrast, and whether the short mark is a true side mark before any functional test.","no_reading_admissible"
"H-1345","TAB:I","Harappa","2","1;2","1:+400-740-176+|2:+700-033+","two_side_long1_short2","+400-740-176+","1","033","2","","4086.1;4086.2","3509902","14.5","6.4","0","T3_lipi_planning_layer_pending_image_or_plate_validation","Confirm physical side relation, side order, sign segmentation, 033/034 contrast, and whether the short mark is a true side mark before any functional test.","no_reading_admissible"
"H-1346","TAB:I","Harappa","2","1;2","1:+400-740-176+|2:+700-033+","two_side_long1_short2","+400-740-176+","1","033","2","","4087.1;4087.2","2894900","10.2","6.4","0","T3_lipi_planning_layer_pending_image_or_plate_validation","Confirm physical side relation, side order, sign segmentation, 033/034 contrast, and whether the short mark is a true side mark before any functional test.","no_reading_admissible"
"H-1347","TAB:I","Harappa","2","1;2","1:+400-740-176+|2:+700-033+","two_side_long1_short2","+400-740-176+","1","033","2","","4088.1;4088.2","1262896","0","7.6","0","T3_lipi_planning_layer_pending_image_or_plate_validation","Confirm physical side relation, side order, sign segmentation, 033/034 contrast, and whether the short mark is a true side mark before any functional test.","no_reading_admissible"
