"checked_date","request_priority","anchor_object","requested_object","relationship_to_anchor","lane","local_signature","type","material","shape","sides","excavation_id","depth","dimensions","source_blocker_to_resolve","requested_source_fields","admissibility_decision_rule","accepted_decipherment_claim"
"2026-05-25","P1","H-353","H-352","exact_family","visual_local_033_family_anchor","1:+400-740-176+|2:+700-033+","SEAL:R","Steatite","prism","2","1278575","-13.0 ft","15.2x7.6x0","H-353 exact-signature family comparator; prevents treating copy-family repetition as independent substitution evidence.","CISI 3.1 end-matter row; excavation number; museum or owner; source of photograph; all side labels; all photo/impression labels; side-order basis; image or impression direction; copy/mold/duplicate/family notes; condition and preservation notes; material/shape/dimensions; findspot/period/phase/stratum/depth","Use only after the repeated family notes prove which two-row packets are source-comparable and what C-side policy is being applied.","0"
"2026-05-25","P1","H-353","H-354","exact_family","visual_local_033_family_anchor","1:+400-740-176+|2:+700-033+","SEAL:R","Steatite","prism","2","1278","-13.0 ft","15.2x7.6x0","H-353 exact-signature family comparator; prevents treating copy-family repetition as independent substitution evidence.","CISI 3.1 end-matter row; excavation number; museum or owner; source of photograph; all side labels; all photo/impression labels; side-order basis; image or impression direction; copy/mold/duplicate/family notes; condition and preservation notes; material/shape/dimensions; findspot/period/phase/stratum/depth","Use only after the repeated family notes prove which two-row packets are source-comparable and what C-side policy is being applied.","0"
"2026-05-25","P1","H-353","H-357","exact_family","visual_local_033_family_anchor","1:+400-740-176+|2:+700-033+","TAB:I","Steatite","prism","2","2917","-12.0 ft","11.9x8.1x0","H-353 exact-signature family comparator; prevents treating copy-family repetition as independent substitution evidence.","CISI 3.1 end-matter row; excavation number; museum or owner; source of photograph; all side labels; all photo/impression labels; side-order basis; image or impression direction; copy/mold/duplicate/family notes; condition and preservation notes; material/shape/dimensions; findspot/period/phase/stratum/depth","Use only after the repeated family notes prove which two-row packets are source-comparable and what C-side policy is being applied.","0"
"2026-05-25","P1","H-353","H-935","exact_family","visual_local_033_family_anchor","1:+400-740-176+|2:+700-033+","TAB:I","Steatite","rectangular","2","1280509","-13.0 ft","10.2x6.4x0","H-353 exact-signature family comparator; prevents treating copy-family repetition as independent substitution evidence.","CISI 3.1 end-matter row; excavation number; museum or owner; source of photograph; all side labels; all photo/impression labels; side-order basis; image or impression direction; copy/mold/duplicate/family notes; condition and preservation notes; material/shape/dimensions; findspot/period/phase/stratum/depth","Use only after the repeated family notes prove which two-row packets are source-comparable and what C-side policy is being applied.","0"
"2026-05-25","P1","H-353","H-978","exact_family","visual_local_033_family_anchor","1:+400-740-176+|2:+700-033+","TAB:I","Steatite","prism","2","1277","-13.0 ft","15.2x6.4x0","H-353 exact-signature family comparator; prevents treating copy-family repetition as independent substitution evidence.","CISI 3.1 end-matter row; excavation number; museum or owner; source of photograph; all side labels; all photo/impression labels; side-order basis; image or impression direction; copy/mold/duplicate/family notes; condition and preservation notes; material/shape/dimensions; findspot/period/phase/stratum/depth","Use only after the repeated family notes prove which two-row packets are source-comparable and what C-side policy is being applied.","0"
"2026-05-25","P1","H-353","H-1302","exact_family","visual_local_033_family_anchor","1:+400-740-176+|2:+700-033+","TAB:I","Steatite","oval","2","2366","-15.25 ft","14x6.4x0","H-353 exact-signature family comparator; prevents treating copy-family repetition as independent substitution evidence.","CISI 3.1 end-matter row; excavation number; museum or owner; source of photograph; all side labels; all photo/impression labels; side-order basis; image or impression direction; copy/mold/duplicate/family notes; condition and preservation notes; material/shape/dimensions; findspot/period/phase/stratum/depth","Use only after the repeated family notes prove which two-row packets are source-comparable and what C-side policy is being applied.","0"
"2026-05-25","P1","H-353","H-1303","exact_family","visual_local_033_family_anchor","1:+400-740-176+|2:+700-033+","TAB:I","Steatite","oval","2","2357879","-15.25 ft","13.2x7.6x0","H-353 exact-signature family comparator; prevents treating copy-family repetition as independent substitution evidence.","CISI 3.1 end-matter row; excavation number; museum or owner; source of photograph; all side labels; all photo/impression labels; side-order basis; image or impression direction; copy/mold/duplicate/family notes; condition and preservation notes; material/shape/dimensions; findspot/period/phase/stratum/depth","Use only after the repeated family notes prove which two-row packets are source-comparable and what C-side policy is being applied.","0"
"2026-05-25","P1","H-353","H-1304","exact_family","visual_local_033_family_anchor","1:+400-740-176+|2:+700-033+","TAB:I","-","oval","2","2480","-15.25 ft","14.5x0x0","H-353 exact-signature family comparator; prevents treating copy-family repetition as independent substitution evidence.","CISI 3.1 end-matter row; excavation number; museum or owner; source of photograph; all side labels; all photo/impression labels; side-order basis; image or impression direction; copy/mold/duplicate/family notes; condition and preservation notes; material/shape/dimensions; findspot/period/phase/stratum/depth","Use only after the repeated family notes prove which two-row packets are source-comparable and what C-side policy is being applied.","0"
"2026-05-25","P1","H-353","H-1344","exact_family","visual_local_033_family_anchor","1:+400-740-176+|2:+700-033+","TAB:I","-","prism","2","-752","- -","14x8x0","H-353 exact-signature family comparator; prevents treating copy-family repetition as independent substitution evidence.","CISI 3.1 end-matter row; excavation number; museum or owner; source of photograph; all side labels; all photo/impression labels; side-order basis; image or impression direction; copy/mold/duplicate/family notes; condition and preservation notes; material/shape/dimensions; findspot/period/phase/stratum/depth","Use only after the repeated family notes prove which two-row packets are source-comparable and what C-side policy is being applied.","0"
"2026-05-25","P1","H-353","H-1345","exact_family","visual_local_033_family_anchor","1:+400-740-176+|2:+700-033+","TAB:I","Steatite","prism","2","3509902","-13.5 ft","14.5x6.4x0","H-353 exact-signature family comparator; prevents treating copy-family repetition as independent substitution evidence.","CISI 3.1 end-matter row; excavation number; museum or owner; source of photograph; all side labels; all photo/impression labels; side-order basis; image or impression direction; copy/mold/duplicate/family notes; condition and preservation notes; material/shape/dimensions; findspot/period/phase/stratum/depth","Use only after the repeated family notes prove which two-row packets are source-comparable and what C-side policy is being applied.","0"
"2026-05-25","P1","H-353","H-1346","exact_family","visual_local_033_family_anchor","1:+400-740-176+|2:+700-033+","TAB:I","Steatite","prism","2","2894900","-12.25 ft","10.2x6.4x0","H-353 exact-signature family comparator; prevents treating copy-family repetition as independent substitution evidence.","CISI 3.1 end-matter row; excavation number; museum or owner; source of photograph; all side labels; all photo/impression labels; side-order basis; image or impression direction; copy/mold/duplicate/family notes; condition and preservation notes; material/shape/dimensions; findspot/period/phase/stratum/depth","Use only after the repeated family notes prove which two-row packets are source-comparable and what C-side policy is being applied.","0"
"2026-05-25","P1","H-353","H-1347","exact_family","visual_local_033_family_anchor","1:+400-740-176+|2:+700-033+","TAB:I","Steatite","prism","2","1262896","- -","0x7.6x0","H-353 exact-signature family comparator; prevents treating copy-family repetition as independent substitution evidence.","CISI 3.1 end-matter row; excavation number; museum or owner; source of photograph; all side labels; all photo/impression labels; side-order basis; image or impression direction; copy/mold/duplicate/family notes; condition and preservation notes; material/shape/dimensions; findspot/period/phase/stratum/depth","Use only after the repeated family notes prove which two-row packets are source-comparable and what C-side policy is being applied.","0"
"2026-05-25","P1","H-789","H-789","core_target","independent_033_control","1:+400-520-220-016+|2:+033-700+","TAB:B","Faience","rectangular","2","12549604","-14.75 ft","16.5x8.9x0","clean control; still lacks accepted subtype/direction/side-order basis","CISI 3.1 end-matter row; excavation number; museum or owner; source of photograph; all side labels; all photo/impression labels; side-order basis; image or impression direction; copy/mold/duplicate/family notes; condition and preservation notes; material/shape/dimensions; findspot/period/phase/stratum/depth","Use only as calibration unless source notes independently establish side-order and direction basis.","0"
"2026-05-25","P1","H-925","H-326","exact_family","strict_local_033_family_anchor","1:+740-840-013+|2:+700-033+","TAB:I","Steatite","notched oval","2","1171564","-12.75 ft","15.2x10.2x0","H-925 exact-signature family comparator; prevents treating copy-family repetition as independent substitution evidence.","CISI 3.1 end-matter row; excavation number; museum or owner; source of photograph; all side labels; all photo/impression labels; side-order basis; image or impression direction; copy/mold/duplicate/family notes; condition and preservation notes; material/shape/dimensions; findspot/period/phase/stratum/depth","Use only after H-326/H-924/H-925 family notes prove whether the shared 033 side is source-comparable.","0"
"2026-05-25","P1","H-925","H-924","exact_family","strict_local_033_family_anchor","1:+740-840-013+|2:+700-033+","TAB:I","-","rectangular","2","3286","-10 ft","14x8x0","H-925 exact-signature family comparator; prevents treating copy-family repetition as independent substitution evidence.","CISI 3.1 end-matter row; excavation number; museum or owner; source of photograph; all side labels; all photo/impression labels; side-order basis; image or impression direction; copy/mold/duplicate/family notes; condition and preservation notes; material/shape/dimensions; findspot/period/phase/stratum/depth","Use only after H-326/H-924/H-925 family notes prove whether the shared 033 side is source-comparable.","0"
"2026-05-25","P1","H-930","H-930","core_target","strict_local_032_control","1:+740-900-004+|2:+700-032+","TAB:I","Steatite","rectangular","2","J30520","-2.0 ft","14x8.4x0","clean control; local-neighborhood pressure remains non-validating","CISI 3.1 end-matter row; excavation number; museum or owner; source of photograph; all side labels; all photo/impression labels; side-order basis; image or impression direction; copy/mold/duplicate/family notes; condition and preservation notes; material/shape/dimensions; findspot/period/phase/stratum/depth","Use only as calibration unless source notes establish side-order and direction basis.","0"
"2026-05-25","P2","H-771","H-766","local_neighborhood","independent_034","1:+065-826+|2:+700-032+","TAB:B","Faience","rectangular","2","H715359","- -","16.5x11.4x0","H-771 H-number neighborhood comparator with token overlap 2; tests catalog-adjacency and local-batch contamination.","CISI 3.1 end-matter row; excavation number; museum or owner; source of photograph; all side labels; all photo/impression labels; side-order basis; image or impression direction; copy/mold/duplicate/family notes; condition and preservation notes; material/shape/dimensions; findspot/period/phase/stratum/depth","Use only after one source-side node is linked to the local companion side and the B short side is separated from photo witnesses.","0"
"2026-05-25","P2","H-771","H-768","local_neighborhood","independent_034","1:+400-740-033-705-233-235-000+|2:+700-032+","TAB:B","Faience","rectangular","2","10997358","-3.5 ft","21.6x10.2x0","H-771 H-number neighborhood comparator with token overlap 2; tests catalog-adjacency and local-batch contamination.","CISI 3.1 end-matter row; excavation number; museum or owner; source of photograph; all side labels; all photo/impression labels; side-order basis; image or impression direction; copy/mold/duplicate/family notes; condition and preservation notes; material/shape/dimensions; findspot/period/phase/stratum/depth","Use only after one source-side node is linked to the local companion side and the B short side is separated from photo witnesses.","0"
"2026-05-25","P2","H-771","H-770","local_neighborhood","independent_034","1:+151-840-416+|2:+700-033+","TAB:B","Faience","rectangular","2","2177353","-10.25 ft","19.1x10.2x0","H-771 H-number neighborhood comparator with token overlap 2; tests catalog-adjacency and local-batch contamination.","CISI 3.1 end-matter row; excavation number; museum or owner; source of photograph; all side labels; all photo/impression labels; side-order basis; image or impression direction; copy/mold/duplicate/family notes; condition and preservation notes; material/shape/dimensions; findspot/period/phase/stratum/depth","Use only after one source-side node is linked to the local companion side and the B short side is separated from photo witnesses.","0"
"2026-05-25","P2","H-771","H-776","local_neighborhood","independent_034","1:+740-803-741-031-032-716+|2:+033-700+","TAB:B","Faience","rectangular","2","J463350","-4.42 ft","20.3x9.4x0","H-771 H-number neighborhood comparator with token overlap 2; tests catalog-adjacency and local-batch contamination.","CISI 3.1 end-matter row; excavation number; museum or owner; source of photograph; all side labels; all photo/impression labels; side-order basis; image or impression direction; copy/mold/duplicate/family notes; condition and preservation notes; material/shape/dimensions; findspot/period/phase/stratum/depth","Use only after one source-side node is linked to the local companion side and the B short side is separated from photo witnesses.","0"
"2026-05-25","P2","H-893","H-891","local_neighborhood","strict_local_034","1:+700-033+|2:+400-740-590-017-000+","TAB:I","Steatite","rectangular","2","9057","-9.0 ft","16.5x7.6x0","H-893 H-number neighborhood comparator with token overlap 3; tests catalog-adjacency and local-batch contamination.","CISI 3.1 end-matter row; excavation number; museum or owner; source of photograph; all side labels; all photo/impression labels; side-order basis; image or impression direction; copy/mold/duplicate/family notes; condition and preservation notes; material/shape/dimensions; findspot/period/phase/stratum/depth","Use only after base H-893 and H-893 (1) are classified as same object, copy, sub-entry, or separate artifact.","0"
"2026-05-25","P2","H-893","H-892","local_neighborhood","strict_local_034","1:+400-740-336-176+|2:+034-700+","TAB:I","Steatite","rectangular","2","995451","-13.0 ft","17.8x10.2x0","H-893 H-number neighborhood comparator with token overlap 4; tests catalog-adjacency and local-batch contamination.","CISI 3.1 end-matter row; excavation number; museum or owner; source of photograph; all side labels; all photo/impression labels; side-order basis; image or impression direction; copy/mold/duplicate/family notes; condition and preservation notes; material/shape/dimensions; findspot/period/phase/stratum/depth","Use only after base H-893 and H-893 (1) are classified as same object, copy, sub-entry, or separate artifact.","0"
"2026-05-25","P2","H-893","H-894","local_neighborhood","strict_local_034","1:+400-740-636-240+|2:+700-125+","TAB:I","Steatite","rectangular","2","1419487","-7.5 ft","16.5x7.6x0","H-893 H-number neighborhood comparator with token overlap 3; tests catalog-adjacency and local-batch contamination.","CISI 3.1 end-matter row; excavation number; museum or owner; source of photograph; all side labels; all photo/impression labels; side-order basis; image or impression direction; copy/mold/duplicate/family notes; condition and preservation notes; material/shape/dimensions; findspot/period/phase/stratum/depth","Use only after base H-893 and H-893 (1) are classified as same object, copy, sub-entry, or separate artifact.","0"
"2026-05-25","P2","H-893","H-895","local_neighborhood","strict_local_034","1:]700-390+|2:+400-740-630-000[","TAB:I","-","rectangular","2","-","- -","0x0x0","H-893 H-number neighborhood comparator with token overlap 2; tests catalog-adjacency and local-batch contamination.","CISI 3.1 end-matter row; excavation number; museum or owner; source of photograph; all side labels; all photo/impression labels; side-order basis; image or impression direction; copy/mold/duplicate/family notes; condition and preservation notes; material/shape/dimensions; findspot/period/phase/stratum/depth","Use only after base H-893 and H-893 (1) are classified as same object, copy, sub-entry, or separate artifact.","0"
"2026-05-25","P2","H-983","H-978","local_neighborhood","visual_local_034","1:+400-740-176+|2:+700-033+","TAB:I","Steatite","prism","2","1277","-13.0 ft","15.2x6.4x0","H-983 H-number neighborhood comparator with token overlap 3; tests catalog-adjacency and local-batch contamination.","CISI 3.1 end-matter row; excavation number; museum or owner; source of photograph; all side labels; all photo/impression labels; side-order basis; image or impression direction; copy/mold/duplicate/family notes; condition and preservation notes; material/shape/dimensions; findspot/period/phase/stratum/depth","Use only after C side is classified as inscriptional, iconographic, blank/edge, or intentionally excluded by source policy.","0"
"2026-05-25","P2","H-983","H-979","local_neighborhood","visual_local_034","1:+700-033+|2:+400-740-176+","TAB:I","-","prism","2","3534b","- -","16.5x7x0","H-983 H-number neighborhood comparator with token overlap 3; tests catalog-adjacency and local-batch contamination.","CISI 3.1 end-matter row; excavation number; museum or owner; source of photograph; all side labels; all photo/impression labels; side-order basis; image or impression direction; copy/mold/duplicate/family notes; condition and preservation notes; material/shape/dimensions; findspot/period/phase/stratum/depth","Use only after C side is classified as inscriptional, iconographic, blank/edge, or intentionally excluded by source policy.","0"
"2026-05-25","P2","H-983","H-980","local_neighborhood","visual_local_034","1:+000-740+|2:+700-000+","TAB:I","-","prism","2","-","- -","15.5x0x0","H-983 H-number neighborhood comparator with token overlap 2; tests catalog-adjacency and local-batch contamination.","CISI 3.1 end-matter row; excavation number; museum or owner; source of photograph; all side labels; all photo/impression labels; side-order basis; image or impression direction; copy/mold/duplicate/family notes; condition and preservation notes; material/shape/dimensions; findspot/period/phase/stratum/depth","Use only after C side is classified as inscriptional, iconographic, blank/edge, or intentionally excluded by source policy.","0"
"2026-05-25","P2","H-983","H-982","local_neighborhood","visual_local_034","1:+740-388-031+|2:+700-034+","SEAL:R","Steatite","prism","2","2999574","-11.58 ft","14x6.4x0","H-983 H-number neighborhood comparator with token overlap 3; tests catalog-adjacency and local-batch contamination.","CISI 3.1 end-matter row; excavation number; museum or owner; source of photograph; all side labels; all photo/impression labels; side-order basis; image or impression direction; copy/mold/duplicate/family notes; condition and preservation notes; material/shape/dimensions; findspot/period/phase/stratum/depth","Use only after C side is classified as inscriptional, iconographic, blank/edge, or intentionally excluded by source policy.","0"
"2026-05-25","P2","H-983","H-984","local_neighborhood","visual_local_034","1:+400-740-637[|2:+700-000+","TAB:I","Steatite","prism","2","1281","-13 ft","0x3.8x0","H-983 H-number neighborhood comparator with token overlap 3; tests catalog-adjacency and local-batch contamination.","CISI 3.1 end-matter row; excavation number; museum or owner; source of photograph; all side labels; all photo/impression labels; side-order basis; image or impression direction; copy/mold/duplicate/family notes; condition and preservation notes; material/shape/dimensions; findspot/period/phase/stratum/depth","Use only after C side is classified as inscriptional, iconographic, blank/edge, or intentionally excluded by source policy.","0"
"2026-05-25","P2","H-983","H-985","local_neighborhood","visual_local_034","1:+700-034+|2:+156-435-255+","TAB:I","-","prism","2","2528","-17.83 ft","15.2x6.4x0","H-983 H-number neighborhood comparator with token overlap 2; tests catalog-adjacency and local-batch contamination.","CISI 3.1 end-matter row; excavation number; museum or owner; source of photograph; all side labels; all photo/impression labels; side-order basis; image or impression direction; copy/mold/duplicate/family notes; condition and preservation notes; material/shape/dimensions; findspot/period/phase/stratum/depth","Use only after C side is classified as inscriptional, iconographic, blank/edge, or intentionally excluded by source policy.","0"
"2026-05-25","P2","H-983","H-987","local_neighborhood","visual_local_034","1:+690-365-817+|2:+700-033+|3:+400-740-176+","TAB:I","Steatite","prism","3","11715586","-13.25 ft","16.5x6.4x0","H-983 H-number neighborhood comparator with token overlap 3; tests catalog-adjacency and local-batch contamination.","CISI 3.1 end-matter row; excavation number; museum or owner; source of photograph; all side labels; all photo/impression labels; side-order basis; image or impression direction; copy/mold/duplicate/family notes; condition and preservation notes; material/shape/dimensions; findspot/period/phase/stratum/depth","Use only after C side is classified as inscriptional, iconographic, blank/edge, or intentionally excluded by source policy.","0"
"2026-05-25","P2","H-983","H-988","local_neighborhood","visual_local_034","1:+824-892-413+|2:+400-740-636-240-031-032-171+","TAB:I","Steatite","cuboid","2","11854573","-14.0 ft","22.9x7.6x0","H-983 H-number neighborhood comparator with token overlap 3; tests catalog-adjacency and local-batch contamination.","CISI 3.1 end-matter row; excavation number; museum or owner; source of photograph; all side labels; all photo/impression labels; side-order basis; image or impression direction; copy/mold/duplicate/family notes; condition and preservation notes; material/shape/dimensions; findspot/period/phase/stratum/depth","Use only after C side is classified as inscriptional, iconographic, blank/edge, or intentionally excluded by source policy.","0"
"2026-05-25","P2","H-2211","H-2206","local_neighborhood","visual_local_032","1:+700-034+|2:+740-032-025+","TAB:I","Steatite","prism","2","H97-3334Figure 15.05","- -","0x7x0","H-2211 H-number neighborhood comparator with token overlap 2; tests catalog-adjacency and local-batch contamination.","CISI 3.1 end-matter row; excavation number; museum or owner; source of photograph; all side labels; all photo/impression labels; side-order basis; image or impression direction; copy/mold/duplicate/family notes; condition and preservation notes; material/shape/dimensions; findspot/period/phase/stratum/depth","Use only after source-normalized side labels distinguish the two 032-bearing sides and their direction basis.","0"
"2026-05-25","P2","H-2211","H-2207","local_neighborhood","visual_local_032","1:+700-031-033+|2:+400-740-032-027+","TAB:I","Steatite","prism","2","H95-2415Figure 27.05","- -","15x7.5x0","H-2211 H-number neighborhood comparator with token overlap 2; tests catalog-adjacency and local-batch contamination.","CISI 3.1 end-matter row; excavation number; museum or owner; source of photograph; all side labels; all photo/impression labels; side-order basis; image or impression direction; copy/mold/duplicate/family notes; condition and preservation notes; material/shape/dimensions; findspot/period/phase/stratum/depth","Use only after source-normalized side labels distinguish the two 032-bearing sides and their direction basis.","0"
"2026-05-25","P2","H-2211","H-2208","local_neighborhood","visual_local_032","1:+034-700+|2:+400-740-032-027+","TAB:I","Steatite","prism","2","H94-2179Figure 27.04","- -","14.5x7.5x0","H-2211 H-number neighborhood comparator with token overlap 2; tests catalog-adjacency and local-batch contamination.","CISI 3.1 end-matter row; excavation number; museum or owner; source of photograph; all side labels; all photo/impression labels; side-order basis; image or impression direction; copy/mold/duplicate/family notes; condition and preservation notes; material/shape/dimensions; findspot/period/phase/stratum/depth","Use only after source-normalized side labels distinguish the two 032-bearing sides and their direction basis.","0"
"2026-05-25","P2","H-2211","H-2209","local_neighborhood","visual_local_032","1:+700-033+|2:+400-740-032-025+","TAB:I","Steatite","prism","2","H95-2423","- -","16x7x0","H-2211 H-number neighborhood comparator with token overlap 2; tests catalog-adjacency and local-batch contamination.","CISI 3.1 end-matter row; excavation number; museum or owner; source of photograph; all side labels; all photo/impression labels; side-order basis; image or impression direction; copy/mold/duplicate/family notes; condition and preservation notes; material/shape/dimensions; findspot/period/phase/stratum/depth","Use only after source-normalized side labels distinguish the two 032-bearing sides and their direction basis.","0"
"2026-05-25","P2","H-2211","H-2213","local_neighborhood","visual_local_032","1:+700-033+|2:+824-032-578-415+|3:+740-760-840-799+","TAB:I","Steatite","prism","3","H2000-4459Figure 38.07","- -","16.7x7.3x0","H-2211 H-number neighborhood comparator with token overlap 3; tests catalog-adjacency and local-batch contamination.","CISI 3.1 end-matter row; excavation number; museum or owner; source of photograph; all side labels; all photo/impression labels; side-order basis; image or impression direction; copy/mold/duplicate/family notes; condition and preservation notes; material/shape/dimensions; findspot/period/phase/stratum/depth","Use only after source-normalized side labels distinguish the two 032-bearing sides and their direction basis.","0"
"2026-05-25","P2","H-2211","H-2214","local_neighborhood","visual_local_032","1:+700-033+|2:+740-760-840-799+|3:+876-032-578-415+","TAB:I","Steatite","prism","3","H95-2498Figure 27.03","- -","14.5x6.5x0","H-2211 H-number neighborhood comparator with token overlap 3; tests catalog-adjacency and local-batch contamination.","CISI 3.1 end-matter row; excavation number; museum or owner; source of photograph; all side labels; all photo/impression labels; side-order basis; image or impression direction; copy/mold/duplicate/family notes; condition and preservation notes; material/shape/dimensions; findspot/period/phase/stratum/depth","Use only after source-normalized side labels distinguish the two 032-bearing sides and their direction basis.","0"
