checked_date,row_id,object,site,type,symbol,cult,prev_before_002,left3_before_002,head_after_002,head_classifier_class,branch_after_head,tail_after_head,full_tail_after_002,terminal_after_head,tail_has_125,prev235,p086_head_390_405,p086_extension_390_405_392,closure_head_817_820_861,broad_open_head,text
2026-05-31,62.1,C-65,Chanhu-daro,SEAL:S,Bull1:W,SAF,032,240 220 032,861,closure_head,<END>,<END>,861,true,false,false,false,false,true,false,+000-100-240-220-032-002-861+
2026-05-31,69.1,C-60,Chanhu-daro,SEAL:S,Bull1:W,SAN,032,740 176 032,861,closure_head,<END>,<END>,861,true,false,false,false,false,true,false,+740-176-032-002-861+
2026-05-31,74.1,C-58,Chanhu-daro,SEAL:S,Bull1,-,235,740 222 235,861,closure_head,<END>,<END>,861,true,false,true,false,false,true,false,+032-031/740-222-235-002-861+
2026-05-31,76.1,C-74,Chanhu-daro,SEAL:S,Gaur,Trough,125,125,861,closure_head,<END>,<END>,861,true,false,false,false,false,true,false,+125-002-861+
2026-05-31,78.1,C-71,Chanhu-daro,SEAL:S,Bull1,-,861,000 000 861,906,low_count_unclassified,003,003,906 003,false,false,false,false,false,false,false,+000-000-000/000-861-002-906-003+
2026-05-31,81.1,C-78,Chanhu-daro,SEAL:S,None,None,240,740 636 240,817,closure_head,<END>,<END>,817,true,false,false,false,false,true,false,+740-636-240/002-817+
2026-05-31,82.1,C-57,Chanhu-daro,SEAL:S,Bull1:W,SAF,840,740 032 840,296,low_count_unclassified,530,530 000,296 530 000,false,false,false,false,false,false,false,+740-032-840-002-296-530-000+
2026-05-31,4234.1,-:4234.1,Dholavira,SEAL:S,Bull1,-,000,000 000,820,closure_head,<END>,<END>,820,true,false,false,false,false,true,false,]000-000-002-820+
2026-05-31,1479.1,H-501,Harappa,SEAL:S,Bull1,SAN,803,520 233 803,817,closure_head,<END>,<END>,817,true,false,false,false,false,true,false,+520-233-803-002-817+
2026-05-31,89.1,C-1,Chanhu-daro,SEAL:S,Bull1,None,101,140 740 101,365,open_selector_head,287,287 034,365 287 034,false,false,false,false,false,false,true,+031-840-140-740-101-002-365-287-034+
2026-05-31,91.1,C-3,Chanhu-daro,SEAL:S,Bull1:W,SAN,016,740 016,920,weak_open_head,317,317,920 317,false,false,false,false,false,false,false,+740-016-002-920-317+
2026-05-31,92.1,C-4,Chanhu-daro,SEAL:S,Bull1:L,RAN,803,520 235 803,817,closure_head,<END>,<END>,817,true,false,false,false,false,true,false,+520-235-803-002-817+
2026-05-31,93.1,C-5,Chanhu-daro,SEAL:S,Bull1:I,RBF,717,740 140 717,298,low_count_unclassified,741,741,298 741,false,false,false,false,false,false,false,+740-140-717-002-298-741+
2026-05-31,94.1,C-6,Chanhu-daro,SEAL:S,Bull1:J,RAN,221,090 740 221,031,open_selector_head,500,500,031 500,false,false,false,false,false,false,true,+817-521-521/090-740-221-002-031-500+
2026-05-31,95.1,C-7,Chanhu-daro,SEAL:S,Bull,-,798,705 240 798,000,closure_head,<END>,<END>,000,true,false,false,false,false,false,false,+520-033-705-240-798-002-000[
2026-05-31,98.1,C-10,Chanhu-daro,SEAL:S,Bull1:W,SAN,032,231 220 032,817,closure_head,<END>,<END>,817,true,false,false,false,false,true,false,+740-231-220-032-002-817+
2026-05-31,106.1,C-18,Chanhu-daro,SEAL:S,Bull1,-,031,000 031,817,closure_head,<END>,<END>,817,true,false,false,false,false,true,false,]000-031-002-817+
2026-05-31,125.1,Dlp-3,Desalpur,TAG,None,None,032,394 032,892,low_count_unclassified,740,740,892 740,false,false,false,false,false,false,false,+394-032-002-892-740+
2026-05-31,130.1,-:130.1,Dholavira,SEAL:S,Bull1:W,S??,803,220 416 803,861,closure_head,<END>,<END>,861,true,false,false,false,false,true,false,+244-165/740-879-220-416-803-002-861+
2026-05-31,132.1,-:132.1,Dholavira,SEAL:S,Tigr,None,416,740 416,861,closure_head,<END>,<END>,861,true,false,false,false,false,true,false,+740-416-002-861+
2026-05-31,4260.1,-:4260.1,Dholavira,SEAL:R,None,None,016,390 016,861,closure_head,<END>,<END>,861,true,false,false,false,false,true,false,+390-016-002-861+
2026-05-31,143.1,-:143.1,Dholavira,TAB:B,Gavi,None,031,400 350 031,817,closure_head,<END>,<END>,817,true,false,false,false,false,true,false,+000-400-350-031-002-817+
2026-05-31,145.1,Dlv-1,Dholavira,SEAL:S,Bull1:J,HBN,031,151 382 031,861,closure_head,<END>,<END>,861,true,false,false,false,false,true,false,+151-382-031-002-861+
2026-05-31,146.1,Dlv-2,Dholavira,SEAL:R,None,None,000,000,817,closure_head,<END>,<END>,817,true,false,false,false,false,true,false,]000-002-817+
2026-05-31,216.1,-:216.1,Baror,SEAL:S,Bull1:I,SAF,000,000 000,257,low_count_unclassified,550,550,257 550,false,false,false,false,false,false,false,+000-000-002-257-550+
2026-05-31,223.1,H-1042,Harappa,SEAL:S,Bull1,RAN,220,923 000 220,817,closure_head,<END>,<END>,817,true,false,false,false,false,true,false,+740-923-000-220-002-817+
2026-05-31,246.1,H-1045,Harappa,SEAL:S,Bull1:U,RAN,005,740 900 005,820,closure_head,<END>,<END>,820,true,false,false,false,false,true,false,+740-900-005-002-820+
2026-05-31,256.1,H-1038,Harappa,SEAL:S,Bull1:I,-,519,740 519,297,open_selector_head,000,000,297 000,false,false,false,false,false,false,true,+740-519-002-297-000[
2026-05-31,259.1,H-1051,Harappa,SEAL:S,Bull1:I,SAN,798,920 320 798,861,closure_head,<END>,<END>,861,true,false,false,false,false,true,false,+400-740-575-017-920-320-798-002-861+
2026-05-31,3959.1,H-1100,Harappa,TAB:B,Bull2,SAN,240,740 904 240,817,closure_head,<END>,<END>,817,true,false,false,false,false,true,false,+740-904-240-002-817+
2026-05-31,284.1,H-1030,Harappa,SEAL:S,Bull1:W,RAF,103,090 740 103,861,closure_head,<END>,<END>,861,true,false,false,false,false,true,false,+090-740-103-002-861+
2026-05-31,293.1,H-1033,Harappa,SEAL:S,Bull1:W,-,520,220 500 520,862,low_count_unclassified,032,032,862 032,false,false,false,false,false,false,false,+220-500-520-002-862-032+
2026-05-31,296.1,H-1058,Harappa,SEAL,-,-,019,740 019,000,closure_head,<END>,<END>,000,true,false,false,false,false,false,false,]740-019-002-000[
2026-05-31,303.1,H-1043,Harappa,SEAL:S,Bull1:W,HBF,003,760 220 003,861,closure_head,<END>,<END>,861,true,false,false,false,false,true,false,+151-760-220-003-002-861+
2026-05-31,4122.1,H-1449,Harappa,POT:T:g,-,None,<START>,<START>,861,closure_head,<END>,<END>,861,true,false,false,false,false,true,false,]002-861+
2026-05-31,1700.1,H-811,Harappa,TAB:B,None,None,176,335 740 176,920,weak_open_head,491,491,920 491,false,false,false,false,false,false,false,+317-740-335-740-176-002-920-491+
2026-05-31,388.2,H-1874,Harappa,TAB:B,None,None,<START>,<START>,220,open_selector_head,455,455 000,220 455 000,false,false,false,false,false,false,true,+002-220-455-000+
2026-05-31,2453.1,M-984,Mohenjo-daro,SEAL:S,Bull1,-,004,390 004,817,closure_head,<END>,<END>,817,true,false,false,false,false,true,false,+390-004-002-817+
2026-05-31,402.2,H-2015,Harappa,TAB:B,None,None,832,705 235 832,817,closure_head,<END>,<END>,817,true,false,false,false,false,true,false,+520-033-705-235-832-002-817+
2026-05-31,409.2,H-1942,Harappa,TAB:B,Bult,None,035,405 035,861,closure_head,<END>,<END>,861,true,false,false,false,false,true,false,+405-035-002-861+
2026-05-31,411.2,H-1865,Harappa,TAB:B,None,None,061,740 702 061,000,closure_head,<END>,<END>,000,true,false,false,false,false,false,false,+740-702-061-002-000+
2026-05-31,2341.1,M-1914,Mohenjo-daro,SEAL:S,Elep,None,832,000 832,817,closure_head,<END>,<END>,817,true,false,false,false,false,true,false,]000-832-002-817+
2026-05-31,448.1,H-1967,Harappa,TAB:B,Mult,None,382,382 760 382,820,closure_head,<END>,<END>,820,true,false,false,false,false,true,false,+382-760-382-002-820+
2026-05-31,466.1,H-1882,Harappa,TAB:B,None,None,<START>,<START>,820,closure_head,<END>,<END>,820,true,false,false,false,false,true,false,+002-820+
2026-05-31,1792.1,H-910,Harappa,TAB:I,None,None,<START>,<START>,861,closure_head,416,416,861 416,false,false,false,false,false,true,false,+002-861-416+
2026-05-31,1485.1,H-507,Harappa,SEAL:S,Bull1,SAN,032,000 032,820,closure_head,<END>,<END>,820,true,false,false,false,false,true,false,]000-032-002-820+
2026-05-31,513.1,H-1671,Harappa,SEAL:S,Bull1:S,RAN,061,740 061,455,low_count_unclassified,420,420 032,455 420 032,false,false,false,false,false,false,false,+740-061-002-455-420-032+
2026-05-31,536.1,H-1723,Harappa,TAG:L,-,-,880,000 880,000,closure_head,<END>,<END>,000,true,false,false,false,false,false,false,]000-880-002-000[
2026-05-31,537.1,H-1692,Harappa,SEAL:S,None,None,590,740 390 590,861,closure_head,<END>,<END>,861,true,false,false,false,false,true,false,+740-390-590-002-861+
2026-05-31,543.1,-:543.1,Harappa,POT:T:g,None,None,064,480 003 064,003,low_count_unclassified,861,861,003 861,false,false,false,false,false,false,false,+000-480-003-064-002-003-861+
2026-05-31,594.2,H-2022,Harappa,TAB:B,Phyt,Mult,175,740 752 175,861,closure_head,<END>,<END>,861,true,false,false,false,false,true,false,+740-752-175-002-861+
2026-05-31,599.2,H-1864,Harappa,TAB:B,None,None,062,740 142 062,817,closure_head,<END>,<END>,817,true,false,false,false,false,true,false,+740-142-062-002-817+
2026-05-31,604.1,H-2338,Harappa,POT:T:g,None,None,061,740 061,575,low_count_unclassified,000,000,575 000,false,false,false,false,false,false,false,]740-061-002-575-000[
2026-05-31,617.1,-:617.1,Harappa,POT:T:g,None,None,000,740 000 000,575,low_count_unclassified,000,000,575 000,false,false,false,false,false,false,false,]740-000-000-002-575-000[
2026-05-31,623.1,H-1706,Harappa,SEAL:R,None,None,003,405 003,293,low_count_unclassified,360,360,293 360,false,false,false,false,false,false,false,+405-003-002-293-360+
2026-05-31,626.1,H-1662,Harappa,SEAL:S,Bull1:W,H,140,142 061 140,546,low_count_unclassified,<END>,<END>,546,true,false,false,false,false,false,false,+033-033/740-142-061-140-002-546+
2026-05-31,3990.1,M-1806,Mohenjo-daro,SEAL:S,Bull1:S,SAN,003,390 003,820,closure_head,<END>,<END>,820,true,false,false,false,false,true,false,+390-003-002-820+
2026-05-31,1719.1,H-833,Harappa,TAB:B,None,None,554,526 554,820,closure_head,<END>,<END>,820,true,false,false,false,false,true,false,+526-554-002-820+
2026-05-31,3971.1,H-1131,Harappa,TAB:B,None,None,240,740 482 240,861,closure_head,<END>,<END>,861,true,false,false,false,false,true,false,+740-482-240-002-861+
2026-05-31,731.1,H-1670,Harappa,SEAL:S,Bull1:J,HAF,240,033 033 240,824,closure_head,<END>,<END>,824,true,false,false,false,false,false,false,+740-760-033-033-240-002-824+
2026-05-31,744.2,H-1993,Harappa,TAB:B,None,None,004,000 220 004,390,open_selector_head,095,095,390 095,false,false,false,true,true,false,true,+740-000-220-004-002-390-095+
2026-05-31,771.2,H-1930,Harappa,TAB:B,Gavi,None,920,408 817 920,861,closure_head,<END>,<END>,861,true,false,false,false,false,true,false,+408-817-920-002-861+
2026-05-31,3437.1,M-1063,Mohenjo-daro,SEAL:S,-,-,004,407 004,861,closure_head,<END>,<END>,861,true,false,false,false,false,true,false,+407-004-002-861+
2026-05-31,805.1,H-1788,Harappa,TAB:B,None,SAN,470,154 806 470,861,closure_head,<END>,<END>,861,true,false,false,false,false,true,false,+154-806-470-002-861+
2026-05-31,943.1,H-1667,Harappa,SEAL:S,Bull1:W,SAN,540,740 540,817,closure_head,<END>,<END>,817,true,false,false,false,false,true,false,+740-540-002-817+
2026-05-31,960.1,-:960.1,Harappa,POT:T:g,None,None,<START>,<START>,002,low_count_unclassified,<END>,<END>,002,true,false,false,false,false,false,false,+002-002+
2026-05-31,5262.1,H-470,Harappa,SEAL:S,Bull1:W,RAN,<START>,<START>,000,closure_head,<END>,<END>,000,true,false,false,false,false,false,false,]002-000[
2026-05-31,1004.1,H-1966,Harappa,TAB:B,Gaur,Trough,049,520 233 049,861,closure_head,<END>,<END>,861,true,false,false,false,false,true,false,+520-233-049-002-861+
2026-05-31,1007.1,H-1726,Harappa,POT:T:s,None,None,491,100 692 491,817,closure_head,<END>,<END>,817,true,false,false,false,false,true,false,+740-100-692-491-002-817+
2026-05-31,1020.1,H-1657,Harappa,SEAL:S,Bull1:W,SAN,032,235 220 032,690,low_count_unclassified,921,921,690 921,false,false,false,false,false,false,false,+740-405-590-032-900-003-806-235-220-032-002-690-921+
2026-05-31,1024.2,H-1851,Harappa,TAB:B,None,None,031,803 892 031,861,closure_head,<END>,<END>,861,true,false,false,false,false,true,false,+740-803-892-031-002-861+
2026-05-31,1030.1,H-1739,Harappa,POT:T:s,None,None,034,034,817,closure_head,<END>,<END>,817,true,false,false,false,false,true,false,]034-002-817[
2026-05-31,1047.1,-:1047.1,Harappa,POT:T:g,None,None,<START>,<START>,003,low_count_unclassified,<END>,<END>,003,true,false,false,false,false,false,false,+002-003+
2026-05-31,1060.1,H-1050,Harappa,SEAL:S,Bull1:W,SAN,235,804 235,817,closure_head,<END>,<END>,817,true,false,true,false,false,true,false,+804-235-002-817+
2026-05-31,1064.1,H-3,Harappa,SEAL:S,Bull1:W,SAN,017,740 585 017,611,low_count_unclassified,615,615 703,611 615 703,false,false,false,false,false,false,false,+740-585-017-002-611-615-703+
2026-05-31,1069.1,H-8,Harappa,SEAL:S,Bull1:W,SAN,706,590 033 706,690,low_count_unclassified,921,921,690 921,false,false,false,false,false,false,false,+354-001-740-405-590-033-706-002-690-921+
2026-05-31,1073.1,H-12,Harappa,SEAL:S,Bull1:W,SAF,235,220 240 235,817,closure_head,<END>,<END>,817,true,false,true,false,false,true,false,+740-690-435-255-803-220-240-235-002-817+
2026-05-31,1074.1,H-13,Harappa,SEAL:S,Bull1:W,SAF,503,760 615 503,817,closure_head,<END>,<END>,817,true,false,false,false,false,true,false,+740-760-615-503-002-817+
2026-05-31,2637.1,M-110,Mohenjo-daro,SEAL:S,Bull1:J,SAN,000,000 000,817,closure_head,<END>,<END>,817,true,false,false,false,false,true,false,+000-000-002-817+
2026-05-31,1078.1,H-18,Harappa,SEAL:S,Bull1:W,-,032,000 220 032,820,closure_head,<END>,<END>,820,true,false,false,false,false,true,false,]000-220-032-002-820+
2026-05-31,1081.1,H-21,Harappa,SEAL:S,Bull1:W,S,806,233 235 806,817,closure_head,<END>,<END>,817,true,false,false,false,false,true,false,+405-061-527-555-233-235-806-002-817+
2026-05-31,1082.1,H-22,Harappa,SEAL:S,Bull1:W,SAN,806,320 233 806,405,formula_locked_nonterminal_head,321,321,405 321,false,false,false,true,true,false,false,+740-920-320-233-806-002-405-321+
2026-05-31,1091.1,H-31,Harappa,SEAL:S,Bull1:W,SAN,240,100 415 240,365,open_selector_head,374,374 000,365 374 000,false,false,false,false,false,false,true,+740-100-415-240-002-365-374-000+
2026-05-31,1100.1,H-41,Harappa,SEAL:S,Bull1:J,R,000,000,690,low_count_unclassified,<END>,<END>,690,true,false,false,false,false,false,false,]000-002-690+
2026-05-31,1101.1,H-42,Harappa,SEAL:S,Bull1:J,RAN,235,740 380 235,817,closure_head,<END>,<END>,817,true,false,true,false,false,true,false,+740-380-235-002-817+
2026-05-31,1103.1,H-44,Harappa,SEAL:S,Bull1:W,SAN,803,235 798 803,031,open_selector_head,892,892,031 892,false,false,false,false,false,false,true,+520-033-706-235-798-803-002-031-892+
2026-05-31,1104.1,H-45,Harappa,SEAL:S,Bull1:W,-,101,090 740 101,820,closure_head,<END>,<END>,820,true,false,false,false,false,true,false,+090-740-101-002-820+
2026-05-31,1110.1,H-51,Harappa,SEAL:S,Bull1:W,HAF,240,740 643 240,861,closure_head,<END>,<END>,861,true,false,false,false,false,true,false,+740-643-240-002-861+
2026-05-31,1114.1,H-55,Harappa,SEAL:S,Bull1:X,SAF,004,390 004,861,closure_head,125,125,861 125,false,true,false,false,false,true,false,+390-004-002-861-125+
2026-05-31,1119.1,H-60,Harappa,SEAL:S,Bull1:II,H,003,740 900 003,820,closure_head,<END>,<END>,820,true,false,false,false,false,true,false,+621-740-900-003/002-820+
2026-05-31,1127.1,H-68,Harappa,SEAL:S,Bull1:I,RAN,003,740 220 003,390,open_selector_head,072,072,390 072,false,false,false,true,true,false,true,+090-740-220-003-002-390-072+
2026-05-31,1132.1,H-74,Harappa,SEAL:S,Bull1:J,RAN,<START>,<START>,610,low_count_unclassified,125,125 032,610 125 032,false,true,false,false,false,false,false,+002-610-125-032+
2026-05-31,1135.1,H-78,Harappa,SEAL:S,Gaur,Trough,806,000 806,575,low_count_unclassified,000,000,575 000,false,false,false,false,false,false,false,]000-806-002-575-000+
2026-05-31,1139.1,H-82,Harappa,SEAL:S,Gaur,Trough,017,390 017,220,open_selector_head,455,455 741,220 455 741,false,false,false,false,false,false,true,+390-017-002-220-455-741+
2026-05-31,1141.1,H-85,Harappa,SEAL:S,Zebu,-,219,520 219,817,closure_head,<END>,<END>,817,true,false,false,false,false,true,false,+520-219-002-817+
2026-05-31,1148.1,H-92,Harappa,SEAL:S,Elep,None,416,518 220 416,615,low_count_unclassified,<END>,<END>,615,true,false,false,false,false,false,false,+156-176-518-220-416-002-615+
2026-05-31,1155.1,H-100,Harappa,SEAL:S,None,None,000,520 031 000,000,closure_head,<END>,<END>,000,true,false,false,false,false,false,false,+520-031-000-002-000+
2026-05-31,1170.1,H-129,Harappa,SEAL:R,None,None,031,235 220 031,861,closure_head,244,244 165,861 244 165,false,false,false,false,false,true,false,+409-061-740-235-220-031-002-861-244-165+
2026-05-31,1171.1,H-130,Harappa,SEAL:R,None,None,806,705 231 806,595,open_selector_head,812,812 125 717,595 812 125 717,false,true,false,false,false,false,true,+409-032-845-033-705-231-806-002-595-812-125-717+
2026-05-31,1172.1,H-131,Harappa,SEAL:R,None,None,055,033 706 055,595,open_selector_head,575,575 794 000,595 575 794 000,false,false,false,false,false,false,true,+740-032-840-233-240-033-706-055-002-595-575-794-000+
2026-05-31,1175.1,H-134,Harappa,SEAL:R,None,None,003,590 220 003,861,closure_head,<END>,<END>,861,true,false,false,false,false,true,false,+740-405-590-220-003-002-861+
2026-05-31,1176.1,H-135,Harappa,SEAL:R,None,None,806,773 231 806,861,closure_head,<END>,<END>,861,true,false,false,false,false,true,false,+740-773-231-806-002-861+
2026-05-31,1178.1,H-137,Harappa,SEAL:R,None,None,233,033 705 233,817,closure_head,<END>,<END>,817,true,false,false,false,false,true,false,+740-443-388-033-705-233-002-817+
2026-05-31,1181.1,H-140,Harappa,SEAL:R,None,None,032,740 384 032,817,closure_head,<END>,<END>,817,true,false,false,false,false,true,false,+740-384-032-002-817+
2026-05-31,1182.1,H-141,Harappa,SEAL:R,None,None,070,900 003 070,233,low_count_unclassified,235,235,233 235,false,false,false,false,false,false,false,+405-032-900-003-070-002-233-235+
2026-05-31,1190.1,H-149,Harappa,SEAL:R,None,None,220,794 630 220,820,closure_head,<END>,<END>,820,true,false,false,false,false,true,false,+405-061-033-706-794-630-220-002-820+
2026-05-31,1204.1,H-164,Harappa,SEAL:R,None,None,097,161 097,817,closure_head,<END>,<END>,817,true,false,false,false,false,true,false,+161-097-002-817+
2026-05-31,1211.1,H-177,Harappa,TAB:B,Scene,None,031,151 706 031,817,closure_head,<END>,<END>,817,true,false,false,false,false,true,false,+700-033-151-706-031-002-817+
2026-05-31,1258.1,H-231,Harappa,TAB:B,None,None,240,520 220 240,820,closure_head,<END>,<END>,820,true,false,false,false,false,true,false,+520-220-240-002-820+
2026-05-31,1269.1,H-244,Harappa,TAB:B,None,SAN,104,104,820,closure_head,<END>,<END>,820,true,false,false,false,false,true,false,+104-002-820+
2026-05-31,4580.1,H-1155,Harappa,TAB:B,Bull1:I,None,240,520 240,405,formula_locked_nonterminal_head,501,501,405 501,false,false,false,true,true,false,false,+520-240-002-405-501+
2026-05-31,1293.1,H-268,Harappa,SEAL:S,Bull1:W,SAN,803,033 706 803,220,open_selector_head,455,455 920,220 455 920,false,false,false,false,false,false,true,+740-585-017-033-706-803-002-220-455-920+
2026-05-31,1296.1,H-272,Harappa,SEAL:S,Bull1,-,240,585 017 240,305,low_count_unclassified,032,032 904,305 032 904,false,false,false,false,false,false,false,+740-585-017-240-002-305-032-904+
2026-05-31,1297.1,H-273,Harappa,SEAL:S,Bull1,-,240,000 240,820,closure_head,<END>,<END>,820,true,false,false,false,false,true,false,]000-240-002-820+
2026-05-31,1394.1,H-375,Harappa,POT:T:g,None,None,220,000 220,000,closure_head,<END>,<END>,000,true,false,false,false,false,false,false,]000-220-002-000[
2026-05-31,1398.1,H-383,Harappa,SEAL:S,Bull1:Q,SAN,705,017 033 705,000,closure_head,<END>,<END>,000,true,false,false,false,false,false,false,+740-585-017-033-705-002-000+
2026-05-31,1399.1,H-385,Harappa,SEAL:S,Bull1:W,SAF,220,000 220,595,open_selector_head,632,632 354 850,595 632 354 850,false,false,false,false,false,false,true,+000-220-002-595-632-354-850+
2026-05-31,1401.1,H-388,Harappa,SEAL:S,Bull1:W,SAF,806,706 231 806,817,closure_head,<END>,<END>,817,true,false,false,false,false,true,false,+520-033-706-231-806-002-817+
2026-05-31,1402.1,H-389,Harappa,SEAL:S,Bull1:W,SAN,235,405 590 235,031,open_selector_head,480,480 625,031 480 625,false,false,true,false,false,false,true,+740-405-590-235-002-031-480-625+
2026-05-31,1410.1,H-405,Harappa,SEAL:S,Bull1:W,SAN,806,236 806,863,low_count_unclassified,<END>,<END>,863,true,false,false,false,false,false,false,+236-806-002-863+
2026-05-31,1413.1,H-408,Harappa,SEAL:S,Bull1:W,SAN,240,740 176 240,702,low_count_unclassified,503,503,702 503,false,false,false,false,false,false,false,+740-176-240-002-702-503+
2026-05-31,1414.1,H-410,Harappa,SEAL:S,Bull1:L,SAN,830,368 840 830,861,closure_head,<END>,<END>,861,true,false,false,false,false,true,false,+368-840-830-002-861+
2026-05-31,1420.1,H-417,Harappa,SEAL:S,Bull1:W,-,706,740 255 706,000,closure_head,<END>,<END>,000,true,false,false,false,false,false,false,+740-255-706-002-000[
2026-05-31,1426.1,H-426,Harappa,SEAL:S,Bull1,-,235,000 240 235,460,low_count_unclassified,511,511,460 511,false,false,true,false,false,false,false,]000-240-235-002-460-511+
2026-05-31,1434.1,H-444,Harappa,SEAL:S,Bull1:W,SAF,032,241 220 032,861,closure_head,<END>,<END>,861,true,false,false,false,false,true,false,+241-220-032-002-861+
2026-05-31,1435.1,H-445,Harappa,SEAL:S,Bull1:W,SAF,803,235 803,000,closure_head,<END>,<END>,000,true,false,false,false,false,false,false,]235-803-002-000+
2026-05-31,1436.1,H-446,Harappa,SEAL:S,Bull1:J,SAN,798,740 585 798,861,closure_head,216,216,861 216,false,false,false,false,false,true,false,+740-585-798-002-861-216+
2026-05-31,1445.1,H-455,Harappa,SEAL:S,Bull1:J,SAN,705,520 033 705,172,low_count_unclassified,032,032,172 032,false,false,false,false,false,false,false,+520-033-705-002-172-032+
2026-05-31,1446.1,H-456,Harappa,SEAL:S,Bull1:I,SAN,706,520 033 706,817,closure_head,808,808,817 808,false,false,false,false,false,true,false,+520-033-706-002-817-808+
2026-05-31,1447.1,H-457,Harappa,SEAL:S,Bull1:J,SAF,003,740 798 003,416,low_count_unclassified,<END>,<END>,416,true,false,false,false,false,false,false,+740-798-003-002-416+
2026-05-31,1449.1,H-459,Harappa,SEAL:S,Bull1:T,SAN,231,527 555 231,817,closure_head,<END>,<END>,817,true,false,false,false,false,true,false,+527-555-231-002-817+
2026-05-31,1450.1,H-461,Harappa,SEAL:S,Bull1:S,SAF,384,090 740 384,452,low_count_unclassified,000,000,452 000,false,false,false,false,false,false,false,+090-740-384-002-452-000+
2026-05-31,1452.1,H-464,Harappa,SEAL:S,Bull1:U,SAF,176,000 176,798,low_count_unclassified,590,590 032,798 590 032,false,false,false,false,false,false,false,+000-176-002-798-590-032+
2026-05-31,1456.1,H-468,Harappa,SEAL:S,Bull1:J,HAF,003,740 900 003,940,low_count_unclassified,705,705,940 705,false,false,false,false,false,false,false,+740-900-003-002-940-705+
2026-05-31,1463.1,H-476,Harappa,SEAL:S,Bull1:W,SAN,717,740 100 717,000,closure_head,<END>,<END>,000,true,false,false,false,false,false,false,+740-100-717-002-000[
2026-05-31,1466.1,H-478,Harappa,SEAL:S,Bull1:W,SAN,235,740 770 235,817,closure_head,<END>,<END>,817,true,false,true,false,false,true,false,+740-770-235-002-817+
2026-05-31,1468.1,H-480,Harappa,SEAL:S,Bull1,SAN,<START>,<START>,416,low_count_unclassified,<END>,<END>,416,true,false,false,false,false,false,false,]002-416+
2026-05-31,1472.1,H-484,Harappa,SEAL:S,Bull1,-,233,233,817,closure_head,<END>,<END>,817,true,false,false,false,false,true,false,]233-002-817+
2026-05-31,1474.1,H-486,Harappa,SEAL:S,Bull1,-,<START>,<START>,000,closure_head,861,861 031,000 861 031,false,false,false,false,false,false,false,]002-000-861-031+
2026-05-31,1484.1,H-506,Harappa,SEAL:S,Bull1:I,SAN,820,350 595 820,820,closure_head,<END>,<END>,820,true,false,false,false,false,true,false,+294-350-595-820-002-820+
2026-05-31,1491.1,H-514,Harappa,SEAL:S,Bull1:W,RAN,016,151 220 016,820,closure_head,<END>,<END>,820,true,false,false,false,false,true,false,+151-220-016-002-820+
2026-05-31,1515.1,H-561,Harappa,SEAL:S,-,-,226,226,000,closure_head,<END>,<END>,000,true,false,false,false,false,false,false,+226-002-000[
2026-05-31,1517.1,H-563,Harappa,SEAL,-,-,335,740 335,630,low_count_unclassified,<END>,<END>,630,true,false,false,false,false,false,false,+740-335-002-630[
2026-05-31,1526.1,H-574,Harappa,SEAL,-,-,803,000 803,820,closure_head,<END>,<END>,820,true,false,false,false,false,true,false,]000-803-002-820+
