"independence_rank","original_triad_rank","target_cisi","target_row_id","target_short_text","target_bucket","evidence_tier","independence_score","triad_score","contrast_readiness","target_long_token_set","target_long_set_count","acquisition_family_count","target_source_prefix","target_source_prefix_count","source_gap_status","target_hook_grade","control_033_cisi","control_033_reuse_count","control_033_hook_grade","control_032_cisi","control_032_reuse_count","control_032_hook_grade","object_format_match_status","direction_risk","copy_family_pressure","source_prefix_pressure","control_reuse_pressure","priority_reason","next_source_action","source_check_status"
"11","93","H-363","1382.2","+700-034+","E_other_034_residue","B_source_ready_needs_metadata_review","97","43","partial_metadata_control","263;565;741","1","1","numeric_catalog","35","all_three_have_source_hooks","catalog_or_excavation_hook","H-355","2","catalog_or_excavation_hook","H-362","2","catalog_or_excavation_hook","target_differs_from_both_controls","no_extra_direction_flag","no_extra_pressure_flag","source_prefix_seen_35","no_extra_pressure_flag","tier=B_source_ready_needs_metadata_review; source_hooks=all_three_have_source_hooks; target_long_set_count=1; source_prefix=numeric_catalog/35; control_reuse_max=2; object_format=target_differs_from_both_controls","request_source_images_after_first_independent_batch","independence_audit_source_order_only_no_reading_claims"
"12","24","H-1937","938.1","+034-700+","A_034_direction_reversal","B_source_ready_with_direction_or_reuse_pressure","160","64","strong_two_sibling_metadata_controls","255;435;690;740","1","1","H98","1","all_three_have_source_hooks","excavation_plus_figure_hook","H-1933","1","excavation_plus_figure_hook","H-1931","1","excavation_plus_figure_hook","target_and_both_controls_match","target_700_order_reversed","no_extra_pressure_flag","no_extra_pressure_flag","no_extra_pressure_flag","tier=B_source_ready_with_direction_or_reuse_pressure; source_hooks=all_three_have_source_hooks; target_long_set_count=1; source_prefix=H98/1; control_reuse_max=1; object_format=target_and_both_controls_match; direction=target_700_order_reversed","request_source_images_after_first_independent_batch","independence_audit_source_order_only_no_reading_claims"
"13","41","H-1832","415.1","+700-034+","E_other_034_residue","B_source_ready_with_direction_or_reuse_pressure","142","70","strong_two_sibling_metadata_controls","176;297;352;400;590;740;892","1","1","H2000","12","all_three_have_source_hooks","excavation_plus_figure_hook","H-1839","2","excavation_plus_figure_hook","H-1853","5","excavation_plus_figure_hook","target_and_both_controls_match","no_extra_direction_flag","no_extra_pressure_flag","source_prefix_seen_12","032_control_reused_5","tier=B_source_ready_with_direction_or_reuse_pressure; source_hooks=all_three_have_source_hooks; target_long_set_count=1; source_prefix=H2000/12; control_reuse_max=5; object_format=target_and_both_controls_match","request_source_images_after_first_independent_batch","independence_audit_source_order_only_no_reading_claims"
"14","42","H-1845","424.1","+700-034+","E_other_034_residue","B_source_ready_with_direction_or_reuse_pressure","142","70","strong_two_sibling_metadata_controls","060;240;642;692;740","1","1","H2000","12","all_three_have_source_hooks","excavation_plus_figure_hook","H-770","4","catalog_or_excavation_hook","H-1853","5","excavation_plus_figure_hook","target_and_both_controls_match","no_extra_direction_flag","no_extra_pressure_flag","source_prefix_seen_12","033_control_reused_4;032_control_reused_5","tier=B_source_ready_with_direction_or_reuse_pressure; source_hooks=all_three_have_source_hooks; target_long_set_count=1; source_prefix=H2000/12; control_reuse_max=5; object_format=target_and_both_controls_match","request_source_images_after_first_independent_batch","independence_audit_source_order_only_no_reading_claims"
"15","45","H-1817","624.1","+700-034+","E_other_034_residue","B_source_ready_with_direction_or_reuse_pressure","140","69","strong_two_sibling_metadata_controls","400;525;554","1","1","H94","2","all_three_have_source_hooks","excavation_plus_figure_hook","H-1873","1","excavation_plus_figure_hook","H-1902","5","excavation_plus_figure_hook","target_matches_one_control","no_extra_direction_flag","no_extra_pressure_flag","no_extra_pressure_flag","032_control_reused_5","tier=B_source_ready_with_direction_or_reuse_pressure; source_hooks=all_three_have_source_hooks; target_long_set_count=1; source_prefix=H94/2; control_reuse_max=5; object_format=target_matches_one_control","request_source_images_after_first_independent_batch","independence_audit_source_order_only_no_reading_claims"
"16","50","H-1824","646.1","+700-034+","E_other_034_residue","B_source_ready_with_direction_or_reuse_pressure","140","68","strong_two_sibling_metadata_controls","031;060;176;201;740","1","1","H95","9","all_three_have_source_hooks","excavation_plus_figure_hook","H-1883","4","excavation_plus_figure_hook","H-212","5","catalog_or_excavation_hook","target_and_both_controls_match","no_extra_direction_flag","no_extra_pressure_flag","source_prefix_seen_9","033_control_reused_4;032_control_reused_5","tier=B_source_ready_with_direction_or_reuse_pressure; source_hooks=all_three_have_source_hooks; target_long_set_count=1; source_prefix=H95/9; control_reuse_max=5; object_format=target_and_both_controls_match","request_source_images_after_first_independent_batch","independence_audit_source_order_only_no_reading_claims"
"17","40","H-893","1775.2","+700-034+","E_other_034_residue","B_source_ready_with_direction_or_reuse_pressure","138","71","strong_two_sibling_metadata_controls","337;400;740","1","1","numeric_catalog","35","all_three_have_source_hooks","catalog_or_excavation_hook","H-925","9","catalog_or_excavation_hook","H-930","16","catalog_or_excavation_hook","target_and_both_controls_match","no_extra_direction_flag","no_extra_pressure_flag","source_prefix_seen_35","033_control_reused_9;032_control_reused_16","tier=B_source_ready_with_direction_or_reuse_pressure; source_hooks=all_three_have_source_hooks; target_long_set_count=1; source_prefix=numeric_catalog/35; control_reuse_max=16; object_format=target_and_both_controls_match","request_source_images_after_first_independent_batch","independence_audit_source_order_only_no_reading_claims"
"18","61","H-2137","3932.1","+700-034+","E_other_034_residue","B_source_ready_with_direction_or_reuse_pressure","138","66","strong_two_sibling_metadata_controls","100;176;740","1","1","H95","9","all_three_have_source_hooks","excavation_plus_figure_hook","H-925","9","catalog_or_excavation_hook","H-930","16","catalog_or_excavation_hook","target_and_both_controls_match","target_side_relation_differs_from_both_controls","no_extra_pressure_flag","source_prefix_seen_9","033_control_reused_9;032_control_reused_16","tier=B_source_ready_with_direction_or_reuse_pressure; source_hooks=all_three_have_source_hooks; target_long_set_count=1; source_prefix=H95/9; control_reuse_max=16; object_format=target_and_both_controls_match; direction=target_side_relation_differs_from_both_controls","request_source_images_after_first_independent_batch","independence_audit_source_order_only_no_reading_claims"
"19","20","H-892","1774.2","+034-700+","A_034_direction_reversal","B_source_ready_with_direction_or_reuse_pressure","136","66","strong_two_sibling_metadata_controls","176;336;400;740","1","1","numeric_catalog","35","all_three_have_source_hooks","catalog_or_excavation_hook","H-1308","1","catalog_or_excavation_hook","H-321","1","catalog_or_excavation_hook","target_matches_one_control","target_700_order_reversed","no_extra_pressure_flag","source_prefix_seen_35","no_extra_pressure_flag","tier=B_source_ready_with_direction_or_reuse_pressure; source_hooks=all_three_have_source_hooks; target_long_set_count=1; source_prefix=numeric_catalog/35; control_reuse_max=1; object_format=target_matches_one_control; direction=target_700_order_reversed","request_source_images_after_first_independent_batch","independence_audit_source_order_only_no_reading_claims"
"20","69","H-1854","427.1","+700-034+","E_other_034_residue","B_source_ready_with_direction_or_reuse_pressure","136","64","strong_two_sibling_metadata_controls","400;717;740","1","1","H2000","12","all_three_have_source_hooks","excavation_plus_figure_hook","H-1872","7","excavation_plus_figure_hook","H-1771","2","excavation_plus_figure_hook","target_and_both_controls_match","no_extra_direction_flag","no_extra_pressure_flag","source_prefix_seen_12","033_control_reused_7","tier=B_source_ready_with_direction_or_reuse_pressure; source_hooks=all_three_have_source_hooks; target_long_set_count=1; source_prefix=H2000/12; control_reuse_max=7; object_format=target_and_both_controls_match","request_source_images_after_first_independent_batch","independence_audit_source_order_only_no_reading_claims"
"21","49","H-983","1859.2","+700-034+","E_other_034_residue","B_source_ready_with_direction_or_reuse_pressure","135","68","strong_two_sibling_metadata_controls","240;400;637;740","1","1","numeric_catalog","35","all_three_have_source_hooks","catalog_or_excavation_hook","H-353","2","catalog_or_excavation_hook","H-2211","4","excavation_plus_figure_hook","target_and_both_controls_match","no_extra_direction_flag","no_extra_pressure_flag","source_prefix_seen_35","032_control_reused_4","tier=B_source_ready_with_direction_or_reuse_pressure; source_hooks=all_three_have_source_hooks; target_long_set_count=1; source_prefix=numeric_catalog/35; control_reuse_max=4; object_format=target_and_both_controls_match","request_source_images_after_first_independent_batch","independence_audit_source_order_only_no_reading_claims"
"22","72","H-1844","780.1","+700-034+","E_other_034_residue","B_source_ready_with_direction_or_reuse_pressure","135","63","strong_two_sibling_metadata_controls","154;400;690","1","1","H96","9","all_three_have_source_hooks","excavation_plus_figure_hook","H-1872","7","excavation_plus_figure_hook","H-1773","2","excavation_plus_figure_hook","target_and_both_controls_match","no_extra_direction_flag","no_extra_pressure_flag","source_prefix_seen_9","033_control_reused_7","tier=B_source_ready_with_direction_or_reuse_pressure; source_hooks=all_three_have_source_hooks; target_long_set_count=1; source_prefix=H96/9; control_reuse_max=7; object_format=target_and_both_controls_match","request_source_images_after_first_independent_batch","independence_audit_source_order_only_no_reading_claims"
"23","56","H-1823","649.1","+700-034+","E_other_034_residue","B_source_ready_with_direction_or_reuse_pressure","132","67","strong_two_sibling_metadata_controls","001;365;400;415;740;798","1","1","H95","9","all_three_have_source_hooks","excavation_plus_figure_hook","H-1872","7","excavation_plus_figure_hook","H-1902","5","excavation_plus_figure_hook","target_matches_one_control","no_extra_direction_flag","no_extra_pressure_flag","source_prefix_seen_9","033_control_reused_7;032_control_reused_5","tier=B_source_ready_with_direction_or_reuse_pressure; source_hooks=all_three_have_source_hooks; target_long_set_count=1; source_prefix=H95/9; control_reuse_max=7; object_format=target_matches_one_control","request_source_images_after_first_independent_batch","independence_audit_source_order_only_no_reading_claims"
"24","57","H-1825","467.1","+700-034+","E_other_034_residue","B_source_ready_with_direction_or_reuse_pressure","132","67","strong_two_sibling_metadata_controls","176;220;740","1","1","H2001","6","all_three_have_source_hooks","excavation_plus_figure_hook","H-1872","7","excavation_plus_figure_hook","H-1902","5","excavation_plus_figure_hook","target_matches_one_control","no_extra_direction_flag","no_extra_pressure_flag","source_prefix_seen_6","033_control_reused_7;032_control_reused_5","tier=B_source_ready_with_direction_or_reuse_pressure; source_hooks=all_three_have_source_hooks; target_long_set_count=1; source_prefix=H2001/6; control_reuse_max=7; object_format=target_matches_one_control","request_source_images_after_first_independent_batch","independence_audit_source_order_only_no_reading_claims"
"25","59","H-2070","862.1","+700-034+","E_other_034_residue","B_source_ready_with_direction_or_reuse_pressure","132","67","strong_two_sibling_metadata_controls","276;400;740;817","1","1","H97","6","all_three_have_source_hooks","excavation_plus_figure_hook","H-925","9","catalog_or_excavation_hook","H-2185","2","excavation_plus_figure_hook","target_matches_one_control","no_extra_direction_flag","no_extra_pressure_flag","source_prefix_seen_6","033_control_reused_9","tier=B_source_ready_with_direction_or_reuse_pressure; source_hooks=all_three_have_source_hooks; target_long_set_count=1; source_prefix=H97/6; control_reuse_max=9; object_format=target_matches_one_control","request_source_images_after_first_independent_batch","independence_audit_source_order_only_no_reading_claims"
"26","65","H-780","1671.2","+700-034+","E_other_034_residue","B_source_ready_with_direction_or_reuse_pressure","132","65","strong_two_sibling_metadata_controls","061;142;400;740","1","1","numeric_catalog","35","all_three_have_source_hooks","catalog_or_excavation_hook","H-770","4","catalog_or_excavation_hook","H-1123","2","catalog_or_excavation_hook","target_and_both_controls_match","no_extra_direction_flag","no_extra_pressure_flag","source_prefix_seen_35","033_control_reused_4","tier=B_source_ready_with_direction_or_reuse_pressure; source_hooks=all_three_have_source_hooks; target_long_set_count=1; source_prefix=numeric_catalog/35; control_reuse_max=4; object_format=target_and_both_controls_match","request_source_images_after_first_independent_batch","independence_audit_source_order_only_no_reading_claims"
"27","23","H-1880","831.1","+034-700+","A_034_direction_reversal","B_source_ready_with_direction_or_reuse_pressure","130","66","strong_two_sibling_metadata_controls","033;520","1","1","H97","6","all_three_have_source_hooks","excavation_plus_figure_hook","H-1872","7","excavation_plus_figure_hook","H-212","5","catalog_or_excavation_hook","target_and_both_controls_match","target_700_order_reversed","no_extra_pressure_flag","source_prefix_seen_6","033_control_reused_7;032_control_reused_5","tier=B_source_ready_with_direction_or_reuse_pressure; source_hooks=all_three_have_source_hooks; target_long_set_count=1; source_prefix=H97/6; control_reuse_max=7; object_format=target_and_both_controls_match; direction=target_700_order_reversed","request_source_images_after_first_independent_batch","independence_audit_source_order_only_no_reading_claims"
"28","44","H-1138","198.2","+700-034+","E_other_034_residue","B_source_ready_with_direction_or_reuse_pressure","127","69","strong_two_sibling_metadata_controls","060;240;603;692;740","2","1","other_source_prefix","2","all_three_have_source_hooks","catalog_or_excavation_hook","H-770","4","catalog_or_excavation_hook","H-1102","1","catalog_or_excavation_hook","target_and_both_controls_match","no_extra_direction_flag","no_extra_pressure_flag","no_extra_pressure_flag","033_control_reused_4","tier=B_source_ready_with_direction_or_reuse_pressure; source_hooks=all_three_have_source_hooks; target_long_set_count=2; source_prefix=other_source_prefix/2; control_reuse_max=4; object_format=target_and_both_controls_match","request_source_images_after_first_independent_batch","independence_audit_source_order_only_no_reading_claims"
"29","64","H-324","1346.2","+700-034+","E_other_034_residue","B_source_ready_with_direction_or_reuse_pressure","125","65","strong_two_sibling_metadata_controls","031;156;384;400","1","1","numeric_catalog","35","all_three_have_source_hooks","catalog_or_excavation_hook","H-925","9","catalog_or_excavation_hook","H-2185","2","excavation_plus_figure_hook","target_matches_one_control","no_extra_direction_flag","no_extra_pressure_flag","source_prefix_seen_35","033_control_reused_9","tier=B_source_ready_with_direction_or_reuse_pressure; source_hooks=all_three_have_source_hooks; target_long_set_count=1; source_prefix=numeric_catalog/35; control_reuse_max=9; object_format=target_matches_one_control","request_source_images_after_first_independent_batch","independence_audit_source_order_only_no_reading_claims"
"30","58","H-1846","686.1","+700-034+","E_other_034_residue","B_source_ready_with_direction_or_reuse_pressure","124","67","strong_two_sibling_metadata_controls","060;240;603;692;740","2","1","H95","9","all_three_have_source_hooks","excavation_plus_figure_hook","H-770","4","catalog_or_excavation_hook","H-1853","5","excavation_plus_figure_hook","target_and_both_controls_match","no_extra_direction_flag","no_extra_pressure_flag","source_prefix_seen_9","033_control_reused_4;032_control_reused_5","tier=B_source_ready_with_direction_or_reuse_pressure; source_hooks=all_three_have_source_hooks; target_long_set_count=2; source_prefix=H95/9; control_reuse_max=5; object_format=target_and_both_controls_match","request_source_images_after_first_independent_batch","independence_audit_source_order_only_no_reading_claims"
"31","84","H-823","1712.1","+700-034+","E_other_034_residue","B_source_ready_with_direction_or_reuse_pressure","124","58","strong_two_sibling_metadata_controls","060;240;636;692;740","1","1","H88","1","all_three_have_source_hooks","catalog_or_excavation_hook","H-206","1","catalog_or_excavation_hook","H-1853","5","excavation_plus_figure_hook","target_differs_from_both_controls","no_extra_direction_flag","no_extra_pressure_flag","no_extra_pressure_flag","032_control_reused_5","tier=B_source_ready_with_direction_or_reuse_pressure; source_hooks=all_three_have_source_hooks; target_long_set_count=1; source_prefix=H88/1; control_reuse_max=5; object_format=target_differs_from_both_controls","request_source_images_after_first_independent_batch","independence_audit_source_order_only_no_reading_claims"
"32","60","H-1894","382.1","+700-034+","E_other_034_residue","B_source_ready_with_direction_or_reuse_pressure","123","66","strong_two_sibling_metadata_controls","061;140;400;740","1","1","H2000","12","all_three_have_source_hooks","excavation_plus_figure_hook","H-1883","4","excavation_plus_figure_hook","H-1773","2","excavation_plus_figure_hook","target_differs_from_both_controls","no_extra_direction_flag","no_extra_pressure_flag","source_prefix_seen_12","033_control_reused_4","tier=B_source_ready_with_direction_or_reuse_pressure; source_hooks=all_three_have_source_hooks; target_long_set_count=1; source_prefix=H2000/12; control_reuse_max=4; object_format=target_differs_from_both_controls","request_source_images_after_first_independent_batch","independence_audit_source_order_only_no_reading_claims"
"33","70","H-1871","784.1","+700-034+","E_other_034_residue","B_source_ready_with_direction_or_reuse_pressure","121","64","strong_two_sibling_metadata_controls","151;235;740","1","1","H96","9","all_three_have_source_hooks","excavation_plus_figure_hook","H-1872","7","excavation_plus_figure_hook","H-1902","5","excavation_plus_figure_hook","target_differs_from_both_controls","no_extra_direction_flag","no_extra_pressure_flag","source_prefix_seen_9","033_control_reused_7;032_control_reused_5","tier=B_source_ready_with_direction_or_reuse_pressure; source_hooks=all_three_have_source_hooks; target_long_set_count=1; source_prefix=H96/9; control_reuse_max=7; object_format=target_differs_from_both_controls","request_source_images_after_first_independent_batch","independence_audit_source_order_only_no_reading_claims"
"34","78","H-985","1861.1","+700-034+","E_other_034_residue","B_source_ready_with_direction_or_reuse_pressure","121","61","strong_two_sibling_metadata_controls","156;255;435","1","1","numeric_catalog","35","all_three_have_source_hooks","catalog_or_excavation_hook","H-356","1","catalog_or_excavation_hook","H-2211","4","excavation_plus_figure_hook","target_matches_one_control","no_extra_direction_flag","no_extra_pressure_flag","source_prefix_seen_35","032_control_reused_4","tier=B_source_ready_with_direction_or_reuse_pressure; source_hooks=all_three_have_source_hooks; target_long_set_count=1; source_prefix=numeric_catalog/35; control_reuse_max=4; object_format=target_matches_one_control","request_source_images_after_first_independent_batch","independence_audit_source_order_only_no_reading_claims"
"35","26","H-2208","549.1","+034-700+","A_034_direction_reversal","B_source_ready_with_direction_or_reuse_pressure","118","63","strong_two_sibling_metadata_controls","027;032;400;740","2","1","H94","2","all_three_have_source_hooks","excavation_plus_figure_hook","H-2209","2","catalog_or_excavation_hook","H-2211","4","excavation_plus_figure_hook","target_and_both_controls_match","target_700_order_reversed","no_extra_pressure_flag","no_extra_pressure_flag","032_control_reused_4","tier=B_source_ready_with_direction_or_reuse_pressure; source_hooks=all_three_have_source_hooks; target_long_set_count=2; source_prefix=H94/2; control_reuse_max=4; object_format=target_and_both_controls_match; direction=target_700_order_reversed","request_source_images_after_first_independent_batch","independence_audit_source_order_only_no_reading_claims"
"36","80","H-1895","406.1","+700-034+","E_other_034_residue","B_source_ready_with_direction_or_reuse_pressure","117","60","strong_two_sibling_metadata_controls","100;240;400;740","1","1","H2000","12","all_three_have_source_hooks","excavation_plus_figure_hook","H-1898","1","excavation_plus_figure_hook","H-1902","5","excavation_plus_figure_hook","target_differs_from_both_controls","no_extra_direction_flag","no_extra_pressure_flag","source_prefix_seen_12","032_control_reused_5","tier=B_source_ready_with_direction_or_reuse_pressure; source_hooks=all_three_have_source_hooks; target_long_set_count=1; source_prefix=H2000/12; control_reuse_max=5; object_format=target_differs_from_both_controls","request_source_images_after_first_independent_batch","independence_audit_source_order_only_no_reading_claims"
"37","82","H-1987","394.1","+700-034+","E_other_034_residue","B_source_ready_with_direction_or_reuse_pressure","117","60","strong_two_sibling_metadata_controls","004;371;390;455;590;741","1","1","H2000","12","all_three_have_source_hooks","excavation_plus_figure_hook","H-1839","2","excavation_plus_figure_hook","H-1853","5","excavation_plus_figure_hook","target_differs_from_both_controls","no_extra_direction_flag","no_extra_pressure_flag","source_prefix_seen_12","032_control_reused_5","tier=B_source_ready_with_direction_or_reuse_pressure; source_hooks=all_three_have_source_hooks; target_long_set_count=1; source_prefix=H2000/12; control_reuse_max=5; object_format=target_differs_from_both_controls","request_source_images_after_first_independent_batch","independence_audit_source_order_only_no_reading_claims"
"38","62","H-2140","418.1","+700-034+","E_other_034_residue","B_source_ready_with_direction_or_reuse_pressure","115","66","strong_two_sibling_metadata_controls","176;231;565;740","2","2","H2000","12","all_three_have_source_hooks","excavation_plus_figure_hook","H-925","9","catalog_or_excavation_hook","H-930","16","catalog_or_excavation_hook","target_and_both_controls_match","target_side_relation_differs_from_both_controls","no_extra_pressure_flag","source_prefix_seen_12","033_control_reused_9;032_control_reused_16","tier=B_source_ready_with_direction_or_reuse_pressure; source_hooks=all_three_have_source_hooks; target_long_set_count=2; source_prefix=H2000/12; control_reuse_max=16; object_format=target_and_both_controls_match; direction=target_side_relation_differs_from_both_controls","request_source_images_after_first_independent_batch","independence_audit_source_order_only_no_reading_claims"
"39","63","H-2141","397.1","+700-034+","E_other_034_residue","B_source_ready_with_direction_or_reuse_pressure","115","66","strong_two_sibling_metadata_controls","176;231;565;740","2","2","H2000","12","all_three_have_source_hooks","excavation_plus_figure_hook","H-925","9","catalog_or_excavation_hook","H-930","16","catalog_or_excavation_hook","target_and_both_controls_match","target_side_relation_differs_from_both_controls","no_extra_pressure_flag","source_prefix_seen_12","033_control_reused_9;032_control_reused_16","tier=B_source_ready_with_direction_or_reuse_pressure; source_hooks=all_three_have_source_hooks; target_long_set_count=2; source_prefix=H2000/12; control_reuse_max=16; object_format=target_and_both_controls_match; direction=target_side_relation_differs_from_both_controls","request_source_images_after_first_independent_batch","independence_audit_source_order_only_no_reading_claims"
