"fig4_number","manufacturing_group","cisi","harp_object","harp_object_full","source_figure","local_source_figure","side_1_text","side_2_text","side_3_text","local_signature_class","local_signature_short","local_horizontal_mm","local_vertical_mm","plate_visual_check_status","interpretation_status"
"12","group_2","H-2228","H97-3316","H97-3316/8040-09","Meadow and Kenoyer 2000 Fig. 4","Figure 12.12","+700-034+","+861-003+","+156-003+","main_signature_B_side1_side2_swapped","B_side_swap","11.8","6.5","coarse_public_fig4_available_pending_detailed_check","no_reading_admissible"
"13","group_2","H-2226","H97-3313","H97-3313/8040-06","Meadow and Kenoyer 2000 Fig. 4","Figure 12.13","+700-034+","+861-003+","+156-003+","main_signature_B_side1_side2_swapped","B_side_swap","11","7","coarse_public_fig4_available_pending_detailed_check","no_reading_admissible"
"14","group_2","H-2223","H97-3306","H97-3306/8040-03","Meadow and Kenoyer 2000 Fig. 4","Figure 12.14","+861-003+","+700-034+","+156-003+","main_signature_A","A","11.2","7.5","coarse_public_fig4_available_pending_detailed_check","no_reading_admissible"
"15","group_2","H-2236","H97-3307","H97-3307/8040-04","Meadow and Kenoyer 2000 Fig. 4","Figure 12.15","+861-003+","+700-034+","+156-003+","main_signature_A","A","9","5.9","coarse_public_fig4_available_pending_detailed_check","no_reading_admissible"
"16","group_2","H-2239","H96-3046","H96-3046/6951-04","Meadow and Kenoyer 2000 Fig. 4","Figure 12.16","+861-003+","+700-034+","+156-003+","main_signature_A","A","9.5","6.2","coarse_public_fig4_available_pending_detailed_check","no_reading_admissible"
"17","group_3","H-2237","H96-3125","H96-3125/6937-16","Meadow and Kenoyer 2000 Fig. 4","Figure 12.17","+700-034+","+861-003+","+154-003+","minor_signature_variant;side3_154_instead_of_156","154_variant","10","6.5","coarse_public_fig4_available_pending_detailed_check","no_reading_admissible"
"18","group_3","H-2238","H95-2613","H95-2613/6560-01","Meadow and Kenoyer 2000 Fig. 4","Figure 12.18","+700-033+","+861-003+","+156-003+","minor_signature_variant;033_instead_of_034","033_variant","11","6.9","coarse_public_fig4_available_pending_detailed_check","no_reading_admissible"
"19","group_3","H-2230","H97-3311","H97-3311/8040-10","Meadow and Kenoyer 2000 Fig. 4","Figure 12.19","+700-034+","+861-003+","+156-003+","main_signature_B_side1_side2_swapped","B_side_swap","10","7.2","coarse_public_fig4_available_pending_detailed_check","no_reading_admissible"
"20","group_3","H-2233","H97-3341","H97-3341/8039-10","Meadow and Kenoyer 2000 Fig. 4","Figure 12.20","+700-034+","+861-003+","+156-003+","main_signature_B_side1_side2_swapped","B_side_swap","10","6.5","coarse_public_fig4_available_pending_detailed_check","no_reading_admissible"
"21","group_3","H-2231","H97-3320","H97-3320/8040-14","Meadow and Kenoyer 2000 Fig. 4","Figure 12.21","+861-003+","+700-034+","+156-003+","main_signature_A","A","10","7","coarse_public_fig4_available_pending_detailed_check","no_reading_admissible"
"22","group_3","H-2234","H97-3322","H97-3322/8040-16","Meadow and Kenoyer 2000 Fig. 4","Figure 12.22","+861-003+","+700-034+","+156-003+","main_signature_A","A","9","6.5","coarse_public_fig4_available_pending_detailed_check","no_reading_admissible"
"23","group_3","H-2232","H97-3321","H97-3321/8040-15","Meadow and Kenoyer 2000 Fig. 4","Figure 12.23","+861-003+","+700-034+","+156-003+","main_signature_A","A","9.2","5.8","coarse_public_fig4_available_pending_detailed_check","no_reading_admissible"
