id,cisis,text,token_count,duplicate_weight,site,type,material,symbol,cult
229.2,?-6|H-1100|H-1102|H-1123|H-1133|H-1134|H-1146|H-1153|H-1156|H-1281|H-1294|H-1309|H-1312|H-1313|H-1319|H-1320|H-1321|H-1330|H-1771|H-1772|H-1773|H-1774|H-1804|H-1836|H-1841|H-1853|H-1865|H-1902|H-1906|H-1909|H-1922|H-1923|H-1931|H-1936|H-1941|H-209|H-2129|H-213|H-2139|H-214|H-2146|H-217|H-2173|H-2183|H-2184|H-2185|H-2186|H-2198|H-2201|H-2211|H-2217|H-230|H-232|H-251|H-315|H-322|H-327|H-340|H-341|H-361|H-362|H-697|H-717|H-766|H-768|H-778|H-796|H-802|H-814|H-815|H-833|H-837|H-852|H-854|H-877|H-926|H-930|H-943|H-944|H-962|H-963|H-965|H-966|H-968|H-969|H-975|K-68,+700-032+,2,87,Harappa|Kalibangan|Unknown,TAB:B|TAB:I,Ceramic|Clay|Faience|Steatite,Bull1|Bull2|Bult|Fish|Gaur|Gavi|Goat:4|None|Othr|Phyt|Scene,None|RAN|SAN|Trough
232.1,H-1355,+390-035+,2,1,Harappa,TAB:I,Steatite,Bult,None
233.1,H-1047,+405-004-745-905+,4,1,Harappa,SEAL:S,Steatite,Bull1:W,SAN
237.1,H-1056,+400-090-740-220-003+,5,1,Harappa,SEAL:S,Steatite,Bull1,NA
240.1,H-73,+151-231+,2,1,Harappa,SEAL:S,Steatite,Bull1:I,None
246.1,H-1045,+740-900-005-002-820+,5,1,Harappa,SEAL:S,Steatite,Bull1:U,RAN
248.1,H-1512|H-1513,+740-554+,2,2,Harappa,TAB:I,Terracotta,None,None
249.1,H-1133|H-1896,+400-892-831+,3,2,Harappa,TAB:B,Faience,None,None
250.2,H-1166|H-1878|H-2049|M-1397|M-2020,+167-705+,2,6,Harappa|Mohenjo-daro,TAB:B|TAB:I,Clay|Faience|Steatite,Bult|None,None
255.2,H-1319|H-1320,+400-678+,2,2,Harappa,TAB:I,Steatite,None,None
257.1,H-1309,+156-176-741-060-920+,5,1,Harappa,TAB:I,Steatite,None,None
258.1,H-1121|H-789,+400-520-220-016+,4,2,Harappa,TAB:B,Faience,None,None
259.1,H-1051,+400-740-575-017-920-320-798-002-861+,9,1,Harappa,SEAL:S,Steatite,Bull1:I,SAN
261.1,H-1052,+503-233-240+,3,1,Harappa,SEAL:S,Steatite,Bull1,SAN
264.1,H-1287,+400-156-140-032+,4,1,Harappa,TAB:I,Steatite,None,None
264.2,H-1124|H-1188|H-1198|H-1270|H-1287|H-1295|H-1302|H-1303|H-1304|H-1308|H-1344|H-1345|H-1346|H-1347|H-1348|H-1768|H-1822|H-1839|H-1861|H-1872|H-1873|H-1883|H-1896|H-1898|H-1905|H-1908|H-1915|H-1929|H-1933|H-1940|H-1947|H-1993|H-1995|H-206|H-2115|H-2125|H-2131|H-2142|H-216|H-218|H-219|H-2197|H-2209|H-2213|H-2214|H-2215|H-2238|H-229|H-231|H-233|H-237|H-239|H-245|H-248|H-296|H-303|H-306|H-309|H-311|H-316|H-326|H-329|H-343|H-344|H-345|H-352|H-353|H-354|H-355|H-356|H-357|H-369|H-372|H-702|H-703|H-733|H-734|H-767|H-770|H-783|H-790|H-798|H-799|H-800|H-818|H-821|H-822|H-827|H-834|H-838|H-846|H-847|H-848|H-857|H-876|H-891|H-900|H-914|H-916|H-924|H-925|H-927|H-928|H-929|H-934|H-935|H-948|H-949|H-951|H-959|H-961|H-976|H-978|H-979|H-986|H-987,+700-033+,2,117,Harappa,POT:T:g|SEAL:CY|SEAL:R|TAB:B|TAB:I,Clay|Faience|Steatite,Bull|Bull2|Bult|Fish|Gavi|Goat:6|Mult|None|Phyt,None|Te
265.1,H-1273|H-1302|H-1303|H-1304|H-1344|H-1345|H-1346|H-1347|H-1827|H-1954|H-233|H-308|H-309|H-312|H-313|H-314|H-315|H-316|H-317|H-352|H-353|H-354|H-355|H-356|H-357|H-932|H-933|H-934|H-935|H-936|H-937|H-960|H-962|H-978|H-979|H-987|M-2097,+400-740-176+,3,37,Harappa|Mohenjo-daro,ROD|SEAL:R|TAB:B|TAB:I,Clay|Faience|Ivory|Steatite,Bull|Bult|None,None
266.1,H-1158|H-287|H-879|H-880|H-881|H-882,+400-740-760-605+,4,6,Harappa,TAB:B|TAB:I,Steatite,Gavi,None
273.1,H-1102,+400-740-382+,3,1,Harappa,TAB:B,Faience,None,None
281.1,H-1331|H-1332|H-2033|H-2034|H-347,+400-098+,2,5,Harappa,TAB:I,Steatite,Goat|None,None
282.2,H-1330|H-329|M-185|M-978,+520-220+,2,4,Harappa|Mohenjo-daro,SEAL:S|TAB:I,Steatite,Bull1|Bull1:L|None,None|RBF|SAN
284.1,H-1030,+090-740-103-002-861+,5,1,Harappa,SEAL:S,NA,Bull1:W,RAF
288.1,H-1402,+740-798-820+,3,1,Harappa,POT:T:g,Clay,None,None
290.1,H-1112|H-1842|H-1851|H-1858|H-1859|H-1897|H-1903|H-1912|H-1924|H-1938|H-211|H-2272|H-249|H-323|H-776|H-781|H-789|H-792|H-793|H-795|H-812|H-816|H-931|H-942|H-950,+033-700+,2,25,Harappa,POT:T:g|TAB:B|TAB:I,Clay|Faience|Steatite,Bult|None,None
292.1,H-1032|H-62|M-1108,+740-100-140-003+,4,3,Harappa|Mohenjo-daro,SEAL:S,Steatite,Bull1:W|Zebu,None|SAN
293.1,H-1033,+220-500-520-002-862-032+,6,1,Harappa,SEAL:S,Steatite,Bull1:W,NA
294.1,H-161,+740-760-070-921-315-233+,6,1,Harappa,SEAL:R,Steatite,None,None
295.1,H-1187|H-1866|H-1939|H-1991|H-2084|H-301|H-786|H-787|H-905|H-906|H-988,+824-892-413+,3,11,Harappa,TAB:B|TAB:I,Clay|Faience|Steatite,Bult|None,None
295.2,H-1187,+740-924+,2,1,Harappa,TAB:I,Steatite,Bult,None
297.1,H-874,+520-233-240+,3,1,Harappa,TAB:B,Clay,None,None
297.2,H-874,+400-740-455+,3,1,Harappa,TAB:B,Clay,None,None
303.1,H-1043,+151-760-220-003-002-861+,6,1,Harappa,SEAL:S,Steatite,Bull1:W,HBF
306.1,H-1080|H-179|H-2137,+740-100-176+,3,3,Harappa,SEAL:R|TAB:B|TAB:I,Clay|Steatite,None|Scene,None
310.1,H-2099|H-911,+416-590-033+,3,2,Harappa,TAB:I,Steatite,None,None
311.1,H-1192,+400-740-767-220-416+,5,1,Harappa,TAB:I,Steatite,None,None
311.2,H-1192,+700-220-004+,3,1,Harappa,TAB:I,Steatite,None,None
313.1,H-1123,+525-550-220+,3,1,Harappa,TAB:B,Faience,None,None
315.1,H-1517,+405-005-002+,3,1,Harappa,ROD,Ivory,None,None
317.1,H-1321,+400-226-032+,3,1,Harappa,TAB:B,Steatite,None,None
319.1,H-1077,+400-255-400-165-900-001+,6,1,Harappa,SEAL:R,Steatite,None,None
322.1,H-1027,+520-033-706-231-415-803+,6,1,Harappa,SEAL:S,Steatite,Bull1:W,SAN
370.1,H-2016|H-811,+317-740-335-740-176-002-920-491+,8,2,Harappa,TAB:B,Clay|Faience,None,None
370.2,H-2016|H-811,+700-032-740-335-575-413+,6,2,Harappa,TAB:B,Clay|Faience,None,None
371.2,H-1771|H-1772|H-1773,+740-031-001-140+,4,3,Harappa,TAB:B,Faience,Goat:4,None
373.2,H-1924,+550-003-435+,3,1,Harappa,TAB:B,Faience,None,None
374.2,H-1893,+390-003-060-550+,4,1,Harappa,TAB:B,Faience,None,None
375.1,H-1881|H-371|H-801,+700-036+,2,3,Harappa,POT:T:g|TAB:B,Clay|Faience,None,None
375.2,H-1881,+415-700-033-171+,4,1,Harappa,TAB:B,Faience,None,None
378.1,H-1776,+740-390-590-060-550+,5,1,Harappa,TAB:B,Faience,Elep,None
379.1,H-1996|K-19|M-224|M-404,+405-005+,2,4,Harappa|Kalibangan|Mohenjo-daro,SEAL:R|SEAL:S|TAB:B,Clay|Steatite,Bull1:W|None,None|SAN
382.2,H-1894|H-1929,+400-740-061-140+,4,2,Harappa,TAB:B,Faience,Bull2|None,None|Te
386.2,H-1853,+400-617-829+,3,1,Harappa,TAB:B,Faience,None,None
390.1,H-1181|H-2063|H-2066|H-299|H-897,+868-706-590+,3,5,Harappa,TAB:I,Steatite,None,None
390.2,H-1181|H-2062|H-2063|H-2066|H-299|H-358|H-761|H-896|H-897,+400-156-435-255+,4,9,Harappa,TAB:B|TAB:I,Steatite,None,None
392.2,H-1858|H-1859|H-1956|H-2104|H-215|H-976,+400-137+,2,6,Harappa,TAB:B|TAB:I,Faience|Steatite,Fish|Mult|None,None
394.2,H-1987,+390-004-455-371-741-590+,6,1,Harappa,TAB:B,Clay,None,None
396.1,H-1876|H-1877|H-1880|H-1937|H-2097|H-2154|H-2208|H-358|H-853|H-892|H-933|H-938|H-945,+034-700+,2,13,Harappa,TAB:B|TAB:I,Faience|Steatite,Bult|Fish|None,None
396.2,H-1876|H-1877,+400-775-516+,3,2,Harappa,TAB:B,Faience,None,None
397.2,H-2140|H-2141,+565-740-176-231+,4,2,Harappa,TAB:I,Steatite,None,None
401.1,H-2003|M-1844|M-984,+390-004-002-817+,4,3,Harappa|Mohenjo-daro,SEAL:S|TAB:B,Clay|Steatite,Bull1|Bull1:U|Mult,None|SAN
402.2,H-2015,+520-033-705-235-832-002-817+,7,1,Harappa,TAB:B,Clay,None,None
403.1,H-1920,+740-515-126+,3,1,Harappa,TAB:B,Faience,None,None
405.1,H-1140|H-1141|H-1325|H-2192|H-236|H-300,+690-368-817+,3,6,Harappa,TAB:B|TAB:I,Faience|Steatite,Fish|None,None
405.2,H-2192,+740-630-240-031-032-171+,6,1,Harappa,TAB:I,Steatite,None,None
406.2,H-1895|H-251,+400-740-100-240+,4,2,Harappa,TAB:B,Faience,Gaur|None,None|Trough
407.3,H-2213|H-2214|H-2246,+740-760-840-799+,4,3,Harappa,TAB:I,Steatite,Bult|None,None
409.1,H-1797|H-1855|H-1864|H-1932|H-1942|H-1945|H-212|H-321|H-359|H-777|H-779|H-794|H-813|H-817|H-839|H-849|H-850,+032-700+,2,17,Harappa,TAB:B|TAB:I,Faience|Steatite,Bult|Fish|Gavi|None,None
409.2,H-1942,+405-035-002-861+,4,1,Harappa,TAB:B,Faience,Bult,None
410.2,H-1897,+400-740-904-240+,4,1,Harappa,TAB:B,Faience,None,None
414.2,H-1915,+032-920-491+,3,1,Harappa,TAB:B,Faience,None,None
415.2,H-1832,+400-297-352-892-590-740-176+,7,1,Harappa,TAB:B,Faience,None,None
416.1,H-2035,+220-233+,2,1,Harappa,TAB:I,Steatite,Gavi,None
417.1,H-1101|H-1957|H-286,+400-090+,2,3,Harappa,TAB:B|TAB:I,Clay|Steatite,Goat:2|Mult,None
419.2,H-1898,+400-368-741+,3,1,Harappa,TAB:B,Faience,None,None
420.1,H-2174,+090-100-415-717+,4,1,Harappa,TAB:I,Steatite,Fish,None
422.2,H-1943,+740-384-031+,3,1,Harappa,TAB:B,Faience,Bult,None
423.1,H-1997,+400-740-176-235+,4,1,Harappa,TAB:B,Faience,Mult,None
424.2,H-1845|H-237,+740-642-240-060-692+,5,2,Harappa,TAB:B,Faience,None,None
425.2,H-2125,+740-143-067+,3,1,Harappa,TAB:I,Steatite,None,None
426.1,H-1714,+407-790-032+,3,1,Harappa,SEAL:R,Steatite,None,None
427.2,H-178|H-1854|H-2136,+400-740-717+,3,3,Harappa,TAB:B|TAB:I,Clay|Faience|Steatite,Anth|None,None
430.1,H-1673,+405-004-104+,3,1,Harappa,SEAL:S,Steatite,Bull1:W,SAN
433.1,H-1905,+740-843+,2,1,Harappa,TAB:B,Faience,None,None
434.1,H-2570,+700-034-001+,3,1,Harappa,ROD,Bone,None,None
437.2,H-1907|H-1908|H-1912|H-819|M-186|M-208|M-657,+520-240+,2,7,Harappa|Mohenjo-daro,SEAL:S|TAB:B,Faience|Steatite,Bull1:J|Bull1:W|None,None|RAN|SAN
448.1,H-1967,+382-760-382-002-820+,5,1,Harappa,TAB:B,Clay,Mult,None
453.2,H-1778|H-1909,+740-817-491+,3,2,Harappa,TAB:B,Faience,Gavi|None,None
455.1,H-2076|H-2077|H-903,+740-760-240+,3,3,Harappa,TAB:I,Steatite,None,None
458.2,H-1940,+400-740-067-100+,4,1,Harappa,TAB:B,Faience,Bult,None
459.2,H-1991|H-847|M-1886,+740-100-415+,3,3,Harappa|Mohenjo-daro,SEAL:S|TAB:B,Clay|Faience|Steatite,Gaur|None,None|Trough
461.1,H-1919,+700-031+,2,1,Harappa,TAB:B,Faience,None,None
461.2,H-1919,+740-892+,2,1,Harappa,TAB:B,Faience,None,None
463.1,H-1827,+700-032-690-368-817+,5,1,Harappa,TAB:B,Faience,None,None
464.1,H-2210|H-585|H-596|M-179|M-1857|M-2010,+390-003+,2,6,Harappa|Mohenjo-daro,SEAL:S|TAB:I|TAG:O,Clay|Faience|Steatite,Bull1|Bull1:S|Bult|None|Zebu,?|None|SAN
466.1,H-1882,+002-820+,2,1,Harappa,TAB:B,Faience,None,None
466.2,H-1882|H-2119|H-2123|H-2190|H-2218|H-2219|H-2220|H-2221|H-2222|H-2223|H-2224|H-2225|H-2226|H-2227|H-2228|H-2229|H-2230|H-2231|H-2232|H-2233|H-2234|H-2235|H-2236|H-2237|H-2238|H-2239|H-921|H-922|H-923,+861-003+,2,29,Harappa,TAB:B|TAB:I,Faience|Steatite|steatite,None,None
467.2,H-1825,+740-176-220+,3,1,Harappa,TAB:B,Faience,None,None
472.1,H-2084|L-9,+526-555-235+,3,2,Harappa|Lothal,SEAL:S|TAB:I,Steatite,Bull1:W|None,None|SAF
476.2,H-2094|H-2095|H-2096|H-2097|H-910,+002-861-416+,3,5,Harappa,TAB:I,Steatite,None,None
479.1,H-1669,+520-220-415-060-920+,5,1,Harappa,SEAL:S,Steatite,Bull1:W,SAN
480.2,H-1850,+400-740-760-382+,4,1,Harappa,TAB:B,Faience,None,None
485.1,H-1953,+700-032-220+,3,1,Harappa,TAB:B,Clay,Zebu,None
485.2,H-1953,+520-220-415-240-803+,5,1,Harappa,TAB:B,Clay,Zebu,None
490.2,H-2184,+400-740-032-015+,4,1,Harappa,TAB:I,Steatite,None,None
491.1,H-2127|H-2128,+455-590-142-220+,4,2,Harappa,TAB:I,Steatite,None,None
491.2,H-2127|H-2128,+504-350-741-060-920+,5,2,Harappa,TAB:I,Steatite,None,None
494.1,H-741|H-742,+400-740-100-176-175+,5,2,Harappa,TAB:B,Faience,None,SAN
498.1,H-1921|H-246,+125-700-033+,3,2,Harappa,TAB:B,NA,None,None
499.1,H-1862,+700-033-368-091+,4,1,Harappa,TAB:B,NA,None,None
499.2,H-1862,+700-033-400-740-388+,5,1,Harappa,TAB:B,NA,None,None
501.1,H-2576,+534-556+,2,1,Harappa,BNGL,Stoneware,None,None
502.1,H-1664|K-97,+405-003+,2,2,Harappa|Kalibangan,POT:T:g|SEAL:S,Clay|Steatite,Bull1:W|None,None|SAN
506.2,H-1867,+151-740-221+,3,1,Harappa,TAB:B,Faience,None,None
508.2,H-1868|H-1869,+151-740-222+,3,2,Harappa,TAB:B,Faience,None,None
510.1,H-1916|H-1917,+700-004+,2,2,Harappa,TAB:B,Faience,None,None
510.2,H-1916,+520-070-255-832+,4,1,Harappa,TAB:B,Faience,None,None
512.2,H-1811|H-1812|H-1814|H-1816|H-774,+400-525-550-033-705-240+,6,5,Harappa,TAB:B,Faience,None,None
513.1,H-1671,+740-061-002-455-420-032+,6,1,Harappa,SEAL:S,NA,Bull1:S,RAN
516.2,H-1937|H-1938|M-455|M-857|M-950,+740-690-435-255+,4,5,Harappa|Mohenjo-daro,SEAL:S|TAB:B,Faience|Steatite,Bull1|Bult|Scene,None|S
519.2,H-2186,+390-004-155-390+,4,1,Harappa,TAB:I,Steatite,None,None
526.1,H-1770|H-243|H-698,+400-520-233+,3,3,Harappa,TAB:B,Faience,Gaur|Pipal,None|Trough
530.1,H-1677,+156-140+,2,1,Harappa,SEAL:S,Steatite,Bull1,SAN
532.1,H-2062|H-2069|H-896|H-899,+868-705-590+,3,4,Harappa,TAB:I,Steatite,None,None
532.2,H-2069,+700-034-400-525-550+,5,1,Harappa,TAB:I,Steatite,None,None
533.1,H-2175,+090-740-101-031+,4,1,Harappa,TAB:I,Steatite,Fish,None
534.1,H-2036,+400-740-637+,3,1,Harappa,TAB:I,Steatite,Gavi,None
535.1,H-182|H-1977|H-2187|H-306|H-723|H-825|L-59,+740-032-840+,3,9,Harappa|Lothal,SEAL:S|TAB:B|TAB:I,Clay|Faience|Steatite,Mult|None|Phyt|Scene,None
537.1,H-1692,+740-390-590-002-861+,5,1,Harappa,SEAL:S,Steatite,None,None
544.2,H-2115|H-322|H-967,+400-740-032-028+,4,3,Harappa,TAB:I,Steatite,None,None
548.2,H-1931,+400-740-176-791+,4,1,Harappa,TAB:B,Faience,Gavi,None
549.2,H-2204|H-2207|H-2208|H-303|H-917,+400-740-032-027+,4,5,Harappa,TAB:I,Steatite,Fish|None,None
550.2,H-1822,+400-740-176-519+,4,1,Harappa,TAB:B,Faience,None,None
552.1,H-1767|H-49|M-401,+617-550-003+,3,3,Harappa|Mohenjo-daro,SEAL:R|SEAL:S|TAB:B,Faience|Steatite,Bull1:S|None|Zebu,None|SAN
554.2,H-1906,+400-090-740-400-090+,5,1,Harappa,TAB:B,Faience,None,None
556.2,H-1939,+400-740-141+,3,1,Harappa,TAB:B,Faience,Bult,None
557.2,H-1855,+400-153-118+,3,1,Harappa,TAB:B,Faience,None,None
559.1,H-1834|H-982,+740-388-031+,3,2,Harappa,SEAL:R|TAB:B,Faience|Steatite,Bult|None,None
559.2,H-1834,+298-350-892-590+,4,1,Harappa,TAB:B,Faience,None,None
560.2,H-1873,+400-236-233+,3,1,Harappa,TAB:B,Faience,None,None
561.2,H-1810|H-1815,+033-711-335-575-413+,5,2,Harappa,TAB:B,Faience,None,None
567.2,H-1923,+400-740-032-840+,4,1,Harappa,TAB:B,Faience,None,None
569.2,H-1922|H-248,+400-740-920-320-233-240-798+,7,2,Harappa,TAB:B,Faience,None,None
570.2,H-1797,+740-690-435-255-055+,5,1,Harappa,TAB:B,Faience,Bult,None
