"id","cisi","type","site","short_side_index","sides","direction","companion","order","short_text","token_string","context_class","side_relation","longer_row_count","longer_side_indexes","longer_texts","longer_tokens","has_long_400","has_long_740","has_long_176","has_long_240","has_long_031","has_long_001","has_long_140","has_long_368","has_long_900","has_sequence_400740176","has_sequence_740031001140","has_sequence_368900","group_signature","interpretation_status"
"1250.2","H-219","TAB:B","Harappa","2","2","R/L","033","700_first","+700-033+","700;033","single_longer_text","short_after_all_longer","1","1","+415-035-171+","035;171;415","false","false","false","false","false","false","false","false","false","false","false","false","1:+415-035-171+|2:+700-033+","context_orientation_audit_only_no_reading"
"1256.2","H-229","TAB:B","Harappa","2","2","R/L","033","700_first","+700-033+","700;033","single_longer_text","short_after_all_longer","1","1","+400-740-892-617+","400;617;740;892","true","true","false","false","false","false","false","false","false","false","false","false","1:+400-740-892-617+|2:+700-033+","context_orientation_audit_only_no_reading"
"1257.2","H-230","TAB:B","Harappa","2","2","R/L","032","700_first","+700-032+","700;032","single_longer_text","short_after_all_longer","1","1","+520-072-219+","072;219;520","false","false","false","false","false","false","false","false","false","false","false","false","1:+520-072-219+|2:+700-032+","context_orientation_audit_only_no_reading"
"1258.2","H-231","TAB:B","Harappa","2","2","R/L","033","700_first","+700-033+","700;033","single_longer_text","short_after_all_longer","1","1","+520-220-240-002-820+","002;220;240;520;820","false","false","false","true","false","false","false","false","false","false","false","false","1:+520-220-240-002-820+|2:+700-033+","context_orientation_audit_only_no_reading"
"1259.2","H-232","TAB:B","Harappa","2","2","R/L","032","700_first","+700-032+","700;032","single_longer_text","short_after_all_longer","1","1","+400-740-177-519+","177;400;519;740","true","true","false","false","false","false","false","false","false","false","false","false","1:+400-740-177-519+|2:+700-032+","context_orientation_audit_only_no_reading"
"1260.2","H-233","TAB:B","Harappa","2","2","R/L","033","700_first","+700-033+","700;033","single_longer_text","short_after_all_longer","1","1","+400-740-176+","176;400;740","true","true","true","false","false","false","false","false","false","true","false","false","1:+400-740-176+|2:+700-033+","context_orientation_audit_only_no_reading"
"1263.2","H-237","TAB:B","Harappa","2","2","L/R","033","700_first","+700-033+","700;033","single_longer_text","short_after_all_longer","1","1","+740-642-240-060-692+","060;240;642;692;740","false","true","false","true","false","false","false","false","false","false","false","false","1:+740-642-240-060-692+|2:+700-033+","context_orientation_audit_only_no_reading"
"1264.2","H-239","TAB:B","Harappa","2","2","R/L","033","700_first","+700-033+","700;033","single_short_no_longer_text","no_longer_text","0","","","","false","false","false","false","false","false","false","false","false","false","false","false","1:+390-060/740-500-091+|2:+700-033+","context_orientation_audit_only_no_reading"
"1270.2","H-245","TAB:B","Harappa","2","2","R/L","033","700_first","+700-033+","700;033","single_longer_text","short_after_all_longer","1","1","+400-807-740-219+","219;400;740;807","true","true","false","false","false","false","false","false","false","false","false","false","1:+400-807-740-219+|2:+700-033+","context_orientation_audit_only_no_reading"
"1273.2","H-248","TAB:B","Harappa","2","2","R/L","033","700_first","+700-033+","700;033","single_longer_text","short_after_all_longer","1","1","+400-740-920-320-233-240-798+","233;240;320;400;740;798;920","true","true","false","true","false","false","false","false","false","false","false","false","1:+400-740-920-320-233-240-798+|2:+700-033+","context_orientation_audit_only_no_reading"
"1274.1","H-249","TAB:B","Harappa","1","2","R/L","033","700_last","+033-700+","033;700","all_short_or_no_longer_text","no_longer_text","0","","","","false","false","false","false","false","false","false","false","false","false","false","false","1:+033-700+|2:+520-233+","context_orientation_audit_only_no_reading"
"1276.2","H-251","TAB:B","Harappa","2","2","R/L","032","700_first","+700-032+","700;032","single_longer_text","short_after_all_longer","1","1","+400-740-100-240+","100;240;400;740","true","true","false","true","false","false","false","false","false","false","false","false","1:+400-740-100-240+|2:+700-032+","context_orientation_audit_only_no_reading"
"1307.2","H-285","TAB:I","Harappa","2","2","R/L","034","700_first","+700-034+","700;034","single_short_no_longer_text","no_longer_text","0","","","","false","false","false","false","false","false","false","false","false","false","false","false","1:+740-382-002[|2:+700-034+","context_orientation_audit_only_no_reading"
"1318.2","H-296","TAB:I","Harappa","2","2","R/L","033","700_first","+700-033+","700;033","single_longer_text","short_after_all_longer","1","1","+400-740-575-017-920+","017;400;575;740;920","true","true","false","false","false","false","false","false","false","false","false","false","1:+400-740-575-017-920+|2:+700-033+","context_orientation_audit_only_no_reading"
"1319.2","H-297","TAB:I","Harappa","2","2","R/L","034","700_first","+700-034+","700;034","single_longer_text","short_after_all_longer","1","1","+400-151-336-630-706+","151;336;400;630;706","true","false","false","false","false","false","false","false","false","false","false","false","1:+400-151-336-630-706+|2:+700-034+","context_orientation_audit_only_no_reading"
"1325.2","H-303","TAB:I","Harappa","2","2","R/L","033","700_first","+700-033+","700;033","single_longer_text","short_after_all_longer","1","1","+400-740-032-027+","027;032;400;740","true","true","false","false","false","false","false","false","false","false","false","false","1:+400-740-032-027+|2:+700-033+","context_orientation_audit_only_no_reading"
"1328.2","H-306","TAB:I","Harappa","2","2","R/L","033","700_first","+700-033+","700;033","single_longer_text","short_after_all_longer","1","1","+740-032-840+","032;740;840","false","true","false","false","false","false","false","false","false","false","false","false","1:+740-032-840+|2:+700-033+","context_orientation_audit_only_no_reading"
"1329.2","H-307","TAB:I","Harappa","2","2","R/L","034","700_first","+700-034+","700;034","all_short_or_no_longer_text","no_longer_text","0","","","","false","false","false","false","false","false","false","false","false","false","false","false","1:+368-900+|2:+700-034+","context_orientation_audit_only_no_reading"
"1330.2","H-308","TAB:I","Harappa","2","2","R/L","034","700_first","+700-034+","700;034","single_longer_text","short_after_all_longer","1","1","+400-740-176+","176;400;740","true","true","true","false","false","false","false","false","false","true","false","false","1:+400-740-176+|2:+700-034+","context_orientation_audit_only_no_reading"
"1331.2","H-309","TAB:I","Harappa","2","2","R/L","033","700_first","+700-033+","700;033","single_longer_text","short_after_all_longer","1","1","+400-740-176+","176;400;740","true","true","true","false","false","false","false","false","false","true","false","false","1:+400-740-176+|2:+700-033+","context_orientation_audit_only_no_reading"
"1333.2","H-311","TAB:I","Harappa","2","2","R/L","033","700_first","+700-033+","700;033","single_longer_text","short_after_all_longer","1","1","+400-740-178+","178;400;740","true","true","false","false","false","false","false","false","false","false","false","false","1:+400-740-178+|2:+700-033+","context_orientation_audit_only_no_reading"
"1334.2","H-312","TAB:I","Harappa","2","2","R/L","034","700_first","+700-034+","700;034","single_longer_text","short_after_all_longer","1","1","+400-740-176+","176;400;740","true","true","true","false","false","false","false","false","false","true","false","false","1:+400-740-176+|2:+700-034+","context_orientation_audit_only_no_reading"
"1335.2","H-313","TAB:I","Harappa","2","2","R/L","034","700_first","+700-034+","700;034","single_longer_text","short_after_all_longer","1","1","+400-740-176+","176;400;740","true","true","true","false","false","false","false","false","false","true","false","false","1:+400-740-176+|2:+700-034+","context_orientation_audit_only_no_reading"
"1336.2","H-314","TAB:I","Harappa","2","2","R/L","034","700_first","+700-034+","700;034","single_longer_text","short_after_all_longer","1","1","+400-740-176+","176;400;740","true","true","true","false","false","false","false","false","false","true","false","false","1:+400-740-176+|2:+700-034+","context_orientation_audit_only_no_reading"
"1337.2","H-315","TAB:I","Harappa","2","2","R/L","032","700_first","+700-032+","700;032","single_longer_text","short_after_all_longer","1","1","+400-740-176+","176;400;740","true","true","true","false","false","false","false","false","false","true","false","false","1:+400-740-176+|2:+700-032+","context_orientation_audit_only_no_reading"
"1338.2","H-316","TAB:I","Harappa","2","2","R/L","033","700_first","+700-033+","700;033","single_longer_text","short_after_all_longer","1","1","+400-740-176+","176;400;740","true","true","true","false","false","false","false","false","false","true","false","false","1:+400-740-176+|2:+700-033+","context_orientation_audit_only_no_reading"
"1339.2","H-317","TAB:I","Harappa","2","2","R/L","034","700_first","+700-034+","700;034","single_longer_text","short_after_all_longer","1","1","+400-740-176+","176;400;740","true","true","true","false","false","false","false","false","false","true","false","false","1:+400-740-176+|2:+700-034+","context_orientation_audit_only_no_reading"
"1341.2","H-319","TAB:I","Harappa","2","2","R/L","034","700_first","+700-034+","700;034","single_longer_text","short_after_all_longer","1","1","+520-220-415+","220;415;520","false","false","false","false","false","false","false","false","false","false","false","false","1:+520-220-415+|2:+700-034+","context_orientation_audit_only_no_reading"
"1342.2","H-320","TAB:I","Harappa","2","2","R/L","034","700_first","+700-034+","700;034","single_short_no_longer_text","no_longer_text","0","","","","false","false","false","false","false","false","false","false","false","false","false","false","1:+520-240-000+|2:+700-034+","context_orientation_audit_only_no_reading"
"1343.2","H-321","TAB:I","Harappa","2","2","R/L","032","700_last","+032-700+","032;700","single_longer_text","short_after_all_longer","1","1","+740-690-630-240+","240;630;690;740","false","true","false","true","false","false","false","false","false","false","false","false","1:+740-690-630-240+|2:+032-700+","context_orientation_audit_only_no_reading"
"1344.2","H-322","TAB:I","Harappa","2","2","R/L","032","700_first","+700-032+","700;032","single_longer_text","short_after_all_longer","1","1","+400-740-032-028+","028;032;400;740","true","true","false","false","false","false","false","false","false","false","false","false","1:+400-740-032-028+|2:+700-032+","context_orientation_audit_only_no_reading"
"1345.2","H-323","TAB:I","Harappa","2","2","R/L","033","700_last","+033-700+","033;700","single_longer_text","short_after_all_longer","1","1","+740-100-240+","100;240;740","false","true","false","true","false","false","false","false","false","false","false","false","1:+740-100-240+|2:+033-700+","context_orientation_audit_only_no_reading"
"1346.2","H-324","TAB:I","Harappa","2","2","R/L","034","700_first","+700-034+","700;034","single_longer_text","short_after_all_longer","1","1","+400-156-384-031+","031;156;384;400","true","false","false","false","true","false","false","false","false","false","false","false","1:+400-156-384-031+|2:+700-034+","context_orientation_audit_only_no_reading"
"1348.2","H-326","TAB:I","Harappa","2","2","R/L","033","700_first","+700-033+","700;033","single_longer_text","short_after_all_longer","1","1","+740-840-013+","013;740;840","false","true","false","false","false","false","false","false","false","false","false","false","1:+740-840-013+|2:+700-033+","context_orientation_audit_only_no_reading"
"1349.2","H-327","TAB:I","Harappa","2","2","R/L","032","700_first","+700-032+","700;032","single_short_no_longer_text","no_longer_text","0","","","","false","false","false","false","false","false","false","false","false","false","false","false","1:+156-000-000+|2:+700-032+","context_orientation_audit_only_no_reading"
"1351.2","H-329","TAB:I","Harappa","2","2","R/L","033","700_first","+700-033+","700;033","all_short_or_no_longer_text","no_longer_text","0","","","","false","false","false","false","false","false","false","false","false","false","false","false","1:+520-220+|2:+700-033+","context_orientation_audit_only_no_reading"
"1361.2","H-340","TAB:I","Harappa","2","2","R/L","032","700_first","+700-032+","700;032","single_short_no_longer_text","no_longer_text","0","","","","false","false","false","false","false","false","false","false","false","false","false","false","1:+013-840-032-626-000[|2:+700-032+","context_orientation_audit_only_no_reading"
"1362.2","H-341","TAB:I","Harappa","2","2","R/L","032","700_first","+700-032+","700;032","single_longer_text","short_after_all_longer","1","1","+400-740-336-176+","176;336;400;740","true","true","true","false","false","false","false","false","false","false","false","false","1:+400-740-336-176+|2:+700-032+","context_orientation_audit_only_no_reading"
"1363.2","H-343","TAB:I","Harappa","2","2","R/L","033","700_first","+700-033+","700;033","single_longer_text","short_after_all_longer","1","1","+740-861-877+","740;861;877","false","true","false","false","false","false","false","false","false","false","false","false","1:+740-861-877+|2:+700-033+","context_orientation_audit_only_no_reading"
"1364.2","H-344","TAB:I","Harappa","2","2","R/L","033","700_first","+700-033+","700;033","single_longer_text","short_after_all_longer","1","1","+526-550-220+","220;526;550","false","false","false","false","false","false","false","false","false","false","false","false","1:+526-550-220+|2:+700-033+","context_orientation_audit_only_no_reading"
"1365.2","H-345","TAB:I","Harappa","2","2","R/L","033","700_first","+700-033+","700;033","single_longer_text","short_after_all_longer","1","1","+090-740-362+","090;362;740","false","true","false","false","false","false","false","false","false","false","false","false","1:+090-740-362+|2:+700-033+","context_orientation_audit_only_no_reading"
"1369.2","H-350","TAB:I","Harappa","2","2","R/L","034","700_first","+700-034+","700;034","single_longer_text","short_after_all_longer","1","1","+740-690-642-240+","240;642;690;740","false","true","false","true","false","false","false","false","false","false","false","false","1:+740-690-642-240+|2:+700-034+","context_orientation_audit_only_no_reading"
"1370.2","H-351","TAB:I","Harappa","2","2","R/L","034","700_first","+700-034+","700;034","single_longer_text","short_after_all_longer","1","1","+400-740-032-060-013+","013;032;060;400;740","true","true","false","false","false","false","false","false","false","false","false","false","1:+400-740-032-060-013+|2:+700-034+","context_orientation_audit_only_no_reading"
"1372.2","H-353","TAB:I","Harappa","2","2","R/L","033","700_first","+700-033+","700;033","single_longer_text","short_after_all_longer","1","1","+400-740-176+","176;400;740","true","true","true","false","false","false","false","false","false","true","false","false","1:+400-740-176+|2:+700-033+","context_orientation_audit_only_no_reading"
"1374.2","H-355","TAB:I","Harappa","2","3","R/L","033","700_first","+700-033+","700;033","single_longer_text","short_after_all_longer","1","1","+400-740-176+","176;400;740","true","true","true","false","false","false","false","false","false","true","false","false","1:+400-740-176+|2:+700-033+|3:+700-033+","context_orientation_audit_only_no_reading"
"1374.3","H-355","TAB:I","Harappa","3","3","R/L","033","700_first","+700-033+","700;033","single_longer_text","short_after_all_longer","1","1","+400-740-176+","176;400;740","true","true","true","false","false","false","false","false","false","true","false","false","1:+400-740-176+|2:+700-033+|3:+700-033+","context_orientation_audit_only_no_reading"
"1375.1","H-356","TAB:I","Harappa","1","2","R/L","033","700_first","+700-033+","700;033","single_longer_text","short_before_all_longer","1","2","+400-740-176+","176;400;740","true","true","true","false","false","false","false","false","false","true","false","false","1:+700-033+|2:+400-740-176+","context_orientation_audit_only_no_reading"
"1376.2","H-357","TAB:I","Harappa","2","2","R/L","033","700_first","+700-033+","700;033","single_longer_text","short_after_all_longer","1","1","+400-740-176+","176;400;740","true","true","true","false","false","false","false","false","false","true","false","false","1:+400-740-176+|2:+700-033+","context_orientation_audit_only_no_reading"
"1377.2","H-358","TAB:I","Harappa","2","3","R/L","034","700_last","+034-700+","034;700","single_longer_text","short_after_all_longer","1","1","+400-156-435-255+","156;255;400;435","true","false","false","false","false","false","false","false","false","false","false","false","1:+400-156-435-255+|2:+034-700+|3:+740-000+","context_orientation_audit_only_no_reading"
"1378.2","H-359","TAB:I","Harappa","2","2","R/L","032","700_last","+032-700+","032;700","single_longer_text","short_after_all_longer","1","1","+526-550-220+","220;526;550","false","false","false","false","false","false","false","false","false","false","false","false","1:+526-550-220+|2:+032-700+","context_orientation_audit_only_no_reading"
"1380.2","H-361","TAB:I","Harappa","2","2","R/L","032","700_first","+700-032+","700;032","single_short_no_longer_text","no_longer_text","0","","","","false","false","false","false","false","false","false","false","false","false","false","false","1:+740-000-000-000+|2:+700-032+","context_orientation_audit_only_no_reading"
"1381.2","H-362","TAB:I","Harappa","2","2","R/L","032","700_first","+700-032+","700;032","single_longer_text","short_after_all_longer","1","1","+740-760-797+","740;760;797","false","true","false","false","false","false","false","false","false","false","false","false","1:+740-760-797+|2:+700-032+","context_orientation_audit_only_no_reading"
"1382.2","H-363","TAB:I","Harappa","2","3","R/L","034","700_first","+700-034+","700;034","single_longer_text","short_after_all_longer","1","1","+565-741-263+","263;565;741","false","false","false","false","false","false","false","false","false","false","false","false","1:+565-741-263+|2:+700-034+|3:+692-892+","context_orientation_audit_only_no_reading"
"1602.2","H-697","TAB:B","Harappa","2","2","R/L","032","700_first","+700-032+","700;032","single_longer_text","short_after_all_longer","1","1","+740-904-240-002-817+","002;240;740;817;904","false","true","false","true","false","false","false","false","false","false","false","false","1:+740-904-240-002-817+|2:+700-032+","context_orientation_audit_only_no_reading"
"1607.2","H-702","TAB:B","Harappa","2","2","R/L","033","700_first","+700-033+","700;033","single_longer_text","short_after_all_longer","1","1","+137-002-820+","002;137;820","false","false","false","false","false","false","false","false","false","false","false","false","1:+137-002-820+|2:+700-033+","context_orientation_audit_only_no_reading"
"1608.2","H-703","TAB:B","Harappa","2","2","R/L","033","700_first","+700-033+","700;033","single_short_no_longer_text","no_longer_text","0","","","","false","false","false","false","false","false","false","false","false","false","false","false","1:]435-255-055+|2:+700-033+","context_orientation_audit_only_no_reading"
"1620.2","H-717","TAB:B","Harappa","2","2","R/L","032","700_first","+700-032+","700;032","all_short_or_no_longer_text","no_longer_text","0","","","","false","false","false","false","false","false","false","false","false","false","false","false","1:+705-904+|2:+700-032+","context_orientation_audit_only_no_reading"
"1057.2","H-733","TAB:B","Harappa","2","2","R/L","033","700_first","+700-033+","700;033","single_longer_text","short_after_all_longer","1","1","+740-390-590-240+","240;390;590;740","false","true","false","true","false","false","false","false","false","false","false","false","1:+740-390-590-240+|2:+700-033+","context_orientation_audit_only_no_reading"
"1633.2","H-734","TAB:B","Harappa","2","2","R/L","033","700_first","+700-033+","700;033","single_longer_text","short_after_all_longer","1","1","+740-390-590-240+","240;390;590;740","false","true","false","true","false","false","false","false","false","false","false","false","1:+740-390-590-240+|2:+700-033+","context_orientation_audit_only_no_reading"
"1658.2","H-766","TAB:B","Harappa","2","2","R/L","032","700_first","+700-032+","700;032","all_short_or_no_longer_text","no_longer_text","0","","","","false","false","false","false","false","false","false","false","false","false","false","false","1:+065-826+|2:+700-032+","context_orientation_audit_only_no_reading"
"1659.2","H-767","TAB:B","Harappa","2","2","R/L","033","700_first","+700-033+","700;033","single_longer_text","short_after_all_longer","1","1","+400-740-220-415-798+","220;400;415;740;798","true","true","false","false","false","false","false","false","false","false","false","false","1:+400-740-220-415-798+|2:+700-033+","context_orientation_audit_only_no_reading"
"1660.2","H-768","TAB:B","Harappa","2","2","R/L","032","700_first","+700-032+","700;032","single_short_no_longer_text","no_longer_text","0","","","","false","false","false","false","false","false","false","false","false","false","false","false","1:+400-740-033-705-233-235-000+|2:+700-032+","context_orientation_audit_only_no_reading"
"1662.2","H-770","TAB:B","Harappa","2","2","R/L","033","700_first","+700-033+","700;033","single_longer_text","short_after_all_longer","1","1","+151-840-416+","151;416;840","false","false","false","false","false","false","false","false","false","false","false","false","1:+151-840-416+|2:+700-033+","context_orientation_audit_only_no_reading"
"1663.2","H-771","TAB:B","Harappa","2","2","R/L","034","700_first","+700-034+","700;034","single_longer_text","short_after_all_longer","1","1","+032-257-840+","032;257;840","false","false","false","false","false","false","false","false","false","false","false","false","1:+032-257-840+|2:+700-034+","context_orientation_audit_only_no_reading"
"1667.2","H-776","TAB:B","Harappa","2","2","R/L","033","700_last","+033-700+","033;700","single_longer_text","short_after_all_longer","1","1","+740-803-741-031-032-716+","031;032;716;740;741;803","false","true","false","false","true","false","false","false","false","false","false","false","1:+740-803-741-031-032-716+|2:+033-700+","context_orientation_audit_only_no_reading"
"1668.1","H-777","TAB:B","Harappa","1","2","R/L","032","700_last","+032-700+","032;700","single_longer_text","short_before_all_longer","1","2","+390-004-104+","004;104;390","false","false","false","false","false","false","false","false","false","false","false","false","1:+032-700+|2:+390-004-104+","context_orientation_audit_only_no_reading"
"1669.1","H-778","TAB:B","Harappa","1","2","R/L","032","700_first","+700-032+","700;032","single_longer_text","short_before_all_longer","1","2","+390-004-817+","004;390;817","false","false","false","false","false","false","false","false","false","false","false","false","1:+700-032+|2:+390-004-817+","context_orientation_audit_only_no_reading"
"1670.1","H-779","TAB:B","Harappa","1","2","R/L","032","700_last","+032-700+","032;700","single_short_no_longer_text","no_longer_text","0","","","","false","false","false","false","false","false","false","false","false","false","false","false","1:+032-700+|2:+000-000-740-233-240+","context_orientation_audit_only_no_reading"
"1671.2","H-780","TAB:B","Harappa","2","2","R/L","034","700_first","+700-034+","700;034","single_longer_text","short_after_all_longer","1","1","+740-400-142-061+","061;142;400;740","true","true","false","false","false","false","false","false","false","false","false","false","1:+740-400-142-061+|2:+700-034+","context_orientation_audit_only_no_reading"
"1672.1","H-781","TAB:B","Harappa","1","2","R/L","033","700_last","+033-700+","033;700","single_longer_text","short_before_all_longer","1","2","+740-904-240+","240;740;904","false","true","false","true","false","false","false","false","false","false","false","false","1:+033-700+|2:+740-904-240+","context_orientation_audit_only_no_reading"
"1674.2","H-783","TAB:B","Harappa","2","2","R/L","033","700_first","+700-033+","700;033","single_short_no_longer_text","no_longer_text","0","","","","false","false","false","false","false","false","false","false","false","false","false","false","1:+400-740-690-000+|2:+700-033+","context_orientation_audit_only_no_reading"
"1676.1","H-785","TAB:B","Harappa","1","2","R/L","034","700_first","+700-034+","700;034","single_short_no_longer_text","no_longer_text","0","","","","false","false","false","false","false","false","false","false","false","false","false","false","1:+700-034+|2:+740-255-000+","context_orientation_audit_only_no_reading"
"1679.2","H-788","TAB:B","Harappa","2","2","R/L","034","700_first","+700-034+","700;034","single_short_no_longer_text","no_longer_text","0","","","","false","false","false","false","false","false","false","false","false","false","false","false","1:+740-255-000+|2:+700-034+","context_orientation_audit_only_no_reading"
"1680.2","H-789","TAB:B","Harappa","2","2","R/L","033","700_last","+033-700+","033;700","single_longer_text","short_after_all_longer","1","1","+400-520-220-016+","016;220;400;520","true","false","false","false","false","false","false","false","false","false","false","false","1:+400-520-220-016+|2:+033-700+","context_orientation_audit_only_no_reading"
"1681.2","H-790","TAB:B","Harappa","2","2","R/L","033","700_first","+700-033+","700;033","single_longer_text","short_after_all_longer","1","1","+400-740-384-033+","033;384;400;740","true","true","false","false","false","false","false","false","false","false","false","false","1:+400-740-384-033+|2:+700-033+","context_orientation_audit_only_no_reading"
"1683.2","H-792","TAB:B","Harappa","2","2","R/L","033","700_last","+033-700+","033;700","single_longer_text","short_after_all_longer","1","1","+400-154-896+","154;400;896","true","false","false","false","false","false","false","false","false","false","false","false","1:+400-154-896+|2:+033-700+","context_orientation_audit_only_no_reading"
"1684.2","H-793","TAB:B","Harappa","2","2","R/L","033","700_last","+033-700+","033;700","single_longer_text","short_after_all_longer","1","1","+400-154-896+","154;400;896","true","false","false","false","false","false","false","false","false","false","false","false","1:+400-154-896+|2:+033-700+","context_orientation_audit_only_no_reading"
"1685.2","H-794","TAB:B","Harappa","2","2","R/L","032","700_last","+032-700+","032;700","single_longer_text","short_after_all_longer","1","1","+400-232-235+","232;235;400","true","false","false","false","false","false","false","false","false","false","false","false","1:+400-232-235+|2:+032-700+","context_orientation_audit_only_no_reading"
"1686.1","H-795","TAB:B","Harappa","1","2","R/L","033","700_last","+033-700+","033;700","single_short_no_longer_text","no_longer_text","0","","","","false","false","false","false","false","false","false","false","false","false","false","false","1:+033-700+|2:+442-000-220-000+","context_orientation_audit_only_no_reading"
"1687.2","H-796","TAB:B","Harappa","2","2","R/L","032","700_first","+700-032+","700;032","all_short_or_no_longer_text","no_longer_text","0","","","","false","false","false","false","false","false","false","false","false","false","false","false","1:+370-455+|2:+700-032+","context_orientation_audit_only_no_reading"
"1689.2","H-798","TAB:B","Harappa","2","2","R/L","033","700_first","+700-033+","700;033","single_short_no_longer_text","no_longer_text","0","","","","false","false","false","false","false","false","false","false","false","false","false","false","1:+158-999-792+|2:+700-033+","context_orientation_audit_only_no_reading"
"1690.2","H-799","TAB:B","Harappa","2","2","R/L","033","700_first","+700-033+","700;033","single_longer_text","short_after_all_longer","1","1","+032-820-100-415+","032;100;415;820","false","false","false","false","false","false","false","false","false","false","false","false","1:+032-820-100-415+|2:+700-033+","context_orientation_audit_only_no_reading"
"1691.2","H-800","TAB:B","Harappa","2","2","R/L","033","700_first","+700-033+","700;033","single_longer_text","short_after_all_longer","1","1","+740-337-692-490+","337;490;692;740","false","true","false","false","false","false","false","false","false","false","false","false","1:+740-337-692-490+|2:+700-033+","context_orientation_audit_only_no_reading"
"1693.2","H-802","TAB:B","Harappa","2","2","R/L","032","700_first","+700-032+","700;032","single_short_no_longer_text","no_longer_text","0","","","","false","false","false","false","false","false","false","false","false","false","false","false","1:+400-740-337-000+|2:+700-032+","context_orientation_audit_only_no_reading"
"1701.2","H-812","TAB:B","Harappa","2","2","R/L","033","700_last","+033-700+","033;700","all_short_or_no_longer_text","no_longer_text","0","","","","false","false","false","false","false","false","false","false","false","false","false","false","1:+368-035+|2:+033-700+","context_orientation_audit_only_no_reading"
"1702.2","H-813","TAB:B","Harappa","2","2","R/L","032","700_last","+032-700+","032;700","single_short_no_longer_text","no_longer_text","0","","","","false","false","false","false","false","false","false","false","false","false","false","false","1:+400-892-000+|2:+032-700+","context_orientation_audit_only_no_reading"
"1703.2","H-814","TAB:B","Harappa","2","2","L/R","032","700_first","+700-032+","700;032","single_longer_text","short_after_all_longer","1","1","+400-820-100-415+","100;400;415;820","true","false","false","false","false","false","false","false","false","false","false","false","1:+400-820-100-415+|2:+700-032+","context_orientation_audit_only_no_reading"
"1704.1","H-815","TAB:B","Harappa","1","2","R/L","032","700_first","+700-032+","700;032","single_longer_text","short_before_all_longer","1","2","+520-072-219+","072;219;520","false","false","false","false","false","false","false","false","false","false","false","false","1:+700-032+|2:+520-072-219+","context_orientation_audit_only_no_reading"
