"queue_rank","priority_band","source_validation_need","representative_cisi","family_cisis","representative_lipi_id","harsh_id","site","type","material","symbol","direction","text","tokens","token_count","family_size","family_source_weight","direction_outcome","stored_logprob","reversed_logprob","diff_per_transition","major_leave_one_delta_stored_win","site_leave_one_delta_stored_win","source_hint_count","best_source_rank","best_source_file","best_status_text","best_source_url","best_local_image","best_sha256","best_note","source_files"
"11","P1_acquire_high_positive_source","find_public_or_request_source_route","M-1320","M-1320","3625.1","one_edit_family_00269","Mohenjo-daro","SEAL:R","Steatite","None","R/L","+527-555-231-240-798+","527 555 231 240 798","5","1","1","stored_higher","-21.455905","-38.715057","2.876525","0.000478","0.000872","0","0","","","","","","",""
"12","P1_acquire_high_positive_source","replace_non_source_grade_catalogue_hint","H-2141","H-2140;H-2141","397.2","one_edit_family_00277","Harappa","TAB:I","Steatite","None","R/L","+565-740-176-231+","565 740 176 231","4","1","2","stored_higher","-18.826261","-33.109812","2.85671","0.000478","0.002333","4","5","lipi_frame700_034_source_acquisition_manifest.csv","no_public_lead_source_required | source_acquisition_only_source_images_not_validated","","","","Request source-grade images/plates for all catalog rows of H-2140. Metadata source hooks: H2000-4475; Figure 42.01. Packet rows to verify: 418.1 +700-034+. All local rows to reconcile: 418.1 +700-034+; 418.2 +565-740-176-231+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","effective_unicity_directionality_source_queue_source_index.csv;lipi_frame700_034_source_acquisition_manifest.csv"
"13","P1_acquire_high_positive_source","find_public_or_request_source_route","M-1885","M-1885","2337.1","one_edit_family_00055","Mohenjo-daro","SEAL:S","Steatite","Gaur","R/L","+151-055-240-235+","151 055 240 235","4","1","1","stored_higher","-18.534938","-32.772332","2.847479","0.000478","0.000872","0","0","","","","","","",""
"14","P1_acquire_high_positive_source","find_public_or_request_source_route","M-1989","M-1989","2176.1","one_edit_family_00317","Mohenjo-daro","SEAL:R","Steatite","None","R/L","+679-740-575-017-798+","679 740 575 017 798","5","1","1","stored_higher","-22.367398","-39.107454","2.790009","0.000478","0.000872","0","0","","","","","","",""
"15","P1_acquire_high_positive_source","replace_non_source_grade_catalogue_hint","M-811","M-811","3224.1","one_edit_family_00126","Mohenjo-daro","SEAL:S","Steatite","Bull1:J","R/L","+226-032-803+","226 032 803","3","1","1","stored_higher","-15.968123","-26.841082","2.71824","0.000478","0.000872","2","0","effective_unicity_directionality_source_queue_source_index.csv","","","","","","effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv"
"16","P1_acquire_high_positive_source","find_public_or_request_source_route","M-1523","M-1523;M-1524","3776.1","one_edit_family_00216","Mohenjo-daro","TAB:C","Copper","Comp","R/L","+407-585-033-705-233-235-806+","407 585 033 705 233 235 806","7","1","2","stored_higher","-27.862474","-49.448777","2.698288","0.000478","0.000872","0","0","","","","","","",""
"17","P1_acquire_high_positive_source","find_public_or_request_source_route","H-152","H-152;H-670;H-681;M-1962;M-1986","1193.1","one_edit_family_00085","Harappa","SEAL:R","-","None","R/L","+154-806-468+","154 806 468","3","2","5","stored_higher","-15.701989","-26.428577","2.681647","0.000478","0.002333","0","0","","","","","","",""
"18","P1_acquire_high_positive_source","find_public_or_request_source_route","M-507","M-1456;M-1457;M-507;M-508","2983.1","one_edit_family_00220","Mohenjo-daro","TAB:C","Copper","Loop","R/L","+407-845-220-415+","407 845 220 415","4","1","4","stored_higher","-16.714236","-30.113735","2.6799","0.003574","0.000872","0","0","","","","","","",""
"19","P1_acquire_high_positive_source","find_public_or_request_source_route","H-1673","H-1673","430.1","one_edit_family_00186","Harappa","SEAL:S","Steatite","Bull1:W","R/L","+405-004-104+","405 004 104","3","1","1","stored_higher","-15.69608","-26.40316","2.67677","0.000478","0.002333","0","0","","","","","","",""
"20","P1_acquire_high_positive_source","find_public_or_request_source_route","H-679","H-679","1586.1","one_edit_family_00281","Harappa","SEAL:R","Steatite","None","R/L","+565-806+","565 806","2","1","1","stored_higher","-12.574005","-20.437656","2.621217","0.000478","0.002333","0","0","","","","","","",""
"21","P1_acquire_high_positive_source","find_public_or_request_source_route","M-365","M-365","2861.1","one_edit_family_00257","Mohenjo-daro","SEAL:R","Steatite","None","R/L","+527-550-033-705-220-415-060-550+","527 550 033 705 220 415 060 550","8","1","1","stored_higher","-32.826166","-56.058648","2.581387","0.003574","0.000872","0","0","","","","","","",""
"22","P1_acquire_high_positive_source","replace_non_source_grade_catalogue_hint","M-253","M-253","2776.1","one_edit_family_00263","Mohenjo-daro","SEAL:S","Steatite","Gaur","R/L","+527-550-803-002-368-518+","527 550 803 002 368 518","6","1","1","stored_higher","-27.985564","-45.683944","2.52834","0.000478","0.000872","2","0","effective_unicity_directionality_source_queue_source_index.csv","","","","","","effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv"
"23","P1_acquire_high_positive_source","find_public_or_request_source_route","M-527","M-527;M-528;M-529;M-530","3001.1","one_edit_family_00005","Mohenjo-daro","TAB:C","Copper","Elep","R/L","+001-740-923-033-706+","001 740 923 033 706","5","1","4","stored_higher","-22.26225","-36.996597","2.455724","0.000478","0.000872","0","0","","","","","","",""
"24","P1_acquire_high_positive_source","find_public_or_request_source_route","M-534","M-1491;M-1492;M-1493;M-1494;M-1547;M-534;M-535;M-536;M-537;M-538;M-539;M-541;M-542;M-593","3006.1","one_edit_family_00215","Mohenjo-daro","TAB:C","Copper","Hare","R/L","+407-321-407-845-033-705-235+","407 321 407 845 033 705 235","7","1","14","stored_higher","-31.958","-51.597204","2.4549","0.000478","0.000872","0","0","","","","","","",""
"25","P1_acquire_high_positive_source","find_public_or_request_source_route","H-680","H-680","1587.1","one_edit_family_00265","Harappa","SEAL:R","-","None","R/L","+527-554-104+","527 554 104","3","1","1","stored_higher","-16.342227","-26.086778","2.436138","0.000478","0.002333","0","0","","","","","","",""
"26","P1_acquire_high_positive_source","replace_non_source_grade_catalogue_hint","M-393","M-393","2889.1","one_edit_family_00316","Mohenjo-daro","SEAL:R","Steatite","None","R/L","+679-740-575-017-240-806-002-540+","679 740 575 017 240 806 002 540","8","1","1","stored_higher","-36.381429","-58.196861","2.423937","0.003574","0.005611","2","0","effective_unicity_directionality_source_queue_source_index.csv","","","","","","effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv"
"27","P1_acquire_high_positive_source","find_public_or_request_source_route","M-525","M-1475;M-525","3000.1","one_edit_family_00232","Mohenjo-daro","TAB:C","Copper","Gaur","R/L","+423-003-001-900-740-690-435-255+","423 003 001 900 740 690 435 255","8","2","2","stored_higher","-33.705395","-55.390031","2.409404","0.000478","0.000872","0","0","","","","","","",""
"28","P1_acquire_high_positive_source","find_public_or_request_source_route","M-1315","M-1315","3620.1","one_edit_family_00300","Mohenjo-daro","SEAL:R","Steatite","None","R/L","+617-142-240+","617 142 240","3","1","1","stored_higher","-14.731947","-24.350785","2.404709","0.000478","0.000872","0","0","","","","","","",""
"29","P1_acquire_high_positive_source","find_public_or_request_source_route","M-386","M-386","2882.1","one_edit_family_00184","Mohenjo-daro","SEAL:R","Steatite","None","R/L","+405-004-001-139+","405 004 001 139","4","1","1","stored_higher","-20.896264","-32.919021","2.404551","0.000478","0.000872","0","0","","","","","","",""
"30","P1_acquire_high_positive_source","find_public_or_request_source_route","H-158","H-158","1199.1","one_edit_family_00087","Harappa","SEAL:R","Steatite","None","R/L","+154-806-472-001-740-405-590+","154 806 472 001 740 405 590","7","1","1","stored_higher","-29.881712","-48.992375","2.388833","0.000478","0.002333","0","0","","","","","","",""
"31","P1_acquire_high_positive_source","find_public_or_request_source_route","H-420","H-420","1422.1","one_edit_family_00202","Harappa","SEAL:S","Steatite","Bull1:W","R/L","+407-004-001-740-443-388-140+","407 004 001 740 443 388 140","7","1","1","stored_higher","-30.702245","-49.778412","2.384521","0.000478","0.002333","0","0","","","","","","",""
"32","P1_acquire_high_positive_source","find_public_or_request_source_route","M-1732","M-1732","2423.1","one_edit_family_00144","Mohenjo-daro","SEAL:S","Steatite","Bull1:II","R/L","+241-832-740-176+","241 832 740 176","4","1","1","stored_higher","-21.076884","-32.984962","2.381616","0.000478","0.000872","0","0","","","","","","",""
"33","P1_acquire_high_positive_source","find_public_or_request_source_route","H-146","H-146","1187.1","one_edit_family_00084","Harappa","SEAL:R","Steatite","None","R/L","+154-806-467-031+","154 806 467 031","4","1","1","stored_higher","-16.970023","-28.847484","2.375492","0.000478","0.002333","0","0","","","","","","",""
"34","P1_acquire_high_positive_source","find_public_or_request_source_route","M-171","M-171","2696.1","one_edit_family_00211","Mohenjo-daro","SEAL:S","Steatite","Bull1:W","R/L","+407-061-740-923-233-806-060-692+","407 061 740 923 233 806 060 692","8","1","1","stored_higher","-34.218003","-55.55311","2.370567","0.000478","0.000872","0","0","","","","","","",""
"35","P1_acquire_high_positive_source","find_public_or_request_source_route","M-567","M-1515;M-1516;M-1517;M-567;M-568;M-569","3038.1","one_edit_family_00212","Mohenjo-daro","TAB:C","Copper","Gaur","R/L","+407-061-845-240-798+","407 061 845 240 798","5","1","6","stored_higher","-24.751136","-38.930846","2.363285","0.000478","0.000872","0","0","","","","","","",""
"36","P1_acquire_high_positive_source","find_public_or_request_source_route","H-1047","H-1047","233.1","one_edit_family_00187","Harappa","SEAL:S","Steatite","Bull1:W","R/L","+405-004-745-905+","405 004 745 905","4","1","1","stored_higher","-20.669105","-32.412277","2.348634","0.000478","0.002333","0","0","","","","","","",""
"37","P1_acquire_high_positive_source","find_public_or_request_source_route","H-132","H-132","1173.1","one_edit_family_00086","Harappa","SEAL:R","-","None","R/L","+154-806-471-407-845-740-233-231-798+","154 806 471 407 845 740 233 231 798","9","1","1","stored_higher","-40.643708","-63.960272","2.331656","0.000478","0.002333","0","0","","","","","","",""
"38","P1_acquire_high_positive_source","find_public_or_request_source_route","H-1767","H-1767;H-1924;H-49;H-875;M-1080;M-161;M-401","373.2","one_edit_family_00273","Harappa","TAB:B","Faience","Zebu","R/L","+617-550-003+","617 550 003","3","5","7","stored_higher","-12.94535","-22.233333","2.321996","0.003574","0.02936","0","0","","","","","","",""
"39","P1_acquire_high_positive_source","find_public_or_request_source_route","H-659","H-659","1574.1","one_edit_family_00219","Harappa","SEAL:R","-","None","R/L","+407-845-140-740-233-240-798-365-263+","407 845 140 740 233 240 798 365 263","9","1","1","stored_higher","-41.010354","-63.956589","2.294623","0.000478","0.002333","0","0","","","","","","",""
"40","P1_acquire_high_positive_source","find_public_or_request_source_route","M-127","M-127","2654.1","one_edit_family_00278","Mohenjo-daro","SEAL:S","Steatite","Bull1:J","R/L","+565-740-220-741-176+","565 740 220 741 176","5","1","1","stored_higher","-26.132236","-39.866679","2.289074","0.000478","0.000872","0","0","","","","","","",""
"41","P1_acquire_high_positive_source","replace_non_source_grade_catalogue_hint","M-195","M-195","2720.1","one_edit_family_00151","Mohenjo-daro","SEAL:S","Steatite","Bull1:W","R/L","+298-350-590-032-900-853+","298 350 590 032 900 853","6","1","1","stored_higher","-28.905079","-44.906621","2.285935","0.000478","0.005611","2","0","effective_unicity_directionality_source_queue_source_index.csv","","","","","","effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv"
"42","P1_acquire_high_positive_source","find_public_or_request_source_route","M-1322","M-1322","3627.1","one_edit_family_00235","Mohenjo-daro","SEAL:R","-","None","R/L","+423-003-491+","423 003 491","3","1","1","stored_higher","-17.143965","-26.277532","2.283392","0.000478","0.000872","0","0","","","","","","",""
"43","P1_acquire_high_positive_source","find_public_or_request_source_route","H-421","H-421","1423.1","one_edit_family_00314","Harappa","SEAL:S","Steatite","Bull1:W","R/L","+679-740-240-060-550+","679 740 240 060 550","5","1","1","stored_higher","-21.273498","-34.933759","2.27671","0.003574","0.002333","0","0","","","","","","",""
"44","P1_acquire_high_positive_source","replace_non_source_grade_catalogue_hint","M-2104","M-2104","2527.1","one_edit_family_00059","Mohenjo-daro","ROD","Ivory","None","R/L","+151-097-700-034+","151 097 700 034","4","1","1","stored_higher","-21.199466","-32.369916","2.23409","0.000478","0.000872","3","5","lipi_034_m2104_source_visual_notes.csv","target_visual_available_outside_ia_cisi_plate_layer","","","","","effective_unicity_directionality_source_queue_source_index.csv;lipi_034_m2104_source_route_hits.csv;lipi_034_m2104_source_visual_notes.csv"
"45","P1_acquire_high_positive_source","replace_non_source_grade_catalogue_hint","M-915","M-915","3312.1","one_edit_family_00057","Mohenjo-daro","SEAL:S","Steatite","Bull1:W","R/L","+151-097-031+","151 097 031","3","1","1","stored_higher","-14.048651","-22.678825","2.157543","0.000478","0.000872","9","5","lipi_034_m2104_source_visual_notes.csv","control_plate_visible","https://archive.org/download/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20Pakistan/page/n122_w2000.jpg","","","","effective_unicity_directionality_source_queue_source_index.csv;lipi_034_m2104_source_route_hits.csv;lipi_034_m2104_source_visual_notes.csv"
"46","P1_acquire_high_positive_source","replace_non_source_grade_catalogue_hint","H-1049","H-1049","3926.1","one_edit_family_00185","Harappa","SEAL:S","-","Bull1:W","R/L","+405-004-002-933+","405 004 002 933","4","1","1","stored_higher","-22.413627","-33.120707","2.141416","0.000478","0.002333","2","0","effective_unicity_directionality_source_queue_source_index.csv","","","","","","effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv"
"47","P1_acquire_high_positive_source","find_public_or_request_source_route","M-1743","M-1743","2230.1","one_edit_family_00033","Mohenjo-daro","SEAL:S","Steatite","Bull1:J","R/L","+064-840-140-740-176+","064 840 140 740 176","5","1","1","stored_higher","-26.43948","-39.211522","2.128674","0.000478","0.000872","0","0","","","","","","",""
"48","P1_acquire_high_positive_source","find_public_or_request_source_route","H-1834","H-1834","559.2","one_edit_family_00153","Harappa","TAB:B","Faience","None","R/L","+298-350-892-590+","298 350 892 590","4","1","1","stored_higher","-18.466921","-29.066825","2.119981","0.000478","0.002333","0","0","","","","","","",""
"49","P1_acquire_high_positive_source","replace_non_source_grade_catalogue_hint","H-611","H-611","1551.1","one_edit_family_00255","Harappa","SEAL:S","Steatite","None","R/L","+527-550-002-125-590+","527 550 002 125 590","5","1","1","stored_higher","-21.432503","-34.11871","2.114368","0.000478","0.002333","2","0","effective_unicity_directionality_source_queue_source_index.csv","","","","","","effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv"
"50","P1_acquire_high_positive_source","find_public_or_request_source_route","M-1314","M-1314","3619.1","one_edit_family_00208","Mohenjo-daro","SEAL:R","Steatite","None","R/L","+407-016-001-740-923+","407 016 001 740 923","5","1","1","stored_higher","-27.192054","-39.802561","2.101751","0.000478","0.000872","0","0","","","","","","",""
"51","P1_acquire_high_positive_source","replace_non_source_grade_catalogue_hint","H-985","H-985;M-97","1861.2","one_edit_family_00092","Harappa","TAB:I","-","None","R/L","+156-435-255+","156 435 255","3","1","2","stored_higher","-15.394294","-23.796198","2.100476","0.000478","-0.006676","2","5","lipi_frame700_034_source_acquisition_manifest.csv","no_public_lead_source_required | source_acquisition_only_source_images_not_validated","","","","Request source-grade images/plates for all catalog rows of H-985. Metadata source hooks: 2528. Packet rows to verify: 1861.1 +700-034+. All local rows to reconcile: 1861.1 +700-034+; 1861.2 +156-435-255+. Needed: side labels/order, image/impression direction, sign segmentation, object material/shape/dimensions, and proof rows are distinct physical sides.","effective_unicity_directionality_source_queue_source_index.csv;lipi_frame700_034_source_acquisition_manifest.csv"
"52","P1_acquire_high_positive_source","replace_non_source_grade_catalogue_hint","M-575","M-1528;M-1529;M-1530;M-1531;M-1532;M-575;M-576","3779.1","one_edit_family_00302","Mohenjo-daro","TAB:C","Copper","Othr","R/L","+617-142-597-032-905+","617 142 597 032 905","5","2","7","stored_higher","-23.929908","-36.336106","2.0677","0.000478","0.000872","15","0","effective_unicity_directionality_source_queue_source_index.csv","","","","","","effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv"
"53","P1_acquire_high_positive_source","replace_non_source_grade_catalogue_hint","M-1793","M-1793","2349.1","one_edit_family_00124","Mohenjo-daro","SEAL:S","Steatite","Bull1:L","R/L","+226-032-060-891+","226 032 060 891","4","1","1","stored_higher","-22.538118","-32.76445","2.045266","0.000478","0.000872","2","0","effective_unicity_directionality_source_queue_source_index.csv","","","","","","effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv"
"54","P1_acquire_high_positive_source","find_public_or_request_source_route","M-981","M-981","3374.1","one_edit_family_00297","Mohenjo-daro","SEAL:S","-","Bull1:W","R/L","+617-142-001-407-371+","617 142 001 407 371","5","1","1","stored_higher","-24.918384","-36.935117","2.002789","0.000478","0.000872","0","0","","","","","","",""
"55","P1_audit_reversed_anomaly","find_public_or_request_source_route","M-1749","M-1749","2195.1","one_edit_family_00119","Mohenjo-daro","SEAL:S","Steatite","Bull1:W","R/L","+220-455-125-031+","220 455 125 031","4","1","1","reversed_higher","-25.193252","-25.020612","-0.034528","-0.002618","-0.003867","0","0","","","","","","",""
"56","P1_audit_reversed_anomaly","find_public_or_request_source_route","H-2","H-2","1063.1","one_edit_family_00132","Harappa","SEAL:S","Steatite","Bull1:W","R/L","+232-740-176-745-440-617+","232 740 176 745 440 617","6","1","1","reversed_higher","-40.847082","-40.313972","-0.076159","-0.002618","-0.006676","0","0","","","","","","",""
"57","P1_audit_reversed_anomaly","replace_non_source_grade_catalogue_hint","M-40","M-40","2568.1","one_edit_family_00177","Mohenjo-daro","SEAL:S","Steatite","Bull1:J","R/L","+391-002-527-475-005+","391 002 527 475 005","5","1","1","reversed_higher","-36.416335","-35.769708","-0.107771","-0.002618","-0.003867","2","0","effective_unicity_directionality_source_queue_source_index.csv","","","","","","effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv"
"58","P1_audit_reversed_anomaly","find_public_or_request_source_route","M-416","M-416","2912.1","one_edit_family_00160","Mohenjo-daro","SEAL:C","Steatite","Gaur","R/L","+324-255-001-405-016+","324 255 001 405 016","5","1","1","reversed_higher","-36.457689","-35.811062","-0.107771","-0.002618","-0.003867","0","0","","","","","","",""
"59","P1_audit_reversed_anomaly","find_public_or_request_source_route","M-1424","M-1424","3709.1","one_edit_family_00358","Mohenjo-daro","TAB:B","-","Gaur","R/L","+875-700-384-125+","875 700 384 125","4","1","1","reversed_higher","-29.751749","-29.105122","-0.129325","0.000478","-0.003867","0","0","","","","","","",""
"60","P1_audit_reversed_anomaly","find_public_or_request_source_route","M-139","M-139","2666.1","one_edit_family_00026","Mohenjo-daro","SEAL:S","Steatite","Bull1:J","R/L","+033-832-236-741-361+","033 832 236 741 361","5","1","1","reversed_higher","-35.221453","-34.392761","-0.138115","-0.002618","-0.003867","0","0","","","","","","",""
"61","P1_audit_reversed_anomaly","replace_non_source_grade_catalogue_hint","M-490","M-490;M-491","2972.1","one_edit_family_00352","Mohenjo-daro","TAB:B","Clay","Scene","R/L","+850-140-803-002-840-016+","850 140 803 002 840 016","6","1","2","reversed_higher","-39.865783","-38.829691","-0.148013","-0.002618","-0.003867","4","0","effective_unicity_directionality_source_queue_source_index.csv","","","","","","effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv"
"62","P1_audit_reversed_anomaly","find_public_or_request_source_route","H-1734","H-1734","715.1","one_edit_family_00015","Harappa","POT:T:s","Clay","None","R/L","+016-220-382+","016 220 382","3","1","1","reversed_higher","-24.035028","-23.388401","-0.161657","-0.002618","-0.006676","0","0","","","","","","",""
"63","P1_audit_reversed_anomaly","replace_non_source_grade_catalogue_hint","H-302","H-1191;H-1192;H-1953;H-2193;H-302;H-912","1324.1","one_edit_family_00120","Harappa","TAB:I","Steatite","None","R/L","+220-700-004+","220 700 004","3","4","6","reversed_higher","-23.52948","-22.852593","-0.169222","-0.002618","-0.015685","4","0","effective_unicity_directionality_source_queue_source_index.csv","","","","","","effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv"
"64","P1_audit_reversed_anomaly","find_public_or_request_source_route","H-4","H-4","1065.1","one_edit_family_00117","Harappa","SEAL:S","Steatite","Bull1:W","R/L","+220-063-051+","220 063 051","3","1","1","reversed_higher","-22.892453","-22.215566","-0.169222","-0.002618","-0.015685","0","0","","","","","","",""
"65","P1_audit_reversed_anomaly","find_public_or_request_source_route","M-151","M-151","2678.1","one_edit_family_00118","Mohenjo-daro","SEAL:S","Steatite","Bull1:J","R/L","+220-065-864+","220 065 864","3","1","1","reversed_higher","-22.863961","-22.187074","-0.169222","-0.002618","-0.003867","0","0","","","","","","",""
"66","P1_audit_reversed_anomaly","find_public_or_request_source_route","H-642","H-642","1557.1","one_edit_family_00002","Harappa","SEAL:R","Steatite","None","R/L","+001-304-354-125-812-033+","001 304 354 125 812 033","6","1","1","reversed_higher","-37.067361","-35.735817","-0.190221","-0.002618","-0.006676","0","0","","","","","","",""
"67","P1_audit_reversed_anomaly","find_public_or_request_source_route","M-2078","M-2078","2352.1","one_edit_family_00162","Mohenjo-daro","BNGL","Stoneware","None","R/L","+360-268-252-326+","360 268 252 326","4","1","1","reversed_higher","-29.164599","-28.128507","-0.207218","-0.002618","-0.003867","0","0","","","","","","",""
"68","P1_audit_reversed_anomaly","replace_non_source_grade_catalogue_hint","M-828","M-828","3240.1","one_edit_family_00285","Mohenjo-daro","SEAL:S","Steatite","Bull1","R/L","+590-165-032-840+","590 165 032 840","4","1","1","reversed_higher","-27.662307","-26.091709","-0.31412","-0.002618","0.005611","2","0","effective_unicity_directionality_source_queue_source_index.csv","","","","","","effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv"
"69","P1_audit_reversed_anomaly","find_public_or_request_source_route","H-2063","H-1181;H-2062;H-2063;H-2066;H-2069;H-299;H-896;H-897;H-899","532.1","one_edit_family_00356","Harappa","TAB:I","Steatite","None","R/L","+868-706-590+","868 706 590","3","2","9","reversed_higher","-22.014824","-20.693801","-0.330256","-0.002618","0.002333","0","0","","","","","","",""
"70","P1_audit_reversed_anomaly","find_public_or_request_source_route","M-1103","M-1103","3474.1","one_edit_family_00006","Mohenjo-daro","SEAL:S","Steatite","Zebu","R/L","+001-820-595-760-706-635+","001 820 595 760 706 635","6","1","1","reversed_higher","-41.046489","-38.671016","-0.339353","-0.002618","-0.003867","0","0","","","","","","",""
"71","P1_audit_reversed_anomaly","find_public_or_request_source_route","H-1148","H-1148","3978.1","one_edit_family_00296","Harappa","TAB:B","Faience","None","R/L","+615-352+","615 352","2","1","1","reversed_higher","-17.629101","-16.593009","-0.345364","-0.002618","-0.006676","0","0","","","","","","",""
"72","P1_audit_reversed_anomaly","replace_non_source_grade_catalogue_hint","H-796","H-796;M-1930","1687.1","one_edit_family_00174","Harappa","TAB:B","-","None","R/L","+370-455+","370 455","2","2","2","reversed_higher","-16.598005","-15.236201","-0.453934","-0.002618","-0.006676","2","0","effective_unicity_directionality_source_queue_source_index.csv","","","","","","effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv"
"73","P1_audit_reversed_anomaly","find_public_or_request_source_route","H-951","H-951","1831.1","one_edit_family_00176","Harappa","TAB:I","Steatite","None","R/L","+388-134-368-590+","388 134 368 590","4","1","1","reversed_higher","-28.163986","-25.806871","-0.471423","-0.002618","-0.006676","0","0","","","","","","",""
"74","P1_audit_reversed_anomaly","find_public_or_request_source_route","H-1036","H-1036","3921.1","one_edit_family_00075","Harappa","SEAL:S","-","Bull1","R/L","+153-031-700+","153 031 700","3","1","1","reversed_higher","-24.335609","-22.222645","-0.528241","0.000478","-0.006676","0","0","","","","","","",""
