has_object_id,has_390_590_032,has_032_002_390,id,object,region,site,type,symbol,cult,material,shape,excavation_idno,horizontal_mm,vertical_mm,thickness_mm,text
yes,no,no,2670.1,M-143,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:J,RAF,Steatite,square,DK103232,23.9,24.1,7.6,+740-205-032-002-252-840+
yes,no,no,2673.1,M-146,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:J,RAF,Steatite,square,SD 2010100,29.2,0,0,+740-255-920-060-692+
yes,no,no,2674.1,M-147,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:J,RAF,Steatite,square,DK-B 953,27.1,26.7,6.7,+226-803-002-220-455-520+
yes,no,no,2675.1,M-148,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:J,RAF,Steatite,square,HR 5310245,24.1,24.1,0,+740-817-556+
yes,no,no,2676.1,M-149,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:J,RAF,Steatite,square,D619233,21.6,21.6,0,+740-760-440-060-550+
yes,no,no,2677.1,M-150,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:J,RAF,Steatite,square,HR 1365236,25.4,25.4,0,+740-832+
yes,no,no,2678.1,M-151,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:J,RAF,Steatite,square,DK12782323,30.7,30,6.9,+220-065-864+
yes,no,no,2679.1,M-152,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:J,RAF,Steatite,square,DK10948102,28.7,28.7,8.4,+740-772-002-861+
yes,no,no,2682.1,M-155,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:J,RAF,Steatite,square,DK-E 2217187,26.7,27.9,0,+740-176-031+
yes,no,no,2734.1,M-210,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:J,RAF,Steatite,square,DK9086656,21.8,21.8,5.8,+368-861-903+
yes,no,no,2735.1,M-211,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:S,RAF,Steatite,square,HR 5057214,20.3,21.6,0,+090-740-100-220-002-031-165+
yes,no,no,2737.1,M-213,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:J,RAF,Steatite,square,DK-C 3155150,22.9,22.9,0,+740-384-002-390-346+
yes,no,no,3101.1,M-662,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:W,RAF,Steatite,square,HR 1694061,38.1,38.1,0,+390-704-001-820+
yes,no,no,3142.1,M-717,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:J,RAF,Steatite,square,DK-E 1345078,27.9,27.9,0,+740-142-061-002-861+
yes,no,no,3153.1,M-729,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:I,RAF,Steatite,square,VS 2541177,30.5,30.5,0,+234-415+
yes,no,no,3154.1,M-730,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:J,RAF,-,square,-,29,29.5,0,+740-384-090-351-741-033-272+
yes,no,no,3155.1,M-731,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:I,RAF,-,square,MD-CD82,30,30,0,+151-220+
yes,no,no,3156.1,M-732,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:V,RAF,Steatite,square,DK8634674,30.5,30,6.4,+520-400-350-002-817+
yes,no,no,3163.1,M-739,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:J,RAF,-,square,-,31.5,31,8 - 13.5,+090-740-100-415-002-031-350-550-692+
yes,no,no,3286.1,M-878,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:J,RAF,Steatite,square,HR 4411092,26.7,26.7,0,+740-900-005-741-390-125+
yes,no,no,3287.1,M-879,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:J,RAF,Steatite,square,DK7908121,26.7,26.7,6.4,+740-400-142-061+
yes,no,no,3288.1,M-880,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:S,RAF,-,square,DK-i 1118,26,26,0,+740-861-877-741-705-319+
yes,no,no,3290.1,M-882,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:u,RAF,Steatite,square,DK6914312,27.2,0,7.6,+621/740-390-590-000-798-000+
yes,no,no,3292.1,M-886,Lower Indus,Mohenjo-daro,SEAL:S,Bull1,RAF,-,square,DK8695,0,26,0,]220+
no,yes,yes,3335.1,-:3335.1,Other,Unknown,SEAL:S,Bull1:J,RAF,-,square,-,29,29,0,+740-205-032-002-390-590-032+
yes,no,no,3353.1,M-958,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:J,RAF,Steatite,square,DK12583348,22.6,22.1,6.6,+740-772-240-002-900-003-590+
yes,no,no,3368.1,M-975,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:S,RAF,Steatite,square,DK8106295,22.4,22.4,5.8,+680-297-741-910+
yes,no,no,3859.1,Nd-2,Iranian Plateau,Nindowari-damb,SEAL:S,Bull1:W,RAF,-,square,-,22.5,23,0,+400-798-255+
yes,no,no,3923.1,H-1044,Inter-Riverine,Harappa,SEAL:S,Bull1:W,RAF,-,square,-459,26,26,0,+740-615-920-000[
no,no,no,4183.1,-:4183.1,Gujarat/Kutch,Dholavira,SEAL:S,Bull1,RAF,Steatite,square,-,33.3,33.3,7.5 - 13.5,+740-798-233-742-175+
no,no,no,4203.1,-:4203.1,Gujarat/Kutch,Dholavira,SEAL:S,Bull1:I,RAF,-,square,-,25.4,25.2,4.6 - 13.4,+463-513/390-017-002-463-575+
yes,no,no,5356.1,Ns-54,Lower Indus,Nausharo,SEAL:S,Bull1:J,RAF,Steatite,square,NS 93.20.67.01,30,30,13.5,+740-222-002-817+
yes,no,no,5394.1,M-883,Lower Indus,Mohenjo-daro,SEAL:S,Bull1,RAF,-,-,DK6846,0,26,0,]000+
yes,no,no,5515.1,M-891,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:J,RAF,-,square,DK-C 3191,27,27,7 - 10,+000-000[
