id,cisi,site,type,symbol,shape,cross_section,material,condition,direction,class,area_section,block_house,room_grid,excavation_idno,period,phase,depth,horizontal_mm,vertical_mm,thickness_mm,text,text_length,prefix,prefix_len,prefix_last1,prefix_last2,prefix_last3,tail,tail_len,tail_bucket,register_key,broad_register_key,no_icon_sealr,mohenjo_seals_square,terminal_after_tail,template_key,source_kind,source_status,source_quality,source_route,source_note,source_limit,source_leaf,printed_page,route_status,display_image,same_last2_bare_count,same_last1_bare_count,same_register_bare_count,same_broad_register_bare_count,line_width_px,pre_tail_width_px,tail_width_px,tail_start_share_of_line,tail_width_share_of_line,layout_status,layout_observation,packet_reason,source_object_weight,linguistic_weight
,H-1846,Harappa,TAB:B/I external_x_before_240_control,None/Bult,,,,,,,,,,,,,,,,,+740-603-240-060-692+,,,,603,603 240,740 603 240,external_x_before_240_603,,external_603_636_642_control,Harappa|TAB|external_x_before_240,Harappa|TAB|external,,,,,external_x_before_240_control,source_visible_figure_level,,Kenoyer and Meadow 1997 Figure 11.11 / H95-2672; local metadata H-1846,"Modern Harappa excavation witness from ETrench 10W/11; faience rectangular two-sided tablet/sealing, 23.5 x 11 x 5 mm; source-visible but still needs exact side/sign mapping.",,,,,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_861_603_slot_source_normalization\H1846_H95_2672_Figure11_11_crop_v3.png,,,,,,,,,,,,negative_external_x_before_240_control,1.0,1.0
,H-237,Harappa,TAB:B/I external_x_before_240_control,None/Bult,,,,,,,,,,,,,,,,,+740-642-240-060-692+,,,,642,642 240,740 642 240,external_x_before_240_642,,external_603_636_642_control,Harappa|TAB|external_x_before_240,Harappa|TAB|external,,,,,external_x_before_240_control,metadata_only_no_excavation_route_ref_clone_pressure,,local metadata only; no excavation-idno; current local export marks SP text as ref:424.2,"Fish-shaped TAB:B; L/R direction and different companion text. Demoted from independent control weight because source route is missing and the local current export gives ref:424.2, making it clone-pressure on H-1845 rather than a separate source witness.",,,,,,,,,,,,,,,,,negative_external_x_before_240_control,0.05,0.05
,H-360,Harappa,TAB:B/I external_x_before_240_control,None/Bult,,,,,,,,,,,,,,,,,+740-636-240-060-692+,,,,636,636 240,740 636 240,external_x_before_240_636,,external_603_636_642_control,Harappa|TAB|external_x_before_240,Harappa|TAB|external,,,,,external_x_before_240_control,source_visible_plate_plus_text,,Vats text route no.3508 / Plate XCVIII no.584; local metadata H-360/3508584,"Steatite prism TAB:I with Bult symbol; FTrench I, M11/12, Period 3B/C Stratum V, depth 13.5 ft; source-visible control X value.",,,,,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_861_603_slot_source_normalization\H360_Vats_Plate_XCVIII_584_full_labeled_crop.png,,,,,,,,,,,,negative_external_x_before_240_control,1.0,1.0
,H-823,Harappa,TAB:B/I external_x_before_240_control,None/Bult,,,,,,,,,,,,,,,,,+740-636-240-060-692+,,,,636,636 240,740 636 240,external_x_before_240_636,,external_603_636_642_control,Harappa|TAB|external_x_before_240,Harappa|TAB|external,,,,,external_x_before_240_control,exact_route_dark_after_cisi_ia_and_web_checks,,local metadata H88-1196; no public CISI IA OCR hit or checked web source route located,Route unlocated after control-source campaign; rectangular TAB:B metadata route only. Carries low source weight until H88-1196 image is found.,,,,,,,,,,,,,,,,,negative_external_x_before_240_control,0.25,0.25
3574.1,M-1267,Mohenjo-daro,SEAL:R,None,rectangular,-,Steatite,Poor,R/L,IT,DKB,1Street C7,-20 O/08,DK-C 931494,-,-,-2.0 ft,33,17.8,0,+416-001-740-720-175-002-861+,7,416 001 740 720 175,5,175,720 175,740 720 175,<END>,0,bare_closure,Mohenjo-daro|SEAL:R|None|rectangular,Mohenjo-daro|SEAL:R|None,True,False,True,+416-001-740-720-175-002-861+,register_control_crop,source_visible_this_campaign,control_crop,"CISI Pakistan IA leaf n194 / printed p.160 / Mohenjo-daro 1264-1268 seals no iconography I, II",rectangular_bare_control,"register-control crop, not same-line attachment verdict",pakistan_n194,160,public_source_visible,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_861_533717_register_controls\M1267_obv_A_register_control.png,1,2,3,3,,,,,,same_line_bare_edge_control,Source-visible no-icon rectangular row has a visible terminal edge after 002-861 without 533-717.,no_icon_sealr_competing_predictor_pool,,
2422.1,M-1954,Mohenjo-daro,SEAL:R,None,rectangular,-,Steatite,Fair,R/L,LP,DKE,Trench E-,-1090/1980,DK-E 2475429,-,-,-9.0 ft,41.9,15.2,0,+740-407-590-031-752-033-705-220-415-798-002-861+,12,740 407 590 031 752 033 705 220 415 798,10,798,415 798,220 415 798,<END>,0,bare_closure,Mohenjo-daro|SEAL:R|None|rectangular,Mohenjo-daro|SEAL:R|None,True,False,True,+740-407-590-031-752-033-705-220-415-798-002-861+,source_pending_or_not_checked,source_pending_or_not_checked,,,,,,,source_pending_public_dark,,2,6,3,3,,,,,,,,no_icon_sealr_competing_predictor_pool,,
4010.1,M-1973,Mohenjo-daro,SEAL:R,None,rectangular,-,-,Fair,R/L,LP,DKB,--,-5 6,DK-B 940720,-,-,-2.2 ft,25,10,0,+740-575-017-233-550-002-861+,7,740 575 017 233 550,5,550,233 550,017 233 550,<END>,0,bare_closure,Mohenjo-daro|SEAL:R|None|rectangular,Mohenjo-daro|SEAL:R|None,True,False,True,+740-575-017-233-550-002-861+,source_pending_or_not_checked,source_pending_or_not_checked,,,,,,,source_pending_public_dark,,1,1,3,3,,,,,,,,no_icon_sealr_competing_predictor_pool,,
62.1,C-65,Chanhu-daro,SEAL:S,Bull1:W,square,-,Steatite,Good,R/L,??,--,--,loc. 286sq. 9/D,CH 2428Pl. LII:19,-,-,+9.7 ft,25.4,25.4,8.8 - 12.4,+000-100-240-220-032-002-861+,7,000 100 240 220 032,5,032,220 032,240 220 032,<END>,0,bare_closure,Chanhu-daro|SEAL:S|Bull1:W|square,Chanhu-daro|SEAL:S|Bull1:W,False,False,True,+000-100-240-220-032-002-861+,source_pending_or_not_checked,source_pending_or_not_checked,,,,,,,,,5,8,2,2,,,,,,,,prefix_last2_220_032_minimal_contrast,,
2313.1,M-1763,Mohenjo-daro,SEAL:S,Bull1:W,square,-,Faience,Fair,R/L,LP,DKG. (S),1I,74-,DK5636552,Intermediate,III,-16.5 ft,23.1,22.9,7.1,+416-001-565-740-220-032-002-861+,8,416 001 565 740 220 032,6,032,220 032,740 220 032,<END>,0,bare_closure,Mohenjo-daro|SEAL:S|Bull1:W|square,Mohenjo-daro|SEAL:S|Bull1:W,False,True,True,+416-001-565-740-220-032-002-861+,source_pending_or_not_checked,source_pending_or_not_checked,,,,,,,,,5,8,17,17,,,,,,,,prefix_last2_220_032_minimal_contrast,,
1434.1,H-444,Harappa,SEAL:S,Bull1:W,square,-,-,Good,R/L,SP,--,--,--,13340,-,-,- -,26.5,27,0,+241-220-032-002-861+,5,241 220 032,3,032,220 032,241 220 032,<END>,0,bare_closure,Harappa|SEAL:S|Bull1:W|square,Harappa|SEAL:S|Bull1:W,False,False,True,+241-220-032-002-861+,bare_edge_control,bare_terminal_edge_visible,control,Existing token-box scaffold places the terminal-side 002-861 candidate in a broad left edge window.,Existing token-box scaffold places the terminal-side 002-861 candidate in a broad left edge window.,"bare-edge control, not same-line tail attachment evidence",,,,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_861_bare_edge_source_controls\H444_bare_edge_overlay.png,5,8,4,4,,,,,,,,source_visible_bare_edge_control,,
3421.1,M-1044,Mohenjo-daro,SEAL:S,Bull,square,-,Steatite,Poor,R/L,SP,HRB,5XXIX,37-,HR 4399551,-,-,-3.0 ft,22.9,6.4,0,+520-220-032-002-861+,5,520 220 032,3,032,220 032,520 220 032,<END>,0,bare_closure,Mohenjo-daro|SEAL:S|Bull|square,Mohenjo-daro|SEAL:S|Bull,False,True,True,+520-220-032-002-861+,bare_edge_control,bare_terminal_edge_visible,control,A-side crop gives a short 220-032-002-861 source control; object is fragmentary but label and line are visible.,A-side crop gives a short 220-032-002-861 source control; object is fragmentary but label and line are visible.,"bare-edge control, not same-line tail attachment evidence",,,,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_861_bare_edge_source_controls\M1044_bare_edge_overlay.png,5,8,1,1,,,,,,,,source_visible_bare_edge_control,,
2645.1,M-118,Mohenjo-daro,SEAL:S,Bull1:W,square,-,Steatite,Fair,R/L,LP,VSA,Lane 2XXX,1330AA/09,VS 1779104,-,-,-5.0 ft,25.4,25.4,0,+740-772-033-705-233-803-002-861+,8,740 772 033 705 233 803,6,803,233 803,705 233 803,<END>,0,bare_closure,Mohenjo-daro|SEAL:S|Bull1:W|square,Mohenjo-daro|SEAL:S|Bull1:W,False,True,True,+740-772-033-705-233-803-002-861+,bare_edge_control,bare_terminal_edge_visible,control,Impression-side crop gives a source-visible 803-002-861 control in the same broad lane as M-714.,Impression-side crop gives a source-visible 803-002-861 control in the same broad lane as M-714.,"bare-edge control, not same-line tail attachment evidence",,,,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_861_bare_edge_source_controls\M118_bare_edge_overlay.png,1,2,17,17,,,,,,,,source_visible_bare_edge_control,,
2543.1,M-15,Mohenjo-daro,SEAL:S,Bull1:W,square,-,Steatite,Good,R/L,IT,DKG. (S),10III,56-,DK5371177,Late,III,-7.7 ft,33.5,35.1,10.2,+090-740-176-002-861+,5,090 740 176,3,176,740 176,090 740 176,<END>,0,bare_closure,Mohenjo-daro|SEAL:S|Bull1:W|square,Mohenjo-daro|SEAL:S|Bull1:W,False,True,True,+090-740-176-002-861+,bare_edge_control,bare_terminal_edge_visible,control,"A-side crop gives a same-line top signband; icon heading differs from local symbol, so it is used for line/edge behavior only.","A-side crop gives a same-line top signband; icon heading differs from local symbol, so it is used for line/edge behavior only.","bare-edge control, not same-line tail attachment evidence",,,,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_861_bare_edge_source_controls\M15_bare_edge_overlay.png,3,4,17,17,,,,,,,,source_visible_bare_edge_control,,
3147.1,M-723,Mohenjo-daro,SEAL:S,Bull1,square,-,Steatite,Fair,R/L,LP,DKG. (N),16II,11-,DK1164954,Late,I,-4.6 ft,32.8,0,8.9,+740-460-510-235-220-032-002-861+,8,740 460 510 235 220 032,6,032,220 032,235 220 032,<END>,0,bare_closure,Mohenjo-daro|SEAL:S|Bull1|square,Mohenjo-daro|SEAL:S|Bull1,False,True,True,+740-460-510-235-220-032-002-861+,bare_edge_control,bare_terminal_edge_visible,control,A-side crop gives a same-line top signband with no visible post-edge material on the terminal side.,A-side crop gives a same-line top signband with no visible post-edge material on the terminal side.,"bare-edge control, not same-line tail attachment evidence",,,,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_861_bare_edge_source_controls\M723_bare_edge_overlay.png,5,8,4,4,,,,,,,,source_visible_bare_edge_control,,
2604.1,M-77,Mohenjo-daro,SEAL:S,Bull1:W,square,-,Steatite,Good,R/L,SC,DK-,--,--,DK-i 175,-,-,- -,26,26,0,+832-390-803-002-861+,5,832 390 803,3,803,390 803,832 390 803,<END>,0,bare_closure,Mohenjo-daro|SEAL:S|Bull1:W|square,Mohenjo-daro|SEAL:S|Bull1:W,False,True,True,+832-390-803-002-861+,bare_edge_control,bare_terminal_edge_visible,control,Existing M-77 packet gives a public CISI source signband for the 803-002-861 bare control.,Existing M-77 packet gives a public CISI source signband for the 803-002-861 bare control.,"bare-edge control, not same-line tail attachment evidence",,,,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_861_bare_edge_source_controls\M77_bare_edge_overlay.png,1,2,17,17,,,,,,,,source_visible_bare_edge_control,,
