"cisi","source_hint_count","best_source_rank","best_source_file","best_status_text","best_source_url","best_local_image","best_sha256","best_note","source_files"
"H-910","12","65","lipi_frame700_034_source_acquisition_manifest.csv","source_visible_component_probe_negative_for_direct_034_415 | source_visible_component_probe_complete_negative_for_direct_034_415","","","","Source page/crops now stored for H-910 B from CISI Pakistan leaf n372 / printed p. 338. Still requires broader triad controls H-916/H-1294 before subtype contrast; H-910 B itself now acts as mirror-order component probe.","effective_unicity_directionality_source_queue_source_index.csv;lipi_frame700_034_source_acquisition_manifest.csv;lipi_frame700_034_source_panel_graph_nodes.csv;lipi_frame700_034_source_route_audit.csv;lipi_frame700_034_two_lane_source_coding_sheet.csv;lipi_frame700_034_two_lane_source_packet.csv;source_box_blind_adjudication_key.csv;source_box_blind_adjudication_scored_rows.csv;source_box_negative_control_candidates.csv"
"M-1044","8","65","campaign_032_002_861_bare_edge_source_controls_rows.csv","source_visible_this_campaign | bare_terminal_edge_visible","","C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_861_bare_edge_source_controls\M1044_signband_cisi_pakistan_n138.png","2387097cb40bb7494d59d7ca6454474a634034aa5d50e49dc06819342c13d830","","campaign_032_002_861_bare_edge_source_controls_crops.csv;campaign_032_002_861_bare_edge_source_controls_rows.csv;campaign_032_002_tail_source_queue.csv;campaign_032_002_y_source_manifest.csv;campaign_032_002_y_source_route_probe.csv;effective_unicity_directionality_source_queue_source_index.csv;effective_unicity_directionality_source_visible_861_rows.csv;source_visible_032_002_y_witness_matrix.csv"
"M-118","5","65","campaign_032_002_861_bare_edge_source_controls_rows.csv","source_visible_this_campaign | bare_terminal_edge_visible","","C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_861_bare_edge_source_controls\M118_signband_cisi_india_n076.png","82da28dd100bfd3fb231afd7c80e1b3c12670b8c548e1e52e1fbb6228b266db2","","campaign_032_002_861_bare_edge_source_controls_crops.csv;campaign_032_002_861_bare_edge_source_controls_rows.csv;effective_unicity_directionality_source_queue_source_index.csv;effective_unicity_directionality_source_visible_861_rows.csv;source_box_negative_control_candidates.csv"
"M-124","7","65","source_box_negative_control_v2_public_routes.csv","downloaded_and_cropped | source_page_crop_needs_human_boxing | public_cisi_plate_page","https://archive.org/download/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20India/page/n139_w2000.jpg","tmp/source_box_negative_control_v2/crops/M-124_cisi_india_n139_plate_context_crop.jpg","7f983939ea6114b5a6d5c31d69e1b10331bf72b6da199b71a549a05a1a0c3e21","Broad source-context crop around OCR label; not token-boxed evidence.","effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv;source_box_negative_control_v2_panel_crops.csv;source_box_negative_control_v2_public_routes.csv;source_box_negative_control_v2_source_status.csv;source_box_negative_control_v2_targets.csv"
"M-15","5","65","campaign_032_002_861_bare_edge_source_controls_rows.csv","source_visible_this_campaign | bare_terminal_edge_visible","","C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_861_bare_edge_source_controls\M15_signband_cisi_india_n046.png","4b0f0d36d93cfef2579a950e7e2e1049f347c3c5af70138585af17d8d2f2e17b","","campaign_032_002_861_bare_edge_source_controls_crops.csv;campaign_032_002_861_bare_edge_source_controls_rows.csv;effective_unicity_directionality_source_queue_source_index.csv;effective_unicity_directionality_source_visible_861_rows.csv;source_box_negative_control_candidates.csv"
"M-38","10","65","source_box_negative_control_v2_public_routes.csv","downloaded_and_cropped | source_page_crop_needs_human_boxing | public_cisi_plate_page","https://archive.org/download/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20India/page/n55_w2000.jpg","tmp/source_box_negative_control_v2/crops/M-38_cisi_india_n55_plate_context_crop.jpg","e221c5942fcff1c20b0147eb364185047fa621030ae408a72c0e9d8d59d6cb1b","Broad source-context crop around OCR label; not token-boxed evidence.","campaign_032_002_source_normalized_branch_tail_family_rows.csv;effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv;source_box_negative_control_v2_panel_crops.csv;source_box_negative_control_v2_public_routes.csv;source_box_negative_control_v2_source_status.csv;source_box_negative_control_v2_targets.csv"
"M-381","8","65","source_box_negative_control_v2_public_routes.csv","downloaded_and_cropped | source_page_crop_needs_human_boxing | public_cisi_plate_page","https://archive.org/download/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20India/page/n129_w2000.jpg","tmp/source_box_negative_control_v2/crops/M-381_cisi_india_n129_plate_context_crop.jpg","38df032da6e622544fd3c3d8516c197d3e66a0c4494e190f7a844bef044d18eb","Broad source-context crop around OCR label; not token-boxed evidence.","effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv;source_box_negative_control_v2_m381_answer_key.csv;source_box_negative_control_v2_panel_crops.csv;source_box_negative_control_v2_public_routes.csv;source_box_negative_control_v2_source_status.csv;source_box_negative_control_v2_targets.csv"
"M-723","8","65","campaign_032_002_861_bare_edge_source_controls_rows.csv","source_visible_this_campaign | bare_terminal_edge_visible","","C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_861_bare_edge_source_controls\M723_signband_cisi_pakistan_n082.png","6d2c17ffb1d70927b68c2087ba732f5ef9b4c399becbcb6942a659ea256384f9","","campaign_032_002_861_bare_edge_source_controls_crops.csv;campaign_032_002_861_bare_edge_source_controls_rows.csv;campaign_032_002_tail_source_queue.csv;campaign_032_002_y_source_manifest.csv;campaign_032_002_y_source_route_probe.csv;effective_unicity_directionality_source_queue_source_index.csv;effective_unicity_directionality_source_visible_861_rows.csv;source_visible_032_002_y_witness_matrix.csv"
"M-77","8","65","campaign_032_002_861_bare_edge_source_controls_rows.csv","source_visible_existing | bare_terminal_edge_visible","","C:\Users\Acer\OneDrive\Documents\ivc\tmp\m77_parpola_recurrence_gate\derived\M77_impression_a_signband_v3_from_cisi_india_n68.png","82b0f20bb923f0fbe1957bcdd20d9fcced8e596fb0443fe5d69903ca17e8bf4d","","campaign_032_002_861_bare_edge_source_controls_crops.csv;campaign_032_002_861_bare_edge_source_controls_rows.csv;effective_unicity_directionality_source_queue_source_index.csv;effective_unicity_directionality_source_visible_861_rows.csv;source_box_blind_adjudication_key.csv;source_box_blind_adjudication_scored_rows.csv;source_box_negative_control_candidates.csv"
"M-1385","8","50","campaign_032_002_y_source_route_probe.csv","source_volume_ocr_hit","","","","locate source-volume page image, crop panel, record label and side","campaign_032_002_tail_source_queue.csv;campaign_032_002_y_source_function_batch1.csv;campaign_032_002_y_source_function_current_table.csv;campaign_032_002_y_source_function_sourceclean_features.csv;campaign_032_002_y_source_manifest.csv;campaign_032_002_y_source_route_probe.csv;effective_unicity_directionality_source_queue_source_index.csv;source_visible_032_002_y_witness_matrix.csv"
"M-174","8","50","campaign_032_002_y_source_route_probe.csv","source_volume_ocr_hit","","","","locate source-volume page image, crop panel, record label and side","campaign_032_002_tail_source_queue.csv;campaign_032_002_y_source_function_batch2.csv;campaign_032_002_y_source_function_current_table.csv;campaign_032_002_y_source_function_sourceclean_features.csv;campaign_032_002_y_source_manifest.csv;campaign_032_002_y_source_route_probe.csv;effective_unicity_directionality_source_queue_source_index.csv;source_visible_032_002_y_witness_matrix.csv"
"M-221","8","50","campaign_032_002_y_source_route_probe.csv","source_volume_ocr_hit","","","","locate source-volume page image, crop panel, record label and side","campaign_032_002_tail_source_queue.csv;campaign_032_002_y_source_function_batch2.csv;campaign_032_002_y_source_function_current_table.csv;campaign_032_002_y_source_function_sourceclean_features.csv;campaign_032_002_y_source_manifest.csv;campaign_032_002_y_source_route_probe.csv;effective_unicity_directionality_source_queue_source_index.csv;source_visible_032_002_y_witness_matrix.csv"
"H-140","5","30","campaign_032_002_y_source_route_probe.csv","source_route_needed","","","","direct CISI/HARP/archive request","campaign_032_002_tail_source_queue.csv;campaign_032_002_y_source_manifest.csv;campaign_032_002_y_source_route_probe.csv;effective_unicity_directionality_source_queue_source_index.csv;source_visible_032_002_y_witness_matrix.csv"
"H-268","3","30","campaign_032_002_source_normalized_branch_tail_family_rows.csv","not_routed_in_current_packet | needs_source_route | none","","","","","campaign_032_002_source_normalized_branch_tail_family_rows.csv;effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv"
"H-82","3","30","campaign_032_002_source_normalized_branch_tail_family_rows.csv","not_routed_in_current_packet | needs_source_route | none","","","","","campaign_032_002_source_normalized_branch_tail_family_rows.csv;effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv"
"K-145","5","30","campaign_032_002_y_source_route_probe.csv","source_route_needed","","","","direct CISI/HARP/archive request","campaign_032_002_tail_source_queue.csv;campaign_032_002_y_source_manifest.csv;campaign_032_002_y_source_route_probe.csv;effective_unicity_directionality_source_queue_source_index.csv;source_visible_032_002_y_witness_matrix.csv"
"K-25","3","30","campaign_032_002_source_normalized_branch_tail_family_rows.csv","not_routed_in_current_packet | needs_source_route | none","","","","","campaign_032_002_source_normalized_branch_tail_family_rows.csv;effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv"
"M-119","4","30","campaign_032_002_source_normalized_branch_tail_family_rows.csv","not_routed_in_current_packet | needs_source_route | none","","","","","campaign_032_002_source_normalized_branch_tail_family_rows.csv;effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv"
"M-140","3","30","campaign_032_002_source_normalized_branch_tail_family_rows.csv","not_routed_in_current_packet | needs_source_route | none","","","","","campaign_032_002_source_normalized_branch_tail_family_rows.csv;effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv"
"M-147","3","30","campaign_032_002_source_normalized_branch_tail_family_rows.csv","not_routed_in_current_packet | needs_source_route | none","","","","","campaign_032_002_source_normalized_branch_tail_family_rows.csv;effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv"
"M-1677","7","30","campaign_032_002_branch_tail_source_routes.csv","cisi_3_1_or_archive_required","","","","","campaign_032_002_branch_tail_source_routes.csv;campaign_032_002_source_normalized_branch_tail_decisive_rows.csv;campaign_032_002_tail_source_queue.csv;campaign_032_002_y_source_manifest.csv;campaign_032_002_y_source_route_probe.csv;effective_unicity_directionality_source_queue_source_index.csv;source_visible_032_002_y_witness_matrix.csv"
"M-1755","3","30","campaign_032_002_861_bare_edge_source_controls_rows.csv","route_pending_panel_or_cisi_3_1","","","","","campaign_032_002_861_bare_edge_source_controls_rows.csv;effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv"
"M-1763","6","30","campaign_032_002_861_bare_edge_source_controls_rows.csv","route_pending_panel_or_cisi_3_1","","","","","campaign_032_002_861_bare_edge_source_controls_rows.csv;campaign_032_002_tail_source_queue.csv;campaign_032_002_y_source_manifest.csv;campaign_032_002_y_source_route_probe.csv;effective_unicity_directionality_source_queue_source_index.csv;source_visible_032_002_y_witness_matrix.csv"
"M-1825","3","30","campaign_032_002_source_normalized_branch_tail_family_rows.csv","not_routed_in_current_packet | needs_source_route | none","","","","","campaign_032_002_source_normalized_branch_tail_family_rows.csv;effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv"
"M-1880","3","30","campaign_032_002_861_bare_edge_source_controls_rows.csv","route_pending_panel_or_cisi_3_1","","","","","campaign_032_002_861_bare_edge_source_controls_rows.csv;effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv"
"M-2060","3","30","campaign_032_002_861_bare_edge_source_controls_rows.csv","route_pending_panel_or_cisi_3_1","","","","","campaign_032_002_861_bare_edge_source_controls_rows.csv;effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv"
"M-29","3","30","campaign_032_002_source_normalized_branch_tail_family_rows.csv","not_routed_in_current_packet | needs_source_route | none","","","","","campaign_032_002_source_normalized_branch_tail_family_rows.csv;effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv"
"M-46","3","30","campaign_032_002_source_normalized_branch_tail_family_rows.csv","not_routed_in_current_packet | needs_source_route | none","","","","","campaign_032_002_source_normalized_branch_tail_family_rows.csv;effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv"
"M-735","3","30","campaign_032_002_source_normalized_branch_tail_family_rows.csv","not_routed_in_current_packet | needs_source_route | none","","","","","campaign_032_002_source_normalized_branch_tail_family_rows.csv;effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv"
"Sktd-1","3","30","campaign_032_002_source_normalized_branch_tail_family_rows.csv","not_routed_in_current_packet | needs_source_route | none","","","","","campaign_032_002_source_normalized_branch_tail_family_rows.csv;effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv"
"H-1678","5","15","source_box_negative_control_v2_public_routes.csv","route_recorded | secondary_catalogue_only_not_source_grade | secondary_catalogue_text_only","local:tmp/m1206_bhaskar/S1-IndusZoomorphicIconCatalogue.txt","tmp/m1206_bhaskar/S1-IndusZoomorphicIconCatalogue.txt","","Broad source-context crop around OCR label; not token-boxed evidence.","effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv;source_box_negative_control_v2_public_routes.csv;source_box_negative_control_v2_source_status.csv;source_box_negative_control_v2_targets.csv"
"H-601","5","15","source_box_negative_control_v2_public_routes.csv","route_recorded | secondary_catalogue_only_not_source_grade | secondary_catalogue_text_only","local:tmp/m1206_bhaskar/S1-IndusZoomorphicIconCatalogue.txt","tmp/m1206_bhaskar/S1-IndusZoomorphicIconCatalogue.txt","","Broad source-context crop around OCR label; not token-boxed evidence.","effective_unicity_directionality_source_queue_source_index.csv;source_box_negative_control_candidates.csv;source_box_negative_control_v2_public_routes.csv;source_box_negative_control_v2_source_status.csv;source_box_negative_control_v2_targets.csv"
"-","4","5","campaign_032_002_branch_tail_source_routes.csv","blocked_until_object_id_resolved","","","","","campaign_032_002_branch_tail_source_routes.csv;campaign_032_002_source_normalized_branch_tail_decisive_rows.csv;campaign_032_002_source_normalized_branch_tail_family_rows.csv;effective_unicity_directionality_source_queue_source_index.csv"
"C-1","5","5","source_box_blind_adjudication_scored_rows.csv","confidence:med","","","","","effective_unicity_directionality_source_queue_source_index.csv;source_box_blind_adjudication_key.csv;source_box_blind_adjudication_scored_rows.csv;source_box_negative_control_candidates.csv"
"C-3","5","5","source_box_blind_adjudication_scored_rows.csv","confidence:high","","","","","effective_unicity_directionality_source_queue_source_index.csv;source_box_blind_adjudication_key.csv;source_box_blind_adjudication_scored_rows.csv;source_box_negative_control_candidates.csv"
"C-65","8","5","campaign_032_002_y_source_route_probe.csv","chanhu_daro_plate_route","","","","acquire/check Chanhu-daro plate reference and crop exact panel","campaign_032_002_tail_source_queue.csv;campaign_032_002_y_source_function_batch3_chanhudaro.csv;campaign_032_002_y_source_function_current_table.csv;campaign_032_002_y_source_function_sourceclean_features.csv;campaign_032_002_y_source_manifest.csv;campaign_032_002_y_source_route_probe.csv;effective_unicity_directionality_source_queue_source_index.csv;source_visible_032_002_y_witness_matrix.csv"
