checked_date,sign_after_390,global_390_x_count,after_002_count,terminal_count,after_002_share,terminal_share,examples
2026-05-31,803,2,0,0,0.000000,0.000000,M-77:+832-390-803-002-861+ | Sktd-2:+740-060-390-803-740+
2026-05-31,840,2,0,0,0.000000,0.000000,M-411:+390-840-233-240-744-033-272+ | -:+390-840-741-031-370+
2026-05-31,920,2,0,0,0.000000,0.000000,M-1955:+390-920-322-803-002-820+ | M-1838:+390-920-323+
2026-05-31,001,1,0,0,0.000000,0.000000,M-2064:+390-001-000-142-031+
2026-05-31,002,1,0,0,0.000000,0.000000,K-78:+740-817-390-002-820+
2026-05-31,006,1,0,0,0.000000,0.000000,-:+390-006-000[
2026-05-31,015,1,0,0,0.000000,0.000000,M-1833:+390-015-002-861+
2026-05-31,033,1,0,0,0.000000,0.000000,H-2265:]300-490-999-390-033-000[
2026-05-31,035,1,0,1,0.000000,1.000000,H-1355:+390-035+
2026-05-31,060,1,0,0,0.000000,0.000000,H-239:+390-060/740-500-091+
2026-05-31,070,1,0,0,0.000000,0.000000,M-1362:+390-070-220-032[
2026-05-31,072,1,1,1,1.000000,1.000000,H-68:+090-740-220-003-002-390-072+
2026-05-31,111,1,0,0,0.000000,0.000000,M-326:+390-111-000+
2026-05-31,128,1,0,0,0.000000,0.000000,C-24:+390-128-702-032/226-032-013-480-850+
2026-05-31,143,1,0,0,0.000000,0.000000,K-60:+390-143-033+
2026-05-31,231,1,0,1,0.000000,1.000000,H-2197:+400-090-740-100-390-231+
2026-05-31,346,1,1,1,1.000000,1.000000,M-213:+740-384-002-390-346+
2026-05-31,403,1,0,1,0.000000,1.000000,M-1170:+390-403+
2026-05-31,406,1,0,1,0.000000,1.000000,L-37:+104-892-390-406+
2026-05-31,440,1,0,0,0.000000,0.000000,-:+000-220-390-440-384+
2026-05-31,458,1,0,1,0.000000,1.000000,M-1712:+240-741-390-458+
2026-05-31,503,1,0,0,0.000000,0.000000,M-101:+390-503-740-168-002-817+
2026-05-31,520,1,0,1,0.000000,1.000000,H-1292:]740-000-390-520[
2026-05-31,530,1,1,0,1.000000,0.000000,H-773:+740-798-803-002-390-530-741+
2026-05-31,531,1,0,0,0.000000,0.000000,M-1911:+621-390-531-002-820+
2026-05-31,550,1,0,0,0.000000,0.000000,-:+390-550-452-060-690+
2026-05-31,600,1,0,0,0.000000,0.000000,M-1692:+390-600-617-002-190-125-632-032+
2026-05-31,630,1,0,0,0.000000,0.000000,M-719:]000-740-390-630-032+
2026-05-31,632,1,0,1,0.000000,1.000000,C-32:+375-400-390-632+
2026-05-31,692,1,1,1,1.000000,1.000000,M-70:+226-032-002-390-692+
2026-05-31,700,1,0,0,0.000000,0.000000,L-101:+390-700-790-032-063+
2026-05-31,704,1,0,0,0.000000,0.000000,M-662:+390-704-001-820+
2026-05-31,707,1,1,1,1.000000,1.000000,M-232:+236-002-390-707+
2026-05-31,717,1,0,0,0.000000,0.000000,Blk-2:+390-717-061-002-368-634+
2026-05-31,721,1,0,0,0.000000,0.000000,M-724:+390-721-790-002-861+
2026-05-31,728,1,0,1,0.000000,1.000000,H-449:+740-390-590-240-741-390-728+
2026-05-31,741,1,0,1,0.000000,1.000000,H-369:+368-033-705-031-741-390-741+
2026-05-31,820,1,0,0,0.000000,0.000000,M-48:+390-820-463-060-368-920+
2026-05-31,831,1,0,1,0.000000,1.000000,M-824:+368-390-831+
2026-05-31,832,1,0,0,0.000000,0.000000,K-120:+390-832-003+
2026-05-31,869,1,0,0,0.000000,0.000000,M-918:+390-869-002-861+
2026-05-31,871,1,0,1,0.000000,1.000000,H-511:+390-871+
2026-05-31,900,1,0,0,0.000000,0.000000,M-1821:+740-838-741-390-900-140+
