"id","cisi","site","type","material","condition","complete","text","signs","length","position_0","position_1","prev","next","frame","known_next","damaged_or_open","clean_closed","prev_is_240","next_is_032","companion_count","companion_ids","companion_texts","companion_classes","no_companion_side"
"416.1","H-2035","Harappa","TAB:I","Steatite","Poor","Y","+220-233+","220-233","2","0","1","<START>","233","<START>-220-233","true","false","true","false","false","0","","","no_companion_side","true"
"479.1","H-1669","Harappa","SEAL:S","Steatite","Poor","Y","+520-220-415-060-920+","520-220-415-060-920","5","1","2","520","415","520-220-415","true","false","true","false","false","0","","","no_companion_side","true"
"481.1","H-2148","Harappa","TAB:I","Steatite","Good","Y","+520-220-415+","520-220-415","3","1","2","520","415","520-220-415","true","false","true","false","false","1","481.2","+110+","one_sign_or_contains_110","false"
"485.2","H-1953","Harappa","TAB:B","Clay","Fair","Y","+520-220-415-240-803+","520-220-415-240-803","5","1","2","520","415","520-220-415","true","false","true","false","false","1","485.1","+700-032-220+","700_032_branch","false"
"576.1","H-1685","Harappa","SEAL:S","-","Poor","N","+090-740-220-000-000-000-000+","090-740-220-000-000-000-000","7","2","3","740","000","740-220-000","true","false","true","false","false","0","","","no_companion_side","true"
"595.1","H-1892","Harappa","TAB:B","Faience","Poor","N","+220-000-700+","220-000-700","3","0","1","<START>","000","<START>-220-000","true","false","true","false","false","1","595.2","+400-698+","two_sign_other","false"
"715.1","H-1734","Harappa","POT:T:s","Clay","Poor","Y","+016-220-382+","016-220-382","3","1","2","016","382","016-220-382","true","false","true","false","false","0","","","no_companion_side","true"
"729.1","H-2010","Harappa","TAB:B","Faience","Fair","Y","+740-176-220-235+","740-176-220-235","4","2","3","176","235","176-220-235","true","false","true","false","false","1","729.2","+740-482-240-002-861+","longer_other","false"
"744.2","H-1993","Harappa","TAB:B","Clay","Poor","N","+740-000-220-004-002-390-095+","740-000-220-004-002-390-095","7","2","3","000","004","000-220-004","true","false","true","false","false","1","744.1","+700-033+","700_033_branch","false"
"816.1","H-2240","Harappa","TAB:I","Steatite","Good","Y","+520-220-415+","520-220-415","3","1","2","520","415","520-220-415","true","false","true","false","false","1","816.2","+869-575+","two_sign_other","false"
"824.2","H-1775","Harappa","TAB:B","Faience","Poor","N","+220-000-700-033+","220-000-700-033","4","0","1","<START>","000","<START>-220-000","true","false","true","false","false","1","824.1","+740-100-415-176-792-102+","longer_other","false"
"827.2","H-2145","Harappa","TAB:I","Steatite","Fair","Y","+074-220-415+","074-220-415","3","1","2","074","415","074-220-415","true","false","true","false","false","1","827.1","+700-034+","700_034_branch","false"
"841.1","H-2146","Harappa","TAB:I","Steatite","Fair","Y","+520-220-415+","520-220-415","3","1","2","520","415","520-220-415","true","false","true","false","false","1","841.2","+700-032+","700_032_branch","false"
"848.1","H-2149","Harappa","TAB:I","Steatite","Fair","Y","+520-220-415+","520-220-415","3","1","2","520","415","520-220-415","true","false","true","false","false","1","848.2","+590-032-645-003+","longer_other","false"
"913.1","H-1992","Harappa","TAB:B","Faience","Poor","Y","+520-220-415+","520-220-415","3","1","2","520","415","520-220-415","true","false","true","false","false","1","913.2","+520-220-415+","companion_starts_520_220","false"
"913.2","H-1992","Harappa","TAB:B","Faience","Poor","Y","+520-220-415+","520-220-415","3","1","2","520","415","520-220-415","true","false","true","false","false","1","913.1","+520-220-415+","companion_starts_520_220","false"
"920.1","H-1678","Harappa","SEAL:S","Steatite","Good","Y","+520-233-240-220-032+","520-233-240-220-032","5","3","4","240","032","240-220-032","true","false","true","true","true","0","","","no_companion_side","true"
"925.2","H-1838","Harappa","TAB:B","Faience","Poor","N","+220-000-000-000+","220-000-000-000","4","0","1","<START>","000","<START>-220-000","true","false","true","false","false","1","925.1","+000-415-176-000+","longer_other","false"
"937.1","H-2011","Harappa","TAB:B","Clay","Poor","Y","+740-176-220-235+","740-176-220-235","4","2","3","176","235","176-220-235","true","false","true","false","false","1","937.2","+740-482-240-002-861+","longer_other","false"
"1017.1","H-1737","Harappa","POT:T:s","Clay","Poor","Y","+220-033+","220-033","2","0","1","<START>","033","<START>-220-033","true","false","true","false","false","0","","","no_companion_side","true"
"1020.1","H-1657","Harappa","SEAL:S","Steatite","Good","Y","+740-405-590-032-900-003-806-235-220-032-002-690-921+","740-405-590-032-900-003-806-235-220-032-002-690-921","13","8","9","235","032","235-220-032","true","false","true","false","true","0","","","no_companion_side","true"
"1032.1","H-1736","Harappa","POT:T:s","Clay","Poor","Y","+220-033+","220-033","2","0","1","<START>","033","<START>-220-033","true","false","true","false","false","0","","","no_companion_side","true"
"1065.1","H-4","Harappa","SEAL:S","Steatite","Fine","Y","+220-063-051+","220-063-051","3","0","1","<START>","063","<START>-220-063","true","false","true","false","false","0","","","no_companion_side","true"
"1070.1","H-9","Harappa","SEAL:S","Steatite","Good","Y","+220-017+","220-017","2","0","1","<START>","017","<START>-220-017","true","false","true","false","false","0","","","no_companion_side","true"
"1073.1","H-12","Harappa","SEAL:S","Steatite","Good","Y","+740-690-435-255-803-220-240-235-002-817+","740-690-435-255-803-220-240-235-002-817","10","5","6","803","240","803-220-240","true","false","true","false","false","0","","","no_companion_side","true"
"1080.1","H-20","Harappa","SEAL:S","Steatite","Fine","Y","+740-176-690-435-255-220-032-806-060-550+","740-176-690-435-255-220-032-806-060-550","10","5","6","255","032","255-220-032","true","false","true","false","true","0","","","no_companion_side","true"
"1095.1","H-36","Harappa","SEAL:S","Steatite","Good","Y","+740-798-220-742-146+","740-798-220-742-146","5","2","3","798","742","798-220-742","true","false","true","false","false","0","","","no_companion_side","true"
"1127.1","H-68","Harappa","SEAL:S","Steatite","Fair","Y","+090-740-220-003-002-390-072+","090-740-220-003-002-390-072","7","2","3","740","003","740-220-003","true","false","true","false","false","0","","","no_companion_side","true"
"1139.1","H-82","Harappa","SEAL:S","Steatite","Poor","Y","+390-017-002-220-455-741+","390-017-002-220-455-741","6","3","4","002","455","002-220-455","true","false","true","false","false","0","","","no_companion_side","true"
"1148.1","H-92","Harappa","SEAL:S","Steatite","Fair","Y","+156-176-518-220-416-002-615+","156-176-518-220-416-002-615","7","3","4","518","416","518-220-416","true","false","true","false","false","0","","","no_companion_side","true"
"1153.1","H-98","Harappa","SEAL:S","Steatite","Good","Y","+861-920/520-220-016+","861-920-520-220-016","5","3","4","520","016","520-220-016","true","false","true","false","false","0","","","no_companion_side","true"
"1169.1","H-103","Harappa","SEAL:S","Steatite","Fair","Y","+159-097/520-033-705/740-717-220-415-806+","159-097-520-033-705-740-717-220-415-806","10","7","8","717","415","717-220-415","true","false","true","false","false","0","","","no_companion_side","true"
"1170.1","H-129","Harappa","SEAL:R","Steatite","Good","Y","+409-061-740-235-220-031-002-861-244-165+","409-061-740-235-220-031-002-861-244-165","10","4","5","235","031","235-220-031","true","false","true","false","false","0","","","no_companion_side","true"
"1174.1","H-133","Harappa","SEAL:R","Steatite","Fair","Y","+740-554-220-415-798-060-692+","740-554-220-415-798-060-692","7","2","3","554","415","554-220-415","true","false","true","false","false","0","","","no_companion_side","true"
"1175.1","H-134","Harappa","SEAL:R","Steatite","Good","Y","+740-405-590-220-003-002-861+","740-405-590-220-003-002-861","7","3","4","590","003","590-220-003","true","false","true","false","false","0","","","no_companion_side","true"
"1190.1","H-149","Harappa","SEAL:R","Steatite","Poor","Y","+405-061-033-706-794-630-220-002-820+","405-061-033-706-794-630-220-002-820","9","6","7","630","002","630-220-002","true","false","true","false","false","0","","","no_companion_side","true"
"1216.1","H-183","Harappa","TAB:B","-","Good","Y","+400-202-892-220-920+","400-202-892-220-920","5","3","4","892","920","892-220-920","true","false","true","false","false","0","","","no_companion_side","true"
"1217.1","H-184","Harappa","TAB:B","Steatite","Poor","Y","+400-202-892-220-920+","400-202-892-220-920","5","3","4","892","920","892-220-920","true","false","true","false","false","0","","","no_companion_side","true"
"1234.1","H-203","Harappa","TAB:B","Faience","Good","Y","+400-740-220-415-798+","400-740-220-415-798","5","2","3","740","415","740-220-415","true","false","true","false","false","0","","","no_companion_side","true"
"1258.1","H-231","Harappa","TAB:B","Faience","Fair","Y","+520-220-240-002-820+","520-220-240-002-820","5","1","2","520","240","520-220-240","true","false","true","false","false","1","1258.2","+700-033+","700_033_branch","false"
"1293.1","H-268","Harappa","SEAL:S","Steatite","Poor","Y","+740-585-017-033-706-803-002-220-455-920+","740-585-017-033-706-803-002-220-455-920","10","7","8","002","455","002-220-455","true","false","true","false","false","0","","","no_companion_side","true"
"1294.1","H-270","Harappa","SEAL:S","Steatite","Fair","Y","+740-482-055-220-415-798-803-742-617+","740-482-055-220-415-798-803-742-617","9","3","4","055","415","055-220-415","true","false","true","false","false","0","","","no_companion_side","true"
"1300.1","H-278","Harappa","TAB:B","Steatite","Fair","Y","+740-407-590-690-436-255-920-318-220-415-803+","740-407-590-690-436-255-920-318-220-415-803","11","8","9","318","415","318-220-415","true","false","true","false","false","0","","","no_companion_side","true"
"1301.1","H-279","Harappa","TAB:B","Clay","Poor","Y","+740-407-590-690-436-255-920-318-220-415-803+","740-407-590-690-436-255-920-318-220-415-803","11","8","9","318","415","318-220-415","true","false","true","false","false","0","","","no_companion_side","true"
"1302.1","H-280","Harappa","TAB:B","Clay","Poor","Y","+740-407-590-690-436-255-920-318-220-415-803+","740-407-590-690-436-255-920-318-220-415-803","11","8","9","318","415","318-220-415","true","false","true","false","false","0","","","no_companion_side","true"
"1303.1","H-281","Harappa","TAB:B","Clay","Fair","Y","+740-407-590-690-436-255-920-318-220-415-803+","740-407-590-690-436-255-920-318-220-415-803","11","8","9","318","415","318-220-415","true","false","true","false","false","0","","","no_companion_side","true"
"1304.1","H-282","Harappa","TAB:B","-","Fair","Y","+740-407-590-690-436-255-920-318-220-415-803+","740-407-590-690-436-255-920-318-220-415-803","11","8","9","318","415","318-220-415","true","false","true","false","false","0","","","no_companion_side","true"
"1305.1","H-283","Harappa","TAB:B","-","Fair","Y","+740-407-590-690-436-255-920-318-220-415-803+","740-407-590-690-436-255-920-318-220-415-803","11","8","9","318","415","318-220-415","true","false","true","false","false","0","","","no_companion_side","true"
"1306.1","H-284","Harappa","TAB:B","Clay","Poor","Y","+740-407-590-690-436-255-920-318-220-415-803+","740-407-590-690-436-255-920-318-220-415-803","11","8","9","318","415","318-220-415","true","false","true","false","false","0","","","no_companion_side","true"
"1324.1","H-302","Harappa","TAB:I","Steatite","Good","Y","+220-700-004+","220-700-004","3","0","1","<START>","700","<START>-220-700","true","false","true","false","false","1","1324.2","+400-760-740-220-416+","longer_other","false"
"1324.2","H-302","Harappa","TAB:I","Steatite","Good","Y","+400-760-740-220-416+","400-760-740-220-416","5","3","4","740","416","740-220-416","true","false","true","false","false","1","1324.1","+220-700-004+","700_other_branch","false"
"1341.1","H-319","Harappa","TAB:I","Steatite","Good","Y","+520-220-415+","520-220-415","3","1","2","520","415","520-220-415","true","false","true","false","false","1","1341.2","+700-034+","700_034_branch","false"
"1366.1","H-346","Harappa","TAB:I","Steatite","Fair","Y","+520-220-415+","520-220-415","3","1","2","520","415","520-220-415","true","false","true","false","false","1","1366.2","+700-090+","700_other_branch","false"
"1383.1","H-364","Harappa","TAB:I","Steatite","Fair","Y","+520-220-415+","520-220-415","3","1","2","520","415","520-220-415","true","false","true","false","false","0","","","no_companion_side","true"
"1399.1","H-385","Harappa","SEAL:S","Steatite","Poor","N","+000-220-002-595-632-354-850+","000-220-002-595-632-354-850","7","1","2","000","002","000-220-002","true","false","true","false","false","0","","","no_companion_side","true"
"1416.1","H-412","Harappa","SEAL:S","Steatite","Poor","Y","+161-233-220-032-741-831+","161-233-220-032-741-831","6","2","3","233","032","233-220-032","true","false","true","false","true","0","","","no_companion_side","true"
"1434.1","H-444","Harappa","SEAL:S","-","Good","Y","+241-220-032-002-861+","241-220-032-002-861","5","1","2","241","032","241-220-032","true","false","true","false","true","0","","","no_companion_side","true"
"1480.1","H-502","Harappa","SEAL:S","Steatite","Fair","Y","+090-740-220-032+","090-740-220-032","4","2","3","740","032","740-220-032","true","false","true","false","true","0","","","no_companion_side","true"
"1491.1","H-514","Harappa","SEAL:S","Steatite","Fair","Y","+151-220-016-002-820+","151-220-016-002-820","5","1","2","151","016","151-220-016","true","false","true","false","false","0","","","no_companion_side","true"
"1536.1","H-592","Harappa","SEAL:S","-","Poor","Y","+740-575-017-220-415-803+","740-575-017-220-415-803","6","3","4","017","415","017-220-415","true","false","true","false","false","0","","","no_companion_side","true"
"1544.1","H-601","Harappa","SEAL:S","Clay","Poor","Y","+740-717-233-220-032+","740-717-233-220-032","5","3","4","233","032","233-220-032","true","false","true","false","true","0","","","no_companion_side","true"
"1548.1","H-608","Harappa","SEAL:S","Steatite","Poor","Y","+140-220/530+","140-220-530","3","1","2","140","530","140-220-530","true","false","true","false","false","0","","","no_companion_side","true"
"1584.1","H-669","Harappa","SEAL:R","Steatite","Fair","Y","+740-220-032+","740-220-032","3","1","2","740","032","740-220-032","true","false","true","false","true","0","","","no_companion_side","true"
"1641.1","H-748","Harappa","TAB:B","Faience","Fair","Y","+400-740-220-415-798+","400-740-220-415-798","5","2","3","740","415","740-220-415","true","false","true","false","false","0","","","no_companion_side","true"
"1659.1","H-767","Harappa","TAB:B","Clay","Fair","Y","+400-740-220-415-798+","400-740-220-415-798","5","2","3","740","415","740-220-415","true","false","true","false","false","1","1659.2","+700-033+","700_033_branch","false"
"1677.2","H-786","Harappa","TAB:B","-","Good","Y","+520-220-415+","520-220-415","3","1","2","520","415","520-220-415","true","false","true","false","false","1","1677.1","+824-892-413+","longer_other","false"
"1680.1","H-789","Harappa","TAB:B","Faience","Good","Y","+400-520-220-016+","400-520-220-016","4","2","3","520","016","520-220-016","true","false","true","false","false","1","1680.2","+033-700+","700_033_branch","false"
"1686.2","H-795","Harappa","TAB:B","-","Poor","N","+442-000-220-000+","442-000-220-000","4","2","3","000","000","000-220-000","true","false","true","false","false","1","1686.1","+033-700+","700_033_branch","false"
"1695.2","H-806","Harappa","TAB:B","Clay","Fair","Y","+740-176-220-235+","740-176-220-235","4","2","3","176","235","176-220-235","true","false","true","false","false","1","1695.1","+740-482-240-002-861+","longer_other","false"
"1696.2","H-807","Harappa","TAB:B","-","Poor","Y","+740-176-220-235+","740-176-220-235","4","2","3","176","235","176-220-235","true","false","true","false","false","1","1696.1","+740-482-240-002-861+","longer_other","false"
"1697.2","H-808","Harappa","TAB:B","-","Poor","Y","+740-176-220-235+","740-176-220-235","4","2","3","176","235","176-220-235","true","false","true","false","false","1","1697.1","+740-482-240-002-861+","longer_other","false"
"1754.1","H-871","Harappa","TAB:B","Clay","Poor","Y","+740-407-590-690-436-255-920-318-220-415-803+","740-407-590-690-436-255-920-318-220-415-803","11","8","9","318","415","318-220-415","true","false","true","false","false","0","","","no_companion_side","true"
"1755.1","H-872","Harappa","TAB:B","Clay","Poor","Y","+740-407-590-690-436-255-920-318-220-415-803+","740-407-590-690-436-255-920-318-220-415-803","11","8","9","318","415","318-220-415","true","false","true","false","false","0","","","no_companion_side","true"
"1756.1","H-873","Harappa","TAB:B","Clay","Poor","Y","+740-407-590-690-436-255-920-318-220-415-803+","740-407-590-690-436-255-920-318-220-415-803","11","8","9","318","415","318-220-415","true","false","true","false","false","0","","","no_companion_side","true"
"1793.1","H-912","Harappa","TAB:I","Steatite","Fair","Y","+400-740-760-220-416+","400-740-760-220-416","5","3","4","760","416","760-220-416","true","false","true","false","false","1","1793.2","+220-700-004+","700_other_branch","false"
"1793.2","H-912","Harappa","TAB:I","Steatite","Fair","Y","+220-700-004+","220-700-004","3","0","1","<START>","700","<START>-220-700","true","false","true","false","false","1","1793.1","+400-740-760-220-416+","longer_other","false"
"1818.1","H-938","Harappa","TAB:I","Steatite","Good","Y","+520-220-415+","520-220-415","3","1","2","520","415","520-220-415","true","false","true","false","false","1","1818.2","+034-700+","700_034_branch","false"
"1819.2","H-939","Harappa","TAB:I","Steatite","Poor","Y","+520-220-415+","520-220-415","3","1","2","520","415","520-220-415","true","false","true","false","false","1","1819.1","+700-034+","700_034_branch","false"
"1820.1","H-940","Harappa","TAB:I","Steatite","Fair","Y","+520-220-415+","520-220-415","3","1","2","520","415","520-220-415","true","false","true","false","false","1","1820.2","+110+","one_sign_or_contains_110","false"
"1821.2","H-941","Harappa","TAB:I","Steatite","Poor","Y","+520-220-415+","520-220-415","3","1","2","520","415","520-220-415","true","false","true","false","false","1","1821.1","+590-032-645-003+","longer_other","false"
"1822.1","H-942","Harappa","TAB:I","Steatite","Fair","Y","+520-220-016+","520-220-016","3","1","2","520","016","520-220-016","true","false","true","false","false","1","1822.2","+033-700+","700_033_branch","false"
"1830.1","H-950","Harappa","TAB:I","Steatite","Poor","Y","+710-455-220-032+","710-455-220-032","4","2","3","455","032","455-220-032","true","false","true","false","true","1","1830.2","+033-700+","700_033_branch","false"
"1849.1","H-972","Harappa","TAB:I","Steatite","Poor","N","+000-220-415+","000-220-415","3","1","2","000","415","000-220-415","true","false","true","false","false","0","","","no_companion_side","true"
"1882.1","K-7","Kalibangan","SEAL:S","Steatite","Fair","Y","+740-100-176-838-001-220-455-530-741+","740-100-176-838-001-220-455-530-741","9","5","6","001","455","001-220-455","true","false","true","false","false","0","","","no_companion_side","true"
"1883.1","K-8","Kalibangan","SEAL:S","Steatite","Fair","N","+000-000-220-003+","000-000-220-003","4","2","3","000","003","000-220-003","true","false","true","false","false","0","","","no_companion_side","true"
"1884.1","K-9","Kalibangan","SEAL:S","Steatite","Fine","Y","+515-740-220-003-900+","515-740-220-003-900","5","2","3","740","003","740-220-003","true","false","true","false","false","0","","","no_companion_side","true"
"1889.1","K-14","Kalibangan","SEAL:S","Steatite","Poor","N","+000-031-003/000-220-741-703-632+","000-031-003-000-220-741-703-632","8","4","5","000","741","000-220-741","true","false","true","false","false","0","","","no_companion_side","true"
"1890.1","K-15","Kalibangan","SEAL:S","Steatite","Fine","Y","+871-947/400-740-543-350-895-785-220-335+","871-947-400-740-543-350-895-785-220-335","10","8","9","785","335","785-220-335","true","false","true","false","false","0","","","no_companion_side","true"
"1899.1","K-25","Kalibangan","SEAL:S","Steatite","Poor","Y","+520-231-002-220-065-132-082+","520-231-002-220-065-132-082","7","3","4","002","065","002-220-065","true","false","true","false","false","0","","","no_companion_side","true"
"1971.1","-","Kish","SEAL:S","-","Good","Y","+740-390-590-220-003-060-840-416+","740-390-590-220-003-060-840-416","8","3","4","590","003","590-220-003","true","false","true","false","false","0","","","no_companion_side","true"
"1972.1","Kd-7","Kot-Diji","POT:T:g","Clay","Poor","N","+031-220-000-741-850-001-111-003+","031-220-000-741-850-001-111-003","8","1","2","031","000","031-220-000","true","false","true","false","false","0","","","no_companion_side","true"
"2016.1","L-45","Lothal","SEAL:S","Steatite","Good","Y","+411-440-236-220-741-634+","411-440-236-220-741-634","6","3","4","236","741","236-220-741","true","false","true","false","false","0","","","no_companion_side","true"
"2032.5","L-66","Lothal","SEAL:S","Steatite","Poor","N","+000-904-220-032-000-000-000+","000-904-220-032-000-000-000","7","2","3","904","032","904-220-032","true","false","true","false","true","4","2032.1;2032.2;2032.3;2032.4","+013+;+647+;+000+;+220+","one_sign_other","false"
"2041.1","L-87","Lothal","SEAL:R","Steatite","Fair","Y","+740-032-840-233-220-032-060-825-002+","740-032-840-233-220-032-060-825-002","9","4","5","233","032","233-220-032","true","false","true","false","true","0","","","no_companion_side","true"
"2052.1","L-98","Lothal","SEAL:R","Steatite","Good","Y","+520-220-415-519+","520-220-415-519","4","1","2","520","415","520-220-415","true","false","true","false","false","0","","","no_companion_side","true"
"2063.1","L-114","Lothal","SEAL:R","Steatite","Poor","Y","+740-407-590-904-220-032-803-060-920+","740-407-590-904-220-032-803-060-920","9","4","5","904","032","904-220-032","true","false","true","false","true","0","","","no_companion_side","true"
"2068.1","L-124","Lothal","TAG:L","Clay","Poor","Y","+090-740-220-055-001-741-500-705+","090-740-220-055-001-741-500-705","8","2","3","740","055","740-220-055","true","false","true","false","false","0","","","no_companion_side","true"
"2069.1","L-125","Lothal","TAG:L","Clay","Poor","Y","+090-740-220-055-001-741-500-705+","090-740-220-055-001-741-500-705","8","2","3","740","055","740-220-055","true","false","true","false","false","0","","","no_companion_side","true"
"2070.1","L-126","Lothal","TAG:L","Clay","Poor","Y","+090-740-220-055-001-741-500-705+","090-740-220-055-001-741-500-705","8","2","3","740","055","740-220-055","true","false","true","false","false","0","","","no_companion_side","true"
"2071.1","L-128","Lothal","TAG:L","Clay","Poor","Y","+090-740-220-055-001-741-500-705+","090-740-220-055-001-741-500-705","8","2","3","740","055","740-220-055","true","false","true","false","false","0","","","no_companion_side","true"
"2072.1","L-129","Lothal","TAG","Clay","Poor","Y","+090-740-220-055-001-741-500-705+","090-740-220-055-001-741-500-705","8","2","3","740","055","740-220-055","true","false","true","false","false","0","","","no_companion_side","true"
"2077.1","L-134","Lothal","TAG","Clay","Poor","Y","+520-233-220-240-002-617+","520-233-220-240-002-617","6","2","3","233","240","233-220-240","true","false","true","false","false","0","","","no_companion_side","true"
"2085.1","L-143","Lothal","TAG","-","Poor","Y","+740-388-220-004-060-920+","740-388-220-004-060-920","6","2","3","388","004","388-220-004","true","false","true","false","false","0","","","no_companion_side","true"
"2112.1","L-190","Lothal","TAG","Clay","Poor","Y","+090-740-220-055-001-741-500-705+","090-740-220-055-001-741-500-705","8","2","3","740","055","740-220-055","true","false","true","false","false","2","2112.2;2112.3","+000-000-000-002-920-317[;]880+","longer_other;one_sign_other","false"
"2113.1","L-191","Lothal","TAG","Clay","Poor","Y","+090-740-220-055-001-741-500-705+","090-740-220-055-001-741-500-705","8","2","3","740","055","740-220-055","true","false","true","false","false","1","2113.2","]235-002-861+","longer_other","false"
"2115.1","L-193","Lothal","TAG","Clay","Poor","Y","+090-740-220-055-001-741-500-705+","090-740-220-055-001-741-500-705","8","2","3","740","055","740-220-055","true","false","true","false","false","2","2115.2;2115.3","+000+;+125-070[","one_sign_other;two_sign_other","false"
"2117.1","L-197","Lothal","TAG","Clay","Poor","Y","+090-740-220-055-001-741-500-705+","090-740-220-055-001-741-500-705","8","2","3","740","055","740-220-055","true","false","true","false","false","1","2117.2","]000-000-032-000+","longer_other","false"
"2125.1","L-206","Lothal","TAG:W","Clay","Poor","Y","+090-740-220-055-001-741-500-705+","090-740-220-055-001-741-500-705","8","2","3","740","055","740-220-055","true","false","true","false","false","0","","","no_companion_side","true"
"2178.1","M-1696","Mohenjo-daro","SEAL:S","Steatite","Fair","Y","+520-033-705-220-415-002-861+","520-033-705-220-415-002-861","7","3","4","705","415","705-220-415","true","false","true","false","false","0","","","no_companion_side","true"
