"row_index_1based","sign_token_count","gap_position_0based","target_sign","left_context","right_context","ivc_p95_length_eligible","exact_sequence_count","original_sequence","gapped_sequence"
"27","15","4","e","so","ra","false","1","ta-mi-de-so e-ra sa-qa-re-jo OVIS:f LANA oLANA oOVIS:f okiOVIS:m","ta-mi-de-so *-ra sa-qa-re-jo OVIS:f LANA oLANA oOVIS:f okiOVIS:m"
"28","17","0","ke","<s>","u","false","1","ke-u-sa si-ja-du-we po-ti-ni-ja-we-jo OVIS:f LANA okiOVIS:m oLANA","*-u-sa si-ja-du-we po-ti-ni-ja-we-jo OVIS:f LANA okiOVIS:m oLANA"
"29","15","8","e","re","jo","false","1","si-da-jo ma-ri e-se-re-e-jo OVIS:f kiOVIS:m LANA okiOVIS:m oLANA","si-da-jo ma-ri e-se-re-*-jo OVIS:f kiOVIS:m LANA okiOVIS:m oLANA"
"30","14","3","ma","ti","ri","false","1","pa-za-ti ma-ri sa-qa-re-jo OVIS:f LANA oLANA oOVIS:f okiOVIS:m","pa-za-ti *-ri sa-qa-re-jo OVIS:f LANA oLANA oOVIS:f okiOVIS:m"
"31","15","3","su","ta","ri","false","1","i-pe-ta su-ri-mo e-se-re-e-jo OVIS:f LANA oOVIS:f okiOVIS:m","i-pe-ta *-ri-mo e-se-re-e-jo OVIS:f LANA oOVIS:f okiOVIS:m"
"32","16","5","we","du","po","false","1","*18-jo si-ja-du-we po-ti-ni-ja-we-jo OVIS:f LANA okiOVIS:m oLANA","*18-jo si-ja-du-* po-ti-ni-ja-we-jo OVIS:f LANA okiOVIS:m oLANA"
"33","8","3","jo","re","OVIS:f","true","1","sa-qa-re-jo OVIS:f LANA okiOVIS:m oLANA","sa-qa-re-* OVIS:f LANA okiOVIS:m oLANA"
"34","6","0","da","<s>","to","true","1","da-to-ro su-ri-mo","*-to-ro su-ri-mo"
"35","7","4","seOVIS:f","so","kiOVIS:m","true","1","da-i-mi-so seOVIS:f kiOVIS:m OVIS:m","da-i-mi-so * kiOVIS:m OVIS:m"
"36","13","0","to","<s>","sa","false","1","to-sa ne-wa po-ka po-ti-ni-ja-we-ja OVIS:f","*-sa ne-wa po-ka po-ti-ni-ja-we-ja OVIS:f"
"37","9","2","ja","ra","qi","false","1","e-ra-ja qi-ni-te-we OVIS saOVIS","e-ra-* qi-ni-te-we OVIS saOVIS"
"38","12","1","su","ra","to","false","1","ra-su-to e-se-re-e-jo OVIS:f LANA okiOVIS:m LANA","ra-*-to e-se-re-e-jo OVIS:f LANA okiOVIS:m LANA"
"39","7","3","ko","to","ma","true","1","ra-su-to ko-ma-we-te","ra-su-to *-ma-we-te"
"40","11","0","ko","<s>","te","false","1","ko-te-u ka-to-ro se-to-i-ja OVIS:f","*-te-u ka-to-ro se-to-i-ja OVIS:f"
"41","10","4","ta","ja","ku","false","1","a-te-i-ja-ta ku-ta-to OVIS:m LANA","a-te-i-ja-* ku-ta-to OVIS:m LANA"
"42","9","2","no","da","ku","false","1","ka-da-no ku-ta-to OVIS:m LANA oLANA","ka-da-* ku-ta-to OVIS:m LANA oLANA"
"43","10","0","a","<s>","ko","false","1","a-ko-mo-ni-jo ku-ta-to kineOVIS:m LANA","*-ko-mo-ni-jo ku-ta-to kineOVIS:m LANA"
"44","6","0","ku","<s>","ta","true","1","ku-ta-to OVIS:m LANA oLANA","*-ta-to OVIS:m LANA oLANA"
"45","8","0","wo","<s>","wo","true","1","wo-wo ku-ta-to OVIS:m LANA oLANA","*-wo ku-ta-to OVIS:m LANA oLANA"
"46","9","2","u","te","ku","false","1","ka-te-u ku-ta-to OVIS:m LANA oLANA","ka-te-* ku-ta-to OVIS:m LANA oLANA"
"47","10","2","ni","mi","to","false","1","ka-mi-ni-to ku-ta-to OVIS:m LANA oLANA","ka-mi-*-to ku-ta-to OVIS:m LANA oLANA"
"48","10","0","e","<s>","ru","false","1","e-ru-to-ro ku-ta-to OVIS:m LANA oLANA","*-ru-to-ro ku-ta-to OVIS:m LANA oLANA"
"49","9","6","OVIS:m","to","LANA","false","1","di-ra-qo ku-ta-to OVIS:m LANA oLANA","di-ra-qo ku-ta-to * LANA oLANA"
"50","10","2","za","mi","da","false","1","ti-mi-za da-mi-ni-jo OVIS:m LANA oLANA","ti-mi-* da-mi-ni-jo OVIS:m LANA oLANA"
"51","11","7","jo","ni","OVIS:m","false","1","i-ke-se-ra da-mi-ni-jo OVIS:m LANA oLANA","i-ke-se-ra da-mi-ni-* OVIS:m LANA oLANA"
"52","6","0","e","<s>","ki","true","1","e-ki-no a-ka OVIS:m","*-ki-no a-ka OVIS:m"
"53","8","5","a","ro","ka","true","1","a-ko-ro-qo-ro a-ka OVIS:m","a-ko-ro-qo-ro *-ka OVIS:m"
"54","6","0","au","<s>","ri","true","1","au-ri-jo a-ka OVIS:m","*-ri-jo a-ka OVIS:m"
"55","8","6","ka","a","OVIS:m","true","1","e-ne-ke-se-u a-ka OVIS:m","e-ne-ke-se-u a-* OVIS:m"
"56","6","0","o","<s>","ku","true","1","o-ku-no a-ka OVIS:m","*-ku-no a-ka OVIS:m"
"57","7","2","te","i","u","true","1","po-i-te-u a-ka OVIS:m","po-i-*-u a-ka OVIS:m"
"58","12","3","i","pa","to","false","1","ko-ti pa-i-to a-ka-i-jo OVIS:m OVIS:f oOVIS:m","ko-ti pa-*-to a-ka-i-jo OVIS:m OVIS:f oOVIS:m"
"59","13","3","pa","ko","i","false","1","ki-mu-ko pa-i-to a-ka-i-jo OVIS:m OVIS:f OVIS:m","ki-mu-ko *-i-to a-ka-i-jo OVIS:m OVIS:f OVIS:m"
"60","4","0","su","<s>","ri","true","1","su-ri-mo OVIS:m","*-ri-mo OVIS:m"
"61","4","2","so","ko","OVIS:m","true","2","e-ko-so OVIS:m","e-ko-* OVIS:m"
"62","5","2","ri","ki","ta","true","1","su-ki-ri-ta OVIS:m","su-ki-*-ta OVIS:m"
"63","4","1","*22","da","to","true","2","da-*22-to OVIS:m","da-*-to OVIS:m"
"64","5","0","*56","<s>","ko","true","1","*56-ko-we-i OVIS:m","*-ko-we-i OVIS:m"
"65","4","0","pa","<s>","i","true","1","pa-i-to OVIS:m","*-i-to OVIS:m"
"66","3","0","da","<s>","wo","true","3","da-wo OVIS:m","*-wo OVIS:m"
"67","4","1","ri","ti","to","true","2","ti-ri-to OVIS:m","ti-*-to OVIS:m"
"68","3","0","qa","<s>","ra","true","1","qa-ra OVIS:m","*-ra OVIS:m"
"69","3","0","ra","<s>","ja","true","1","ra-ja OVIS:m","*-ja OVIS:m"
"70","4","0","pu","<s>","na","true","1","pu-na-so OVIS:m","*-na-so OVIS:m"
"71","8","3","u","ro","ta","true","1","ta-za-ro u-ta-no OVIS:m OVIS:f","ta-za-ro *-ta-no OVIS:m OVIS:f"
"72","6","3","qa","mo","ra","true","1","ru-na-mo qa-ra OVIS:m","ru-na-mo *-ra OVIS:m"
"73","7","3","so","i","qa","true","2","ki-*18-i-so qa-ra OVIS:m","ki-*18-i-* qa-ra OVIS:m"
"74","7","0","a","<s>","wa","true","1","a-wa-so qa-mo OVIS:m OVIS:f","*-wa-so qa-mo OVIS:m OVIS:f"
"75","10","2","po","i","su","false","1","qa-i-po su-ri-mo OVIS:m OVIS:f peOVIS:m oOVIS:m","qa-i-* su-ri-mo OVIS:m OVIS:f peOVIS:m oOVIS:m"
"76","9","2","ko","tu","su","false","1","a-tu-ko su-ri-mo OVIS:m OVIS:m paOVIS:m","a-tu-* su-ri-mo OVIS:m OVIS:m paOVIS:m"
"77","7","0","au","<s>","ri","true","1","au-ri-jo su-ri-mo OVIS:m","*-ri-jo su-ri-mo OVIS:m"
"78","7","0","da","<s>","to","true","1","da-to-ro su-ri-mo OVIS:m","*-to-ro su-ri-mo OVIS:m"
"79","10","3","ti","pi","jo","false","1","a3-ku-pi-ti-jo su-ri-mo OVIS:m OVIS:f","a3-ku-pi-*-jo su-ri-mo OVIS:m OVIS:f"
"80","9","1","me","re","to","false","1","re-me-to su-ri-mo OVIS:m OVIS:f paOVIS:m","re-*-to su-ri-mo OVIS:m OVIS:f paOVIS:m"
"81","12","3","po","ru","to","false","1","a-du-ru-po-to su-ri-mo OVIS:m OVIS:m paOVIS:m peOVIS:m","a-du-ru-*-to su-ri-mo OVIS:m OVIS:m paOVIS:m peOVIS:m"
"82","8","1","ta","ki","ne","true","1","ki-ta-ne-to su-ri-mo OVIS:m","ki-*-ne-to su-ri-mo OVIS:m"
"83","9","3","ro","da","ku","false","1","qa-si-da-ro ku-ta-to OVIS:m OVIS:f","qa-si-da-* ku-ta-to OVIS:m OVIS:f"
"84","8","1","wi","ri","so","true","1","ri-wi-so ku-ta-to OVIS:m OVIS","ri-*-so ku-ta-to OVIS:m OVIS"
"85","11","0","a","<s>","ko","false","2","a-ko-mo-ni-jo ku-ta-to OVIS:m OVIS:f oOVIS:m","*-ko-mo-ni-jo ku-ta-to OVIS:m OVIS:f oOVIS:m"
"86","11","7","mi","da","ni","false","1","ka-ta-wo ku-ta-to da-mi-ni-jo OVIS:m","ka-ta-wo ku-ta-to da-*-ni-jo OVIS:m"
"87","7","5","to","ta","OVIS:m","true","1","ri-wi-so ku-ta-to OVIS:m","ri-wi-so ku-ta-* OVIS:m"
"88","5","4","OVIS:f","OVIS:m","</s>","true","1","ku-ta-to OVIS:m OVIS:f","ku-ta-to OVIS:m *"
"89","11","10","OVIS:m","jo","</s>","false","1","au-ri-jo ku-ta-to da-mi-ni-jo OVIS:m","au-ri-jo ku-ta-to da-mi-ni-jo *"
"90","12","3","ku","re","ta","false","1","wa-*86-re ku-ta-to da-mi-ni-jo OVIS:m peOVIS:m","wa-*86-re *-ta-to da-mi-ni-jo OVIS:m peOVIS:m"
"91","13","2","na","du","ro","false","1","wa-du-na-ro ku-ta-to da-mi-ni-jo OVIS:m oOVIS:m","wa-du-*-ro ku-ta-to da-mi-ni-jo OVIS:m oOVIS:m"
"92","14","3","u","se","ku","false","1","de-ke-se-u ku-ta-to da-mi-ni-jo OVIS:m OVIS:f peOVIS:m","de-ke-se-* ku-ta-to da-mi-ni-jo OVIS:m OVIS:f peOVIS:m"
"93","12","0","u","<s>","*56","false","1","u-*56 ku-ta-to da-mi-ni-jo OVIS:m OVIS:f peOVIS:m","*-*56 ku-ta-to da-mi-ni-jo OVIS:m OVIS:f peOVIS:m"
"94","13","0","ti","<s>","mi","false","1","ti-mi-za ku-ta-to da-mi-ni-jo OVIS:m OVIS:f peOVIS:m","*-mi-za ku-ta-to da-mi-ni-jo OVIS:m OVIS:f peOVIS:m"
"95","12","0","a","<s>","nu","false","1","a-nu-ko ku-ta-to da-mi-ni-jo OVIS:m peOVIS:m","*-nu-ko ku-ta-to da-mi-ni-jo OVIS:m peOVIS:m"
"96","7","1","qi","a","ro","true","1","a-qi-ro ku-ta-to OVIS:m","a-*-ro ku-ta-to OVIS:m"
"97","7","0","e","<s>","qa","true","1","e-qa-ro ku-ta-to OVIS:m","*-qa-ro ku-ta-to OVIS:m"
"98","10","8","jo","ta","OVIS:m","false","1","mi-ru-ro da-*22-to u-ta-jo OVIS:m","mi-ru-ro da-*22-to u-ta-* OVIS:m"
"99","8","0","ka","<s>","da","true","1","ka-da-no ku-ta-to OVIS:m OVIS","*-da-no ku-ta-to OVIS:m OVIS"
"100","13","7","to","*22","u","false","1","po-ro-u-te-u da-*22-to u-ta-jo OVIS:m oOVIS:m","po-ro-u-te-u da-*22-* u-ta-jo OVIS:m oOVIS:m"
"101","12","2","to","ra","no","false","1","ta-ra-to-no da-*22-to u-ta-jo OVIS:m oOVIS:m","ta-ra-*-no da-*22-to u-ta-jo OVIS:m oOVIS:m"
"102","11","6","ja","ti","u","false","1","*56-du-nu-ka do-ti-ja u-ta-jo OVIS:m","*56-du-nu-ka do-ti-* u-ta-jo OVIS:m"
"103","10","0","a","<s>","ke","false","1","a-ke-u e-ko-so u-ta-jo OVIS:m","*-ke-u e-ko-so u-ta-jo OVIS:m"
"104","9","0","ke","<s>","to","false","1","ke-to *56-ko-we u-ta-jo OVIS:m","*-to *56-ko-we u-ta-jo OVIS:m"
"105","10","4","we","ko","u","false","1","ke-to *56-ko-we u-ta-jo-jo OVIS:m","ke-to *56-ko-* u-ta-jo-jo OVIS:m"
"106","12","2","to","ra","e","false","1","we-ra-to e-ko-so u-ta-jo OVIS:m OVIS:f oOVIS:m","we-ra-* e-ko-so u-ta-jo OVIS:m OVIS:f oOVIS:m"
"107","11","1","ru","po","qo","false","1","po-ru-qo-to e-ko-so u-ta-jo OVIS:m","po-*-qo-to e-ko-so u-ta-jo OVIS:m"
"108","12","3","da","ro","wo","false","1","si-ta-ro da-wo u-ta-jo-jo OVIS:m OVIS:f oOVIS:m","si-ta-ro *-wo u-ta-jo-jo OVIS:m OVIS:f oOVIS:m"
"109","11","8","jo","ta","jo","false","1","a3-ke-ta da-*22-to u-ta-jo-jo OVIS:m","a3-ke-ta da-*22-to u-ta-*-jo OVIS:m"
"110","11","0","qi","<s>","ja","false","1","qi-ja-to qa-ra u-ta-jo-jo OVIS:m OVIS:f","*-ja-to qa-ra u-ta-jo-jo OVIS:m OVIS:f"
"111","10","0","du","<s>","ri","false","1","du-ri ri-jo-no u-ta-jo-jo OVIS:m","*-ri ri-jo-no u-ta-jo-jo OVIS:m"
"112","9","0","e","<s>","ra","false","1","e-ra u-ta-jo-jo OVIS:m OVIS:f paOVIS:m","*-ra u-ta-jo-jo OVIS:m OVIS:f paOVIS:m"
"113","8","3","jo","ri","da","true","1","sa-ma-ri-jo da-*22-to OVIS:m","sa-ma-ri-* da-*22-to OVIS:m"
"114","10","2","ko","u","ro","false","1","e-u-ko-ro da-*22-to OVIS:m OVIS:f paOVIS:m","e-u-*-ro da-*22-to OVIS:m OVIS:f paOVIS:m"
"115","11","2","su","ra","ti","false","1","qa-ra-su-ti-jo da-*22-to OVIS:m OVIS:f paOVIS:m","qa-ra-*-ti-jo da-*22-to OVIS:m OVIS:f paOVIS:m"
"116","14","0","su","<s>","di","false","1","su-di-ni-ko da-*22-to we-we-si-jo OVIS:m OVIS:f oOVIS:m","*-di-ni-ko da-*22-to we-we-si-jo OVIS:m OVIS:f oOVIS:m"
"117","13","0","ko","<s>","ro","false","1","ko-ro da-*22-to we-we-si-jo-jo OVIS:m OVIS:f oOVIS:m","*-ro da-*22-to we-we-si-jo-jo OVIS:m OVIS:f oOVIS:m"
"118","15","7","we","to","we","false","1","da-ta-ja-ro da-*22-to we-we-si-jo-jo OVIS:m OVIS:f oOVIS:m","da-ta-ja-ro da-*22-to *-we-si-jo-jo OVIS:m OVIS:f oOVIS:m"
"119","13","5","wo","da","we","false","1","wo-*82-ni-jo da-wo we-we-si-jo-jo OVIS:m oOVIS:m","wo-*82-ni-jo da-* we-we-si-jo-jo OVIS:m oOVIS:m"
"120","12","7","we","we","si","false","1","wi-jo-ka-de da-wo we-we-si-jo OVIS:m OVIS:f","wi-jo-ka-de da-wo we-*-si-jo OVIS:m OVIS:f"
"121","13","6","i","pa","to","false","1","a-re-ke-se-u pa-i-to we-we-si-jo OVIS:m","a-re-ke-se-u pa-*-to we-we-si-jo OVIS:m"
"122","15","7","we","to","we","false","1","a-wo-ti-jo pa-i-to we-we-si-jo-jo OVIS:m OVIS:f paOVIS:m","a-wo-ti-jo pa-i-to *-we-si-jo-jo OVIS:m OVIS:f paOVIS:m"
"123","15","2","ja","ni","to","false","1","a-ni-ja-to pa-i-to we-we-si-jo OVIS:m OVIS:f paOVIS:m oOVIS:m","a-ni-*-to pa-i-to we-we-si-jo OVIS:m OVIS:f paOVIS:m oOVIS:m"
"124","13","0","du","<s>","ta","false","1","du-ta-so pa-i-to we-we-si-jo-jo OVIS:m OVIS:f","*-ta-so pa-i-to we-we-si-jo-jo OVIS:m OVIS:f"
"125","13","0","a","<s>","qe","false","1","a-qe-mo pa-i-to we-we-si-jo-jo OVIS:m OVIS:f","*-qe-mo pa-i-to we-we-si-jo-jo OVIS:m OVIS:f"
"126","12","3","no","qa","pa","false","1","ku-tu-qa-no pa-i-to we-we-si-jo OVIS:m","ku-tu-qa-* pa-i-to we-we-si-jo OVIS:m"
"127","13","4","su","ta","ri","false","1","e-ro-u-ta su-ri-mo we-we-si-jo-jo OVIS:m","e-ro-u-ta *-ri-mo we-we-si-jo-jo OVIS:m"
"128","15","2","so","je","pa","false","1","wi-je-so pa-i-to ki-ri-jo-te we-we-si-jo OVIS:m","wi-je-* pa-i-to ki-ri-jo-te we-we-si-jo OVIS:m"
"129","12","2","qo","i","ta","false","1","da-i-qo-ta pa-i-to we-we-si-jo OVIS:m","da-i-*-ta pa-i-to we-we-si-jo OVIS:m"
"130","10","0","au","<s>","ta2","false","1","au-ta2 di-ro we-we-si-jo OVIS:m OVIS:f","*-ta2 di-ro we-we-si-jo OVIS:m OVIS:f"
"131","13","3","di","ro","ro","false","1","da-ja-ro di-ro we-we-si-jo-jo OVIS:m OVIS:f oOVIS:m","da-ja-ro *-ro we-we-si-jo-jo OVIS:m OVIS:f oOVIS:m"
"132","12","0","ma","<s>","di","false","1","ma-di e-ko-so we-we-si-jo-jo OVIS:m OVIS:f","*-di e-ko-so we-we-si-jo-jo OVIS:m OVIS:f"
"133","12","0","ka","<s>","to","false","1","ka-to da-ra-ko we-we-si-jo OVIS:m OVIS:f oOVIS:f","*-to da-ra-ko we-we-si-jo OVIS:m OVIS:f oOVIS:f"
"134","6","0","o","<s>","ku","true","1","o-ku pa-i-to OVIS:m","*-ku pa-i-to OVIS:m"
"135","8","0","po","<s>","ro","true","1","po-ro pa-i-to OVIS:m OVIS:f paOVIS:m","*-ro pa-i-to OVIS:m OVIS:f paOVIS:m"
"136","13","7","pe","to","ri","false","1","ru-*56-ra-so pa-i-to pe-ri-qo-te-jo OVIS:m","ru-*56-ra-so pa-i-to *-ri-qo-te-jo OVIS:m"
"137","8","3","zo","ra","pa","true","1","du-pu2-ra-zo pa-i-to OVIS:m","du-pu2-ra-* pa-i-to OVIS:m"
"138","7","6","to","ke","</s>","true","1","ku-ru-me-ni-jo ke-to","ku-ru-me-ni-jo ke-*"
"139","14","5","ra","ka","e","false","1","ri-jo-no e-ka-ra-e-we a3-mi-re-we OVIS:m OVIS:m","ri-jo-no e-ka-*-e-we a3-mi-re-we OVIS:m OVIS:m"
"140","14","1","su","ra","to","false","1","ra-su-to e-ka-ra-e-we a3-mi-re-we OVIS:m OVIS:m","ra-*-to e-ka-ra-e-we a3-mi-re-we OVIS:m OVIS:m"
"141","14","8","a3","we","mi","false","2","ku-ta-to e-ka-ra-e-we a3-mi-re-we OVIS:m OVIS:m","ku-ta-to e-ka-ra-e-we *-mi-re-we OVIS:m OVIS:m"
"142","14","8","a3","we","mi","false","1","ru-ki-to e-ka-ra-e-we a3-mi-re-we OVIS:m OVIS:m","ru-ki-to e-ka-ra-e-we *-mi-re-we OVIS:m OVIS:m"
"143","9","8","we","re","</s>","false","1","e-ka-ra-e-we a3-mi-re-we","e-ka-ra-e-we a3-mi-re-*"
"144","14","12","OVIS:m","we","OVIS:m","false","2","ku-ta-to e-ka-ra-e-we a3-mi-re-we OVIS:m OVIS:m","ku-ta-to e-ka-ra-e-we a3-mi-re-we * OVIS:m"
"145","14","0","pa","<s>","i","false","1","pa-i-to e-ka-ra-e-we a3-mi-re-we OVIS:m OVIS:m","*-i-to e-ka-ra-e-we a3-mi-re-we OVIS:m OVIS:m"
"146","14","2","ja","ti","e","false","1","do-ti-ja e-ka-ra-e-we a3-mi-re-we OVIS:m OVIS:m","do-ti-* e-ka-ra-e-we a3-mi-re-we OVIS:m OVIS:m"
"147","10","0","to","<s>","u","false","1","to-u-na-ta e-ka-ra-e-we OVIS:m","*-u-na-ta e-ka-ra-e-we OVIS:m"
"148","8","5","ku","we","ta","true","1","e-ka-ra-e-we ku-ta-to","e-ka-ra-e-we *-ta-to"
"149","14","6","o","to","pa","false","1","pa-i-to o-we-to o-pa e-ka-ra-e-we OVIS:m","pa-i-to o-we-to *-pa e-ka-ra-e-we OVIS:m"
"150","6","0","pa","<s>","ru","true","1","pa-ru ra-to OVIS:m OVIS:f","*-ru ra-to OVIS:m OVIS:f"
"151","8","3","jo","ri","ra","true","1","i-mi-ri-jo ra-to OVIS:m OVIS:f","i-mi-ri-* ra-to OVIS:m OVIS:f"
"152","8","0","sa","<s>","ma","true","1","sa-ma-ri-wa-ta ra-to OVIS:m","*-ma-ri-wa-ta ra-to OVIS:m"
"153","7","1","me","a","a","true","1","a-me-a ra-su-to OVIS:m","a-*-a ra-su-to OVIS:m"
"154","8","7","OVIS:f","OVIS:m","</s>","true","1","a3-ke-wa-to ra-to OVIS:m OVIS:f","a3-ke-wa-to ra-to OVIS:m *"
"155","7","4","ra","ka","to","true","1","*56-du-nu-ka ra-to OVIS:m","*56-du-nu-ka *-to OVIS:m"
"156","9","0","ra","<s>","to","false","1","ra-to pe-ri-qo-te-jo OVIS:m OVIS:f","*-to pe-ri-qo-te-jo OVIS:m OVIS:f"
"157","8","3","to","e","ra","true","1","a-ke-e-to ra-su-to OVIS:m","a-ke-e-* ra-su-to OVIS:m"
"158","11","0","wi","<s>","na","false","1","wi-na-jo ra-su-to ki-ri-jo-te OVIS:m","*-na-jo ra-su-to ki-ri-jo-te OVIS:m"
"159","9","2","po","na","so","false","1","ta-na-po-so ra-su-to OVIS:m OVIS:f","ta-na-*-so ra-su-to OVIS:m OVIS:f"
"160","8","0","u","<s>","ra","true","1","u-ra-jo ra-su-to OVIS:m OVIS:f","*-ra-jo ra-su-to OVIS:m OVIS:f"
"161","4","0","do","<s>","ti","true","1","do-ti-ja OVIS:m","*-ti-ja OVIS:m"
"162","4","0","ra","<s>","su","true","1","ra-su-to OVIS:m","*-su-to OVIS:m"
"163","7","2","ra","ni","ja","true","1","du-ni ra-ja OVIS:m OVIS:f paOVIS:m","du-ni *-ja OVIS:m OVIS:f paOVIS:m"
"164","6","4","ja","ra","OVIS:m","true","1","ku-mi-so ra-ja OVIS:m","ku-mi-so ra-* OVIS:m"
"165","7","0","pa","<s>","ja","true","1","pa-ja-so ra-ja OVIS:m oOVIS:m","*-ja-so ra-ja OVIS:m oOVIS:m"
"166","7","0","qe","<s>","ro","true","1","qe-ro ri-jo-no OVIS:m OVIS:f","*-ro ri-jo-no OVIS:m OVIS:f"
"167","8","5","jo","ri","no","true","1","wi-ra-ne-to ri-jo-no OVIS:m","wi-ra-ne-to ri-*-no OVIS:m"
"168","9","6","no","jo","OVIS:m","false","1","e-u-na-wo ri-jo-no OVIS:m OVIS:f","e-u-na-wo ri-jo-* OVIS:m OVIS:f"
"169","9","0","o","<s>","ne","false","1","o-ne-u ri-jo-no OVIS:m OVIS:f paOVIS:m","*-ne-u ri-jo-no OVIS:m OVIS:f paOVIS:m"
"170","4","0","ri","<s>","jo","true","1","ri-jo-no OVIS:m","*-jo-no OVIS:m"
"171","3","0","ra","<s>","to","true","1","ra-to OVIS:m","*-to OVIS:m"
"172","8","0","ku","<s>","do","true","1","ku-do ri-jo-no OVIS:m OVIS:f peOVIS:m","*-do ri-jo-no OVIS:m OVIS:f peOVIS:m"
