rank,scope,unit_kind,unit,context_field,context_value,n_rows,unit_rows,label_rows,support,expected,precision,recall,lift,log2_lift,z,max_null_ge_observed_share,worst_null_model,non_site_max_null_ge_observed_share,non_site_worst_null_model,field_max_null_ge_observed_share,field_worst_null_model,example_cisis,example_texts
12,context_exact,bigram,061-845,material,Copper,2192,8,80,8,0.291971,1,0.1,27.4,4.776104,14.555993,1,shuffle_units_within_site_type,1,shuffle_units_within_site_type,1,shuffle_units_within_site_type,M-1563|M-2054|M-602|M-604;M-567;M-568;M-569;M-1535|M-1536|M-1540|M-2050|M-582|M-583|M-585|M-586|M-587|M-588;M-1515;M-1516;M-1517,+740-900-850-407-061-845-806+;+407-061-845-240-798+;+407-061-845-240-798+;+407-061-845-240-798+;+740-900-850-407-061-845-806+;+407-061-845-240-798+;+407-061-845-240-798+;+407-061-845-240-798+
13,context_exact,unigram,845,site_type,Mohenjo-daro|TAB:C,2192,20,75,12,0.684307,0.6,0.16,17.536,4.132248,13.979993,1,shuffle_units_within_site_type,,,1,shuffle_units_within_site_type,M-1563|M-2054|M-602|M-604;M-1456|M-1457|M-507|M-508;M-1491|M-1492|M-1493|M-1494|M-534|M-535|M-536|M-537|M-538|M-539|M-541|M-542;M-567;M-568;M-569;M-1535|M-1536|M-1540|M-2050|M-582|M-583|M-585|M-586|M-587|M-588;M-1547|M-593,+740-900-850-407-061-845-806+;+407-845-220-415+;+407-321-407-845-033-705-235+;+407-061-845-240-798+;+407-061-845-240-798+;+407-061-845-240-798+;+740-900-850-407-061-845-806+;+407-321-407-845-033-705-235+
14,context_exact,unigram,845,type,TAB:C,2192,20,76,12,0.693431,0.6,0.157895,17.305263,4.113139,13.879795,1,shuffle_units_within_site_type,1,shuffle_units_within_site_type,1,shuffle_units_within_site_type,M-1563|M-2054|M-602|M-604;M-1456|M-1457|M-507|M-508;M-1491|M-1492|M-1493|M-1494|M-534|M-535|M-536|M-537|M-538|M-539|M-541|M-542;M-567;M-568;M-569;M-1535|M-1536|M-1540|M-2050|M-582|M-583|M-585|M-586|M-587|M-588;M-1547|M-593,+740-900-850-407-061-845-806+;+407-845-220-415+;+407-321-407-845-033-705-235+;+407-061-845-240-798+;+407-061-845-240-798+;+407-061-845-240-798+;+740-900-850-407-061-845-806+;+407-321-407-845-033-705-235+
15,context_exact,unigram,845,material_type,Copper|TAB:C,2192,20,76,12,0.693431,0.6,0.157895,17.305263,4.113139,13.879795,1,shuffle_units_within_site_type,1,shuffle_units_within_site_type,1,shuffle_units_within_site_type,M-1563|M-2054|M-602|M-604;M-1456|M-1457|M-507|M-508;M-1491|M-1492|M-1493|M-1494|M-534|M-535|M-536|M-537|M-538|M-539|M-541|M-542;M-567;M-568;M-569;M-1535|M-1536|M-1540|M-2050|M-582|M-583|M-585|M-586|M-587|M-588;M-1547|M-593,+740-900-850-407-061-845-806+;+407-845-220-415+;+407-321-407-845-033-705-235+;+407-061-845-240-798+;+407-061-845-240-798+;+407-061-845-240-798+;+740-900-850-407-061-845-806+;+407-321-407-845-033-705-235+
16,context_exact,unigram,845,material,Copper,2192,20,80,12,0.729927,0.6,0.15,16.44,4.039138,13.497446,1,shuffle_units_within_site_type,1,shuffle_units_within_site_type,1,shuffle_units_within_site_type,M-1563|M-2054|M-602|M-604;M-1456|M-1457|M-507|M-508;M-1491|M-1492|M-1493|M-1494|M-534|M-535|M-536|M-537|M-538|M-539|M-541|M-542;M-567;M-568;M-569;M-1535|M-1536|M-1540|M-2050|M-582|M-583|M-585|M-586|M-587|M-588;M-1547|M-593,+740-900-850-407-061-845-806+;+407-845-220-415+;+407-321-407-845-033-705-235+;+407-061-845-240-798+;+407-061-845-240-798+;+407-061-845-240-798+;+740-900-850-407-061-845-806+;+407-321-407-845-033-705-235+
17,context_exact,bigram,407-061,site_type,Mohenjo-daro|TAB:C,2192,10,75,8,0.342153,0.8,0.106667,23.381333,4.547285,13.349038,1,shuffle_units_within_site_type,,,1,shuffle_units_within_site_type,M-1563|M-2054|M-602|M-604;M-567;M-568;M-569;M-1535|M-1536|M-1540|M-2050|M-582|M-583|M-585|M-586|M-587|M-588;M-1515;M-1516;M-1517,+740-900-850-407-061-845-806+;+407-061-845-240-798+;+407-061-845-240-798+;+407-061-845-240-798+;+740-900-850-407-061-845-806+;+407-061-845-240-798+;+407-061-845-240-798+;+407-061-845-240-798+
18,context_exact,bigram,407-061,type,TAB:C,2192,10,76,8,0.346715,0.8,0.105263,23.073684,4.528176,13.256156,1,shuffle_units_within_site_type,1,shuffle_units_within_site_type,1,shuffle_units_within_site_type,M-1563|M-2054|M-602|M-604;M-567;M-568;M-569;M-1535|M-1536|M-1540|M-2050|M-582|M-583|M-585|M-586|M-587|M-588;M-1515;M-1516;M-1517,+740-900-850-407-061-845-806+;+407-061-845-240-798+;+407-061-845-240-798+;+407-061-845-240-798+;+740-900-850-407-061-845-806+;+407-061-845-240-798+;+407-061-845-240-798+;+407-061-845-240-798+
19,context_exact,bigram,407-061,material_type,Copper|TAB:C,2192,10,76,8,0.346715,0.8,0.105263,23.073684,4.528176,13.256156,1,shuffle_units_within_site_type,1,shuffle_units_within_site_type,1,shuffle_units_within_site_type,M-1563|M-2054|M-602|M-604;M-567;M-568;M-569;M-1535|M-1536|M-1540|M-2050|M-582|M-583|M-585|M-586|M-587|M-588;M-1515;M-1516;M-1517,+740-900-850-407-061-845-806+;+407-061-845-240-798+;+407-061-845-240-798+;+407-061-845-240-798+;+740-900-850-407-061-845-806+;+407-061-845-240-798+;+407-061-845-240-798+;+407-061-845-240-798+
20,context_exact,bigram,407-061,material,Copper,2192,10,80,8,0.364964,0.8,0.1,21.92,4.454176,12.901896,1,shuffle_units_within_site_type,1,shuffle_units_within_site_type,1,shuffle_units_within_site_type,M-1563|M-2054|M-602|M-604;M-567;M-568;M-569;M-1535|M-1536|M-1540|M-2050|M-582|M-583|M-585|M-586|M-587|M-588;M-1515;M-1516;M-1517,+740-900-850-407-061-845-806+;+407-061-845-240-798+;+407-061-845-240-798+;+407-061-845-240-798+;+740-900-850-407-061-845-806+;+407-061-845-240-798+;+407-061-845-240-798+;+407-061-845-240-798+
21,context_exact,bigram,154-806,site_type_symbol,Harappa|SEAL:R|None,2192,14,57,8,0.364051,0.571429,0.140351,21.974937,4.457787,12.861613,1,shuffle_units_within_site_type,,,0.73,shuffle_units_within_site_type,H-132;H-143;H-146;H-152|H-681;H-154;H-158;H-160;H-670,+154-806-471-407-845-740-233-231-798+;+154-806-469-001-740-877-032+;+154-806-467-031+;+154-806-468+;+154-806-467-013-817+;+154-806-472-001-740-405-590+;+400-154-806-468+;+154-806-468+
22,context_exact,bigram,158-806,symbol,Phyt,2192,11,29,5,0.145529,0.454545,0.172414,34.357367,5.102548,12.839621,1,shuffle_units_within_site_type,1,shuffle_units_within_site_type,0.01,shuffle_units_within_site_type,H-1980;H-1979;H-190|H-724;H-726;H-1104|H-1105,+400-158-806-475+;+740-158-806-467+;+158-806-465+;+158-806-465+;+158-806-465+
23,context_exact,bigram,158-806,type_symbol,TAB:B|Phyt,2192,11,29,5,0.145529,0.454545,0.172414,34.357367,5.102548,12.839621,1,shuffle_units_within_site_type,1,shuffle_units_within_site_type,0.22,shuffle_units_within_site_type,H-1980;H-1979;H-190|H-724;H-726;H-1104|H-1105,+400-158-806-475+;+740-158-806-467+;+158-806-465+;+158-806-465+;+158-806-465+
24,context_exact,bigram,158-806,site_type_symbol,Harappa|TAB:B|Phyt,2192,11,29,5,0.145529,0.454545,0.172414,34.357367,5.102548,12.839621,1,shuffle_units_within_site_type,,,0.73,shuffle_units_within_site_type,H-1980;H-1979;H-190|H-724;H-726;H-1104|H-1105,+400-158-806-475+;+740-158-806-467+;+158-806-465+;+158-806-465+;+158-806-465+
25,context_exact,unigram,095,material,Copper,2192,16,80,10,0.583942,0.625,0.125,17.125,4.098032,12.596488,1,shuffle_units_within_site_type,1,shuffle_units_within_site_type,1,shuffle_units_within_site_type,C-40;M-2053;M-519;M-520;M-547;M-548;M-549;M-599,+390-095-909-005-825-776-220-016+;+407-032-520-095-585-017-220+;+617-142-001-595-095-760-744+;+617-142-001-595-095-760-744+;+407-032-520-095-585-017-231+;+407-032-520-095-585-017-231+;+407-032-520-095-585-017-231+;+408-032-520-095-585-017-220+
26,context_exact,bigram,154-806,site_type,Harappa|SEAL:R,2192,14,61,8,0.389599,0.571429,0.131148,20.533958,4.35994,12.402799,1,shuffle_units_within_site_type,,,1,shuffle_units_within_site_type,H-132;H-143;H-146;H-152|H-681;H-154;H-158;H-160;H-670,+154-806-471-407-845-740-233-231-798+;+154-806-469-001-740-877-032+;+154-806-467-031+;+154-806-468+;+154-806-467-013-817+;+154-806-472-001-740-405-590+;+400-154-806-468+;+154-806-468+
27,context_exact,unigram,002,type,SEAL:S,2192,487,1091,361,242.389142,0.741273,0.330889,1.489341,0.574674,12.185784,1,shuffle_units_within_site_type,1,shuffle_units_within_site_type,1,shuffle_units_within_site_type,Blk-1;Blk-2;B-1;B-5;B-7;B-15;B-17;C-66,+226-003-002-297-350-125-413+;+390-717-061-002-368-634+;+090-740-220-002-368-550-821+;+002-817+;+002-817+;+002-817+;+236-002-308-072+;+390-003-002-817+
28,context_exact,first,400,site_type,Harappa|TAB:B,2192,235,370,103,39.666971,0.438298,0.278378,2.596619,1.376634,11.67045,1,shuffle_units_within_site_type,,,1,shuffle_units_within_site_type,H-1142;H-1133|H-1896;H-1121|H-789;H-1102;H-874;H-1321;H-1894;H-1853,+400-154-440-220+;+400-892-831+;+400-520-220-016+;+400-740-382+;+400-740-455+;+400-226-032+;+400-740-061-140+;+400-617-829+
29,context_exact,unigram,095,site_type,Mohenjo-daro|TAB:C,2192,16,75,9,0.547445,0.5625,0.12,16.44,4.039138,11.664583,1,shuffle_units_within_site_type,,,1,shuffle_units_within_site_type,M-2053;M-519;M-520;M-547;M-548;M-549;M-599;M-1470,+407-032-520-095-585-017-220+;+617-142-001-595-095-760-744+;+617-142-001-595-095-760-744+;+407-032-520-095-585-017-231+;+407-032-520-095-585-017-231+;+407-032-520-095-585-017-231+;+408-032-520-095-585-017-220+;+617-142-001-595-095-717-747+
30,context_exact,first,400,type,TAB:B,2192,235,437,114,46.849909,0.485106,0.26087,2.433302,1.282916,11.601115,1,shuffle_units_within_site_type,1,shuffle_units_within_site_type,1,shuffle_units_within_site_type,H-1142;H-1133|H-1896;H-1121|H-789;H-1102;H-874;H-1321;H-1894;H-1853,+400-154-440-220+;+400-892-831+;+400-520-220-016+;+400-740-382+;+400-740-455+;+400-226-032+;+400-740-061-140+;+400-617-829+
31,context_exact,unigram,095,type,TAB:C,2192,16,76,9,0.554745,0.5625,0.118421,16.223684,4.02003,11.580317,1,shuffle_units_within_site_type,1,shuffle_units_within_site_type,1,shuffle_units_within_site_type,M-2053;M-519;M-520;M-547;M-548;M-549;M-599;M-1470,+407-032-520-095-585-017-220+;+617-142-001-595-095-760-744+;+617-142-001-595-095-760-744+;+407-032-520-095-585-017-231+;+407-032-520-095-585-017-231+;+407-032-520-095-585-017-231+;+408-032-520-095-585-017-220+;+617-142-001-595-095-717-747+
32,context_exact,unigram,095,material_type,Copper|TAB:C,2192,16,76,9,0.554745,0.5625,0.118421,16.223684,4.02003,11.580317,1,shuffle_units_within_site_type,1,shuffle_units_within_site_type,1,shuffle_units_within_site_type,M-2053;M-519;M-520;M-547;M-548;M-549;M-599;M-1470,+407-032-520-095-585-017-220+;+617-142-001-595-095-760-744+;+617-142-001-595-095-760-744+;+407-032-520-095-585-017-231+;+407-032-520-095-585-017-231+;+407-032-520-095-585-017-231+;+408-032-520-095-585-017-220+;+617-142-001-595-095-717-747+
33,context_exact,unigram,400,site_type,Harappa|TAB:B,2192,257,370,108,43.380474,0.420233,0.291892,2.489599,1.315914,11.451,1,shuffle_units_within_site_type,,,1,shuffle_units_within_site_type,H-1142;H-1133|H-1896;H-1121|H-789;H-1102;H-874;H-1321;H-1894;H-1853,+400-154-440-220+;+400-892-831+;+400-520-220-016+;+400-740-382+;+400-740-455+;+400-226-032+;+400-740-061-140+;+400-617-829+
34,context_exact,unigram,700,site_type,Harappa|TAB:B,2192,132,370,70,22.281022,0.530303,0.189189,3.141687,1.65154,11.435555,1,shuffle_units_within_site_type,,,1,shuffle_units_within_site_type,H-1138|H-1817|H-1823|H-1824|H-1825|H-1828|H-1829|H-1830|H-1831|H-1832|H-1844|H-1845|H-1846|H-1850|H-1854|H-1860|H-1867|H-1868|H-1869|H-1870|H-1871|H-1874|H-1894|H-1895|H-1907|H-771|H-780|H-788;H-1102|H-1123|H-1133|H-1804|H-1836|H-1841|H-1853|H-1865|H-1902|H-1906|H-1909|H-1922|H-1923|H-209|H-214|H-232|H-717|H-766|H-768|H-802|H-814|H-833|H-837|H-877;H-1156|H-1321|H-217;H-1112|H-1842|H-1851|H-1858|H-1859|H-1897|H-1903|H-1912|H-1924|H-249|H-776|H-789|H-792|H-793|H-812|H-816;H-2016;H-1771|H-1772|H-1773;H-1881;H-1881,+700-034+;+700-032+;+700-032+;+033-700+;+700-032-740-335-575-413+;+700-032+;+700-036+;+415-700-033-171+
35,context_exact,unigram,400,type,TAB:B,2192,257,437,120,51.235858,0.466926,0.2746,2.34211,1.227809,11.424506,1,shuffle_units_within_site_type,1,shuffle_units_within_site_type,1,shuffle_units_within_site_type,H-1142;H-1133|H-1896;H-1121|H-789;H-1102;H-874;H-1321;H-1894;H-1853,+400-154-440-220+;+400-892-831+;+400-520-220-016+;+400-740-382+;+400-740-455+;+400-226-032+;+400-740-061-140+;+400-617-829+
36,context_exact,bigram,520-095,site_type,Mohenjo-daro|TAB:C,2192,8,75,6,0.273723,0.75,0.08,21.92,4.454176,11.155056,1,shuffle_units_within_site_type,,,1,shuffle_units_within_site_type,M-2053;M-547;M-548;M-549;M-599;M-1555|M-1556|M-1557|M-1558,+407-032-520-095-585-017-220+;+407-032-520-095-585-017-231+;+407-032-520-095-585-017-231+;+407-032-520-095-585-017-231+;+408-032-520-095-585-017-220+;+407-032-520-095-585-017-231+
37,context_exact,bigram,520-095,type,TAB:C,2192,8,76,6,0.277372,0.75,0.078947,21.631579,4.435067,11.076978,1,shuffle_units_within_site_type,1,shuffle_units_within_site_type,1,shuffle_units_within_site_type,M-2053;M-547;M-548;M-549;M-599;M-1555|M-1556|M-1557|M-1558,+407-032-520-095-585-017-220+;+407-032-520-095-585-017-231+;+407-032-520-095-585-017-231+;+407-032-520-095-585-017-231+;+408-032-520-095-585-017-220+;+407-032-520-095-585-017-231+
38,context_exact,bigram,520-095,material_type,Copper|TAB:C,2192,8,76,6,0.277372,0.75,0.078947,21.631579,4.435067,11.076978,1,shuffle_units_within_site_type,1,shuffle_units_within_site_type,1,shuffle_units_within_site_type,M-2053;M-547;M-548;M-549;M-599;M-1555|M-1556|M-1557|M-1558,+407-032-520-095-585-017-220+;+407-032-520-095-585-017-231+;+407-032-520-095-585-017-231+;+407-032-520-095-585-017-231+;+408-032-520-095-585-017-220+;+407-032-520-095-585-017-231+
39,context_exact,bigram,520-095,material,Copper,2192,8,80,6,0.291971,0.75,0.075,20.55,4.361066,10.779154,1,shuffle_units_within_site_type,1,shuffle_units_within_site_type,1,shuffle_units_within_site_type,M-2053;M-547;M-548;M-549;M-599;M-1555|M-1556|M-1557|M-1558,+407-032-520-095-585-017-220+;+407-032-520-095-585-017-231+;+407-032-520-095-585-017-231+;+407-032-520-095-585-017-231+;+408-032-520-095-585-017-220+;+407-032-520-095-585-017-231+
40,context_exact,unigram,700,type,TAB:B,2192,132,437,74,26.315693,0.560606,0.169336,2.81201,1.491602,10.713648,1,shuffle_units_within_site_type,1,shuffle_units_within_site_type,1,shuffle_units_within_site_type,H-1138|H-1817|H-1823|H-1824|H-1825|H-1828|H-1829|H-1830|H-1831|H-1832|H-1844|H-1845|H-1846|H-1850|H-1854|H-1860|H-1867|H-1868|H-1869|H-1870|H-1871|H-1874|H-1894|H-1895|H-1907|H-771|H-780|H-788;H-1102|H-1123|H-1133|H-1804|H-1836|H-1841|H-1853|H-1865|H-1902|H-1906|H-1909|H-1922|H-1923|H-209|H-214|H-232|H-717|H-766|H-768|H-802|H-814|H-833|H-837|H-877;H-1156|H-1321|H-217;H-1112|H-1842|H-1851|H-1858|H-1859|H-1897|H-1903|H-1912|H-1924|H-249|H-776|H-789|H-792|H-793|H-812|H-816;H-2016;H-1771|H-1772|H-1773;H-1881;H-1881,+700-034+;+700-032+;+700-032+;+033-700+;+700-032-740-335-575-413+;+700-032+;+700-036+;+415-700-033-171+
41,context_exact,first,700,site_type,Harappa|TAB:B,2192,89,370,52,15.02281,0.58427,0.140541,3.461403,1.791357,10.680853,1,shuffle_units_within_site_type,,,1,shuffle_units_within_site_type,H-1138|H-1817|H-1823|H-1824|H-1825|H-1828|H-1829|H-1830|H-1831|H-1832|H-1844|H-1845|H-1846|H-1850|H-1854|H-1860|H-1867|H-1868|H-1869|H-1870|H-1871|H-1874|H-1894|H-1895|H-1907|H-771|H-780|H-788;H-1102|H-1123|H-1133|H-1804|H-1836|H-1841|H-1853|H-1865|H-1902|H-1906|H-1909|H-1922|H-1923|H-209|H-214|H-232|H-717|H-766|H-768|H-802|H-814|H-833|H-837|H-877;H-1156|H-1321|H-217;H-2016;H-1771|H-1772|H-1773;H-1881;H-1981|H-1982;H-1987,+700-034+;+700-032+;+700-032+;+700-032-740-335-575-413+;+700-032+;+700-036+;+700-034+;+700-034+
42,context_exact,first,400,material_type,Faience|TAB:B,2192,235,225,71,24.121807,0.302128,0.315556,2.943395,1.557481,10.661292,1,shuffle_units_within_site_type,1,shuffle_units_within_site_type,1,shuffle_units_within_site_type,H-1142;H-1133|H-1896;H-1121|H-789;H-1102;H-1894;H-1853;H-1858|H-1859;H-1876|H-1877,+400-154-440-220+;+400-892-831+;+400-520-220-016+;+400-740-382+;+400-740-061-140+;+400-617-829+;+400-137+;+400-775-516+
43,context_exact,first,400,type_symbol,TAB:B|None,2192,235,241,73,25.837135,0.310638,0.302905,2.825391,1.49845,10.406278,1,shuffle_units_within_site_type,1,shuffle_units_within_site_type,0.62,shuffle_units_within_site_type,H-1133|H-1896;H-1121|H-789;H-1102;H-874;H-1321;H-1894;H-1853;H-1858|H-1859,+400-892-831+;+400-520-220-016+;+400-740-382+;+400-740-455+;+400-226-032+;+400-740-061-140+;+400-617-829+;+400-137+
44,context_exact,bigram,617-142,site_type,Mohenjo-daro|TAB:C,2192,20,75,9,0.684307,0.45,0.12,13.152,3.71721,10.273638,1,shuffle_units_within_site_type,,,1,shuffle_units_within_site_type,M-519;M-520;M-574;M-1532|M-575|M-576;M-1458;M-1470;M-1528;M-1529,+617-142-001-595-095-760-744+;+617-142-001-595-095-760-744+;+617-142-001-368-861+;+617-142-597-032-905+;+407-004-001-617-142+;+617-142-001-595-095-717-747+;+617-142-597-032-905+;+617-142-597-032-904+
45,context_exact,first,400,material,Faience,2192,235,239,72,25.622719,0.306383,0.301255,2.810006,1.490573,10.270406,1,shuffle_units_within_site_type,1,shuffle_units_within_site_type,1,shuffle_units_within_site_type,H-1142;H-1133|H-1896;H-1121|H-789;H-1102;H-1894;H-1853;H-1858|H-1859;H-1876|H-1877,+400-154-440-220+;+400-892-831+;+400-520-220-016+;+400-740-382+;+400-740-061-140+;+400-617-829+;+400-137+;+400-775-516+
46,context_exact,first,400,site_type_symbol,Harappa|TAB:B|None,2192,235,219,68,23.478558,0.289362,0.310502,2.89626,1.534191,10.247455,1,shuffle_units_within_site_type,,,1,shuffle_units_within_site_type,H-1133|H-1896;H-1121|H-789;H-1102;H-874;H-1321;H-1894;H-1853;H-1858|H-1859,+400-892-831+;+400-520-220-016+;+400-740-382+;+400-740-455+;+400-226-032+;+400-740-061-140+;+400-617-829+;+400-137+
47,context_exact,bigram,617-142,type,TAB:C,2192,20,76,9,0.693431,0.45,0.118421,12.978947,3.698101,10.197035,1,shuffle_units_within_site_type,1,shuffle_units_within_site_type,1,shuffle_units_within_site_type,M-519;M-520;M-574;M-1532|M-575|M-576;M-1458;M-1470;M-1528;M-1529,+617-142-001-595-095-760-744+;+617-142-001-595-095-760-744+;+617-142-001-368-861+;+617-142-597-032-905+;+407-004-001-617-142+;+617-142-001-595-095-717-747+;+617-142-597-032-905+;+617-142-597-032-904+
