"priority","role","category","before_pair","after_pair","tail_string","text","ids","cisis","sites","types","reason"
"P1","P1_matched_non240_a_220_032","non240_a_220_032","231-220","002-817","002-817","+740-231-220-032-002-817+","98.1","C-10","Chanhu-daro","SEAL:S","matched A-220-032 control"
"P1","P1_matched_non240_a_220_032","non240_a_220_032","<START>-220","<END>","<END>","+220-032+","151.1;3950.1","-;H-1084","Farmana;Harappa","POT:T:s;SEAL:S","matched A-220-032 control"
"P1","P1_matched_non240_a_220_032","non240_a_220_032","235-220","002-690","002-690-921","+740-405-590-032-900-003-806-235-220-032-002-690-921+","1020.1","H-1657","Harappa","SEAL:S","matched A-220-032 control"
"P1","P1_matched_non240_a_220_032","non240_a_220_032","255-220","806-060","806-060-550","+740-176-690-435-255-220-032-806-060-550+","1080.1","H-20","Harappa","SEAL:S","matched A-220-032 control"
"P1","P1_matched_non240_a_220_032","non240_a_220_032","233-220","741-831","741-831","+161-233-220-032-741-831+","1416.1","H-412","Harappa","SEAL:S","matched A-220-032 control"
"P1","P1_matched_non240_a_220_032","non240_a_220_032","241-220","002-861","002-861","+241-220-032-002-861+","1434.1","H-444","Harappa","SEAL:S","matched A-220-032 control"
"P1","P1_matched_non240_a_220_032","non240_a_220_032","740-220","<END>","<END>","+090-740-220-032+","1480.1","H-502","Harappa","SEAL:S","matched A-220-032 control"
"P1","P1_matched_non240_a_220_032","non240_a_220_032","233-220","<END>","<END>","+740-717-233-220-032+","1544.1","H-601","Harappa","SEAL:S","matched A-220-032 control"
"P1","P1_matched_non240_a_220_032","non240_a_220_032","740-220","<END>","<END>","+740-220-032+","1584.1","H-669","Harappa","SEAL:R","matched A-220-032 control"
"P1","P1_matched_non240_a_220_032","non240_a_220_032","455-220","<END>","<END>","+710-455-220-032+","1830.1","H-950","Harappa","TAB:I","matched A-220-032 control"
"P1","P1_matched_non240_a_220_032","non240_a_220_032","803-220","220-002","220-002-820","+740-803-220-032-220-002-820+","2292.1","M-1706","Mohenjo-daro","SEAL:S","matched A-220-032 control"
"P1","P1_matched_non240_a_220_032","non240_a_220_032","740-220","002-861","002-861","+416-001-565-740-220-032-002-861+","2313.1","M-1763","Mohenjo-daro","SEAL:S","matched A-220-032 control"
"P1","P1_matched_non240_a_220_032","non240_a_220_032","904-220","002-142","002-142","+740-904-220-032-002-142+","2381.1","M-1686","Mohenjo-daro","SEAL:S","matched A-220-032 control"
"P1","P1_matched_non240_a_220_032","non240_a_220_032","070-220","240-838","240-838-741-958-220-278","+520-070-220-032-240-838-741-958-220-278+","2403.1","M-1690","Mohenjo-daro","SEAL:S","matched A-220-032 control"
"P1","P1_matched_non240_a_220_032","non240_a_220_032","255-220","002-717","002-717-820","+740-690-435-255-220-032-002-717-820+","2490.1","M-1667","Mohenjo-daro","SEAL:S","matched A-220-032 control"
"P1","P1_matched_non240_a_220_032","non240_a_220_032","000-220","<END>","<END>","+000-000-220-032+","2501.1","M-1812","Mohenjo-daro","SEAL:S","matched A-220-032 control"
"P1","P1_matched_non240_a_220_032","non240_a_220_032","630-220","002-368","002-368-906-329","+740-794-630-220-032-002-368-906-329+","2564.1","M-36","Mohenjo-daro","SEAL:S","matched A-220-032 control"
"P1","P1_matched_non240_a_220_032","non240_a_220_032","255-220","240-235","240-235-002-390-125-632-032","+740-690-435-255-220-032-240-235-002-390-125-632-032+","2566.1","M-38","Mohenjo-daro","SEAL:S","matched A-220-032 control"
"P1","P1_matched_non240_a_220_032","non240_a_220_032","798-220","002-861","002-861-255-416","+740-100-798-220-032-002-861-255-416+","2618.1","M-91","Mohenjo-daro","SEAL:S","matched A-220-032 control"
"P1","P1_matched_non240_a_220_032","non240_a_220_032","923-220","<END>","<END>","+740-923-220-032+","2651.1","M-124","Mohenjo-daro","SEAL:S","matched A-220-032 control"
"P1","P1_matched_non240_a_220_032","non240_a_220_032","094-220","002-144","002-144","+740-094-220-032-002-144+","2657.1","M-130","Mohenjo-daro","SEAL:S","matched A-220-032 control"
"P1","P1_matched_non240_a_220_032","non240_a_220_032","923-220","002-820","002-820","+740-923-220-032-002-820+","2699.1","M-174","Mohenjo-daro","SEAL:S","matched A-220-032 control"
"P1","P1_matched_non240_a_220_032","non240_a_220_032","335-220","002-820","002-820","+740-760-335-220-032-002-820+","2745.1","M-221","Mohenjo-daro","SEAL:S","matched A-220-032 control"
"P1","P1_matched_non240_a_220_032","non240_a_220_032","233-220","002-820","002-820","+740-100-233-220-032-002-820+","2871.1","M-375","Mohenjo-daro","SEAL:R","matched A-220-032 control"
"P1","P1_matched_non240_a_220_032","non240_a_220_032","055-220","798-002","798-002-820","+740-055-220-032-798-002-820+","2877.1","M-381","Mohenjo-daro","SEAL:R","matched A-220-032 control"
"P1","P1_matched_non240_a_220_032","non240_a_220_032","590-220","806-<END>","806","+740-405-590-220-032-806+","2888.1","M-392","Mohenjo-daro","SEAL:R","matched A-220-032 control"
"P1","P1_matched_non240_a_220_032","non240_a_220_032","176-220","<END>","<END>","+740-176-220-032+","2987.2;2988.2","M-511;M-512","Mohenjo-daro","TAB:C","matched A-220-032 control"
"P1","P1_matched_non240_a_220_032","non240_a_220_032","773-220","<END>","<END>","+740-773-220-032+","3041.1","M-571","Mohenjo-daro","TAB:C","matched A-220-032 control"
"P1","P1_matched_non240_a_220_032","non240_a_220_032","235-220","002-000","002-000-216","+527-555-235-220-032-002-000-216+","3085.1","M-636","Mohenjo-daro","SEAL:S","matched A-220-032 control"
"P1","P1_matched_non240_a_220_032","non240_a_220_032","100-220","741-361","741-361","+090-740-100-220-032-741-361+","3092.1","M-648","Mohenjo-daro","SEAL:S","matched A-220-032 control"
"P1","P1_matched_non240_a_220_032","non240_a_220_032","923-220","002-817","002-817","+000-740-923-220-032-002-817+","3144.1","M-720","Mohenjo-daro","SEAL:S","matched A-220-032 control"
"P1","P1_matched_non240_a_220_032","non240_a_220_032","235-220","002-861","002-861","+740-460-510-235-220-032-002-861+","3147.1","M-723","Mohenjo-daro","SEAL:S","matched A-220-032 control"
"P1","P1_matched_non240_a_220_032","non240_a_220_032","236-220","803-002","803-002-820","+031-850-140-236-220-032-803-002-820+","3150.1","M-726","Mohenjo-daro","SEAL:S","matched A-220-032 control"
"P1","P1_matched_non240_a_220_032","non240_a_220_032","440-220","741-390","741-390-590-032","+740-440-220-032-741-390-590-032+","3169.1","M-746","Mohenjo-daro","SEAL:S","matched A-220-032 control"
"P1","P1_matched_non240_a_220_032","non240_a_220_032","520-220","002-861","002-861","+520-220-032-002-861+","3421.1","M-1044","Mohenjo-daro","SEAL:S","matched A-220-032 control"
"P1","P1_matched_non240_a_220_032","non240_a_220_032","740-220","806-001","806-001-595-575-001-095","+679-740-220-032-806-001-595-575-001-095+","3427.1","M-1052","Mohenjo-daro","SEAL:R","matched A-220-032 control"
"P1","P1_matched_non240_a_220_032","non240_a_220_032","232-220","002-168","002-168-032","+232-220-032-002-168-032+","3519.1","M-1159","Mohenjo-daro","SEAL:S","matched A-220-032 control"
"P1","P1_matched_non240_a_220_032","non240_a_220_032","705-220","231-072","231-072-002-270-633-032","+520-033-705-220-032/231-072-002-270-633-032+","3529.1","M-1169","Mohenjo-daro","SEAL:S","matched A-220-032 control"
"P1","P1_matched_non240_a_220_032","non240_a_220_032","440-220","798-<END>","798","+740-752-440-220-032-798+","3582.1","M-1275","Mohenjo-daro","SEAL:R","matched A-220-032 control"
"P1","P1_matched_non240_a_220_032","non240_a_220_032","000-220","002-817","002-817","+000-220-032-002-817+","3989.1","M-1788","Mohenjo-daro","SEAL:S","matched A-220-032 control"
"P2","P1_matched_non240_a_220_032","non240_a_220_032","153-220","<END>","<END>","+153-220-032+","4286.1","-","Dholavira","TAB:I","matched A-220-032 control"
"P2","P1_matched_non240_a_220_032","non240_a_220_032","231-220","002-820","002-820","+740-585-231-220-032-002-820+","5273.1","K-145","Kalibangan","SEAL:S","matched A-220-032 control"
"P2","P1_matched_non240_a_220_032","non240_a_220_032","904-220","000-000","000-000-000","+000-904-220-032-000-000-000+","2032.5","L-66","Lothal","SEAL:S","matched A-220-032 control"
"P2","P1_matched_non240_a_220_032","non240_a_220_032","233-220","060-825","060-825-002","+740-032-840-233-220-032-060-825-002+","2041.1","L-87","Lothal","SEAL:R","matched A-220-032 control"
"P2","P1_matched_non240_a_220_032","non240_a_220_032","904-220","803-060","803-060-920","+740-407-590-904-220-032-803-060-920+","2063.1","L-114","Lothal","SEAL:R","matched A-220-032 control"
"P2","P1_matched_non240_a_220_032","non240_a_220_032","235-220","<END>","<END>","+520-235-220-032+","5456.1","-","Tarkhanewala-dera","TAG","matched A-220-032 control"
"P2","P2_outside_032_context","outside_a_220_x_032","405-844","840-002","840-002-861","+405-844-032-840-002-861+","18.1","-","Bakkar Buthi","POT:T:g","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","440-390","368-390","368-390-790","+440-390-032/368-390-790+","109.1","C-22","Chanhu-daro","SEAL:S","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","032-226","013-480","013-480-850","+390-128-702-032/226-032-013-480-850+","111.1","C-24","Chanhu-daro","SEAL:S","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","128-702","226-032","226-032-013-480-850","+390-128-702-032/226-032-013-480-850+","111.1","C-24","Chanhu-daro","SEAL:S","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","740-384","000-000","000-000-840-634-032","+032-031-740-384-032/000-000-840-634-032+","112.1","C-29","Chanhu-daro","SEAL:S","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","<START>-<START>","031-740","031-740-384-032-000-000-840-634-032","+032-031-740-384-032/000-000-840-634-032+","112.1","C-29","Chanhu-daro","SEAL:S","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","840-634","<END>","<END>","+032-031-740-384-032/000-000-840-634-032+","112.1","C-29","Chanhu-daro","SEAL:S","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","000-000","803-220","803-220","+032-031-390-844-000-000-032-803-220+","116.1","C-34","Chanhu-daro","TAB:B","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","<START>-<START>","031-390","031-390-844-000-000-032-803-220","+032-031-390-844-000-000-032-803-220+","116.1","C-34","Chanhu-daro","TAB:B","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","<START>-842","031-592","031-592-031-060-920","+842-032-031-592-031-060-920+","64.1","C-54","Chanhu-daro","SEAL:S","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","740-176","002-861","002-861","+740-176-032-002-861+","69.1","C-60","Chanhu-daro","SEAL:S","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","<START>-<START>","031-151","031-151-740-240-235","+032-031/151-740-240-235+","70.1","C-70","Chanhu-daro","SEAL:S","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","<START>-<START>","031-740","031-740-222-235-002-861","+032-031/740-222-235-002-861+","71.1;74.1","C-53;C-58","Chanhu-daro","SEAL:S","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","031-850","530-740","530-740-741-456","+032-031/850-032-530-740-741-456+","72.1","C-76","Chanhu-daro","SEAL:S","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","<START>-<START>","031-850","031-850-032-530-740-741-456","+032-031/850-032-530-740-741-456+","72.1","C-76","Chanhu-daro","SEAL:S","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","<START>-<START>","031-740","031-740-791-713","+032-031/740-791-713+","73.1","C-68","Chanhu-daro","SEAL:S","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","<START>-740","840-002","840-002-296-530-000","+740-032-840-002-296-530-000+","82.1","C-57","Chanhu-daro","SEAL:S","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","151-690","031-<END>","031","+151-690/032-031+","88.1","C-77","Chanhu-daro","SEAL:S","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","<START>-394","002-892","002-892-740","+394-032-002-892-740+","125.1","Dlp-3","Desalpur","TAG","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","151-892","<END>","<END>","+151-892-032+","127.1","-","Dholavira","SEAL:S","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","407-790","<END>","<END>","+590-407-790-032+","135.1","-","Dholavira","SEAL:R","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","031-905","000-<END>","000","+520-233-803-060-001-031-905-032-000+","4177.1","-","Dholavira","SEAL:S","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","<START>-740","840-803","840-803","+740-032-840-803+","4184.1","-","Dholavira","SEAL:S","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","<START>-<START>","820-000","820-000-900","+032-820-000-900+","4219.1","-","Dholavira","SEAL:S","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","<START>-151","388-002","388-002-390-705","+151-032-388-002-390-705+","4237.1","-","Dholavira","SEAL:S","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","<START>-000","515-<END>","515","+000-032-515+","4304.2","-","Dholavira","TAG","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","<START>-<START>","<END>","<END>","+032+","1945.2;2502.1;2503.1;326.1;328.1;332.1;333.1;343.1;346.1;348.1;357.1;360.1;363.1;366.1;367.1;3809.1;4101.1;4106.1;4293.1;4350.1;4351.1;4352.1;4353.1;442.1;444.1;445.1;493.1;5287.1;5380.1;5399.1;610.1;615.1;710.1;714.1;748.1;962.1;965.1;968.1;970.1;972.1;973.1;976.1;977.1;980.1;982.1;985.1;987.1","-;H-1375;H-1383;K-162;K-90;M-1586;Ns-81","Dholavira;Harappa;Kalibangan;Mohenjo-daro;Nausharo","BNGL;POT:T:g;TAG","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","368-632","<END>","<END>","+520-070-495-240-060-297-368-632-032+","5218.1","-","Gola Dhoro (Bagasra)","SEAL:S","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","405-590","900-003","900-003-806-235-220-032-002-690-921","+740-405-590-032-900-003-806-235-220-032-002-690-921+","1020.1","H-1657","Harappa","SEAL:S","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","<START>-035","001-000","001-000-033","+035/032-001-000/033+","1046.1","-","Harappa","POT:T:g","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","<START>-<START>","700-<END>","700","+032-700+","1049.2;1243.2;1343.2;1378.2;1668.1;1670.1;1685.2;1702.2;1706.2;1725.1;1735.2;1736.2;409.1;504.1;557.1;570.1;599.1;923.1","H-1353;H-1797;H-1855;H-1864;H-1932;H-1942;H-1945;H-212;H-321;H-359;H-777;H-779;H-794;H-813;H-817;H-839;H-849;H-850","Harappa","TAB:B;TAB:I","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","<START>-740","165-000","165-000","+740-032-165-000+","1054.2","H-1325","Harappa","TAB:I","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","193-384","920-140","920-140-902","+920-706-193-384-032-920-140-902+","1066.1","H-5","Harappa","SEAL:S","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","890-001","776-625","776-625","+317-890-001-032-776-625+","1067.1","H-6","Harappa","SEAL:S","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","740-877","<END>","<END>","+154-806-468-001-740-877-032+","1087.1","H-27","Harappa","SEAL:S","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","405-690","<END>","<END>","+405-690-032+","1102.1","H-43","Harappa","SEAL:S","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","<START>-740","028-<END>","028","+740-032-028+","1124.1","H-65","Harappa","SEAL:S","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","610-125","<END>","<END>","+002-610-125-032+","1132.1","H-74","Harappa","SEAL:S","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","<START>-740","840-820","840-820","+740-032-840-820+","1144.1","H-88","Harappa","SEAL:S","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","<START>-409","845-033","845-033-705-231-806-002-595-812-125-717","+409-032-845-033-705-231-806-002-595-812-125-717+","1171.1","H-130","Harappa","SEAL:R","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","<START>-740","840-233","840-233-240-033-706-055-002-595-575-794-000","+740-032-840-233-240-033-706-055-002-595-575-794-000+","1172.1","H-131","Harappa","SEAL:R","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","740-384","002-817","002-817","+740-384-032-002-817+","1181.1","H-140","Harappa","SEAL:R","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","<START>-405","900-003","900-003-070-002-233-235","+405-032-900-003-070-002-233-235+","1182.1","H-141","Harappa","SEAL:R","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","740-877","<END>","<END>","+154-806-469-001-740-877-032+","1184.1","H-143","Harappa","SEAL:R","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","<START>-<START>","840-<END>","840","+032-840+","1219.1","H-186","Harappa","TAB:B","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","<START>-<START>","700-100","700-100-001","+032-700-100-001+","1227.3","H-196","Harappa","TAB:B","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","<START>-740","840-679","840-679","+740-032-840-679+","1262.2;3976.2;4935.2","H-1140;H-1141;H-236","Harappa","TAB:B","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","740-904","233-803","233-803","+740-904-032-233-803+","1265.1","H-240","Harappa","TAG:P","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","<START>-116","<END>","<END>","+116-032+","1272.2","H-247","Harappa","TAB:B","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","002-305","904-<END>","904","+740-585-017-240-002-305-032-904+","1296.1","H-272","Harappa","SEAL:S","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","<START>-511","<END>","<END>","+511-032+","1317.1","H-295","Harappa","SEAL:S","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","240-031","171-<END>","171","+400-740-636-240-031-032-171+","1323.2;1787.2;1864.2","H-301;H-905;H-988","Harappa","TAB:I","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","400-740","027-<END>","027","+400-740-032-027+","1325.1;1797.2;549.2;630.2;659.2","H-2204;H-2207;H-2208;H-303;H-917","Harappa","TAB:I","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","<START>-740","059-<END>","059","+740-032-059+","1326.2","H-304","Harappa","TAB:I","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","400-740","028-<END>","028","+400-740-032-028+","1344.1;1844.1;544.2","H-2115;H-322;H-967","Harappa","TAB:I","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","<START>-000","<END>","<END>","+000-032+","1357.1;4599.1","H-1125;H-336","Harappa","TAB:I","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","400-740","060-013","060-013","+400-740-032-060-013+","1370.1","H-351","Harappa","TAB:I","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","<START>-824","578-415","578-415","+824-032-578-415+","1379.1;222.1;407.2;484.2","H-1354;H-2213;H-2246;H-360","Harappa","TAB:I","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","002-172","<END>","<END>","+520-033-705-002-172-032+","1445.1","H-455","Harappa","SEAL:S","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","798-590","<END>","<END>","+000-176-002-798-590-032+","1452.1","H-464","Harappa","SEAL:S","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","<START>-740","840-233","840-233-060-550","+740-032-840-233-060-550+","1471.1","H-483","Harappa","SEAL:S","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","741-590","<END>","<END>","+740-798-463-350-741-590-032+","1492.1","H-515","Harappa","SEAL:S","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","740-877","<END>","<END>","+740-877-032+","1533.1","H-586","Harappa","SEAL:S","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","590-070","002-861","002-861","+740-390-590-070-032-002-861+","1540.1;1540.2","H-597","Harappa","SEAL:S","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","<START>-<START>","257-840","257-840","+032-257-840+","1663.1","H-771","Harappa","TAB:B","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","741-031","716-<END>","716","+740-803-741-031-032-716+","1667.1","H-776","Harappa","TAB:B","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","<START>-<START>","820-100","820-100-415","+032-820-100-415+","1690.1","H-799","Harappa","TAB:B","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","<START>-700","740-335","740-335-575-413","+700-032-740-335-575-413+","1700.2;370.2","H-2016;H-811","Harappa","TAB:B","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","<START>-700","390-<END>","390","+700-032-390+","1717.2","H-829","Harappa","TAB:B","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","585-000","<END>","<END>","+585-000-032+","1767.2","H-884","Harappa","TAB:I","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","<START>-740","840-002","840-002","+740-032-840-002+","1786.1","H-904","Harappa","TAB:I","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","400-740","059-<END>","059","+400-740-032-059+","1796.1","H-916","Harappa","TAB:I","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","400-740","000-<END>","000","+400-740-032-000+","1798.2","H-918","Harappa","TAB:I","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","<START>-590","645-003","645-003","+590-032-645-003+","1821.1;848.2","H-2149;H-941","Harappa","TAB:I","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","<START>-400","000-<END>","000","+400-032-000+","226.2","H-1119","Harappa","TAB:B","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","904-001","<END>","<END>","+740-031-904-001-032+","228.1;229.1","-;H-1312","Harappa","TAB:I","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","031-000","<END>","<END>","+700-031-000-032+","228.2","-","Harappa","TAB:I","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","156-140","<END>","<END>","+400-156-140-032+","264.1","H-1287","Harappa","TAB:I","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","002-862","<END>","<END>","+220-500-520-002-862-032+","293.1","H-1033","Harappa","SEAL:S","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","400-226","<END>","<END>","+400-226-032+","317.1","H-1321","Harappa","TAB:B","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","740-904","002-000","002-000","+740-904-032-002-000+","3922.1","H-1037","Harappa","SEAL:S","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","<START>-740","840-235","840-235-002-817","+740-032-840-235-002-817+","3925.1","H-1048","Harappa","SEAL:S","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","<START>-034","032-<END>","032","+034-032-032+","3934.1","H-2282","Harappa","POT:T:g","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","034-032","<END>","<END>","+034-032-032+","3934.1","H-2282","Harappa","POT:T:g","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","240-031","171-<END>","171","+740-630-240-031-032-171+","405.2","H-2192","Harappa","TAB:I","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","<START>-226","<END>","<END>","+226-032+","4090.1","H-1350","Harappa","TAB:I","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","<START>-<START>","000-<END>","000","+032-000+","4115.1;607.1","-;H-1415","Harappa","POT:T:g","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","<START>-<START>","920-491","920-491","+032-920-491+","414.2","H-1915","Harappa","TAB:B","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","407-790","<END>","<END>","+407-790-032+","426.1","H-1714","Harappa","SEAL:R","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","032-999","<END>","<END>","+032-999-032+","4480.1","H-1553","Harappa","POT:T:g","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","<START>-<START>","999-032","999-032","+032-999-032+","4480.1","H-1553","Harappa","POT:T:g","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","<START>-700","690-368","690-368-817","+700-032-690-368-817+","463.1","H-1827","Harappa","TAB:B","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","<START>-154","000-<END>","000","+154-032-000+","482.1","H-2351","Harappa","POT:T:g","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","<START>-700","220-<END>","220","+700-032-220+","485.1","H-1953","Harappa","TAB:B","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","400-740","015-<END>","015","+400-740-032-015+","490.2","H-2184","Harappa","TAB:I","outside 032 function control"
"P2","P2_outside_032_context","outside_a_220_x_032","455-420","<END>","<END>","+740-061-002-455-420-032+","513.1","H-1671","Harappa","SEAL:S","outside 032 function control"
