"prev","next","frame","text","row_count","ids","cisis","sites","types","materials","companion_classes","prev_is_240","next_is_032","no_companion_side"
"001","455","001-220-455","+740-100-176-838-001-220-455-530-741+","1","1882.1","K-7","Kalibangan","SEAL:S","Steatite","no_companion_side","false","false","true"
"001","786","001-220-786","+405-018-001-220-786-850+","1","2697.1","M-172","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"002","065","002-220-065","+520-231-002-220-065-132-082+","1","1899.1","K-25","Kalibangan","SEAL:S","Steatite","no_companion_side","false","false","true"
"002","065","002-220-065","+740-336-002-220-065-440-455+","1","2667.1","M-140","Mohenjo-daro","SEAL:S","Faience","no_companion_side","false","false","true"
"002","065","002-220-065","+740-798-240-235-002-220-065-215+","1","2574.1","M-46","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"002","455","002-220-455","+226-803-002-220-455-520+","1","2674.1","M-147","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"002","455","002-220-455","+390-017-002-220-455-741+","1","1139.1","H-82","Harappa","SEAL:S","Steatite","no_companion_side","false","false","true"
"002","455","002-220-455","+740-055-240-235-806-002-220-455-503+","1","2557.1","M-29","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"002","455","002-220-455","+740-585-017-033-706-803-002-220-455-920+","1","1293.1","H-268","Harappa","SEAL:S","Steatite","no_companion_side","false","false","true"
"002","627","002-220-627","+484-140-002-220-627-615-906-388+","1","3712.1","M-1427","Mohenjo-daro","TAG:O","Clay","no_companion_side","false","false","true"
"002","880","002-220-880","+740-717-233-002-220-880-689+","1","3097.1","M-655","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"013","455","013-220-455","+154-806-472-013-220-455-806+","1","4194.1","-","Dholavira","SEAL:R","-","no_companion_side","false","false","true"
"016","382","016-220-382","+016-220-382+","1","715.1","H-1734","Harappa","POT:T:s","Clay","no_companion_side","false","false","true"
"017","415","017-220-415","+740-575-017-220-415-803+","1","1536.1","H-592","Harappa","SEAL:S","-","no_companion_side","false","false","true"
"031","000","031-220-000","+031-220-000-741-850-001-111-003+","1","1972.1","Kd-7","Kot-Diji","POT:T:g","Clay","no_companion_side","false","false","true"
"032","002","032-220-002","+740-803-220-032-220-002-820+","1","2292.1","M-1706","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"032","415","032-220-415","+740-904-032-220-415-235-803-002-504-717+","1","2580.1","M-52","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"036","415","036-220-415","+740-760-036-220-415-798-002-861+","1","3711.1","M-1426","Mohenjo-daro","TAB:B","Clay","no_companion_side","false","false","true"
"055","032","055-220-032","+740-055-220-032-798-002-820+","1","2877.1","M-381","Mohenjo-daro","SEAL:R","Steatite","no_companion_side","false","true","true"
"055","415","055-220-415","+740-482-055-220-415-798-803-742-617+","1","1294.1","H-270","Harappa","SEAL:S","Steatite","no_companion_side","false","false","true"
"060","004","060-220-004","+520-033-706-060-220-004+","1","2592.1","M-64","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"060","065","060-220-065","+740-575-017-060-220-065-374+","1","3268.1","M-856","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"070","032","070-220-032","+520-070-220-032-240-838-741-958-220-278+","1","2403.1","M-1690","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","true","true"
"091","055","091-220-055","+031-093-001-091-220-055+","1","5229.1","-","Saar","SEAL:C","-","no_companion_side","false","false","true"
"094","032","094-220-032","+740-094-220-032-002-144+","1","2657.1","M-130","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","true","true"
"100","002","100-220-002","+090-740-100-220-002-031-165+","1","2735.1","M-211","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"100","032","100-220-032","+090-740-100-220-032-741-361+","1","3092.1","M-648","Mohenjo-daro","SEAL:S","-","no_companion_side","false","true","true"
"125","235","125-220-235","+740-390-590-125-220-235-002-285+","1","4155.1","-","Gonur Depe","SEAL:S","Steatite","no_companion_side","false","false","true"
"140","001","140-220-001","+565-031-416-140-220-001+","1","2332.1","M-1741","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"140","415","140-220-415","+031-625-140-220-415+","1","2908.1","M-412","Mohenjo-daro","SEAL:R","Steatite","no_companion_side","false","false","true"
"140","530","140-220-530","+140-220/530+","1","1548.1","H-608","Harappa","SEAL:S","Steatite","no_companion_side","false","false","true"
"151","016","151-220-016","+151-220-016-002-820+","1","1491.1","H-514","Harappa","SEAL:S","Steatite","no_companion_side","false","false","true"
"153","032","153-220-032","+153-220-032+","1","4286.1","-","Dholavira","TAB:I","-","no_companion_side","false","true","true"
"175","255","175-220-255","+740-760-175-220-255+","1","4236.1","-","Dholavira","SEAL:S","-","no_companion_side","false","false","true"
"176","415","176-220-415","+740-176-220-415-798+","1","3338.1","M-943","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"176","415","176-220-415","+740-760-175-176-220-415-798-002-299-530-820+","1","3074.1","M-623","Mohenjo-daro","SEAL:S","-","no_companion_side","false","false","true"
"176","803","176-220-803","+140-165-740-176-220-803+","1","2772.1","M-249","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"222","235","222-220-235","+740-222-220-235+","1","3773.1","M-1520","Mohenjo-daro","TAB:C","Copper","no_companion_side","false","false","true"
"231","002","231-220-002","+520-033-705-231-220-002-817+","1","3278.1","M-868","Mohenjo-daro","SEAL:S","-","no_companion_side","false","false","true"
"231","032","231-220-032","+740-231-220-032-002-817+","1","98.1","C-10","Chanhu-daro","SEAL:S","Steatite","no_companion_side","false","true","true"
"231","032","231-220-032","+740-585-231-220-032-002-820+","1","5273.1","K-145","Kalibangan","SEAL:S","-","no_companion_side","false","true","true"
"231","455","231-220-455","+740-000-231-220-455-615-689+","1","2589.1","M-61","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"232","032","232-220-032","+232-220-032-002-168-032+","1","3519.1","M-1159","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","true","true"
"233","032","233-220-032","+161-233-220-032-741-831+","1","1416.1","H-412","Harappa","SEAL:S","Steatite","no_companion_side","false","true","true"
"233","032","233-220-032","+740-032-840-233-220-032-060-825-002+","1","2041.1","L-87","Lothal","SEAL:R","Steatite","no_companion_side","false","true","true"
"233","032","233-220-032","+740-100-233-220-032-002-820+","1","2871.1","M-375","Mohenjo-daro","SEAL:R","Steatite","no_companion_side","false","true","true"
"233","032","233-220-032","+740-717-233-220-032+","1","1544.1","H-601","Harappa","SEAL:S","Clay","no_companion_side","false","true","true"
"233","240","233-220-240","+520-233-220-240-002-617+","1","2077.1","L-134","Lothal","TAG","Clay","no_companion_side","false","false","true"
"233","415","233-220-415","+740-390-590-233-220-415-798-838-002-820+","1","3305.1","M-900","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"235","031","235-220-031","+409-061-740-235-220-031-002-861-244-165+","1","1170.1","H-129","Harappa","SEAL:R","Steatite","no_companion_side","false","false","true"
"235","032","235-220-032","+520-235-220-032+","1","5456.1","-","Tarkhanewala-dera","TAG","Clay","no_companion_side","false","true","true"
"235","032","235-220-032","+527-555-235-220-032-002-000-216+","1","3085.1","M-636","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","true","true"
"235","032","235-220-032","+740-405-590-032-900-003-806-235-220-032-002-690-921+","1","1020.1","H-1657","Harappa","SEAL:S","Steatite","no_companion_side","false","true","true"
"235","032","235-220-032","+740-460-510-235-220-032-002-861+","1","3147.1","M-723","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","true","true"
"236","032","236-220-032","+031-850-140-236-220-032-803-002-820+","1","3150.1","M-726","Mohenjo-daro","SEAL:S","-","no_companion_side","false","true","true"
"236","741","236-220-741","+411-440-236-220-741-634+","1","2016.1","L-45","Lothal","SEAL:S","Steatite","no_companion_side","false","false","true"
"240","002","240-220-002","+740-760-440-240-220-002-861+","1","2277.1","M-1990","Mohenjo-daro","SEAL","Steatite","no_companion_side","true","false","true"
"240","032","240-220-032","+000-100-240-220-032-002-861+","1","62.1","C-65","Chanhu-daro","SEAL:S","Steatite","no_companion_side","true","true","true"
"240","032","240-220-032","+161-055-240-220-032-002-820+","1","2417.1","M-1728","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","true","true","true"
"240","032","240-220-032","+520-033-706-240-220-032-368-263+","1","3081.1","M-631","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","true","true","true"
"240","032","240-220-032","+520-233-240-220-032+","1","920.1","H-1678","Harappa","SEAL:S","Steatite","no_companion_side","true","true","true"
"240","032","240-220-032","+520-240-220-032-002-861-603+","1","2763.1","M-240","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","true","true","true"
"240","032","240-220-032","+527-550-240-220-032-002-300-350-032-190+","1","2577.1","M-49","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","true","true","true"
"240","032","240-220-032","+740-055-240-220-032-806+","1","3572.1","M-1265","Mohenjo-daro","SEAL:R","Steatite","no_companion_side","true","true","true"
"240","032","240-220-032","+740-585-240-220-032-002-817+","1","3146.1","M-722","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","true","true","true"
"240","032","240-220-032","+740-812-033-240-220-032+","1","2837.1","M-319","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","true","true","true"
"240","255","240-220-255","+527-550-240-220-255-812-906-388+","1","2660.1","M-133","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","true","false","true"
"240","415","240-220-415","+740-690-435-255-240-220-415-806-742-060-920+","1","2865.1","M-369","Mohenjo-daro","SEAL:R","Steatite","no_companion_side","true","false","true"
"241","032","241-220-032","+241-220-032-002-861+","1","1434.1","H-444","Harappa","SEAL:S","-","no_companion_side","false","true","true"
"241","235","241-220-235","+241-220-235-803+","1","3800.1","M-1576","Mohenjo-daro","POT:T:g","Clay","no_companion_side","false","false","true"
"255","032","255-220-032","+740-176-690-435-255-220-032-806-060-550+","1","1080.1","H-20","Harappa","SEAL:S","Steatite","no_companion_side","false","true","true"
"255","032","255-220-032","+740-690-435-255-220-032-002-717-820+","1","2490.1","M-1667","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","true","true"
"255","032","255-220-032","+740-690-435-255-220-032-240-235-002-390-125-632-032+","1","2566.1","M-38","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","true","true"
"255","063","255-220-063","+740-760-260/220-255-220-063-315+","1","2475.1","M-1841","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"260","255","260-220-255","+740-760-260/220-255-220-063-315+","1","2475.1","M-1841","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"286","031","286-220-031","+125-435-255-002-286-220-031-012-031-455-033-590+","1","2231.1","M-1688","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"318","415","318-220-415","+740-407-590-690-436-255-920-318-220-415-803+","11","1300.1;1301.1;1302.1;1303.1;1304.1;1305.1;1306.1;1754.1;1755.1;1756.1;291.1","-;H-278;H-279;H-280;H-281;H-282;H-283;H-284;H-871;H-872;H-873","Harappa","TAB:B","-;Clay;Steatite","no_companion_side","false","false","true"
"320","415","320-220-415","+520-920-320-220-415+","1","3311.1","M-914","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"335","032","335-220-032","+740-760-335-220-032-002-820+","1","2745.1","M-221","Mohenjo-daro","SEAL:S","-","no_companion_side","false","true","true"
"335","098","335-220-098","+335-220-098-921-861+","1","5451.1","-","Shikarpur","SEAL:S","Steatite","no_companion_side","false","false","true"
"371","415","371-220-415","+406-371-220-415-803-742-920-320+","1","3651.1","M-1350","Mohenjo-daro","SEAL:R","Steatite","no_companion_side","false","false","true"
"388","004","388-220-004","+740-388-220-004-060-920+","1","2085.1","L-143","Lothal","TAG","-","no_companion_side","false","false","true"
"400","428","400-220-428","+400-220-428+","1","2742.1","M-218","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"440","032","440-220-032","+740-440-220-032-741-390-590-032+","1","3169.1","M-746","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","true","true"
"440","032","440-220-032","+740-752-440-220-032-798+","1","3582.1","M-1275","Mohenjo-daro","SEAL:R","-","no_companion_side","false","true","true"
"440","413","440-220-413","+440-220-413+","1","3826.1","M-1632","Mohenjo-daro","BNGL","Stoneware","no_companion_side","false","false","true"
"510","065","510-220-065","+740-460-510-220-065-393+","1","2507.1","M-1730","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"518","416","518-220-416","+156-176-518-220-416-002-615+","1","1148.1","H-92","Harappa","SEAL:S","Steatite","no_companion_side","false","false","true"
"520","001","520-220-001","+520-220-001-820-220-063-315+","1","3995.1","M-1843","Mohenjo-daro","SEAL:S","-","no_companion_side","false","false","true"
"520","002","520-220-002","+520-220-002-727-317+","1","2827.1","M-308","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"520","002","520-220-002","+520-220-002-861+","1","3509.1","M-1148","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"520","002","520-220-002","+621-520-220-002-817+","1","2268.1","M-1709","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"520","003","520-220-003","+520-220-003-741-060-920+","1","2516.1","M-1672","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"520","003","520-220-003","+520-220-003+","1","2441.1","M-1912","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"520","004","520-220-004","+520-220-004-002-817+","1","2603.1","M-75","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"520","006","520-220-006","+520-220-006+","1","5277.1","K-150","Kalibangan","SEAL:S","Steatite","no_companion_side","false","false","true"
"520","016","520-220-016","+520-220-016-002-416-000+","1","2510.1","M-1884","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"520","016","520-220-016","+861-920/520-220-016+","1","1153.1","H-98","Harappa","SEAL:S","Steatite","no_companion_side","false","false","true"
"520","031","520-220-031","+520-220-031-001-706-575+","1","2593.1","M-65","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"520","032","520-220-032","+520-220-032-002-861+","1","3421.1","M-1044","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","true","true"
"520","060","520-220-060","+621-520-220-060-880+","1","2816.1","M-296","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"520","235","520-220-235","+520-220-235-000-130-741+","1","3464.1","M-1090","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"520","235","520-220-235","+842-535-099-004/740-482-060-692-520-220-235-001-920+","1","2757.1","M-234","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"520","235","520-220-235","+842-871-192-368/740-482-060-692-520-220-235-001-920+","1","2551.1","M-23","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"520","240","520-220-240","+520-220-240-235+","1","3357.1","M-962","Mohenjo-daro","SEAL:S","-","no_companion_side","false","false","true"
"520","240","520-220-240","+520-220-240-741-440+","1","2265.1","M-888","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"520","240","520-220-240","+520-220-240-798-060-692+","1","199.1","H-423","Harappa","SEAL:S","Steatite","no_companion_side","false","false","true"
"520","240","520-220-240","+520-220-240-803-002-820+","1","2506.1","M-1716","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"520","368","520-220-368","+520-220-368-817+","1","2485.1","M-1687","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"520","415","520-220-415","+520-220-415-002-700-000+","1","2800.1","M-279","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"520","415","520-220-415","+520-220-415-060-820+","1","2689.1","M-163","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"520","415","520-220-415","+520-220-415-060-920+","1","479.1","H-1669","Harappa","SEAL:S","Steatite","no_companion_side","false","false","true"
"520","415","520-220-415","+520-220-415-235+","1","2841.1","M-323","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"520","415","520-220-415","+520-220-415-240+","1","2420.1","M-1814","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"520","415","520-220-415","+520-220-415-519-002-817+","1","3094.1","M-650","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"520","415","520-220-415","+520-220-415-519+","1","2052.1","L-98","Lothal","SEAL:R","Steatite","no_companion_side","false","false","true"
"520","415","520-220-415","+520-220-415-798+","1","2891.1","M-395","Mohenjo-daro","SEAL:R","Steatite","no_companion_side","false","false","true"
"520","415","520-220-415","+520-220-415+","3","1383.1;221.1;2565.1","H-1326;H-364;M-37","Harappa;Mohenjo-daro","SEAL:S;TAB:I","Steatite","no_companion_side","false","false","true"
"520","621","520-220-621","+520-220-621-415-002-257-898+","1","2681.1","M-154","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"520","742","520-220-742","+520-220-742-060-920+","1","5360.1","Ns-59","Nausharo","SEAL:S","Steatite","no_companion_side","false","false","true"
"520","803","520-220-803","+520-220-803-741-262+","1","2513.1","M-1776","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"554","415","554-220-415","+740-554-220-415-798-060-692+","1","1174.1","H-133","Harappa","SEAL:R","Steatite","no_companion_side","false","false","true"
"585","002","585-220-002","+740-585-220/002-130-035-171+","1","3483.1","M-1112","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"590","003","590-220-003","+740-390-590-220-003-060-840-416+","1","1971.1","-","Kish","SEAL:S","-","no_companion_side","false","false","true"
"590","003","590-220-003","+740-390-590-220-003+","1","2621.1","M-94","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"590","003","590-220-003","+740-405-590-220-003-002-861+","1","1175.1","H-134","Harappa","SEAL:R","Steatite","no_companion_side","false","false","true"
"590","032","590-220-032","+740-405-590-220-032-806+","1","2888.1","M-392","Mohenjo-daro","SEAL:R","Steatite","no_companion_side","false","true","true"
"590","033","590-220-033","+000-590-220-033+","1","3871.1","-","Rupar","POT:T:g","Clay","no_companion_side","false","false","true"
"590","235","590-220-235","+740-405-590-220-235-803-002-388-385-705-632+","1","2855.1","M-359","Mohenjo-daro","SEAL:R","Steatite","no_companion_side","false","false","true"
"590","463","590-220-463","+740-390-590-220-463-240-001-820-060+","1","4229.1","-","Dholavira","SEAL:S","Steatite","no_companion_side","false","false","true"
"630","002","630-220-002","+405-061-033-706-794-630-220-002-820+","1","1190.1","H-149","Harappa","SEAL:R","Steatite","no_companion_side","false","false","true"
"630","032","630-220-032","+740-794-630-220-032-002-368-906-329+","1","2564.1","M-36","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","true","true"
"705","032","705-220-032","+520-033-705-220-032/231-072-002-270-633-032+","1","3529.1","M-1169","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","true","true"
"705","415","705-220-415","+520-033-705-220-415-002-861+","1","2178.1","M-1696","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"705","415","705-220-415","+527-550-033-705-220-415-060-550+","1","2861.1","M-365","Mohenjo-daro","SEAL:R","Steatite","no_companion_side","false","false","true"
"705","415","705-220-415","+740-407-590-031-752-033-705-220-415-798-002-861+","1","2422.1","M-1954","Mohenjo-daro","SEAL:R","Steatite","no_companion_side","false","false","true"
"705","803","705-220-803","+520-033-705-220-803-055-002-820+","1","2644.1","M-117","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"706","415","706-220-415","+000-550-033-706-220-415-798+","1","2360.1","M-1971","Mohenjo-daro","SEAL:R","Steatite","no_companion_side","false","false","true"
"706","415","706-220-415","+520-033-706-220-415+","1","3113.1","M-674","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"717","240","717-220-240","+740-717-220-240-002-820+","1","3095.1","M-651","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"717","415","717-220-415","+100-904-717-220-415-806-742+","1","2480.1","M-1985","Mohenjo-daro","SEAL:R","Steatite","no_companion_side","false","false","true"
"717","415","717-220-415","+159-097/520-033-705/740-717-220-415-806+","1","1169.1","H-103","Harappa","SEAL:S","Steatite","no_companion_side","false","false","true"
"717","415","717-220-415","+740-717-220-415+","1","2401.1","M-1680","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"740","000","740-220-000","+090-740-220-000-000-000-000+","1","576.1","H-1685","Harappa","SEAL:S","-","no_companion_side","false","false","true"
"740","000","740-220-000","+740-220-000+","1","3069.1","M-608","Mohenjo-daro","TAB:C","Copper","no_companion_side","false","false","true"
"740","002","740-220-002","+090-740-220-002-368-550-821+","1","27.1","B-1","Banawali","SEAL:S","Steatite","no_companion_side","false","false","true"
"740","003","740-220-003","+090-740-220-003-002-390-072+","1","1127.1","H-68","Harappa","SEAL:S","Steatite","no_companion_side","false","false","true"
"740","003","740-220-003","+090-740-220-003-741-252-530+","1","3149.1","M-725","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"740","003","740-220-003","+090-740-792-740-220-003-803+","1","3713.1","M-1429","Mohenjo-daro","TAB:B","-","no_companion_side","false","false","true"
"740","003","740-220-003","+400-090-740-220-003+","1","237.1","H-1056","Harappa","SEAL:S","Steatite","no_companion_side","false","false","true"
"740","003","740-220-003","+515-740-220-003-900+","1","1884.1","K-9","Kalibangan","SEAL:S","Steatite","no_companion_side","false","false","true"
"740","003","740-220-003","+740-220-003+","5","2814.1;3720.1;3722.1;3723.1;3724.1","M-1439;M-1441;M-1442;M-1443;M-294","Mohenjo-daro","SEAL:R;SEAL:S;TAB:B","-;Steatite","no_companion_side","false","false","true"
"740","014","740-220-014","+090-740-220-014-002-820+","1","2783.1","M-260","Mohenjo-daro","SEAL:S","Faience","no_companion_side","false","false","true"
"740","016","740-220-016","+090-740-220-016-002-297-190-920-140+","1","2581.1","M-53","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"740","016","740-220-016","+090-740-220-016-002-820+","1","3853.1","Ns-5","Nausharo","SEAL:S","Steatite","no_companion_side","false","false","true"
"740","016","740-220-016","+090-740-220-016-031-908-545+","1","2663.1","M-136","Mohenjo-daro","SEAL:S","Steatite","no_companion_side","false","false","true"
"740","032","740-220-032","+090-740-220-032+","1","1480.1","H-502","Harappa","SEAL:S","Steatite","no_companion_side","false","true","true"
"740","032","740-220-032","+416-001-565-740-220-032-002-861+","1","2313.1","M-1763","Mohenjo-daro","SEAL:S","Faience","no_companion_side","false","true","true"
"740","032","740-220-032","+679-740-220-032-806-001-595-575-001-095+","1","3427.1","M-1052","Mohenjo-daro","SEAL:R","-","no_companion_side","false","true","true"
"740","032","740-220-032","+740-220-032+","1","1584.1","H-669","Harappa","SEAL:R","Steatite","no_companion_side","false","true","true"
"740","055","740-220-055","+090-740-220-055-001-741-500-705+","7","2068.1;2069.1;2070.1;2071.1;2072.1;2125.1;5388.1","L-124;L-125;L-126;L-127;L-128;L-129;L-206","Lothal","TAG;TAG:L;TAG:W","Clay","no_companion_side","false","false","true"
"740","060","740-220-060","+550-740-220-060-297-630+","1","3318.1","M-921","Mohenjo-daro","SEAL:S","-","no_companion_side","false","false","true"
"740","233","740-220-233","+740-220-233-000+","1","3729.1","M-1450","Mohenjo-daro","TAB:C","Copper","no_companion_side","false","false","true"
