"control","metric","iterations","observed_value","null_mean","null_sd","null_min","null_p05","null_median","null_p95","null_max","observed_minus_null_mean","null_ge_observed_share","null_le_observed_share"
"edge_frame_template_shuffle","frequency_top1_accuracy","20","0.107769","0.11377","0.00031","0.113124","0.113329","0.113771","0.114252","0.114354","-0.006001","1","0"
"edge_frame_template_shuffle","position_top1_accuracy","20","0.15112","0.127205","0.001962","0.122295","0.123932","0.126796","0.12959","0.130218","0.023915","0","1"
"edge_frame_template_shuffle","length_position_top1_accuracy","20","0.154652","0.134435","0.002869","0.128943","0.13036","0.13462","0.137854","0.138073","0.020217","0","1"
"edge_frame_template_shuffle","bidirectional_top1_accuracy","20","0.325865","0.126095","0.00194","0.123129","0.123284","0.126053","0.128499","0.13021","0.19977","0","1"
"edge_frame_template_shuffle","bidirectional_top5_accuracy","20","0.567828","0.301071","0.003018","0.296385","0.296741","0.300713","0.305655","0.3082","0.266757","0","1"
"position_slot_shuffle","unique_sequences","20","1798","2470","4","2461","2461.95","2470.5","2475","2475","-672","1","0"
"position_slot_shuffle","exact_duplicate_groups","20","266","105.75","4.656984","99","99.95","105","114.05","115","160.25","0","1"
"position_slot_shuffle","exact_duplicate_rows","20","1351","518.75","7.333996","509","509.95","516","531.1","533","832.25","0","1"
"position_slot_shuffle","exact_duplicate_row_share","20","0.468609","0.179934","0.002544","0.176552","0.176882","0.17898","0.184218","0.184877","0.288675","0","1"
"position_slot_shuffle","top_sequence_count","20","117","48.55","4.565906","41","41","48.5","55.05","56","68.45","0","1"
"position_slot_shuffle","collapsed_rows","20","1798","2470","4","2461","2461.95","2470.5","2475","2475","-672","1","0"
"position_slot_shuffle","collapsed_tokens","20","8212","10807.5","8.997222","10792","10792.95","10810","10819","10819","-2595.5","1","0"
"position_slot_shuffle","stored_higher_share","20","0.948276","0.9401","0.0037","0.932094","0.933476","0.940665","0.945534","0.947028","0.008176","0","1"
"position_slot_shuffle","mean_stored_minus_reversed","20","9.403535","6.349477","0.047411","6.239659","6.240554","6.35559","6.405251","6.430995","3.054058","0","1"
"position_slot_shuffle","median_stored_minus_reversed","20","9.200559","6.751985","0.077147","6.539008","6.618571","6.772881","6.85003","6.863019","2.448574","0","1"
"position_slot_shuffle","frequency_top1_accuracy","20","0.107769","0.108443","0.000427","0.10748","0.107977","0.108329","0.10902","0.10953","-0.000674","0.95","0.05"
"position_slot_shuffle","position_top1_accuracy","20","0.15112","0.146333","0.000421","0.145436","0.145953","0.146205","0.146953","0.147426","0.004787","0","1"
"position_slot_shuffle","length_position_top1_accuracy","20","0.154652","0.173527","0.001516","0.170617","0.171086","0.173985","0.175275","0.175405","-0.018875","1","0"
"position_slot_shuffle","bidirectional_top1_accuracy","20","0.325865","0.144034","0.001965","0.139959","0.140716","0.144054","0.14668","0.147241","0.181831","0","1"
"position_slot_shuffle","bidirectional_top5_accuracy","20","0.567828","0.312283","0.002683","0.306517","0.308627","0.312546","0.316242","0.318375","0.255545","0","1"
