checked_date,id,cisi,site,type,material,shape,symbol,cult,direction,prev,head,next,tail_after_head,terminal_after_next,text,normalized_text,formula_key,accepted_decipherment_claim
2026-05-31,1288.1,H-263,Harappa,TAB:B,-,cylindrical,Bull1:I,None,R/L,240,405,501,501,true,+520-240-002-405-501+,520-240-002-405-501,Harappa|TAB:B|cylindrical|Bull1:I|None|+520-240-002-405-501+,0
2026-05-31,1289.1,H-264,Harappa,TAB:B,-,cylindrical,Bull1:I,None,R/L,240,405,501,501,true,+520-240-002-405-501+,520-240-002-405-501,Harappa|TAB:B|cylindrical|Bull1:I|None|+520-240-002-405-501+,0
2026-05-31,1290.1,H-265,Harappa,TAB:B,-,cylindrical,Bull1,None,R/L,240,405,501,501,true,+520-240-002-405-501+,520-240-002-405-501,Harappa|TAB:B|cylindrical|Bull1|None|+520-240-002-405-501+,0
2026-05-31,1298.1,H-276,Harappa,TAB:B,-,cylindrical,Bull1:I,None,R/L,240,405,501,501,true,+520-240-002-405-501+,520-240-002-405-501,Harappa|TAB:B|cylindrical|Bull1:I|None|+520-240-002-405-501+,0
2026-05-31,1299.1,H-277,Harappa,TAB:B,-,cylindrical,Bull1,None,R/L,240,405,501,501,true,+520-240-002-405-501+,520-240-002-405-501,Harappa|TAB:B|cylindrical|Bull1|None|+520-240-002-405-501+,0
2026-05-31,1742.1,H-859,Harappa,TAB:B,-,cylindrical,Bull1:I,None,R/L,240,405,501,501,true,+520-240-002-405-501+,520-240-002-405-501,Harappa|TAB:B|cylindrical|Bull1:I|None|+520-240-002-405-501+,0
2026-05-31,1743.1,H-860,Harappa,TAB:B,-,cylindrical,Bull1:I,None,R/L,240,405,501,501,true,+520-240-002-405-501+,520-240-002-405-501,Harappa|TAB:B|cylindrical|Bull1:I|None|+520-240-002-405-501+,0
2026-05-31,1744.1,H-861,Harappa,TAB:B,-,cylindrical,Bull1:I,None,R/L,240,405,501,501,true,+520-240-002-405-501+,520-240-002-405-501,Harappa|TAB:B|cylindrical|Bull1:I|None|+520-240-002-405-501+,0
2026-05-31,1745.1,H-862,Harappa,TAB:B,-,cylindrical,Bull1:I,None,R/L,240,405,501,501,true,+520-240-002-405-501+,520-240-002-405-501,Harappa|TAB:B|cylindrical|Bull1:I|None|+520-240-002-405-501+,0
2026-05-31,1746.1,H-863,Harappa,TAB:B,-,cylindrical,Bull1:I,None,R/L,240,405,501,501,true,+520-240-002-405-501+,520-240-002-405-501,Harappa|TAB:B|cylindrical|Bull1:I|None|+520-240-002-405-501+,0
2026-05-31,1747.1,H-864,Harappa,TAB:B,-,cylindrical,Bull1:I,None,R/L,240,405,501,501,true,+520-240-002-405-501+,520-240-002-405-501,Harappa|TAB:B|cylindrical|Bull1:I|None|+520-240-002-405-501+,0
2026-05-31,1748.1,H-865,Harappa,TAB:B,-,cylindrical,Bull1:I,None,R/L,240,405,501,501,true,+520-240-002-405-501+,520-240-002-405-501,Harappa|TAB:B|cylindrical|Bull1:I|None|+520-240-002-405-501+,0
2026-05-31,1749.1,H-866,Harappa,TAB:B,-,cylindrical,Bull1:U,None,R/L,240,405,501,501,true,+520-240-002-405-501+,520-240-002-405-501,Harappa|TAB:B|cylindrical|Bull1:U|None|+520-240-002-405-501+,0
2026-05-31,1750.1,H-867,Harappa,TAB:B,-,cylindrical,Bull1:U,None,R/L,240,405,501,501,true,+520-240-002-405-501+,520-240-002-405-501,Harappa|TAB:B|cylindrical|Bull1:U|None|+520-240-002-405-501+,0
2026-05-31,1751.1,H-868,Harappa,TAB:B,-,cylindrical,Bull1:I,None,R/L,240,405,501,501,true,+520-240-002-405-501+,520-240-002-405-501,Harappa|TAB:B|cylindrical|Bull1:I|None|+520-240-002-405-501+,0
2026-05-31,1752.1,H-869,Harappa,TAB:B,-,cylindrical,Bull1:I,None,R/L,240,405,501,501,true,+520-240-002-405-501+,520-240-002-405-501,Harappa|TAB:B|cylindrical|Bull1:I|None|+520-240-002-405-501+,0
2026-05-31,1753.1,H-870,Harappa,TAB:B,-,cylindrical,Bull1:I,None,R/L,240,405,501,501,true,+520-240-002-405-501+,520-240-002-405-501,Harappa|TAB:B|cylindrical|Bull1:I|None|+520-240-002-405-501+,0
2026-05-31,4580.1,H-1155,Harappa,TAB:B,-,cylindrical,Bull1:I,None,R/L,240,405,501,501,true,+520-240-002-405-501+,520-240-002-405-501,Harappa|TAB:B|cylindrical|Bull1:I|None|+520-240-002-405-501+,0
