"prev","next","count","at_start_count","at_end_count","sites","types","examples"
"032","","5","0","5","Harappa","TAB:B;TAB:I","485.1;586.1;632.1;902.2;904.2"
"235","032","5","0","0","Harappa;Mohenjo-daro;Tarkhanewala-dera","SEAL:S;TAG","1020.1;3085.1;3147.1;3847.1;5456.1"
"440","","5","0","5","Harappa;Mohenjo-daro","SEAL:S;TAB:B","220.1;741.1;1653.2;3078.1;3360.1"
"520","240","5","0","0","Harappa;Mohenjo-daro","SEAL:S;TAB:B","199.1;1258.1;2265.1;2506.1;3357.1"
"590","003","5","0","0","Harappa;Kish;Mohenjo-daro","POT:T:g;SEAL:R;SEAL:S;TAB:C","174.1;1175.1;1971.1;2621.1;3066.2"
"845","415","5","0","0","Mohenjo-daro","SEAL:R;TAB:C","2983.1;2984.1;3600.1;3733.1;3734.1"
"","700","4","4","0","Harappa","TAB:B;TAB:I","302.2;1324.1;1793.2;4056.2"
"000","032","4","0","0","Chanhu-daro;Harappa;Mohenjo-daro","SEAL:S","101.1;1078.1;2501.1;3989.1"
"176","415","4","0","0","Chanhu-daro;Mohenjo-daro","SEAL:S","83.1;3074.1;3338.1;3409.1"
"233","032","4","0","0","Harappa;Lothal;Mohenjo-daro","SEAL:R;SEAL:S","1416.1;1544.1;2041.1;2871.1"
"520","002","4","0","0","Banawali;Mohenjo-daro","SEAL:S;TAG","41.1;2268.1;2827.1;3509.1"
"740","","4","0","4","Dholavira;Harappa;Mohenjo-daro","SEAL:R;TAB:B;TAB:I;TAG","1640.1;3617.1;3952.1;4084.1"
"740","032","4","0","0","Harappa;Mohenjo-daro","SEAL:R;SEAL:S","1480.1;1584.1;2313.1;3427.1"
"904","032","4","0","0","Lothal;Mohenjo-daro","SEAL;SEAL:R;SEAL:S","2032.5;2063.1;2381.1;2430.1"
"002","065","3","0","0","Kalibangan;Mohenjo-daro","SEAL:S","1899.1;2574.1;2667.1"
"176","","3","0","3","Harappa;Kalibangan;Mohenjo-daro","POT:T:g;SEAL:R;TAB:B","467.2;1954.1;3599.1"
"176","032","3","0","0","Mohenjo-daro","SEAL:S;TAB:C","2550.1;2987.2;2988.2"
"236","","3","0","3","Harappa","TAB:B","751.2;927.2;3969.1"
"255","032","3","0","0","Harappa;Mohenjo-daro","SEAL:S","1080.1;2490.1;2566.1"
"520","235","3","0","0","Mohenjo-daro","SEAL:S","2551.1;2757.1;3464.1"
"550","","3","0","3","Harappa","TAB:B;TAB:I","313.1;1364.1;1378.1"
"705","415","3","0","0","Mohenjo-daro","SEAL:R;SEAL:S","2178.1;2422.1;2861.1"
"717","415","3","0","0","Harappa;Mohenjo-daro","SEAL:R;SEAL:S","1169.1;2401.1;2480.1"
"740","016","3","0","0","Mohenjo-daro;Nausharo","SEAL:S","2581.1;2663.1;3853.1"
"923","032","3","0","0","Mohenjo-daro","SEAL:S","2651.1;2699.1;3144.1"
"","016","2","2","0","Harappa","POT:T:s;SEAL:S","173.1;318.1"
"","033","2","2","0","Harappa","POT:T:s","1017.1;1032.1"
"","063","2","2","0","Chanhu-daro;Harappa","MISC;SEAL:S","119.1;1065.1"
"","065","2","2","0","Mohenjo-daro","SEAL:S","2678.1;3289.1"
"","455","2","2","0","Karzakan;Mohenjo-daro","SEAL:C;SEAL:S","2195.1;5227.1"
"000","240","2","0","0","Dholavira;Lothal","TAG","2119.1;4289.1"
"001","455","2","0","0","Kalibangan;Mohenjo-daro","SEAL:R;SEAL:S","1882.1;3634.1"
"017","","2","0","2","Mohenjo-daro","TAB:C","2284.2;3061.2"
"070","032","2","0","0","Mohenjo-daro","SEAL:R;SEAL:S","2403.1;3661.1"
"100","","2","0","2","Lothal;Mohenjo-daro","SEAL:S;TAB:B","2011.1;2958.1"
"142","","2","0","2","Harappa","TAB:I","491.1;589.1"
"231","032","2","0","0","Chanhu-daro;Kalibangan","SEAL:S","98.1;5273.1"
"233","002","2","0","0","Lothal;Mohenjo-daro","SEAL:S;TAG","2129.2;2357.3"
"235","","2","0","2","Dholavira;Harappa","SEAL:S;TAB:B","1019.2;4224.1"
"240","","2","0","2","Farmana;Harappa","SEAL:S;TAB:I","149.1;217.1"
"320","415","2","0","0","Mohenjo-daro","SEAL:S","3186.1;3311.1"
"416","415","2","0","0","Khirsara;Pabumath","SEAL:R;SEAL:S","3861.1;4895.1"
"440","032","2","0","0","Mohenjo-daro","SEAL:R;SEAL:S","3169.1;3582.1"
"520","003","2","0","0","Mohenjo-daro","SEAL:S","2441.1;2516.1"
"520","032","2","0","0","Dholavira;Mohenjo-daro","SEAL:S;TAB:I","3421.1;4170.1"
"706","415","2","0","0","Mohenjo-daro","SEAL:R;SEAL:S","2360.1;3113.1"
"760","416","2","0","0","Harappa","TAB:I","1793.1;4056.1"
"892","920","2","0","0","Harappa","TAB:B","1216.1;1217.1"
"","002","1","1","0","Lothal","TAG","2131.1"
"","014","1","1","0","Banawali","SEAL:S","28.1"
"","017","1","1","0","Harappa","SEAL:S","1070.1"
"","150","1","1","0","Kalibangan","POT:T:g","5313.1"
"","233","1","1","0","Harappa","TAB:I","416.1"
"","416","1","1","0","Pabumath","SEAL:S","3861.1"
"","500","1","1","0","Harappa","SEAL:S","293.1"
"","760","1","1","0","Harappa","TAB:I","795.2"
"","786","1","1","0","Mohenjo-daro","SEAL:R","2910.1"
"000","003","1","0","0","Kalibangan","SEAL:S","1883.1"
"000","004","1","0","0","Harappa","TAB:B","744.2"
"000","031","1","0","0","Mohenjo-daro","SEAL:S","2400.1"
"000","241","1","0","0","Mohenjo-daro","SEAL:S","2824.1"
"000","390","1","0","0","Tello","SEAL:S","3885.1"
"000","617","1","0","0","Lothal","TAG","2120.1"
"000","741","1","0","0","Kalibangan","SEAL:S","1889.1"
"000","832","1","0","0","Mohenjo-daro","SEAL","4018.1"
"000","838","1","0","0","Chanhu-daro","SEAL:S","63.1"
"000","840","1","0","0","Harappa","POT:T:g","206.1"
"001","","1","0","1","Mohenjo-daro","SEAL","3405.1"
"001","033","1","0","0","Unknown","SEAL:C","5224.1"
"001","415","1","0","0","Mohenjo-daro","SEAL:S","2377.1"
"001","786","1","0","0","Mohenjo-daro","SEAL:S","2697.1"
"002","000","1","0","0","Harappa","SEAL:S","1537.1"
"002","627","1","0","0","Mohenjo-daro","TAG:O","3712.1"
"002","880","1","0","0","Mohenjo-daro","SEAL:S","3097.1"
"013","455","1","0","0","Dholavira","SEAL:R","4194.1"
"016","382","1","0","0","Harappa","POT:T:s","715.1"
"017","415","1","0","0","Harappa","SEAL:S","1536.1"
"029","000","1","0","0","Ra's al-Junayz","POT:T:g","3864.1"
"031","000","1","0","0","Kot-Diji","POT:T:g","1972.1"
"032","002","1","0","0","Mohenjo-daro","SEAL:S","2292.1"
"032","415","1","0","0","Mohenjo-daro","SEAL:S","2580.1"
"033","520","1","0","0","Kalibangan","POT:T:g","1950.1"
"036","415","1","0","0","Mohenjo-daro","TAB:B","3711.1"
"055","032","1","0","0","Mohenjo-daro","SEAL:R","2877.1"
"055","415","1","0","0","Harappa","SEAL:S","1294.1"
"060","004","1","0","0","Mohenjo-daro","SEAL:S","2592.1"
"060","065","1","0","0","Mohenjo-daro","SEAL:S","3268.1"
"074","415","1","0","0","Harappa","TAB:I","827.2"
"081","","1","0","1","Mohenjo-daro","SEAL:S","2728.1"
"091","055","1","0","0","Saar","SEAL:C","5229.1"
"094","032","1","0","0","Mohenjo-daro","SEAL:S","2657.1"
"100","002","1","0","0","Mohenjo-daro","SEAL:S","2735.1"
"100","032","1","0","0","Mohenjo-daro","SEAL:S","3092.1"
"125","235","1","0","0","Gonur Depe","SEAL:S","4155.1"
"140","001","1","0","0","Mohenjo-daro","SEAL:S","2332.1"
"140","415","1","0","0","Mohenjo-daro","SEAL:R","2908.1"
"140","530","1","0","0","Harappa","SEAL:S","1548.1"
"151","","1","0","1","Mohenjo-daro","SEAL:S","3155.1"
"151","016","1","0","0","Harappa","SEAL:S","1491.1"
"153","032","1","0","0","Dholavira","TAB:I","4286.1"
"175","255","1","0","0","Dholavira","SEAL:S","4236.1"
"176","803","1","0","0","Mohenjo-daro","SEAL:S","2772.1"
"222","235","1","0","0","Mohenjo-daro","TAB:C","3773.1"
"227","000","1","0","0","Mohenjo-daro","SEAL:R","4017.1"
"231","002","1","0","0","Mohenjo-daro","SEAL:S","3278.1"
"231","455","1","0","0","Mohenjo-daro","SEAL:S","2589.1"
"232","032","1","0","0","Mohenjo-daro","SEAL:S","3519.1"
"233","","1","0","1","Harappa","TAB:B","1738.2"
"233","001","1","0","0","Mohenjo-daro","SEAL:S","3073.1"
"233","240","1","0","0","Lothal","TAG","2077.1"
"233","415","1","0","0","Mohenjo-daro","SEAL:S","3305.1"
"234","002","1","0","0","Lothal","TAG","2127.2"
"235","031","1","0","0","Harappa","SEAL:R","1170.1"
"236","032","1","0","0","Mohenjo-daro","SEAL:S","3150.1"
"236","741","1","0","0","Lothal","SEAL:S","2016.1"
"240","002","1","0","0","Mohenjo-daro","SEAL","2277.1"
"240","255","1","0","0","Mohenjo-daro","SEAL:S","2660.1"
"240","415","1","0","0","Mohenjo-daro","SEAL:R","2865.1"
"241","032","1","0","0","Harappa","SEAL:S","1434.1"
"241","235","1","0","0","Mohenjo-daro","POT:T:g","3800.1"
"255","063","1","0","0","Mohenjo-daro","SEAL:S","2475.1"
"260","255","1","0","0","Mohenjo-daro","SEAL:S","2475.1"
"286","031","1","0","0","Mohenjo-daro","SEAL:S","2231.1"
"320","","1","0","1","Mohenjo-daro","SEAL","3434.1"
"335","032","1","0","0","Mohenjo-daro","SEAL:S","2745.1"
"335","098","1","0","0","Shikarpur","SEAL:S","5451.1"
"368","031","1","0","0","Banawali","SEAL:S","5567.1"
"371","415","1","0","0","Mohenjo-daro","SEAL:R","3651.1"
"388","","1","0","1","Harappa","POT:T:g","185.1"
"388","004","1","0","0","Lothal","TAG","2085.1"
"388","235","1","0","0","Mohenjo-daro","SEAL:S","2279.1"
"400","428","1","0","0","Mohenjo-daro","SEAL:S","2742.1"
"407","","1","0","1","Mohenjo-daro","SEAL:R","3649.1"
"440","413","1","0","0","Mohenjo-daro","BNGL","3826.1"
"440","705","1","0","0","Mohenjo-daro","SEAL:S","3431.1"
"455","032","1","0","0","Harappa","TAB:I","1830.1"
"495","","1","0","1","Harappa","POT:T:g","707.1"
"510","065","1","0","0","Mohenjo-daro","SEAL:S","2507.1"
"518","416","1","0","0","Harappa","SEAL:S","1148.1"
"520","001","1","0","0","Mohenjo-daro","SEAL:S","3995.1"
"520","004","1","0","0","Mohenjo-daro","SEAL:S","2603.1"
"520","006","1","0","0","Kalibangan","SEAL:S","5277.1"
"520","031","1","0","0","Mohenjo-daro","SEAL:S","2593.1"
"520","034","1","0","0","Mohenjo-daro","SEAL:S","3556.1"
"520","060","1","0","0","Mohenjo-daro","SEAL:S","2816.1"
"520","368","1","0","0","Mohenjo-daro","SEAL:S","2485.1"
"520","621","1","0","0","Mohenjo-daro","SEAL:S","2681.1"
"520","742","1","0","0","Nausharo","SEAL:S","5360.1"
"520","803","1","0","0","Mohenjo-daro","SEAL:S","2513.1"
"554","415","1","0","0","Harappa","SEAL:R","1174.1"
"585","","1","0","1","Mohenjo-daro","SEAL:S","3492.1"
"585","000","1","0","0","Harappa","SEAL:S","1531.1"
"585","002","1","0","0","Mohenjo-daro","SEAL:S","3483.1"
"590","","1","0","1","Lothal","TAG","2122.1"
"590","032","1","0","0","Mohenjo-daro","SEAL:R","2888.1"
"590","033","1","0","0","Rupar","POT:T:g","3871.1"
"590","235","1","0","0","Mohenjo-daro","SEAL:R","2855.1"
"590","463","1","0","0","Dholavira","SEAL:S","4229.1"
"626","016","1","0","0","Mohenjo-daro","SEAL:S","2760.1"
"630","002","1","0","0","Harappa","SEAL:R","1190.1"
"630","032","1","0","0","Mohenjo-daro","SEAL:S","2564.1"
"679","240","1","0","0","Harappa","SEAL:S","1094.1"
"700","004","1","0","0","Harappa","TAB:I","311.2"
"705","","1","0","1","Harappa","TAB:B","653.1"
"705","000","1","0","0","Harappa","TAB:B","947.2"
"705","032","1","0","0","Mohenjo-daro","SEAL:S","3529.1"
"705","803","1","0","0","Mohenjo-daro","SEAL:S","2644.1"
"706","","1","0","1","Rakhigarhi","Unknown","5559.1"
"717","240","1","0","0","Mohenjo-daro","SEAL:S","3095.1"
"740","002","1","0","0","Banawali","SEAL:S","27.1"
"740","014","1","0","0","Mohenjo-daro","SEAL:S","2783.1"
"740","060","1","0","0","Mohenjo-daro","SEAL:S","3318.1"
"740","233","1","0","0","Mohenjo-daro","TAB:C","3729.1"
"740","235","1","0","0","Mohenjo-daro","SEAL:S","2631.1"
"740","416","1","0","0","Harappa","TAB:I","1324.2"
"740","741","1","0","0","Mohenjo-daro","SEAL:S","2654.1"
"740","742","1","0","0","Mohenjo-daro","SEAL:S","2823.1"
"760","003","1","0","0","Harappa","SEAL:S","303.1"
"760","016","1","0","0","Mohenjo-daro","SEAL:S","2639.1"
"760","892","1","0","0","Mohenjo-daro","SEAL:S","3157.1"
"767","416","1","0","0","Harappa","TAB:I","311.1"
"773","032","1","0","0","Mohenjo-daro","TAB:C","3041.1"
"776","016","1","0","0","Chanhu-daro","IMPL","121.1"
"785","335","1","0","0","Kalibangan","SEAL:S","1890.1"
"790","415","1","0","0","Mohenjo-daro","SEAL:R","2234.1"
"794","","1","0","1","Dholavira","TAG","4291.1"
"798","","1","0","1","Mohenjo-daro","TAB:B","2432.2"
"798","032","1","0","0","Mohenjo-daro","SEAL:S","2618.1"
"798","060","1","0","0","Mohenjo-daro","SEAL:S","2427.1"
"798","415","1","0","0","Mohenjo-daro","SEAL:S","3100.1"
"798","742","1","0","0","Harappa","SEAL:S","1095.1"
"803","","1","0","1","Chanhu-daro","TAB:B","116.1"
"803","032","1","0","0","Mohenjo-daro","SEAL:S","2292.1"
"803","240","1","0","0","Harappa","SEAL:S","1073.1"
"803","368","1","0","0","Mohenjo-daro","SEAL:S","2798.1"
"804","060","1","0","0","Mohenjo-daro","SEAL:S","2779.1"
"817","632","1","0","0","Nindowari-damb","SEAL:S","3858.1"
"820","063","1","0","0","Mohenjo-daro","SEAL:S","3995.1"
"820","065","1","0","0","Mohenjo-daro","SEAL:S","2635.1"
"832","003","1","0","0","Unknown","SEAL:S","3118.1"
"840","","1","0","1","Mohenjo-daro","TAB:B","2432.1"
"840","000","1","0","0","Dholavira","TAG:PC","4335.2"
"840","002","1","0","0","Mohenjo-daro","TAB:B","2938.1"
"845","","1","0","1","Mohenjo-daro","SEAL:R","3635.1"
"879","415","1","0","0","Mohenjo-daro","SEAL:S","2636.1"
"879","416","1","0","0","Dholavira","SEAL:S","130.1"
"904","415","1","0","0","Harappa","SEAL:S","1407.1"
"924","528","1","0","0","Ur","SEAL:C","3897.1"
"927","235","1","0","0","Mohenjo-daro","SEAL:S","2459.1"
"958","278","1","0","0","Mohenjo-daro","SEAL:S","2403.1"
