date,triage_id,queue_rank,representative_cisi,site,type,text,diff_per_transition,route_count,plate_route_count,data_route_count,source_status_rank,best_volume,best_page_index,best_source_url,best_local_artifact,best_artifact_sha256,visual_review_status,admissibility_tier,signband_visible,immediate_blind_packet_candidate,manual_visual_note,next_gate,skeptic_boundary,forger_boundary,accepted_claims_increment
2026-05-29,directionality_route_visual_triage_v1,22,M-253,Mohenjo-daro,SEAL:S,+527-550-803-002-368-518+,2.52834,2,0,2,public_cisi_data_route_only,cisi_india,402,https://archive.org/download/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20India/page/n402_w2000.jpg,tmp/effective_unicity_directionality_public_route_probe/crops/22_M_253_cisi_india_n402_1_context_enhanced_x2.jpg,446958328ef7ede2e36b2b3489ecc85deb2b11a9f260aee9f5c04391aef06315,data_or_register_route_only,tier_5_catalog_locator_only,no,no,Only a late register/data route was found; no source-panel route is available here.,Use as catalog locator only; find actual plate/source image.,"Visual route triage cannot validate source-normalized token order, physical direction, sign identity, meaning, phonetic value, language family, or translation.",No forger pass has been run on visual admissibility tiers. These tiers only select candidates for the next blind token-boxing/control packet; accepted claims remain zero.,0
2026-05-29,directionality_route_visual_triage_v1,23,M-527,Mohenjo-daro,TAB:C,+001-740-923-033-706+,2.455724,2,1,1,public_cisi_plate_route_candidate,cisi_india,167,https://archive.org/download/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20India/page/n167_w2000.jpg,tmp/effective_unicity_directionality_public_route_probe/crops/23_M_527_cisi_india_n167_1_context_enhanced_x2.jpg,52f496f68a9101c36a721e404f4ebb2fe6ecf2fe3ef6ffcf0d009942cad2e680,not_yet_visual_reviewed,tier_4_plate_route_unreviewed,unreviewed,no,"Public OCR route exists, but this route was not manually visually triaged in this pass.",Manual visual source-panel review before any token-box packet.,"Visual route triage cannot validate source-normalized token order, physical direction, sign identity, meaning, phonetic value, language family, or translation.",No forger pass has been run on visual admissibility tiers. These tiers only select candidates for the next blind token-boxing/control packet; accepted claims remain zero.,0
2026-05-29,directionality_route_visual_triage_v1,24,M-534,Mohenjo-daro,TAB:C,+407-321-407-845-033-705-235+,2.4549,4,1,3,public_cisi_plate_route_candidate,cisi_india,35,https://archive.org/download/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20India/page/n35_w2000.jpg,tmp/effective_unicity_directionality_public_route_probe/crops/24_M_534_cisi_india_n35_1_context_enhanced_x2.jpg,fb80bea579ec4fac2643867ee949be6e630f5b686c157edd09dbe96d3c47008c,not_yet_visual_reviewed,tier_4_plate_route_unreviewed,unreviewed,no,"Public OCR route exists, but this route was not manually visually triaged in this pass.",Manual visual source-panel review before any token-box packet.,"Visual route triage cannot validate source-normalized token order, physical direction, sign identity, meaning, phonetic value, language family, or translation.",No forger pass has been run on visual admissibility tiers. These tiers only select candidates for the next blind token-boxing/control packet; accepted claims remain zero.,0
2026-05-29,directionality_route_visual_triage_v1,25,H-680,Harappa,SEAL:R,+527-554-104+,2.436138,0,0,0,not_found_in_public_cisi_ocr_layer,,,,,,not_found_in_public_cisi_ocr_layer,tier_6_no_public_route,no,no,No exact public CISI OCR route was found in the accessible India/Pakistan XML layer.,"Try CISI 3.1, HARP, museum/archive sources, or non-OCR page-range routing.","Visual route triage cannot validate source-normalized token order, physical direction, sign identity, meaning, phonetic value, language family, or translation.",No forger pass has been run on visual admissibility tiers. These tiers only select candidates for the next blind token-boxing/control packet; accepted claims remain zero.,0
2026-05-29,directionality_route_visual_triage_v1,26,M-393,Mohenjo-daro,SEAL:R,+679-740-575-017-240-806-002-540+,2.423937,0,0,0,not_found_in_public_cisi_ocr_layer,,,,,,not_found_in_public_cisi_ocr_layer,tier_6_no_public_route,no,no,No exact public CISI OCR route was found in the accessible India/Pakistan XML layer.,"Try CISI 3.1, HARP, museum/archive sources, or non-OCR page-range routing.","Visual route triage cannot validate source-normalized token order, physical direction, sign identity, meaning, phonetic value, language family, or translation.",No forger pass has been run on visual admissibility tiers. These tiers only select candidates for the next blind token-boxing/control packet; accepted claims remain zero.,0
2026-05-29,directionality_route_visual_triage_v1,27,M-525,Mohenjo-daro,TAB:C,+423-003-001-900-740-690-435-255+,2.409404,3,2,1,public_cisi_plate_route_candidate,cisi_pakistan,40,https://archive.org/download/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20Pakistan/page/n40_w2000.jpg,tmp/effective_unicity_directionality_public_route_probe/crops/27_M_525_cisi_pakistan_n40_1_context_enhanced_x2.jpg,93fd00eb3b19f229ae6aa30ae2484227426cdebb4062411bab5441b9d355ccbd,source_panel_visible_but_low_legibility_complex_tablet,tier_2_source_panel_visible_needs_recrop_or_quality_gate,partial,no,"M-525 has visible routed source panels, but the tablet sides and crop geometry make it less clean than the tier-1 candidates.",Make side-specific no-overlay crops before considering blind token boxing.,"Visual route triage cannot validate source-normalized token order, physical direction, sign identity, meaning, phonetic value, language family, or translation.",No forger pass has been run on visual admissibility tiers. These tiers only select candidates for the next blind token-boxing/control packet; accepted claims remain zero.,0
2026-05-29,directionality_route_visual_triage_v1,28,M-1315,Mohenjo-daro,SEAL:R,+617-142-240+,2.404709,1,1,0,public_cisi_plate_route_candidate,cisi_pakistan,202,https://archive.org/download/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20Pakistan/page/n202_w2000.jpg,tmp/effective_unicity_directionality_public_route_probe/crops/28_M_1315_cisi_pakistan_n202_1_context_enhanced_x2.jpg,230f1e2052a29b9892be0d5280ae32fb8b9b3ba5fdfb554839540f0b60801e70,not_yet_visual_reviewed,tier_4_plate_route_unreviewed,unreviewed,no,"Public OCR route exists, but this route was not manually visually triaged in this pass.",Manual visual source-panel review before any token-box packet.,"Visual route triage cannot validate source-normalized token order, physical direction, sign identity, meaning, phonetic value, language family, or translation.",No forger pass has been run on visual admissibility tiers. These tiers only select candidates for the next blind token-boxing/control packet; accepted claims remain zero.,0
2026-05-29,directionality_route_visual_triage_v1,29,M-386,Mohenjo-daro,SEAL:R,+405-004-001-139+,2.404551,2,1,1,public_cisi_plate_route_candidate,cisi_india,130,https://archive.org/download/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20India/page/n130_w2000.jpg,tmp/effective_unicity_directionality_public_route_probe/crops/29_M_386_cisi_india_n130_1_context_enhanced_x2.jpg,24c4ffe9e075b3f049742cf9412c3370e379225f0d48ea53d140b53246dbde12,not_yet_visual_reviewed,tier_4_plate_route_unreviewed,unreviewed,no,"Public OCR route exists, but this route was not manually visually triaged in this pass.",Manual visual source-panel review before any token-box packet.,"Visual route triage cannot validate source-normalized token order, physical direction, sign identity, meaning, phonetic value, language family, or translation.",No forger pass has been run on visual admissibility tiers. These tiers only select candidates for the next blind token-boxing/control packet; accepted claims remain zero.,0
2026-05-29,directionality_route_visual_triage_v1,30,H-158,Harappa,SEAL:R,+154-806-472-001-740-405-590+,2.388833,2,1,1,public_cisi_plate_route_candidate,cisi_india,237,https://archive.org/download/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20India/page/n237_w2000.jpg,tmp/effective_unicity_directionality_public_route_probe/crops/30_H_158_cisi_india_n237_1_context_enhanced_x2.jpg,22c0fac9ac5b7e09396757a769fe1de76a03a318135ed6f0e19bfc8949b4ab37,not_yet_visual_reviewed,tier_4_plate_route_unreviewed,unreviewed,no,"Public OCR route exists, but this route was not manually visually triaged in this pass.",Manual visual source-panel review before any token-box packet.,"Visual route triage cannot validate source-normalized token order, physical direction, sign identity, meaning, phonetic value, language family, or translation.",No forger pass has been run on visual admissibility tiers. These tiers only select candidates for the next blind token-boxing/control packet; accepted claims remain zero.,0
2026-05-29,directionality_route_visual_triage_v1,31,H-420,Harappa,SEAL:S,+407-004-001-740-443-388-140+,2.384521,0,0,0,not_found_in_public_cisi_ocr_layer,,,,,,not_found_in_public_cisi_ocr_layer,tier_6_no_public_route,no,no,No exact public CISI OCR route was found in the accessible India/Pakistan XML layer.,"Try CISI 3.1, HARP, museum/archive sources, or non-OCR page-range routing.","Visual route triage cannot validate source-normalized token order, physical direction, sign identity, meaning, phonetic value, language family, or translation.",No forger pass has been run on visual admissibility tiers. These tiers only select candidates for the next blind token-boxing/control packet; accepted claims remain zero.,0
2026-05-29,directionality_route_visual_triage_v1,32,M-1732,Mohenjo-daro,SEAL:S,+241-832-740-176+,2.381616,0,0,0,not_found_in_public_cisi_ocr_layer,,,,,,not_found_in_public_cisi_ocr_layer,tier_6_no_public_route,no,no,No exact public CISI OCR route was found in the accessible India/Pakistan XML layer.,"Try CISI 3.1, HARP, museum/archive sources, or non-OCR page-range routing.","Visual route triage cannot validate source-normalized token order, physical direction, sign identity, meaning, phonetic value, language family, or translation.",No forger pass has been run on visual admissibility tiers. These tiers only select candidates for the next blind token-boxing/control packet; accepted claims remain zero.,0
2026-05-29,directionality_route_visual_triage_v1,33,H-146,Harappa,SEAL:R,+154-806-467-031+,2.375492,0,0,0,not_found_in_public_cisi_ocr_layer,,,,,,not_found_in_public_cisi_ocr_layer,tier_6_no_public_route,no,no,No exact public CISI OCR route was found in the accessible India/Pakistan XML layer.,"Try CISI 3.1, HARP, museum/archive sources, or non-OCR page-range routing.","Visual route triage cannot validate source-normalized token order, physical direction, sign identity, meaning, phonetic value, language family, or translation.",No forger pass has been run on visual admissibility tiers. These tiers only select candidates for the next blind token-boxing/control packet; accepted claims remain zero.,0
2026-05-29,directionality_route_visual_triage_v1,34,M-171,Mohenjo-daro,SEAL:S,+407-061-740-923-233-806-060-692+,2.370567,2,1,1,public_cisi_plate_route_candidate,cisi_india,85,https://archive.org/download/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20India/page/n85_w2000.jpg,tmp/effective_unicity_directionality_public_route_probe/crops/34_M_171_cisi_india_n85_1_context_enhanced_x2.jpg,92af1d3ef3264cefc9ea293d60fbe43cb0688d379de5744383342103cc8eae18,not_yet_visual_reviewed,tier_4_plate_route_unreviewed,unreviewed,no,"Public OCR route exists, but this route was not manually visually triaged in this pass.",Manual visual source-panel review before any token-box packet.,"Visual route triage cannot validate source-normalized token order, physical direction, sign identity, meaning, phonetic value, language family, or translation.",No forger pass has been run on visual admissibility tiers. These tiers only select candidates for the next blind token-boxing/control packet; accepted claims remain zero.,0
2026-05-29,directionality_route_visual_triage_v1,35,M-567,Mohenjo-daro,TAB:C,+407-061-845-240-798+,2.363285,2,1,1,public_cisi_plate_route_candidate,cisi_india,34,https://archive.org/download/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20India/page/n34_w2000.jpg,tmp/effective_unicity_directionality_public_route_probe/crops/35_M_567_cisi_india_n34_1_context_enhanced_x2.jpg,03ae5a4c714a01b80d74cba56c3130934338232d0276fb2d718f86108f4ffb5c,not_yet_visual_reviewed,tier_4_plate_route_unreviewed,unreviewed,no,"Public OCR route exists, but this route was not manually visually triaged in this pass.",Manual visual source-panel review before any token-box packet.,"Visual route triage cannot validate source-normalized token order, physical direction, sign identity, meaning, phonetic value, language family, or translation.",No forger pass has been run on visual admissibility tiers. These tiers only select candidates for the next blind token-boxing/control packet; accepted claims remain zero.,0
