"priority","category","cisi","object_ids","text","y_after_002","y_terminal","site","type","condition","complete","material","shape","symbol","cult","direction","excavation_idno","area_section","block_house","room_grid","period","phase","depth","source_ocr_hit_count","mahadevan_hit_count","local_image_hit_count","local_image_hits","route_status","next_action"
"a_220_control_core_tail","non240_a_220_032","M-723","3147.1","+740-460-510-235-220-032-002-861+","861","True","Mohenjo-daro","SEAL:S","Fair","Y","Steatite","square","Bull1","-","R/L","DK1164954","DKG. (N)","16II","11-","Late","I","-4.6 ft","0","0","0","","local_source_reference_route","resolve local excavation/source reference to plate or archive image"
"a_220_control_core_tail","non240_a_220_032","M-91","2618.1","+740-100-798-220-032-002-861-255-416+","861","False","Mohenjo-daro","SEAL:S","Good","Y","Steatite","square","Bull1:S","SAN","R/L","DK6380429","DKG. (S)","9VII","17-","Intermediate","I","-12.0 ft","0","0","0","","local_source_reference_route","resolve local excavation/source reference to plate or archive image"
"outside_core_tail_control","outside_a_220_x_032","C-60","69.1","+740-176-032-002-861+","861","True","Chanhu-daro","SEAL:S","Good","Y","Steatite","square","Bull1:W","SAN","R/L","CH 2605Pl. LII:24","--","--","loc. 159sq; 6/F","-","-","+8.4 ft","0","0","0","","chanhu_daro_plate_route","acquire/check Chanhu-daro plate reference and crop exact panel"
"outside_core_tail_control","outside_a_220_x_032","H-140","1181.1","+740-384-032-002-817+","817","True","Harappa","SEAL:R","Fine","Y","Steatite","cuboid-convex","None","None","R/L","4058268","FGranery","--","-K8/5","-","Stratum I","-3.0 ft","0","0","0","","source_route_needed","direct CISI/HARP/archive request"
"outside_core_tail_control","outside_a_220_x_032","H-597","1540.1;1540.2","+740-390-590-070-032-002-861+","861","True","Harappa","SEAL:S","Fair","Y","Steatite","square","Bull1:J","SAN","R/L","2540075","FGranery","--","-J9/23","-","Stratum IV","-12.0 ft","2","0","0","","source_volume_ocr_hit","locate source-volume page image, crop panel, record label and side"
"outside_core_tail_control","outside_a_220_x_032","M-1045","3422.1","+740-100-415-070-032-002-820-000+","820","False","Mohenjo-daro","SEAL:S","Poor","N","Steatite","square","-","-","R/L","DK6792447","DKG. (S)","7I","15-","Intermediate","II","-13.3 ft","0","0","0","","local_source_reference_route","resolve local excavation/source reference to plate or archive image"
"outside_core_tail_control","outside_a_220_x_032","M-1677","2236.1","+520-382-032-002-820-001-440-012+","820","False","Mohenjo-daro","SEAL:S","Fair","Y","Steatite","square","Bull1:W","-","R/L","DK11358130","DKG. (N)","25I","6-","Late","II","-6.7 ft","0","0","0","","local_source_reference_route","resolve local excavation/source reference to plate or archive image"
"outside_core_tail_control","outside_a_220_x_032","M-1737","2229.1","+740-760-072-921-032-002-820+","820","True","Mohenjo-daro","SEAL:S","Good","Y","Steatite","square","Bull1:W","SAN","R/L","DK1097456","DKG. (N)","22-","3-","Late","I","-4.7 ft","0","0","0","","local_source_reference_route","resolve local excavation/source reference to plate or archive image"
"outside_core_tail_control","outside_a_220_x_032","M-21","2549.1","+350-001-740-362-692-032-002-861+","861","True","Mohenjo-daro","SEAL:S","Good","Y","Steatite","square","Bull1:W","SAN","R/L","DK7945103","DKG. (S)","9VIII","21-","Late","II","-6.1 ft","8","0","0","","source_volume_ocr_hit","locate source-volume page image, crop panel, record label and side"
"outside_core_tail_control","outside_a_220_x_032","M-1385","3681.1;3681.3","+740-760-032-002-817+","817","True","Mohenjo-daro","TAG:P","Poor","Y","Clay","circular","Bull1","-","R/L","-","--","--","--","-","-","- -","10","0","0","","source_volume_ocr_hit","locate source-volume page image, crop panel, record label and side"
"target_read_first","target_240_220_032","C-65","62.1","+000-100-240-220-032-002-861+","861","True","Chanhu-daro","SEAL:S","Good","N","Steatite","square","Bull1:W","SAF","R/L","CH 2428Pl. LII:19","--","--","loc. 286sq. 9/D","-","-","+9.7 ft","0","0","0","","chanhu_daro_plate_route","acquire/check Chanhu-daro plate reference and crop exact panel"
"target_read_first","target_240_220_032","M-1728","2417.1","+161-055-240-220-032-002-820+","820","True","Mohenjo-daro","SEAL:S","Good","Y","Steatite","square","Bull1:W","SAN","R/L","DK-E 1585079","DKE","Trench EI","11012/1078","-","-","-3.0 ft","0","0","0","","local_source_reference_route","resolve local excavation/source reference to plate or archive image"
"target_read_first","target_240_220_032","M-240","2763.1","+520-240-220-032-002-861-603+","861","False","Mohenjo-daro","SEAL:S","Good","Y","Steatite","square","Gaur","Trough","R/L","HR 4098324","HRB","5XXIX","37-","-","-","-6.0 ft","0","0","0","","local_source_reference_route","resolve local excavation/source reference to plate or archive image"
"target_read_first","target_240_220_032","M-49","2577.1","+527-550-240-220-032-002-300-350-032-190+","300","False","Mohenjo-daro","SEAL:S","Poor","Y","Steatite","square","Bull1:W","SAN","R/L","VS 3414047","VS-","Street-","--","-","-","-6.0 ft","12","0","0","","source_volume_ocr_hit","locate source-volume page image, crop panel, record label and side"
"target_read_first","target_240_220_032","M-722","3146.1","+740-585-240-220-032-002-817+","817","True","Mohenjo-daro","SEAL:S","Poor","Y","Steatite","square","Bull1","-","R/L","DK-C 315014","DKC","9-","91460/0560","-","-","-3.0 ft","2","0","0","","source_volume_ocr_hit","locate source-volume page image, crop panel, record label and side"
