object,site,region,type,material,shape,symbol,condition,complete,constraint_statuses,text
H-1402,Harappa,Inter-Riverine,POT:T:g,Clay,NA,NA,Poor,Y,740_before_820:pass,+740-798-820+
H-1058,Harappa,Inter-Riverine,SEAL,Steatite,NA,NA,Poor,N,740_before_002:pass,]740-019-002-000[
H-874,Harappa,Inter-Riverine,TAB:B,Clay,cylindrical,NA,Good,Y,400_before_740:pass,+400-740-455+
-:298.1,Harappa,Inter-Riverine,TAB:I,Steatite,prism,Bult,Poor,N,400_before_740:pass,+400-740-000-000+
H-1043,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Poor,Y,002_before_861:pass,+151-760-220-003-002-861+
H-1192,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,NA,Fair,Y,400_before_740:pass,+400-740-767-220-416+
H-1449,Harappa,Inter-Riverine,POT:T:g,Clay,NA,NA,Poor,?,002_before_861:pass,]002-861+
-:338.1,Harappa,Inter-Riverine,POT:T:g,Clay,NA,NA,Poor,?,400_before_740:fail,+740-066-090-400[
H-811,Harappa,Inter-Riverine,TAB:B,Faience,twisted rectangular,NA,Fair,Y,740_before_002:pass,+317-740-335-740-176-002-920-491+
H-1800,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,NA,Poor,N,400_before_740:pass,+400-740-390-000[
H-1929,Harappa,Inter-Riverine,TAB:B,Faience,prism,Bull2,Fair,Y,400_before_740:pass,+400-740-061-140+
M-984,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1,Poor,Y,002_before_817:pass,+390-004-002-817+
H-2015,Harappa,Inter-Riverine,TAB:B,Clay,rectangular-round,NA,Poor,Y,002_before_817:pass,+520-033-705-235-832-002-817+
H-251,Harappa,Inter-Riverine,TAB:B,Faience,prism,Gaur,Fair,Y,400_before_740:pass,+400-740-100-240+
H-1942,Harappa,Inter-Riverine,TAB:B,Faience,prism,Bult,Good,Y,002_before_861:pass,+405-035-002-861+
H-1897,Harappa,Inter-Riverine,TAB:B,Faience,isosceles trapezoid,NA,Good,Y,400_before_740:pass,+400-740-904-240+
H-1865,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,NA,Fair,N,740_before_002:pass,+740-702-061-002-000+
M-1914,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Elep,Poor,N,002_before_817:pass,]000-832-002-817+
H-1832,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,NA,Fair,Y,400_before_740:pass,+400-297-352-892-590-740-176+
H-1984,Harappa,Inter-Riverine,TAB:B,Clay,rectangular,NA,Poor,?,400_before_740:pass,+400-740-798-463[
H-1997,Harappa,Inter-Riverine,TAB:B,Faience,unusual,Mult,Good,Y,400_before_740:pass,+400-740-176-235+
H-178,Harappa,Inter-Riverine,TAB:B,Clay,cylindrical,Anth,Fair,Y,400_before_740:pass,+400-740-717+
H-1967,Harappa,Inter-Riverine,TAB:B,Clay,rectangular,Mult,Poor,Y,002_before_820:pass,+382-760-382-002-820+
H-1778,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,Gavi,Fair,Y,740_before_817:pass,+740-817-491+
H-1940,Harappa,Inter-Riverine,TAB:B,Faience,prism,Bult,Good,Y,400_before_740:pass,+400-740-067-100+
H-1882,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,NA,Fair,Y,002_before_820:pass,+002-820+
H-910,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,NA,Poor,Y,002_before_861:pass,+002-861-416+
H-1850,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,NA,Fair,Y,400_before_740:pass,+400-740-760-382+
H-2184,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular-round,NA,Fair,Y,400_before_740:pass,+400-740-032-015+
H-742,Harappa,Inter-Riverine,TAB:B,Faience,cylindrical,NA,Good,Y,400_before_740:pass,+400-740-100-176-175+
H-1836,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,NA,Poor,N,400_before_740:pass,+400-740-000-792+
H-1862,Harappa,Inter-Riverine,TAB:B,NA,rectangular,NA,Fair,Y,400_before_740:pass,+700-033-400-740-388+
H-1932,Harappa,Inter-Riverine,TAB:B,NA,prism,Gavi,Poor,N,400_before_740:pass,+400-740-000-832-000+
H-1114,Harappa,Inter-Riverine,TAB:B,NA,rectangular,NA,Fair,Y,400_before_740:pass,+400-740-405-590-235-806+
H-507,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1,Poor,N,002_before_820:pass,]000-032-002-820+
H-1671,Harappa,Inter-Riverine,SEAL:S,NA,square,Bull1:S,Good,Y,740_before_002:pass,+740-061-002-455-420-032+
H-984,Harappa,Inter-Riverine,TAB:I,Steatite,prism,Bult,Poor,?,400_before_740:pass,+400-740-637[
H-1692,Harappa,Inter-Riverine,SEAL:S,Steatite,square,NA,Poor,Y,740_before_002:pass;740_before_861:pass;002_before_861:pass,+740-390-590-002-861+
-:543.1,Harappa,Inter-Riverine,POT:T:g,Clay,NA,NA,Poor,N,002_before_861:pass,+000-480-003-064-002-003-861+
H-967,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular-round,NA,Good,Y,400_before_740:pass,+400-740-032-028+
H-1931,Harappa,Inter-Riverine,TAB:B,Faience,prism,Gavi,Good,Y,400_before_740:pass,+400-740-176-791+
H-917,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,NA,Fair,Y,400_before_740:pass,+400-740-032-027+
H-1822,Harappa,Inter-Riverine,TAB:B,Faience,cuboid,NA,Fair,Y,400_before_740:pass,+400-740-176-519+
H-1906,Harappa,Inter-Riverine,TAB:B,Faience,heart,NA,Fair,Y,400_before_740:pass,+400-090-740-400-090+
H-1939,Harappa,Inter-Riverine,TAB:B,Faience,prism,Bult,Fair,Y,400_before_740:pass,+400-740-141+
H-1923,Harappa,Inter-Riverine,TAB:B,Faience,circular,NA,Good,Y,400_before_740:pass,+400-740-032-840+
H-248,Harappa,Inter-Riverine,TAB:B,Faience,circular,NA,Good,Y,400_before_740:pass,+400-740-920-320-233-240-798+
H-1306,Harappa,Inter-Riverine,TAB:I,NA,oval,NA,Fair,?,400_before_740:pass,+400-740[
H-2197,Harappa,Inter-Riverine,TAB:I,Steatite,circular,NA,Fair,Y,400_before_740:pass,+400-090-740-100-390-231+
H-2022,Harappa,Inter-Riverine,TAB:B,Clay,prism,Phyt,Fair,Y,740_before_002:pass;740_before_861:pass;002_before_861:pass,+740-752-175-002-861+
H-1864,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,NA,Fair,Y,740_before_002:pass;740_before_817:pass;002_before_817:pass,+740-142-062-002-817+
H-2005,Harappa,Inter-Riverine,TAB:B,Clay,twisted rectangular,Phyt,Poor,N,740_before_861:pass,+740-752-175-000-861+
H-2338,Harappa,Inter-Riverine,POT:T:g,Clay,NA,NA,Poor,N,740_before_002:pass,]740-061-002-575-000[
H-2334,Harappa,Inter-Riverine,POT:T:g,Clay,NA,NA,Poor,N,400_before_740:fail,+090-740-400-000-000[
-:617.1,Harappa,Inter-Riverine,POT:T:g,Clay,NA,NA,Poor,N,740_before_002:pass,]740-000-000-002-575-000[
H-1662,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Poor,Y,740_before_002:pass,+033-033/740-142-061-140-002-546+
M-1806,Mohenjo-daro,Lower Indus,SEAL:S,NA,square,Bull1:S,Fair,Y,002_before_820:pass,+390-003-002-820+
H-2209,Harappa,Inter-Riverine,TAB:I,Steatite,prism,Fish,Fair,Y,400_before_740:pass,+400-740-032-025+
H-2108,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,NA,Fair,Y,400_before_740:pass,+400-740-032-014+
H-1823,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,NA,Fair,Y,400_before_740:pass,+400-740-798-365-415-001+
H-1849,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,NA,Poor,?,400_before_740:pass,+400-740-636[
H-1863,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,NA,Poor,Y,400_before_740:pass,+400-740-388+
H-1672,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Poor,Y,400_before_740:fail,+740-400-142-061-033+
H-850,Harappa,Inter-Riverine,TAB:B,Faience,prism,Fish,Poor,Y,400_before_740:pass,+400-740-892-617+
H-833,Harappa,Inter-Riverine,TAB:B,Faience,circular,NA,Good,Y,002_before_820:pass,+526-554-002-820+
H-1131,Harappa,Inter-Riverine,TAB:B,NA,twisted rectangular,NA,Poor,Y,740_before_002:pass;740_before_861:pass;002_before_861:pass,+740-482-240-002-861+
H-174,Harappa,Inter-Riverine,TAB:B,Clay,cylindrical,Gavi,Fair,Y,400_before_740:pass,+400-740-017-503+
H-1670,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:J,Good,Y,740_before_002:pass,+740-760-033-033-240-002-824+
H-710,Harappa,Inter-Riverine,TAB:B,Clay,cylindrical,Gavi,Poor,Y,400_before_740:pass,+400-740-016-503+
H-1993,Harappa,Inter-Riverine,TAB:B,Clay,rectangular,NA,Poor,N,740_before_002:pass,+740-000-220-004-002-390-095+
H-2201,Harappa,Inter-Riverine,TAB:I,Steatite,prism,Fish,Poor,Y,400_before_740:pass,+400-740-176-240+
H-2183,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular-round,NA,Poor,Y,400_before_740:pass,+400-740-575-017-798+
H-1930,Harappa,Inter-Riverine,TAB:B,Faience,prism,Gavi,Fair,Y,002_before_861:pass;002_before_817:fail,+408-817-920-002-861+
H-705,Harappa,Inter-Riverine,TAB:B,Clay,rectangular,Gavi,Poor,Y,400_before_740:pass,+712-840-400-740-440+
H-2103,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,NA,Poor,?,400_before_740:fail,]740-400-142+
M-1063,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,NA,Poor,Y,002_before_861:pass,+407-004-002-861+
H-1961,Harappa,Inter-Riverine,TAB:B,Clay,square,Gavi,Poor,Y,400_before_740:pass,+400-740-440+
H-2585,Harappa,Inter-Riverine,TAB:I,NA,rectangular,NA,Poor,Y,400_before_740:pass,+400-740-032+
H-900,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,NA,Poor,Y,400_before_740:pass;740_before_817:pass,+400-740-817-491+
H-1788,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,NA,Poor,Y,002_before_861:pass;806_before_002:pass,+154-806-470-002-861+
H-2189,Harappa,Inter-Riverine,TAB:B,Steatite,heart,NA,Fair,Y,400_before_740:pass,+400-740-152-240+
H-188,Harappa,Inter-Riverine,TAB:B,Clay,rectangular,Phyt,Good,Y,400_before_740:pass,+400-090-740-100-415+
H-2109,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,NA,Poor,Y,400_before_740:pass,+400-740-681+
H-2070,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,NA,Fair,Y,400_before_740:pass;740_before_817:pass,+400-740-817-276+
H-2093,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,NA,Poor,?,740_before_820:fail,]820-740[
H-1945,Harappa,Inter-Riverine,TAB:B,Faience,prism,Fish,Poor,Y,400_before_740:pass,+400-740-388-717-705+
M-879,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Good,Y,400_before_740:fail,+740-400-142-061+
H-1667,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Poor,Y,740_before_002:pass;740_before_817:pass;002_before_817:pass,+740-540-002-817+
H-1966,Harappa,Inter-Riverine,TAB:B,Clay,rectangular,Gaur,Good,Y,002_before_861:pass,+520-233-049-002-861+
H-1726,Harappa,Inter-Riverine,POT:T:s,Clay,rectangular,NA,Poor,Y,740_before_002:pass;740_before_817:pass;002_before_817:pass,+740-100-692-491-002-817+
H-1791,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,NA,Poor,?,400_before_740:pass,+400-740-100[
H-1657,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Good,Y,740_before_002:pass;806_before_002:pass,+740-405-590-032-900-003-806-235-220-032-002-690-921+
H-1774,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,Scene,Good,Y,400_before_740:pass,+400-740-335-482-175+
H-1851,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,NA,Good,Y,740_before_002:pass;740_before_861:pass;002_before_861:pass,+740-803-892-031-002-861+
H-1739,Harappa,Inter-Riverine,POT:T:s,Clay,rectangular,NA,Poor,?,002_before_817:pass,]034-002-817[
H-1182,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,NA,Poor,Y,400_before_740:pass;740_before_817:pass,+400-740-817-175+
H-1050,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Poor,Y,002_before_817:pass,+804-235-002-817+
H-3,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Good,Y,740_before_002:pass,+740-585-017-002-611-615-703+
H-8,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Fair,Y,740_before_002:pass,+354-001-740-405-590-033-706-002-690-921+
H-12,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Good,Y,740_before_002:pass;740_before_817:pass;002_before_817:pass,+740-690-435-255-803-220-240-235-002-817+
H-13,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Good,Y,740_before_002:pass;740_before_817:pass;002_before_817:pass,+740-760-615-503-002-817+
M-110,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Poor,N,002_before_817:pass,+000-000-002-817+
H-18,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Poor,N,002_before_820:pass,]000-220-032-002-820+
H-21,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Poor,Y,002_before_817:pass;806_before_002:pass,+405-061-527-555-233-235-806-002-817+
H-22,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Fine,Y,740_before_002:pass;806_before_002:pass,+740-920-320-233-806-002-405-321+
H-26,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Good,Y,740_before_820:pass,+740-388-231-240-798-001-820+
H-31,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Poor,N,740_before_002:pass,+740-100-415-240-002-365-374-000+
H-42,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:J,Poor,Y,740_before_002:pass;740_before_817:pass;002_before_817:pass,+740-380-235-002-817+
H-45,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Poor,Y,740_before_002:pass;740_before_820:pass;002_before_820:pass,+090-740-101-002-820+
H-51,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Fair,Y,740_before_002:pass;740_before_861:pass;002_before_861:pass,+740-643-240-002-861+
H-55,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:X,Fair,Y,002_before_861:pass,+390-004-002-861-125+
H-60,Harappa,Inter-Riverine,SEAL:S,NA,square,Bull1:II,Poor,Y,740_before_002:pass;740_before_820:pass;002_before_820:pass,+621-740-900-003/002-820+
H-68,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:I,Fair,Y,740_before_002:pass,+090-740-220-003-002-390-072+
H-816,Harappa,Inter-Riverine,TAB:B,Faience,hexagonal,NA,Fair,Y,400_before_740:pass,+400-740-390-590+
H-78,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Gaur,Poor,N,806_before_002:pass,]000-806-002-575-000+
H-85,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Zebu,Poor,Y,002_before_817:pass,+520-219-002-817+
H-88,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Rhin,Fine,Y,740_before_820:pass,+740-032-840-820+
H-102,Harappa,Inter-Riverine,SEAL:S,NA,square,Bull1:W,Good,Y,740_before_861:pass,+740-630-240-741-861+
H-129,Harappa,Inter-Riverine,SEAL:R,Steatite,cuboid-convex,NA,Good,Y,740_before_002:pass;740_before_861:pass;002_before_861:pass,+409-061-740-235-220-031-002-861-244-165+
H-130,Harappa,Inter-Riverine,SEAL:R,NA,rectangular,NA,Fair,Y,806_before_002:pass,+409-032-845-033-705-231-806-002-595-812-125-717+
H-131,Harappa,Inter-Riverine,SEAL:R,Steatite,cuboid-convex,NA,Poor,N,740_before_002:pass,+740-032-840-233-240-033-706-055-002-595-575-794-000+
H-132,Harappa,Inter-Riverine,SEAL:R,NA,rectangular,NA,Fine,Y,407_before_806:fail,+154-806-471-407-845-740-233-231-798+
H-134,Harappa,Inter-Riverine,SEAL:R,Steatite,cuboid-convex,NA,Good,Y,740_before_002:pass;740_before_861:pass;002_before_861:pass,+740-405-590-220-003-002-861+
H-135,Harappa,Inter-Riverine,SEAL:R,Steatite,cuboid-convex,NA,Fine,Y,740_before_002:pass;740_before_861:pass;002_before_861:pass;806_before_002:pass,+740-773-231-806-002-861+
H-137,Harappa,Inter-Riverine,SEAL:R,NA,rectangular,NA,Good,Y,740_before_002:pass;740_before_817:pass;002_before_817:pass,+740-443-388-033-705-233-002-817+
H-140,Harappa,Inter-Riverine,SEAL:R,Steatite,cuboid-convex,NA,Fine,Y,740_before_002:pass;740_before_817:pass;002_before_817:pass,+740-384-032-002-817+
H-149,Harappa,Inter-Riverine,SEAL:R,Steatite,cuboid-convex,NA,Poor,Y,002_before_820:pass,+405-061-033-706-794-630-220-002-820+
H-155,Harappa,Inter-Riverine,SEAL:R,Steatite,cuboid-convex,NA,Good,Y,740_before_861:pass,+740-176-001-367-861-216+
H-164,Harappa,Inter-Riverine,SEAL:R,Steatite,rectangular,NA,Poor,Y,002_before_817:pass,+161-097-002-817+
H-177,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,Scene,Fair,Y,002_before_817:pass,+700-033-151-706-031-002-817+
H-187,Harappa,Inter-Riverine,TAB:B,NA,cylindrical,Phyt,Good,Y,400_before_740:pass,+400-740-463-495+
M-469,Mohenjo-daro,Lower Indus,TAB:B,Faience,rectangular,Xhch,Fair,Y,400_before_740:pass,+400-740-220-415-798+
H-755,Harappa,Inter-Riverine,TAB:B,NA,rectangular,NA,Poor,?,400_before_740:pass,+400-740-405-590[
H-211,Harappa,Inter-Riverine,TAB:B,NA,rectangular,NA,Poor,Y,400_before_740:pass,+400-740-898-617+
H-231,Harappa,Inter-Riverine,TAB:B,Faience,elliptical,NA,Fair,Y,002_before_820:pass,+520-220-240-002-820+
H-232,Harappa,Inter-Riverine,TAB:B,Faience,notched oval,NA,Fair,Y,400_before_740:pass,+400-740-177-519+
H-242,Harappa,Inter-Riverine,TAB:B,Faience,circular,Scene,Poor,N,400_before_740:pass,+400-740-392-000-000-000-000-255-000+
H-244,Harappa,Inter-Riverine,TAB:B,Faience,circular,NA,Fair,Y,002_before_820:pass,+104-002-820+
H-245,Harappa,Inter-Riverine,TAB:B,Faience,circular,NA,Fair,Y,400_before_740:pass,+400-807-740-219+
H-247,Harappa,Inter-Riverine,TAB:B,Faience,circular,NA,Poor,N,400_before_740:pass,+400-740-335-000+
H-268,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:W,Poor,Y,740_before_002:pass,+740-585-017-033-706-803-002-220-455-920+
H-272,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1,Poor,Y,740_before_002:pass,+740-585-017-240-002-305-032-904+
H-273,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1,Poor,N,002_before_820:pass,]000-240-002-820+
H-285,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,NA,Poor,?,740_before_002:pass,+740-382-002[
H-291,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,NA,Good,N,400_before_740:pass,+400-740-927-000-235+
H-296,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,NA,Poor,Y,400_before_740:pass,+400-740-575-017-920+
H-1178,Harappa,Inter-Riverine,TAB:I,NA,rectangular,NA,Fair,Y,400_before_740:pass,+400-740-636-240+
K-63,Kalibangan,Inter-Riverine,SEAL:R,Steatite,cuboid,NA,Fair,Y,400_before_740:pass,+400-740-776-495+
H-988,Harappa,Inter-Riverine,TAB:I,Steatite,cuboid,Bult,Poor,Y,400_before_740:pass,+400-740-636-240-031-032-171+
H-302,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,NA,Good,Y,400_before_740:pass,+400-760-740-220-416+
H-959,Harappa,Inter-Riverine,TAB:I,Steatite,oval,NA,Fair,Y,400_before_740:pass,+400-740-178+
H-892,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,NA,Fair,Y,400_before_740:pass,+400-740-336-176+
H-343,Harappa,Inter-Riverine,TAB:I,Steatite,circular,NA,Fair,Y,740_before_861:pass,+740-861-877+
H-351,Harappa,Inter-Riverine,TAB:I,Steatite,prism,X,Good,Y,400_before_740:pass,+400-740-032-060-013+
H-383,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:Q,Poor,N,740_before_002:pass,+740-585-017-033-705-002-000+
H-388,Harappa,Inter-Riverine,SEAL:S,NA,square,Bull1:W,Good,Y,002_before_817:pass;806_before_002:pass,+520-033-706-231-806-002-817+
