tail_after_002_861,rows,register_cells,linguistic_weight_cells,tail_len,source_visible_rows,source_pending_target_rows,site_counts,type_counts,symbol_counts,shape_counts,class_counts,prefix_last2_counts,tail_ecology_class,occurs_anywhere,independent_occurrences,independent_registers,independent_examples,examples
125,1,1,1,1,0,0,Harappa:1,SEAL:S:1,Bull1:X:1,square:1,IM:1,390 004:1,singleton_simple_tail_source_target,50,49,Mohenjo-daro|SEAL:S|Bull1:W|square:7;Mohenjo-daro|SEAL:S|Bull1:S|square:4;Harappa|SEAL:S|Bull1:W|square:3;Harappa|TAB:B|None|circular:2;Harappa|SEAL:R|None|rectangular:2;Harappa|SEAL:S|Bull1:J|square:2;Harappa|TAB:I|None|rectangular:2;Mohenjo-daro|SEAL:S|Bull1:L|square:2,Ad-2 +368-390-125-033+;Blk-1 +226-003-002-297-350-125-413+;C-74 +125-002-861+;H-1921 +125-700-033+;H-1946 +700-125+;H-1710 +090-326-700-920-125-001-055-920-140+;H-10 +820-302-596-018-125-381+;H-11 +000-125-204+,H-55 +390-004-002-861-125+
216,1,1,1,1,0,0,Harappa:1,SEAL:S:1,Bull1:J:1,square:1,SP:1,585 798:1,singleton_simple_tail_source_target,4,3,Harappa|SEAL:R|None|cuboid-convex:1;Kalibangan|SEAL:S|Bull1:J|square:1;Mohenjo-daro|SEAL:S|Bull1:W|square:1,H-155 +740-176-001-367-861-216+;K-20 +151-216+;M-636 +527-555-235-220-032-002-000-216+,H-446 +740-585-798-002-861-216+
244 165,1,1,1,2,0,0,Harappa:1,SEAL:R:1,None:1,cuboid-convex:1,LP:1,220 031:1,singleton_complex_tail_source_target,1,0,,,H-129 +409-061-740-235-220-031-002-861-244-165+
255 416,1,1,1,2,0,0,Mohenjo-daro:1,SEAL:S:1,Bull1:S:1,square:1,LP:1,220 032:1,singleton_complex_tail_source_target,1,0,,,M-91 +740-100-798-220-032-002-861-255-416+
360 520 919 140,1,1,1,4,1,0,Mohenjo-daro:1,SEAL:R:1,None:1,cuboid-convex:1,LP:1,231 235:1,singleton_complex_tail_source_target,1,0,,,M-355 +740-877-032-033-705-231-235-002-861-360-520-919-140+
392,1,1,1,1,0,0,Lothal:1,SEAL:S:1,Gaur:1,square:1,LC:1,740 176:1,singleton_simple_tail_source_target,6,5,Harappa|TAB:B|Scene|circular:1;Lohumjo-daro|SEAL:S|Bull1:S|square:1;Salut|SEAL:S|Gaur|square:1;Dholavira|SEAL:S|-|square:1;Shikarpur|POT:T:g|None|-:1,H-242 +400-740-392-000-000-000-000-255-000+;Lh-1 +740-760-615-104-717-235-002-392-590-125+;- +392-004-002-278-595+;- +400-392-631-000+;- +392-861+,L-46 +527-388-233-740-176-002-861-392+
626,1,1,1,1,0,0,Lothal:1,SEAL:S:1,Bull1:1,square:1,SC:1,520 315:1,singleton_simple_tail_source_target,5,4,Harappa|SEAL:S|Bull1:W|square:1;Harappa|SEAL:R|None|cuboid-convex:1;Mohenjo-daro|SEAL:R|None|cuboid-convex:1;Mohenjo-daro|SEAL:R|None|rectangular:1,H-24 +740-626-176-033-705-233+;H-666 +740-007-503-626-484+;M-390 +250-605-626-060-820+;M-1366 +740-483-803-626-061+,L-39 +520-315-002-861-626+
683,1,1,1,1,0,0,Mohenjo-daro:1,SEAL:S:1,Bull1:J:1,square:1,LP:1,222 231:1,singleton_simple_tail_source_target,2,1,Mohenjo-daro|SEAL:S|Gaur|square:1,M-241 +090-740-032-840-741-572-683+,M-1674 +090-740-222-231-002-861-683+
791 440 717,1,1,1,3,0,0,Kalibangan:1,SEAL:S:1,Elep:1,square:1,LC:1,760 031:1,singleton_complex_tail_source_target,1,0,,,K-40 +760-031-002-861-791-440-717+
803,1,1,1,1,0,0,Mohenjo-daro:1,SEAL:S:1,Bull1:W:1,square:1,LP:1,033 705:1,singleton_simple_tail_source_target,112,111,Mohenjo-daro|SEAL:S|Bull1:W|square:16;Harappa|TAB:B|Gavi|cylindrical:11;Mohenjo-daro|SEAL:S|Bull1:S|square:8;Harappa|SEAL:S|Bull1:W|square:6;Mohenjo-daro|SEAL:S|Bull1|square:5;Mohenjo-daro|SEAL:S|Gaur|square:5;Mohenjo-daro|SEAL:S|Bull1:I|square:4;Mohenjo-daro|SEAL:R|None|rectangular:4,B-19 +740-803+;C-67 +520-233-803-002-817+;C-4 +520-235-803-002-817+;C-8 +740-803-233-741-250-579+;C-9 +151-233-803-033-705-240+;C-34 +032-031-390-844-000-000-032-803-220+;- +740-407-590-690-436-255-920-318-220-415-803+;H-1027 +520-033-706-231-415-803+,M-1698 +740-482-033-705-002-861-803+
831 165,1,1,1,2,0,0,Harappa:1,SEAL:1,None:1,-:1,SP:1,520 233:1,singleton_complex_tail_source_target,2,1,Harappa|SEAL:S|Bull1:W|square:1,H-40 +740-798-235-001-368-831-165+,H-688 +520-233-002-861-831-165+
832,1,1,1,1,0,0,Mohenjo-daro:1,SEAL:S:1,Bull1:W:1,square:1,MS:1,740 798:1,singleton_simple_tail_source_target,30,29,Harappa|SEAL:R|None|cuboid-convex:2;Mohenjo-daro|SEAL:S|Bull1:W|square:2;Mohenjo-daro|SEAL:S|Bull1:J|square:2;Mohenjo-daro|SEAL:R|None|cuboid-convex:2;Dholavira|SEAL:R|None|rectangular:2;Harappa|TAB:B|None|rectangular-round:1;Harappa|TAB:B|Gavi|prism:1;Harappa|TAB:B|None|triangular:1,H-2015 +520-033-705-235-832-002-817+;H-1932 +400-740-000-832-000+;H-1916 +520-070-255-832+;H-2021 +740-752-070-255-832+;H-142 +740-267-811-832-060-692+;H-602 +832-904-001+;H-639 +407-000-000-705-832-904-845-235-002-717-747+;H-804 +000-740-832-000+,M-1681 +520-072-233-740-798-002-861-832+
901,1,1,1,1,0,0,Mohenjo-daro:1,SEAL:S:1,Bull1:L:1,square:1,LP:1,231 242:1,singleton_simple_tail_source_target,2,1,Mohenjo-daro|SEAL:R|None|rectangular:1,M-1316 +127-381-292-590-032-901-620+,M-677 +740-923-070-032-033-706-231-242-002-861-901+
