"id","cisi","site","type","material","condition","complete","text","signs","length","position_0","position_1","prev","next","frame","known_next","damaged_or_open","clean_closed","exact_triplet_whole_row","exact_triplet_formula","exact_triplet_by_prev_frame","source_hint_present","source_hint_count","source_hint_statuses","source_hint_reports"
"481.1","H-2148","Harappa","TAB:I","Steatite","Good","Y","+520-220-415+","520-220-415","3","1","2","520","415","520-220-415","true","false","true","true","520-220-415","true","false","0","",""
"485.1","H-1953","Harappa","TAB:B","Clay","Fair","Y","+700-032-220+","700-032-220","3","2","3","032","<END>","032-220-<END>","false","false","true","true","700-032-220","false","false","0","",""
"485.2","H-1953","Harappa","TAB:B","Clay","Fair","Y","+520-220-415-240-803+","520-220-415-240-803","5","1","2","520","415","520-220-415","true","false","true","false","","false","false","0","",""
"491.1","H-2127","Harappa","TAB:I","Steatite","Fair","Y","+455-590-142-220+","455-590-142-220","4","3","4","142","<END>","142-220-<END>","false","false","true","false","","false","false","0","",""
"517.1","H-1722","Harappa","TAG","-","Poor","N","+520-220-415-000[","520-220-415-000","4","1","2","520","415","520-220-415","true","true","false","false","","false","false","0","",""
"517.2","H-1722","Harappa","TAG","-","Poor","N","]000-220[","000-220","2","1","2","000","<END>","000-220-<END>","false","true","false","false","","false","false","0","",""
"538.1","H-2343","Harappa","POT:T:g","Clay","Poor","N","]220-032-176-000+","220-032-176-000","4","0","1","<START>","032","<START>-220-032","true","true","false","false","","false","false","0","",""
"553.2","-","Harappa","TAB:B","Faience","Poor","Y","+220+","220","1","0","1","<START>","<END>","<START>-220-<END>","false","false","true","false","","false","false","0","",""
"568.1","H-1777","Harappa","TAB:B","Faience","Poor","?","]220+","220","1","0","1","<START>","<END>","<START>-220-<END>","false","true","false","false","","false","false","0","",""
"576.1","H-1685","Harappa","SEAL:S","-","Poor","N","+090-740-220-000-000-000-000+","090-740-220-000-000-000-000","7","2","3","740","000","740-220-000","true","false","true","false","","false","false","0","",""
"586.1","H-2194","Harappa","TAB:I","Steatite","Poor","?","+590-032-220[","590-032-220","3","2","3","032","<END>","032-220-<END>","false","true","false","false","","false","false","0","",""
"589.1","H-2128","Harappa","TAB:I","Steatite","Good","Y","+455-590-142-220+","455-590-142-220","4","3","4","142","<END>","142-220-<END>","false","false","true","false","","false","false","0","",""
"595.1","H-1892","Harappa","TAB:B","Faience","Poor","N","+220-000-700+","220-000-700","3","0","1","<START>","000","<START>-220-000","true","false","true","true","220-000-700","false","false","0","",""
"632.1","H-2193","Harappa","TAB:I","Steatite","Poor","Y","+590-032-220+","590-032-220","3","2","3","032","<END>","032-220-<END>","false","false","true","true","590-032-220","false","false","0","",""
"653.1","H-1813","Harappa","TAB:B","Faience","Fair","Y","+400-525-550-033-705-220+","400-525-550-033-705-220","6","5","6","705","<END>","705-220-<END>","false","false","true","false","","false","false","0","",""
"673.2","H-2147","Harappa","TAB:I","Steatite","Poor","?","]220-415+","220-415","2","0","1","<START>","415","<START>-220-415","true","true","false","false","","false","false","0","",""
"707.1","H-2336","Harappa","POT:T:g","Clay","Poor","?","+740-463-495-220[","740-463-495-220","4","3","4","495","<END>","495-220-<END>","false","true","false","false","","false","false","0","",""
"715.1","H-1734","Harappa","POT:T:s","Clay","Poor","Y","+016-220-382+","016-220-382","3","1","2","016","382","016-220-382","true","false","true","true","016-220-382","true","false","0","",""
"729.1","H-2010","Harappa","TAB:B","Faience","Fair","Y","+740-176-220-235+","740-176-220-235","4","2","3","176","235","176-220-235","true","false","true","false","","false","false","0","",""
"739.1","H-1687","Harappa","SEAL:S","Steatite","Poor","?","+520-220[","520-220","2","1","2","520","<END>","520-220-<END>","false","true","false","false","","false","false","0","",""
"741.1","H-1690","Harappa","SEAL:S","Steatite","Poor","N","]000-741-615-440-220+","000-741-615-440-220","5","4","5","440","<END>","440-220-<END>","false","true","false","false","","false","false","0","",""
"744.2","H-1993","Harappa","TAB:B","Clay","Poor","N","+740-000-220-004-002-390-095+","740-000-220-004-002-390-095","7","2","3","000","004","000-220-004","true","false","true","false","","false","false","0","",""
"751.2","H-1872","Harappa","TAB:B","Faience","Good","Y","+400-236-220+","400-236-220","3","2","3","236","<END>","236-220-<END>","false","false","true","true","400-236-220","false","false","0","",""
"770.2","H-2150","Harappa","TAB:I","Steatite","Poor","?","]220-415+","220-415","2","0","1","<START>","415","<START>-220-415","true","true","false","false","","false","false","0","",""
"795.2","H-2080","Harappa","TAB:I","Steatite","Poor","?","]220-760[","220-760","2","0","1","<START>","760","<START>-220-760","true","true","false","false","","false","false","0","",""
"816.1","H-2240","Harappa","TAB:I","Steatite","Good","Y","+520-220-415+","520-220-415","3","1","2","520","415","520-220-415","true","false","true","true","520-220-415","true","true","6","acquisition_request_sent;exact_local_recurrence_source_dark;local_stress_matrix_defined;prior_work_control_set_preserved;source_dark_in_checked_layer;source_normalization_pending","data/open_prototype/reports/h942_h2240_h2241_source_normalization_gate.csv"
"824.2","H-1775","Harappa","TAB:B","Faience","Poor","N","+220-000-700-033+","220-000-700-033","4","0","1","<START>","000","<START>-220-000","true","false","true","false","","false","false","0","",""
"827.2","H-2145","Harappa","TAB:I","Steatite","Fair","Y","+074-220-415+","074-220-415","3","1","2","074","415","074-220-415","true","false","true","true","074-220-415","true","false","0","",""
"841.1","H-2146","Harappa","TAB:I","Steatite","Fair","Y","+520-220-415+","520-220-415","3","1","2","520","415","520-220-415","true","false","true","true","520-220-415","true","false","0","",""
"848.1","H-2149","Harappa","TAB:I","Steatite","Fair","Y","+520-220-415+","520-220-415","3","1","2","520","415","520-220-415","true","false","true","true","520-220-415","true","false","0","",""
"865.2","H-2152","Harappa","TAB:I","Steatite","Poor","?","]220-415+","220-415","2","0","1","<START>","415","<START>-220-415","true","true","false","false","","false","false","0","",""
"891.2","H-2195","Harappa","TAB:I","Steatite","Poor","N","]000-220+","000-220","2","1","2","000","<END>","000-220-<END>","false","true","false","false","","false","false","0","",""
"902.2","H-2020","Harappa","TAB:B","Clay","Poor","Y","+690-590-032-220+","690-590-032-220","4","3","4","032","<END>","032-220-<END>","false","false","true","false","","false","false","0","",""
"904.2","H-2019","Harappa","TAB:B","Clay","Good","Y","+690-590-032-220+","690-590-032-220","4","3","4","032","<END>","032-220-<END>","false","false","true","false","","false","false","0","",""
"913.1","H-1992","Harappa","TAB:B","Faience","Poor","Y","+520-220-415+","520-220-415","3","1","2","520","415","520-220-415","true","false","true","true","520-220-415","true","false","0","",""
"913.2","H-1992","Harappa","TAB:B","Faience","Poor","Y","+520-220-415+","520-220-415","3","1","2","520","415","520-220-415","true","false","true","true","520-220-415","true","false","0","",""
"920.1","H-1678","Harappa","SEAL:S","Steatite","Good","Y","+520-233-240-220-032+","520-233-240-220-032","5","3","4","240","032","240-220-032","true","false","true","false","","false","false","0","",""
"925.2","H-1838","Harappa","TAB:B","Faience","Poor","N","+220-000-000-000+","220-000-000-000","4","0","1","<START>","000","<START>-220-000","true","false","true","false","","false","false","0","",""
"927.2","H-1941","Harappa","TAB:B","Faience","Fair","Y","+400-236-220+","400-236-220","3","2","3","236","<END>","236-220-<END>","false","false","true","true","400-236-220","false","false","0","",""
"928.1","H-1837","Harappa","TAB:B","Faience","Poor","N","+220-000-700[","220-000-700","3","0","1","<START>","000","<START>-220-000","true","true","false","false","","false","false","0","",""
"937.1","H-2011","Harappa","TAB:B","Clay","Poor","Y","+740-176-220-235+","740-176-220-235","4","2","3","176","235","176-220-235","true","false","true","false","","false","false","0","",""
"947.2","H-1805","Harappa","TAB:B","Faience","Poor","N","]705-220-000[","705-220-000","3","1","2","705","000","705-220-000","true","true","false","false","","false","false","0","",""
"984.1","-","Harappa","POT:T:g","Clay","Poor","Y","+220+","220","1","0","1","<START>","<END>","<START>-220-<END>","false","false","true","false","","false","false","0","",""
"1017.1","H-1737","Harappa","POT:T:s","Clay","Poor","Y","+220-033+","220-033","2","0","1","<START>","033","<START>-220-033","true","false","true","false","","false","false","0","",""
"1019.2","H-2012","Harappa","TAB:B","Clay","Poor","?","]235-220+","235-220","2","1","2","235","<END>","235-220-<END>","false","true","false","false","","false","false","0","",""
"1020.1","H-1657","Harappa","SEAL:S","Steatite","Good","Y","+740-405-590-032-900-003-806-235-220-032-002-690-921+","740-405-590-032-900-003-806-235-220-032-002-690-921","13","8","9","235","032","235-220-032","true","false","true","false","","false","false","0","",""
"1025.2","H-2178","Harappa","TAB:I","Steatite","Poor","?","]220-415+","220-415","2","0","1","<START>","415","<START>-220-415","true","true","false","false","","false","false","0","",""
"1029.1","H-1738","Harappa","POT:T:s","Clay","Poor","?","+220[","220","1","0","1","<START>","<END>","<START>-220-<END>","false","true","false","false","","false","false","0","",""
"1032.1","H-1736","Harappa","POT:T:s","Clay","Poor","Y","+220-033+","220-033","2","0","1","<START>","033","<START>-220-033","true","false","true","false","","false","false","0","",""
"1065.1","H-4","Harappa","SEAL:S","Steatite","Fine","Y","+220-063-051+","220-063-051","3","0","1","<START>","063","<START>-220-063","true","false","true","true","220-063-051","false","false","0","",""
"1070.1","H-9","Harappa","SEAL:S","Steatite","Good","Y","+220-017+","220-017","2","0","1","<START>","017","<START>-220-017","true","false","true","false","","false","false","0","",""
"1073.1","H-12","Harappa","SEAL:S","Steatite","Good","Y","+740-690-435-255-803-220-240-235-002-817+","740-690-435-255-803-220-240-235-002-817","10","5","6","803","240","803-220-240","true","false","true","false","","false","false","0","",""
"1078.1","H-18","Harappa","SEAL:S","Steatite","Poor","N","]000-220-032-002-820+","000-220-032-002-820","5","1","2","000","032","000-220-032","true","true","false","false","","false","false","0","",""
"1080.1","H-20","Harappa","SEAL:S","Steatite","Fine","Y","+740-176-690-435-255-220-032-806-060-550+","740-176-690-435-255-220-032-806-060-550","10","5","6","255","032","255-220-032","true","false","true","false","","false","false","0","",""
"1094.1","H-35","Harappa","SEAL:S","-","Poor","N","+679-220-240-803-000[","679-220-240-803-000","5","1","2","679","240","679-220-240","true","true","false","false","","false","false","0","",""
"1095.1","H-36","Harappa","SEAL:S","Steatite","Good","Y","+740-798-220-742-146+","740-798-220-742-146","5","2","3","798","742","798-220-742","true","false","true","false","","false","false","0","",""
"1127.1","H-68","Harappa","SEAL:S","Steatite","Fair","Y","+090-740-220-003-002-390-072+","090-740-220-003-002-390-072","7","2","3","740","003","740-220-003","true","false","true","false","","false","false","0","",""
"1139.1","H-82","Harappa","SEAL:S","Steatite","Poor","Y","+390-017-002-220-455-741+","390-017-002-220-455-741","6","3","4","002","455","002-220-455","true","false","true","false","","false","false","0","",""
"1148.1","H-92","Harappa","SEAL:S","Steatite","Fair","Y","+156-176-518-220-416-002-615+","156-176-518-220-416-002-615","7","3","4","518","416","518-220-416","true","false","true","false","","false","false","0","",""
"1153.1","H-98","Harappa","SEAL:S","Steatite","Good","Y","+861-920/520-220-016+","861-920-520-220-016","5","3","4","520","016","520-220-016","true","false","true","false","","false","false","0","",""
"1159.1","H-1007","Harappa","POT:T:p","Clay","Poor","N","+220-000[","220-000","2","0","1","<START>","000","<START>-220-000","true","true","false","false","","false","false","0","",""
"1169.1","H-103","Harappa","SEAL:S","Steatite","Fair","Y","+159-097/520-033-705/740-717-220-415-806+","159-097-520-033-705-740-717-220-415-806","10","7","8","717","415","717-220-415","true","false","true","false","","false","false","0","",""
"1170.1","H-129","Harappa","SEAL:R","Steatite","Good","Y","+409-061-740-235-220-031-002-861-244-165+","409-061-740-235-220-031-002-861-244-165","10","4","5","235","031","235-220-031","true","false","true","false","","false","false","0","",""
"1174.1","H-133","Harappa","SEAL:R","Steatite","Fair","Y","+740-554-220-415-798-060-692+","740-554-220-415-798-060-692","7","2","3","554","415","554-220-415","true","false","true","false","","false","false","0","",""
"1175.1","H-134","Harappa","SEAL:R","Steatite","Good","Y","+740-405-590-220-003-002-861+","740-405-590-220-003-002-861","7","3","4","590","003","590-220-003","true","false","true","false","","false","false","0","",""
"1190.1","H-149","Harappa","SEAL:R","Steatite","Poor","Y","+405-061-033-706-794-630-220-002-820+","405-061-033-706-794-630-220-002-820","9","6","7","630","002","630-220-002","true","false","true","false","","false","false","0","",""
"1216.1","H-183","Harappa","TAB:B","-","Good","Y","+400-202-892-220-920+","400-202-892-220-920","5","3","4","892","920","892-220-920","true","false","true","false","","false","false","0","",""
"1217.1","H-184","Harappa","TAB:B","Steatite","Poor","Y","+400-202-892-220-920+","400-202-892-220-920","5","3","4","892","920","892-220-920","true","false","true","false","","false","false","0","",""
"1234.1","H-203","Harappa","TAB:B","Faience","Good","Y","+400-740-220-415-798+","400-740-220-415-798","5","2","3","740","415","740-220-415","true","false","true","false","","false","false","0","",""
"1258.1","H-231","Harappa","TAB:B","Faience","Fair","Y","+520-220-240-002-820+","520-220-240-002-820","5","1","2","520","240","520-220-240","true","false","true","false","","false","false","0","",""
"1293.1","H-268","Harappa","SEAL:S","Steatite","Poor","Y","+740-585-017-033-706-803-002-220-455-920+","740-585-017-033-706-803-002-220-455-920","10","7","8","002","455","002-220-455","true","false","true","false","","false","false","0","",""
"1294.1","H-270","Harappa","SEAL:S","Steatite","Fair","Y","+740-482-055-220-415-798-803-742-617+","740-482-055-220-415-798-803-742-617","9","3","4","055","415","055-220-415","true","false","true","false","","false","false","0","",""
"1300.1","H-278","Harappa","TAB:B","Steatite","Fair","Y","+740-407-590-690-436-255-920-318-220-415-803+","740-407-590-690-436-255-920-318-220-415-803","11","8","9","318","415","318-220-415","true","false","true","false","","false","false","0","",""
"1301.1","H-279","Harappa","TAB:B","Clay","Poor","Y","+740-407-590-690-436-255-920-318-220-415-803+","740-407-590-690-436-255-920-318-220-415-803","11","8","9","318","415","318-220-415","true","false","true","false","","false","false","0","",""
"1302.1","H-280","Harappa","TAB:B","Clay","Poor","Y","+740-407-590-690-436-255-920-318-220-415-803+","740-407-590-690-436-255-920-318-220-415-803","11","8","9","318","415","318-220-415","true","false","true","false","","false","false","0","",""
"1303.1","H-281","Harappa","TAB:B","Clay","Fair","Y","+740-407-590-690-436-255-920-318-220-415-803+","740-407-590-690-436-255-920-318-220-415-803","11","8","9","318","415","318-220-415","true","false","true","false","","false","false","0","",""
"1304.1","H-282","Harappa","TAB:B","-","Fair","Y","+740-407-590-690-436-255-920-318-220-415-803+","740-407-590-690-436-255-920-318-220-415-803","11","8","9","318","415","318-220-415","true","false","true","false","","false","false","0","",""
"1305.1","H-283","Harappa","TAB:B","-","Fair","Y","+740-407-590-690-436-255-920-318-220-415-803+","740-407-590-690-436-255-920-318-220-415-803","11","8","9","318","415","318-220-415","true","false","true","false","","false","false","0","",""
"1306.1","H-284","Harappa","TAB:B","Clay","Poor","Y","+740-407-590-690-436-255-920-318-220-415-803+","740-407-590-690-436-255-920-318-220-415-803","11","8","9","318","415","318-220-415","true","false","true","false","","false","false","0","",""
"1324.1","H-302","Harappa","TAB:I","Steatite","Good","Y","+220-700-004+","220-700-004","3","0","1","<START>","700","<START>-220-700","true","false","true","true","220-700-004","false","false","0","",""
"1324.2","H-302","Harappa","TAB:I","Steatite","Good","Y","+400-760-740-220-416+","400-760-740-220-416","5","3","4","740","416","740-220-416","true","false","true","false","","false","false","0","",""
"1341.1","H-319","Harappa","TAB:I","Steatite","Good","Y","+520-220-415+","520-220-415","3","1","2","520","415","520-220-415","true","false","true","true","520-220-415","true","false","0","",""
"1351.1","H-329","Harappa","TAB:I","-","Poor","Y","+520-220+","520-220","2","1","2","520","<END>","520-220-<END>","false","false","true","false","","false","false","0","",""
"1364.1","H-344","Harappa","TAB:I","Steatite","Poor","Y","+526-550-220+","526-550-220","3","2","3","550","<END>","550-220-<END>","false","false","true","true","526-550-220","false","false","0","",""
"1366.1","H-346","Harappa","TAB:I","Steatite","Fair","Y","+520-220-415+","520-220-415","3","1","2","520","415","520-220-415","true","false","true","true","520-220-415","true","false","0","",""
"1378.1","H-359","Harappa","TAB:I","Steatite","Poor","Y","+526-550-220+","526-550-220","3","2","3","550","<END>","550-220-<END>","false","false","true","true","526-550-220","false","false","0","",""
"1383.1","H-364","Harappa","TAB:I","Steatite","Fair","Y","+520-220-415+","520-220-415","3","1","2","520","415","520-220-415","true","false","true","true","520-220-415","true","false","0","",""
"1394.1","H-375","Harappa","POT:T:g","-","Good","N","]000-220-002-000[","000-220-002-000","4","1","2","000","002","000-220-002","true","true","false","false","","false","false","0","",""
"1399.1","H-385","Harappa","SEAL:S","Steatite","Poor","N","+000-220-002-595-632-354-850+","000-220-002-595-632-354-850","7","1","2","000","002","000-220-002","true","false","true","false","","false","false","0","",""
"1407.1","H-396","Harappa","SEAL:S","Steatite","Poor","N","+832-904-220-415-806-000[","832-904-220-415-806-000","6","2","3","904","415","904-220-415","true","true","false","false","","false","false","0","",""
"1408.1","K-46","Kalibangan","SEAL","Steatite","Poor","N","]000-220-000[","000-220-000","3","1","2","000","000","000-220-000","true","true","false","false","","false","false","0","",""
"1409.1","H-401","Harappa","SEAL:S","Steatite","Poor","N","+090-740-220-000[","090-740-220-000","4","2","3","740","000","740-220-000","true","true","false","false","","false","false","0","",""
"1416.1","H-412","Harappa","SEAL:S","Steatite","Poor","Y","+161-233-220-032-741-831+","161-233-220-032-741-831","6","2","3","233","032","233-220-032","true","false","true","false","","false","false","0","",""
"1434.1","H-444","Harappa","SEAL:S","-","Good","Y","+241-220-032-002-861+","241-220-032-002-861","5","1","2","241","032","241-220-032","true","false","true","false","","false","false","0","",""
"1480.1","H-502","Harappa","SEAL:S","Steatite","Fair","Y","+090-740-220-032+","090-740-220-032","4","2","3","740","032","740-220-032","true","false","true","false","","false","false","0","",""
"1491.1","H-514","Harappa","SEAL:S","Steatite","Fair","Y","+151-220-016-002-820+","151-220-016-002-820","5","1","2","151","016","151-220-016","true","false","true","false","","false","false","0","",""
"1500.1","H-525","Harappa","SEAL:S","Steatite","Poor","?","+520-220[","520-220","2","1","2","520","<END>","520-220-<END>","false","true","false","false","","false","false","0","",""
"1519.1","H-566","Harappa","SEAL:S","Steatite","Poor","?","]220[","220","1","0","1","<START>","<END>","<START>-220-<END>","false","true","false","false","","false","false","0","",""
"1520.1","H-567","Harappa","SEAL","-","Poor","?","]220[","220","1","0","1","<START>","<END>","<START>-220-<END>","false","true","false","false","","false","false","0","",""
"1522.1","H-569","Harappa","SEAL:S","Steatite","Poor","N","+740-032-840-240-220-032-000[","740-032-840-240-220-032-000","7","4","5","240","032","240-220-032","true","true","false","false","","false","false","0","",""
"1531.1","H-581","Harappa","SEAL:S","Steatite","Poor","N","+585-220-000[","585-220-000","3","1","2","585","000","585-220-000","true","true","false","false","","false","false","0","",""
"1536.1","H-592","Harappa","SEAL:S","-","Poor","Y","+740-575-017-220-415-803+","740-575-017-220-415-803","6","3","4","017","415","017-220-415","true","false","true","false","","false","false","0","",""
"1537.1","H-593","Harappa","SEAL:S","Steatite","Poor","N","+740-760-235-240-002-220-000[","740-760-235-240-002-220-000","7","5","6","002","000","002-220-000","true","true","false","false","","false","false","0","",""
