score,lane_class,feature,value,rows,non_bare_rows,family_cells,source_ready_rows,source_ready_non_bare_rows,tail_distribution,tail_class_distribution,register_distribution,site_distribution,examples
29,singleton_contrast_watch,prefix_last1,240,15,1,14,0,0,<END>:14;031:1,closure:14;simple_single:1,Harappa|TAB:B|None|twisted rectangular-rounded:3;Mohenjo-daro|SEAL:S|Bull1:W|square:3;Mohenjo-daro|SEAL:S|Bull1:S|square:2;Harappa|TAB:B|Bull1|oval:1;Harappa|TAB:B|Bull1|elliptical:1;Harappa|SEAL:S|Bull1:W|square:1;Mohenjo-daro|SEAL:S|Bull1:L|square:1;Mohenjo-daro|SEAL:S|Elep|square:1;Harappa|TAB:B|None|rectangular-round:1;Harappa|TAB:B|None|twisted rectangular:1,Harappa:8;Mohenjo-daro:7,H-2010 +740-482-240-002-861+;H-2011 +740-482-240-002-861+;H-51 +740-643-240-002-861+;H-806 +740-482-240-002-861+;H-807 +740-482-240-002-861+;H-808 +740-482-240-002-861+;M-1753 +740-760-519-240-002-861+;M-1726 +740-615-495-240-002-861+;- +740-637-240-002-861+;M-7 +407-845-140-740-101-923-240-002-861+
27,singleton_contrast_watch,prefix_last3,240 220 032,2,1,2,1,1,<END>:1;603:1,closure:1;simple_single:1,Chanhu-daro|SEAL:S|Bull1:W|square:1;Mohenjo-daro|SEAL:S|Gaur|square:1,Chanhu-daro:1;Mohenjo-daro:1,C-65 +000-100-240-220-032-002-861+;M-240 +520-240-220-032-002-861-603+
24,source_live_tail_choice_field,prefix_last1,803,3,1,3,3,1,<END>:2;603:1,closure:2;simple_single:1,Mohenjo-daro|SEAL:S|Bull1:W|square:3,Mohenjo-daro:3,M-77 +832-390-803-002-861+;M-118 +740-772-033-705-233-803-002-861+;M-714 +740-585-017-033-705-233-798-803-002-861-603+
19,singleton_contrast_watch,prefix_last1,004,5,1,5,0,0,<END>:4;125:1,closure:4;simple_single:1,Harappa|TAB:B|Phyt|rectangular-rounded:1;Harappa|SEAL:S|Bull1:X|square:1;Harappa|TAB:B|Phyt|rectangular:1;Mohenjo-daro|SEAL:S|Bull1:W|square:1;Mohenjo-daro|SEAL:S|-|square:1,Harappa:3;Mohenjo-daro:2,H-1785 +407-004-002-861+;H-55 +390-004-002-861-125+;H-719 +405-004-002-861+;M-1750 +390-004-002-861+;M-1063 +407-004-002-861+
18,source_acquisition_exact_preframe_split,prefix_last2,740 176,4,1,4,1,0,<END>:3;392:1,closure:3;simple_single:1,Lothal|SEAL:S|Gaur|square:1;Mohenjo-daro|POT:T:g|None|-:1;Mohenjo-daro|SEAL:S|Bull1:L|square:1;Mohenjo-daro|SEAL:S|Bull1:W|square:1,Mohenjo-daro:3;Lothal:1,L-46 +527-388-233-740-176-002-861-392+;M-2060 +740-176-002-861+;M-1755 +740-176-002-861+;M-15 +090-740-176-002-861+
14,singleton_contrast_watch,prefix_last1,705,4,1,3,0,0,<END>:3;803:1,closure:3;simple_single:1,Mohenjo-daro|SEAL:S|Bull1:S|square:2;Mohenjo-daro|SEAL:S|Bull1:W|square:1;Dholavira|TAG|Bull1|square:1,Mohenjo-daro:3;Dholavira:1,M-100 +090-740-255-705-002-861+;M-785 +740-255-705-002-861+;M-1698 +740-482-033-705-002-861-803+;- +000-705-002-861+
13,source_acquisition_exact_preframe_split,prefix,390 004,2,1,2,0,0,125:1;<END>:1,simple_single:1;closure:1,Harappa|SEAL:S|Bull1:X|square:1;Mohenjo-daro|SEAL:S|Bull1:W|square:1,Harappa:1;Mohenjo-daro:1,H-55 +390-004-002-861-125+;M-1750 +390-004-002-861+
13,singleton_contrast_watch,prefix_last1,233,3,1,3,0,0,<END>:2;831 165:1,closure:2;fixed_pair:1,Harappa|SEAL|None|-:1;Mohenjo-daro|SEAL:S|Zebu|square:1;Mohenjo-daro|SEAL:S|Bull1:II|square:1,Mohenjo-daro:2;Harappa:1,H-688 +520-233-002-861-831-165+;M-1115 +740-335-233-002-861+;M-1670 +740-760-001-233-002-861+
12,source_acquisition_exact_preframe_split,prefix_last3,390 004,2,1,2,0,0,125:1;<END>:1,simple_single:1;closure:1,Harappa|SEAL:S|Bull1:X|square:1;Mohenjo-daro|SEAL:S|Bull1:W|square:1,Harappa:1;Mohenjo-daro:1,H-55 +390-004-002-861-125+;M-1750 +390-004-002-861+
12,source_acquisition_exact_preframe_split,prefix_last2,390 004,2,1,2,0,0,125:1;<END>:1,simple_single:1;closure:1,Harappa|SEAL:S|Bull1:X|square:1;Mohenjo-daro|SEAL:S|Bull1:W|square:1,Harappa:1;Mohenjo-daro:1,H-55 +390-004-002-861-125+;M-1750 +390-004-002-861+
8,singleton_contrast_watch,prefix_last1,231,2,1,2,0,0,683:1;<END>:1,simple_single:1;closure:1,Mohenjo-daro|SEAL:S|Bull1:J|square:1;Mohenjo-daro|SEAL:S|Bull1:S|square:1,Mohenjo-daro:2,M-1674 +090-740-222-231-002-861-683+;M-794 +804-231-002-861+
