object,id,site,region,type,material,shape,symbol,condition,complete,register_class,order,first_400_position,first_740_position,text
H-188,1221.1,Harappa,Inter-Riverine,TAB:B,Clay,rectangular,Phyt,Good,Y,tablet_account,400_before_740,0,2,+400-090-740-100-415+
H-2109,843.2,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,NA,Poor,Y,tablet_account,400_before_740,0,1,+400-740-681+
H-2070,862.2,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,NA,Fair,Y,tablet_account,400_before_740,0,1,+400-740-817-276+
H-1945,923.2,Harappa,Inter-Riverine,TAB:B,Faience,prism,Fish,Poor,Y,tablet_account,400_before_740,0,1,+400-740-388-717-705+
M-879,3287.1,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Good,Y,other,740_before_400,1,0,+740-400-142-061+
H-1791,1013.1,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,NA,Poor,?,tablet_account,400_before_740,0,1,+400-740-100[
H-1774,1021.1,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,Scene,Good,Y,tablet_account,400_before_740,0,1,+400-740-335-482-175+
H-1182,1051.1,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,NA,Poor,Y,tablet_account,400_before_740,0,1,+400-740-817-175+
H-816,1705.1,Harappa,Inter-Riverine,TAB:B,Faience,hexagonal,NA,Fair,Y,tablet_account,400_before_740,0,1,+400-740-390-590+
H-187,1220.1,Harappa,Inter-Riverine,TAB:B,NA,cylindrical,Phyt,Good,Y,tablet_account,400_before_740,0,1,+400-740-463-495+
M-469,2954.1,Mohenjo-daro,Lower Indus,TAB:B,Faience,rectangular,Xhch,Fair,Y,tablet_account,400_before_740,0,1,+400-740-220-415-798+
H-755,1648.1,Harappa,Inter-Riverine,TAB:B,NA,rectangular,NA,Poor,?,tablet_account,400_before_740,0,1,+400-740-405-590[
H-211,1242.1,Harappa,Inter-Riverine,TAB:B,NA,rectangular,NA,Poor,Y,tablet_account,400_before_740,0,1,+400-740-898-617+
H-232,1259.1,Harappa,Inter-Riverine,TAB:B,Faience,notched oval,NA,Fair,Y,tablet_account,400_before_740,0,1,+400-740-177-519+
H-242,1267.1,Harappa,Inter-Riverine,TAB:B,Faience,circular,Scene,Poor,N,tablet_account,400_before_740,0,1,+400-740-392-000-000-000-000-255-000+
H-245,1270.1,Harappa,Inter-Riverine,TAB:B,Faience,circular,NA,Fair,Y,tablet_account,400_before_740,0,2,+400-807-740-219+
H-247,1272.1,Harappa,Inter-Riverine,TAB:B,Faience,circular,NA,Poor,N,tablet_account,400_before_740,0,1,+400-740-335-000+
H-291,1313.1,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,NA,Good,N,tablet_account,400_before_740,0,1,+400-740-927-000-235+
H-296,1318.1,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,NA,Poor,Y,tablet_account,400_before_740,0,1,+400-740-575-017-920+
H-1178,4031.1,Harappa,Inter-Riverine,TAB:I,NA,rectangular,NA,Fair,Y,tablet_account,400_before_740,0,1,+400-740-636-240+
K-63,1876.1,Kalibangan,Inter-Riverine,SEAL:R,Steatite,cuboid,NA,Fair,Y,rectangular_copper_admin,400_before_740,0,1,+400-740-776-495+
H-988,1864.2,Harappa,Inter-Riverine,TAB:I,Steatite,cuboid,Bult,Poor,Y,tablet_account,400_before_740,0,1,+400-740-636-240-031-032-171+
H-302,1324.2,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,NA,Good,Y,tablet_account,400_before_740,0,2,+400-760-740-220-416+
H-959,1836.1,Harappa,Inter-Riverine,TAB:I,Steatite,oval,NA,Fair,Y,tablet_account,400_before_740,0,1,+400-740-178+
H-892,1774.1,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,NA,Fair,Y,tablet_account,400_before_740,0,1,+400-740-336-176+
H-351,1370.1,Harappa,Inter-Riverine,TAB:I,Steatite,prism,X,Good,Y,tablet_account,400_before_740,0,1,+400-740-032-060-013+
H-471,1458.1,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:I,Poor,?,other,740_before_400,1,0,+740-400-142-061-368[
H-722,1624.1,Harappa,Inter-Riverine,TAB:B,NA,cylindrical,Phyt,Poor,N,tablet_account,400_before_740,0,2,+400-090-740-000[
M-1312,3617.1,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,rectangular,NA,Fair,Y,rectangular_copper_admin,400_before_740,0,1,+400-740-220+
H-763,1655.1,Harappa,Inter-Riverine,TAB:B,Steatite,rectangular,NA,Poor,?,tablet_account,400_before_740,0,1,+400-740-920-320-233[
H-768,1660.1,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,NA,Fair,N,tablet_account,400_before_740,0,1,+400-740-033-705-233-235-000+
H-783,1674.1,Harappa,Inter-Riverine,TAB:B,Clay,cylindrical,NA,Poor,N,tablet_account,400_before_740,0,1,+400-740-690-000+
H-787,1678.2,Harappa,Inter-Riverine,TAB:B,NA,rectangular,NA,Fair,Y,tablet_account,400_before_740,0,1,+400-740-176-700-033+
H-790,1681.1,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,NA,Good,Y,tablet_account,400_before_740,0,1,+400-740-384-033+
H-802,1693.1,Harappa,Inter-Riverine,TAB:B,Faience,rectangular,NA,Poor,N,tablet_account,400_before_740,0,1,+400-740-337-000+
H-817,1706.1,Harappa,Inter-Riverine,TAB:B,Faience,notched oval,NA,Fair,Y,tablet_account,400_before_740,0,1,+400-740-336-018+
4290.1,4290.1,Rajanpur,Inter-Riverine,TAB:B,NA,rectangular,Maze,Good,Y,tablet_account,400_before_740,0,1,+400-740-690-436-255+
H-836,1722.1,Harappa,Inter-Riverine,TAB:B,NA,NA,NA,Poor,N,tablet_account,400_before_740,0,2,+400-000-740-000-000+
H-1149,3979.1,Harappa,Inter-Riverine,TAB:B,NA,circular,NA,Fair,Y,tablet_account,400_before_740,0,1,+400-740-790+
H-842,1728.1,Harappa,Inter-Riverine,TAB:B,Faience,circular,NA,Fair,Y,tablet_account,400_before_740,0,1,+400-740-861+
H-1151,3981.1,Harappa,Inter-Riverine,TAB:B,NA,rectangular,Phyt,Poor,N,tablet_account,400_before_740,0,1,+400-740-840-000+
H-846,1732.1,Harappa,Inter-Riverine,TAB:B,Faience,prism,Gavi,Fair,Y,tablet_account,400_before_740,0,1,+400-740-100-031-705+
H-854,1740.1,Harappa,Inter-Riverine,TAB:B,Faience,prism,Bult,Poor,Y,tablet_account,400_before_740,0,1,+400-740-335-003+
H-875,1758.1,Harappa,Inter-Riverine,TAB:B,Clay,cuboid,NA,Fair,Y,tablet_account,400_before_740,0,1,+400-740-840-013+
H-891,1773.2,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,NA,Poor,N,tablet_account,400_before_740,0,1,+400-740-590-017-000+
H-893,1775.1,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,NA,Fair,Y,tablet_account,400_before_740,0,1,+400-740-337+
H-895,1777.2,Harappa,Inter-Riverine,TAB:I,NA,rectangular,NA,Poor,N,tablet_account,400_before_740,0,1,+400-740-630-000[
H-1191,4056.1,Harappa,Inter-Riverine,TAB:I,NA,rectangular,NA,Good,Y,tablet_account,400_before_740,0,1,+400-740-760-220-416+
H-916,1796.1,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,NA,Poor,Y,tablet_account,400_before_740,0,1,+400-740-032-059+
H-977,1854.1,Harappa,Inter-Riverine,TAB:I,Steatite,prism,Fish,Poor,N,tablet_account,400_before_740,0,1,+400-740-032-000[
H-926,1806.1,Harappa,Inter-Riverine,TAB:I,Steatite,rectangular,NA,Poor,N,tablet_account,400_before_740,0,1,+400-740-840-000-220+
H-1160,5410.1,Harappa,Inter-Riverine,TAB:I,NA,rectangular,Gavi,Poor,N,tablet_account,400_before_740,0,1,+400-740-760-000[
H-983,1859.1,Harappa,Inter-Riverine,TAB:I,Steatite,prism,Bult,Fair,Y,tablet_account,400_before_740,0,1,+400-740-637-240+
K-15,1890.1,Kalibangan,Inter-Riverine,SEAL:S,Steatite,square,Bull1:II,Fine,Y,other,400_before_740,2,3,+871-947/400-740-543-350-895-785-220-335+
K-68,1926.1,Kalibangan,Inter-Riverine,TAB:B,Faience,cuboid,Bull1,Poor,Y,tablet_account,400_before_740,0,1,+400-740-263+
K-98,1952.1,Kalibangan,Inter-Riverine,POT:T:g,NA,NA,NA,Poor,?,other,400_before_740,0,1,+400-740-411-590[
M-2113,2210.1,Mohenjo-daro,Lower Indus,ROD,Ivory,NA,NA,Poor,Y,other,400_before_740,0,1,+400-740-760-435-690+
M-1772,2297.1,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:I,Good,Y,other,740_before_400,1,0,+740-400-142-061-002-798-435-255-705+
M-1891,2314.1,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Gaur,Good,Y,other,400_before_740,0,1,+400-740-017-503-240+
M-2098,2356.1,Mohenjo-daro,Lower Indus,ROD,Ivory,NA,NA,Good,Y,other,400_before_740,0,1,+400-740-176-140+
M-1651,3841.1,Mohenjo-daro,Lower Indus,ROD,Ivory,NA,NA,Poor,Y,other,400_before_740,0,1,+400-740-585-838-240+
M-1725,2411.1,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Good,Y,other,400_before_740,0,1,+400-740-100-140-003+
M-2107,2474.1,Mohenjo-daro,Lower Indus,ROD,Ivory,NA,NA,Good,Y,other,400_before_740,0,1,+400-740-840-013-240+
M-145,2672.1,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:U,Fair,Y,other,740_before_400,1,0,+740-400-142-880+
M-231,2755.1,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:I,Good,Y,other,400_before_740,0,1,+400-740-100-415+
M-263,2786.1,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Zebu,Good,Y,other,740_before_400,2,1,+090-740-400-350-031-545+
M-471,2956.2,Mohenjo-daro,Lower Indus,TAB:B,NA,rectangular,NA,Fair,Y,tablet_account,400_before_740,0,1,+400-740-904-798-460-350+
M-482,2966.1,Mohenjo-daro,Lower Indus,TAB:B,Clay,rectangular,Mult,Fair,Y,tablet_account,400_before_740,0,1,+400-740-803+
M-947,3342.1,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1,Fair,Y,other,400_before_740,0,2,+400-090-740-035-171-061+
M-1133,3500.1,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Rhin,Poor,N,other,740_before_400,3,2,+463-513-740-400-142-000+
M-1135,3502.1,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Rhin,Good,Y,other,740_before_400,3,0,+740-061-002-400-703+
M-1224,3559.1,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Mult,Good,Y,other,400_before_740,0,2,+400-090-740-032-840+
M-1402,3693.1,Mohenjo-daro,Lower Indus,TAB:B,Terracotta,cuboid,Mult,Poor,N,tablet_account,400_before_740,2,3,+000-388-400-740-000-617+
M-1408,3697.1,Mohenjo-daro,Lower Indus,TAB:B,Clay,cuboid,NA,Poor,Y,tablet_account,400_before_740,0,1,+400-740-033-503+
M-1438,3719.1,Mohenjo-daro,Lower Indus,SEAL:R,NA,semi-circular,NA,Poor,Y,rectangular_copper_admin,400_before_740,0,1,+400-740-923-226-032+
3769.1,3769.1,Ganweriwala,Inter-Riverine,TAG,Terracotta,twisted rectangular-rounded,NA,Poor,Y,other,740_before_400,1,0,+740-400-061-299-350-125-176+
M-1650,3840.1,Mohenjo-daro,Lower Indus,ROD,Ivory,NA,NA,Fair,N,other,400_before_740,0,1,+400-740-760-032-033-000-550+
M-2103,4041.1,Mohenjo-daro,Lower Indus,ROD,Ivory,NA,NA,Poor,N,other,400_before_740,0,1,+400-740-760-000-000+
4226.1,4226.1,Dholavira,Gujarat/Kutch,SEAL:S,Steatite,square,Bull1,Poor,Y,other,400_before_740,0,1,+400-740-920+
K-417,5332.1,Kalibangan,Inter-Riverine,POT:T:g,Clay,NA,NA,Fair,?,other,400_before_740,0,1,]400-740-055+
Ns-63,5364.1,Nausharo,Lower Indus,POT:T:g,Clay,NA,NA,Poor,Y,other,400_before_740,1,2,+795-400-740+
Ns-66,5367.1,Nausharo,Lower Indus,POT:T:g,Clay,NA,NA,Fair,N,other,400_before_740,2,4,+033-999-400-090-740-100-000-002-892-000-002+
