cisi,id,site,type,symbol,cult,shape,text,position_index0,text_len,prev2,prev1,next1,next2,terminal_125,immediate_after_861,immediate_after_002_861,in_390004_frame,ecology_class,source_tier,source_note,source_path_or_url
H-642,1557.1,Harappa,SEAL:R,None,None,cuboid-convex,+001-304-354-125-812-033+,3,6,304 354,354,812,812 033,False,False,False,False,other_nonterminal_125,unrouted,no route in current local source index,
H-894,1776.2,Harappa,TAB:I,None,None,rectangular,+700-125+,1,2,700,700,<END>,,True,False,False,False,other_terminal_125,unrouted,no route in current local source index,
K-5,1880.1,Kalibangan,SEAL:S,Bull1:W,SAN,square,+520-233-240-803-741-125+,5,6,803 741,741,<END>,,True,False,False,False,other_terminal_125,unrouted,no route in current local source index,
Lh-1,1981.1,Lohumjo-daro,SEAL:S,Bull1:S,SAN,square,+740-760-615-104-717-235-002-392-590-125+,9,10,392 590,590,<END>,,True,False,False,False,other_terminal_125,source_index_hint,from source_box_negative_control_candidates,
L-193,2115.3,Lothal,TAG,Bull1,-,-,+125-070[,0,2,,<START>,070,070,False,False,False,False,other_nonterminal_125,unrouted,no route in current local source index,
M-1749,2195.1,Mohenjo-daro,SEAL:S,Bull1:W,SAN,square,+220-455-125-031+,2,4,220 455,455,031,031,False,False,False,False,other_nonterminal_125,unrouted,no route in current local source index,
M-1692,2226.1,Mohenjo-daro,SEAL:S,Bull1:L,SAN,square,+390-600-617-002-190-125-632-032+,5,8,002 190,190,632,632 032,False,False,False,False,other_nonterminal_125,source_index_hint,from source_box_negative_control_candidates,
M-1688,2231.1,Mohenjo-daro,SEAL:S,Bull1:S,SAN,square,+125-435-255-002-286-220-031-012-031-455-033-590+,0,12,,<START>,435,435 255,False,False,False,False,other_nonterminal_125,source_index_hint,from source_box_negative_control_candidates,
M-1668,2270.1,Mohenjo-daro,SEAL:S,Bull1:S,SAN,square,+740-773-233-803-002-320-705-125+,7,8,320 705,705,<END>,,True,False,False,False,other_terminal_125,source_index_hint,from source_box_negative_control_candidates,
M-1903,2471.1,Mohenjo-daro,SEAL:S,Buff,Trough,square,+740-861-125+,2,3,740 861,861,<END>,,True,True,False,False,post_861_terminal_125_outside_002_861,unrouted,no route in current local source index,
M-1665,2473.1,Mohenjo-daro,SEAL:S,Bull1:W,SAN,square,+520-033-705-233-240-002-610-125-032+,7,9,002 610,610,032,032,False,False,False,False,other_nonterminal_125,source_index_hint,from source_box_negative_control_candidates,
M-1700,2517.1,Mohenjo-daro,SEAL:S,Bull1:W,SAF,square,+400-125-745+,1,3,400,400,745,745,False,False,False,False,other_nonterminal_125,unrouted,no route in current local source index,
M-13,2541.1,Mohenjo-daro,SEAL:S,Bull1:W,SAN,square,+368-304-125+,2,3,368 304,304,<END>,,True,False,False,False,other_terminal_125,unrouted,no route in current local source index,
M-38,2566.1,Mohenjo-daro,SEAL:S,Bull1:J,SAN,square,+740-690-435-255-220-032-240-235-002-390-125-632-032+,10,13,002 390,390,632,632 032,False,False,False,False,post_002_390_125_continuation,source_index_hint,from source_box_negative_control_candidates,
M-41,2569.1,Mohenjo-daro,SEAL:S,Bull1:W,SAN,square,+740-636-240-233-235-002-405-125-820+,7,9,002 405,405,820,820,False,False,False,False,other_nonterminal_125,source_index_hint,from source_box_negative_control_candidates,
M-119,2646.1,Mohenjo-daro,SEAL:S,Bull1:S,SAN,square,+151-337-484-002-390-125-632-032-900-563+,5,10,002 390,390,632,632 032,False,False,False,False,post_002_390_125_continuation,source_index_hint,from source_box_negative_control_candidates,
M-191,2716.1,Mohenjo-daro,SEAL:S,Bull1:L,SAN,square,+090-125+,1,2,090,090,<END>,,True,False,False,False,other_terminal_125,unrouted,no route in current local source index,
M-251,2774.1,Mohenjo-daro,SEAL:S,Gaur,Trough,square,+390-003-002-125-350+,3,5,003 002,002,350,350,False,False,False,False,other_nonterminal_125,source_index_hint,from source_box_negative_control_candidates,
M-314,2832.1,Mohenjo-daro,SEAL:S,None,None,square,+953-817-390-125-308-809-033/740-760-706-466/520-231-240-235-002-820+,3,17,817 390,390,308,308 809,False,False,False,False,other_nonterminal_125,unrouted,no route in current local source index,
M-320,2838.1,Mohenjo-daro,SEAL:S,Bull1:W,SAN,square,+740-176-741-390-125+,4,5,741 390,390,<END>,,True,False,False,False,other_terminal_125,unrouted,no route in current local source index,
M-354,2850.1,Mohenjo-daro,SEAL:R,None,None,cuboid-convex,+740-729-407-845-236-002-906-125+,7,8,002 906,906,<END>,,True,False,False,False,other_terminal_125,source_index_hint,from source_box_negative_control_candidates,
M-356,2852.1,Mohenjo-daro,SEAL:R,None,None,cuboid-convex,+400-595-420-125-032-820-920-140+,3,8,595 420,420,032,032 820,False,False,False,False,other_nonterminal_125,source_index_hint,from source_box_negative_control_candidates,
M-624,3075.1,Mohenjo-daro,SEAL:S,Bull1:W,SAF,square,+190-125-575+,1,3,190,190,575,575,False,False,False,False,other_nonterminal_125,unrouted,no route in current local source index,
M-626,3077.1,Mohenjo-daro,SEAL:S,Bull1:J,S,square,+842-374-125/740-803-060-692-740-690-435-255-060-692+,2,13,842 374,374,740,740 803,False,False,False,False,other_nonterminal_125,unrouted,no route in current local source index,
M-735,3159.1,Mohenjo-daro,SEAL:S,Bull1:U,HAF,square,+740-760-235-002-390-125-195+,5,7,002 390,390,195,195,False,False,False,False,post_002_390_125_continuation,source_index_hint,from source_box_negative_control_candidates,
M-761,3184.1,Mohenjo-daro,SEAL:S,Bull1,-,square,]002-741-455-125+,3,4,741 455,455,<END>,,True,False,False,False,other_terminal_125,unrouted,no route in current local source index,
M-837,3249.1,Mohenjo-daro,SEAL:S,Bull1:S,SAN,square,+740-142-061-031-741-125-575+,5,7,031 741,741,575,575,False,False,False,False,other_nonterminal_125,unrouted,no route in current local source index,
M-848,3260.1,Mohenjo-daro,SEAL:S,Bull1,-,square,+406-125-176+,1,3,406,406,176,176,False,False,False,False,other_nonterminal_125,unrouted,no route in current local source index,
M-878,3286.1,Mohenjo-daro,SEAL:S,Bull1:J,RAF,square,+740-900-005-741-390-125+,5,6,741 390,390,<END>,,True,False,False,False,other_terminal_125,unrouted,no route in current local source index,
M-901,3306.1,Mohenjo-daro,SEAL:S,Bull1,-,square,+090-125-002-861+,1,4,090,090,002,002 861,False,False,False,False,other_nonterminal_125,source_index_hint,from source_box_negative_control_candidates,
M-1188,3539.1,Mohenjo-daro,SEAL:S,None,None,square,]000/000-125-632-032/240-002-244-632+,2,9,000 000,000,632,632 032,False,False,False,False,other_nonterminal_125,unrouted,no route in current local source index,
M-1424,3709.1,Mohenjo-daro,TAB:B,Gaur,Trough,twisted cuboid,+875-700-384-125+,3,4,700 384,384,<END>,,True,False,False,False,other_terminal_125,unrouted,no route in current local source index,
-,3769.1,Ganweriwala,TAG,-,-,twisted rectangular-rounded,+740-400-061-299-350-125-176+,5,7,299 350,350,176,176,False,False,False,False,other_nonterminal_125,non_cisi_export_or_unresolved_object,"No stable CISI object id in the local row; source acquisition must start from site/id/local metadata, not an object label.",
Sktd-1,3875.1,Surkotada,SEAL:S,Bull1,RAN,square,+390-004-002-390-125-820+,4,6,002 390,390,820,820,False,False,False,True,post_002_390_125_continuation,public_plate_route_candidate_not_panel_bound,"CISI India public OCR routes Surkotada 1-2 seals to India_0397/0828, but Sktd-1 is not cleanly OCR-labelled on the panel; use as route candidate only.",https://archive.org/details/TheIndusScript.TextConcordanceAndTablesIravathanMahadevan/Corpus%20of%20Indus%20Seals%20and%20Inscriptions.%20Collections%20in%20India/page/n397/mode/1up
M-2055,4030.1,Mohenjo-daro,TAB:C,None,None,rectangular,+002-407-125-590-831+,2,5,002 407,407,590,590 831,False,False,False,False,other_nonterminal_125,source_index_hint,from source_box_negative_control_candidates,
H-1178,4031.2,Harappa,TAB:I,None,None,rectangular,+700-125+,1,2,700,700,<END>,,True,False,False,False,other_terminal_125,unrouted,no route in current local source index,
-,4155.1,Gonur Depe,SEAL:S,Elep,None,square,+740-390-590-125-220-235-002-285+,3,8,390 590,590,220,220 235,False,False,False,False,other_nonterminal_125,non_cisi_export_or_unresolved_object,"No stable CISI object id in the local row; source acquisition must start from site/id/local metadata, not an object label.",
-,4163.1,Dholavira,SEAL:S,Bull1:W,SAF,square,+400-125-000+,1,3,400,400,000,000,False,False,False,False,other_nonterminal_125,non_cisi_export_or_unresolved_object,"No stable CISI object id in the local row; source acquisition must start from site/id/local metadata, not an object label.",
-,4215.1,Dholavira,SEAL:S,Bull1:U,SAN,square,]267-125-000[,1,3,267,267,000,000,False,False,False,False,other_nonterminal_125,non_cisi_export_or_unresolved_object,"No stable CISI object id in the local row; source acquisition must start from site/id/local metadata, not an object label.",
-,4218.1,Dholavira,SEAL:S,Bull1,-,-,]000-350-125-812-033+,2,5,000 350,350,812,812 033,False,False,False,False,other_nonterminal_125,non_cisi_export_or_unresolved_object,"No stable CISI object id in the local row; source acquisition must start from site/id/local metadata, not an object label.",
-,4280.1,Dholavira,SEAL:R,None,None,rectangular,]000-125-001-742+,1,4,000,000,001,001 742,False,False,False,False,other_nonterminal_125,non_cisi_export_or_unresolved_object,"No stable CISI object id in the local row; source acquisition must start from site/id/local metadata, not an object label.",
-,5219.1,Gola Dhoro (Bagasra),SEAL:S,Bull1:I,SAN,square,+292-352-125-741-900-322+,2,6,292 352,352,741,741 900,False,False,False,False,other_nonterminal_125,non_cisi_export_or_unresolved_object,"No stable CISI object id in the local row; source acquisition must start from site/id/local metadata, not an object label.",
Ns-60,5361.1,Nausharo,SEAL:R,None,None,rectangular,+407-063-740-176-236-798-002-297-350-125-413+,9,11,297 350,350,413,413,False,False,False,False,other_nonterminal_125,source_index_hint,from source_box_negative_control_candidates,
