bridge_test_id,query_text,lead_label,query_role,cuneiform_site,cuneiform_artifact_count,cuneiform_artifact_ps,cuneiform_periods,target_unit_count,target_duplicate_pattern,same_site_external_count,same_site_external_rows,same_site_strict_pattern_match_count,same_site_strict_pattern_match_rows,mesopotamia_gulf_external_count,mesopotamia_gulf_strict_pattern_match_count,mesopotamia_gulf_strict_pattern_match_rows,object_level_bridge_present,pattern_only_forger_ge_observed_share,decision,skeptic_note
bridge_6f6fa69b782033e2,i3-dub me-luh-ha-ta,i3-dub Meluhha formula,diagnostic,Girsu/Tello,2,P100892|P116633,Ur III,5,ABCDE,2,3885.1:Tello:+000-220-390-440-384+|5222.1:Girsu:+740-000-744-013-255+,2,3885.1:Tello:+000-220-390-440-384+|5222.1:Girsu:+740-000-744-013-255+,38,6,3863.1:Qala'at al-Bahrain:+160-090-055-060-190+|3884.1:Tell Umma:+390-004-002-705-127+|3885.1:Tello:+000-220-390-440-384+|3897.1:Ur:+093-340-924-220-528+|4173.1:Salut:+392-004-002-278-595+|5222.1:Girsu:+740-000-744-013-255+,false,1.000000,rejected_no_object_level_bridge,This is not an Ur/Susa/Failaka object-level bridge; same-site or same-region pattern matches remain site-overlap/length-pattern evidence only.
bridge_e1cb2c295cb9e1f5,ku3 NE gug gi-rin,Prestige-material chain,diagnostic,Girsu/Tello,2,P232301|P431882,Lagash II,5,ABCDE,2,3885.1:Tello:+000-220-390-440-384+|5222.1:Girsu:+740-000-744-013-255+,2,3885.1:Tello:+000-220-390-440-384+|5222.1:Girsu:+740-000-744-013-255+,38,6,3863.1:Qala'at al-Bahrain:+160-090-055-060-190+|3884.1:Tell Umma:+390-004-002-705-127+|3885.1:Tello:+000-220-390-440-384+|3897.1:Ur:+093-340-924-220-528+|4173.1:Salut:+392-004-002-278-595+|5222.1:Girsu:+740-000-744-013-255+,false,1.000000,rejected_no_object_level_bridge,This is not an Ur/Susa/Failaka object-level bridge; same-site or same-region pattern matches remain site-overlap/length-pattern evidence only.
bridge_da62ff6d0ec86ce8,lu2 me-luh-ha{ki}-me,Irisagrig Meluhha ration group,diagnostic,Irisagrig,2,P453801|P516138,Ur III,5,ABCDB,0,,0,,38,0,,false,1.000000,rejected_no_object_level_bridge,This is not an Ur/Susa/Failaka object-level bridge; same-site or same-region pattern matches remain site-overlap/length-pattern evidence only.
bridge_7734ada7710fe7fe,ma2 me-luh-ha,Meluhha ship/work context,diagnostic,Adab,3,P217502|P326408|P382354,Old Akkadian,4,ABCD,0,,0,,38,6,147.1:Failaka:+317-817-000-090+|148.1:Failaka:]090-001-350-716+|2153.1:Luristan:+831-413-840-091+|3864.1:Ra's al-Junayz:+740-029-220-000[|5227.1:Karzakan:+220-455-031-091+|5228.1:Karzakan:+033-001-032-091+,false,1.000000,rejected_no_object_level_bridge,This is not an Ur/Susa/Failaka object-level bridge; same-site or same-region pattern matches remain site-overlap/length-pattern evidence only.
bridge_e6d7e2eab63d108f,ma2 me-luh-ha,Meluhha ship/work context,diagnostic,Nippur,1,P227510,Old Babylonian,4,ABCD,1,3860.1:Nippur:+151-000+,0,,38,6,147.1:Failaka:+317-817-000-090+|148.1:Failaka:]090-001-350-716+|2153.1:Luristan:+831-413-840-091+|3864.1:Ra's al-Junayz:+740-029-220-000[|5227.1:Karzakan:+220-455-031-091+|5228.1:Karzakan:+033-001-032-091+,false,1.000000,rejected_no_object_level_bridge,This is not an Ur/Susa/Failaka object-level bridge; same-site or same-region pattern matches remain site-overlap/length-pattern evidence only.
bridge_dd1c28ce404b1bfb,ma2 me-luh-ha,Meluhha ship/work context,diagnostic,unknown,3,P212842|P227509|P461937,Old Akkadian|Old Babylonian,4,ABCD,0,,0,,38,6,147.1:Failaka:+317-817-000-090+|148.1:Failaka:]090-001-350-716+|2153.1:Luristan:+831-413-840-091+|3864.1:Ra's al-Junayz:+740-029-220-000[|5227.1:Karzakan:+220-455-031-091+|5228.1:Karzakan:+033-001-032-091+,false,1.000000,rejected_no_object_level_bridge,This is not an Ur/Susa/Failaka object-level bridge; same-site or same-region pattern matches remain site-overlap/length-pattern evidence only.
bridge_a04049bf851f397a,ma2-gan me-luh-ha,Meluhha route-control lane,matched_negative,Girsu/Tello,2,P232300|P431881,Lagash II,5,ABCDE,2,3885.1:Tello:+000-220-390-440-384+|5222.1:Girsu:+740-000-744-013-255+,2,3885.1:Tello:+000-220-390-440-384+|5222.1:Girsu:+740-000-744-013-255+,38,6,3863.1:Qala'at al-Bahrain:+160-090-055-060-190+|3884.1:Tell Umma:+390-004-002-705-127+|3885.1:Tello:+000-220-390-440-384+|3897.1:Ur:+093-340-924-220-528+|4173.1:Salut:+392-004-002-278-595+|5222.1:Girsu:+740-000-744-013-255+,false,1.000000,rejected_no_object_level_bridge,This is not an Ur/Susa/Failaka object-level bridge; same-site or same-region pattern matches remain site-overlap/length-pattern evidence only.
bridge_b0f95bfe238ca50f,ur gun3-a me-luh-ha,Meluhha speckled dog/object,diagnostic,Ur,2,P226318|P432309,Old Babylonian|Ur III,6,ABCDEF,5,3897.1:Ur:+093-340-924-220-528+|3898.1:Ur:+002-004-328-001-803-415+|3899.1:Ur:+000-000-004-090-350+|5225.1:Ur:]000-001-000-090-000[|5231.1:Ur:]405-090[,1,3898.1:Ur:+002-004-328-001-803-415+,38,3,3881.1:Susa:+700-604-407-090-365-000+|3898.1:Ur:+002-004-328-001-803-415+|5229.1:Saar:+031-093-001-091-220-055+,false,1.000000,rejected_no_object_level_bridge,Ur/Susa/Failaka-style site proximity is explicitly insufficient: no accession/publication/title/person bridge connects this cuneiform phrase to a specific Indus object row.
bridge_5b8b29f8a4d0499e,ur gun3-a me-luh-ha{ki},Meluhha speckled dog/object,diagnostic,Ur,2,P226318|P432309,Old Babylonian|Ur III,6,ABCDEF,5,3897.1:Ur:+093-340-924-220-528+|3898.1:Ur:+002-004-328-001-803-415+|3899.1:Ur:+000-000-004-090-350+|5225.1:Ur:]000-001-000-090-000[|5231.1:Ur:]405-090[,1,3898.1:Ur:+002-004-328-001-803-415+,38,3,3881.1:Susa:+700-604-407-090-365-000+|3898.1:Ur:+002-004-328-001-803-415+|5229.1:Saar:+031-093-001-091-220-055+,false,1.000000,rejected_no_object_level_bridge,Ur/Susa/Failaka-style site proximity is explicitly insufficient: no accession/publication/title/person bridge connects this cuneiform phrase to a specific Indus object row.
bridge_2160ff333cbe7df0,ur-{d}lamma dumu me-luh-ha,sons of Meluhha,matched_negative,Girsu/Tello,5,P102519|P108448|P136196|P207485|P318542,Ur III,6,ABCDEF,2,3885.1:Tello:+000-220-390-440-384+|5222.1:Girsu:+740-000-744-013-255+,0,,38,3,3881.1:Susa:+700-604-407-090-365-000+|3898.1:Ur:+002-004-328-001-803-415+|5229.1:Saar:+031-093-001-091-220-055+,false,1.000000,rejected_no_object_level_bridge,This is not an Ur/Susa/Failaka object-level bridge; same-site or same-region pattern matches remain site-overlap/length-pattern evidence only.
bridge_4dace3e3695e7b9c,uruda me-luh-ha,Meluhha copper,diagnostic,Nippur,1,P228742,Old Babylonian,4,ABCD,1,3860.1:Nippur:+151-000+,0,,38,6,147.1:Failaka:+317-817-000-090+|148.1:Failaka:]090-001-350-716+|2153.1:Luristan:+831-413-840-091+|3864.1:Ra's al-Junayz:+740-029-220-000[|5227.1:Karzakan:+220-455-031-091+|5228.1:Karzakan:+033-001-032-091+,false,1.000000,rejected_no_object_level_bridge,This is not an Ur/Susa/Failaka object-level bridge; same-site or same-region pattern matches remain site-overlap/length-pattern evidence only.
bridge_352878ec5db99556,uruda me-luh-ha,Meluhha copper,diagnostic,Ur,1,P136689,Ur III,4,ABCD,5,3897.1:Ur:+093-340-924-220-528+|3898.1:Ur:+002-004-328-001-803-415+|3899.1:Ur:+000-000-004-090-350+|5225.1:Ur:]000-001-000-090-000[|5231.1:Ur:]405-090[,0,,38,6,147.1:Failaka:+317-817-000-090+|148.1:Failaka:]090-001-350-716+|2153.1:Luristan:+831-413-840-091+|3864.1:Ra's al-Junayz:+740-029-220-000[|5227.1:Karzakan:+220-455-031-091+|5228.1:Karzakan:+033-001-032-091+,false,1.000000,rejected_no_object_level_bridge,Ur/Susa/Failaka-style site proximity is explicitly insufficient: no accession/publication/title/person bridge connects this cuneiform phrase to a specific Indus object row.
bridge_a16987f09d61cb48,uruda nagga lagab za-gin3-na ku3 NE gug gi-rin me-luh-ha-da,Prestige-material chain,diagnostic,Girsu/Tello,2,P232301|P431882,Lagash II,14,ABCDEFGHIJKLMN,2,3885.1:Tello:+000-220-390-440-384+|5222.1:Girsu:+740-000-744-013-255+,0,,38,0,,false,1.000000,rejected_no_object_level_bridge,This is not an Ur/Susa/Failaka object-level bridge; same-site or same-region pattern matches remain site-overlap/length-pattern evidence only.
