artifact_p,artifact_id,designation,museum_no,accession_no,provenience,period,dates_referenced,collections,genres,materials,artifact_type,languages,publications_key,publications_type,publications_exact_ref,external_resources,external_resources_key,query_terms,has_meluhha_in_atf,has_lu_sunzida_in_atf,meluhha_line_count,lu_sunzida_line_count,source_url
P320486,320486,"CM 26, 136",BM 085060,"1899-01-16, 0098",Umma (mod. Tell Jokha),Ur III (ca. 2100-2000 BC),Šulgi.41.04.28 (us2-us2 year) (Reichskalender),[object Object],[object Object],[object Object],tablet,[object Object],,,,[object Object]; [object Object]; [object Object],,me-luh-ha{ki},true,false,1,0,https://cdli.earth/P320486
P326408,326408,"CUSAS 20, 153",CUNES 52-13-050,,Adab (mod. Bismaya),Old Akkadian (ca. 2340-2200 BC),00.00.00.00,[object Object],[object Object],[object Object],tablet,[object Object],,,,[object Object],,ma2 me-luh-ha,true,false,1,0,https://cdli.earth/P326408
P346086,346086,"CDLI Literary 000332, ex. 003",BM —,,Ur (mod. Tell Muqayyar),Old Babylonian (ca. 1900-1600 BC),,[object Object],[object Object],[object Object],tablet,[object Object],,,,[object Object]; [object Object]; [object Object]; [object Object],,me-luh-ha{ki},true,false,1,0,https://cdli.earth/P346086
P346242,346242,"CDLI Literary 000771, ex. 022",BM —,,Ur (mod. Tell Muqayyar),Old Babylonian (ca. 1900-1600 BC),,[object Object],[object Object],[object Object],tablet,[object Object],,,,[object Object],,me-luh-ha{ki},true,false,1,0,https://cdli.earth/P346242
P374962,374962,"Nisaba 18, 041",BM 094466A,"1901-10-12, 0119",Girsu (mod. Tello),Ur III (ca. 2100-2000 BC),Šulgi.42.09.00,[object Object],[object Object],[object Object],tablet & envelope,[object Object],,,,[object Object]; [object Object],,me-luh-ha-ta,true,false,1,0,https://cdli.earth/P374962
P378169,378169,"PPAC 5, 0830",BM 086687,"1899-11-11, 0154",Girsu (mod. Tello),Ur III (ca. 2100-2000 BC),00.00.00.00,[object Object],[object Object],[object Object],tablet,[object Object],,,,[object Object]; [object Object]; [object Object],,me-luh-ha-ta,true,false,1,0,https://cdli.earth/P378169
P382354,382354,"TCBI 1, 102","BdI 1, 154",,Adab (mod. Bismaya),Old Akkadian (ca. 2340-2200 BC),,[object Object],[object Object],[object Object],tablet,,,,,[object Object],,ma2 me-luh-ha,true,false,1,0,https://cdli.earth/P382354
P390252,390252,LB 3191,LB 3191,,Puzriš-Dagan (mod. Drehem),Ur III (ca. 2100-2000 BC),Šulgi.46.06.13,[object Object],[object Object],[object Object],tablet,[object Object],,,,[object Object],,lu2-sun2-zi-da,false,true,0,1,https://cdli.earth/P390252
P391626,391626,"CUSAS 26, 175",OIM A04491,,,Old Akkadian (ca. 2340-2200 BC),,[object Object],[object Object],[object Object],tablet,,,,,[object Object],,lu2-sun2-zi-da,false,true,0,1,https://cdli.earth/P391626
P407695,407695,"Nisaba 27, 111",SM 1913.02.074,07391 (SM catalogue: 2807),Umma (mod. Tell Jokha),Ur III (ca. 2100-2000 BC),00.00.10.22,[object Object],[object Object],[object Object],tablet,[object Object],,,,[object Object],,lu2-sun2-zi-da,false,true,0,1,https://cdli.earth/P407695
P431881,431881,"RIME 3/1.01.07, Cyl A composite",,,Girsu (mod. Tello),Lagash II (ca. 2200-2100 BC),Gudea.00.00.00,,[object Object],,,[object Object],,,,,,me-luh-ha-ta,true,false,3,0,https://cdli.earth/P431881
P431882,431882,"RIME 3/1.01.07, Cyl B composite",,,Girsu (mod. Tello),Lagash II (ca. 2200-2100 BC),Gudea.00.00.00,,[object Object],,,[object Object],,,,,,me-luh-ha-da,true,false,1,0,https://cdli.earth/P431882
P431884,431884,"RIME 3/1.01.07, St B composite",,,Girsu (mod. Tello),Lagash II (ca. 2200-2100 BC),Gudea.00.00.00,,[object Object],,,[object Object],,,,[object Object],,me-luh-ha-ta,true,false,2,0,https://cdli.earth/P431884
P431886,431886,"RIME 3/1.01.07, St D composite",,,Girsu (mod. Tello),Lagash II (ca. 2200-2100 BC),Gudea.00.00.00,,[object Object],,,[object Object],,,,[object Object],,me-luh-ha{ki},true,false,1,0,https://cdli.earth/P431886
P432309,432309,RIME 3/2.01.05.04 composite,,,Ur (mod. Tell Muqayyar),Ur III (ca. 2100-2000 BC),Ibbi-Suen.00.00.00,,[object Object],,,[object Object],,,,[object Object],,me-luh-ha{ki},true,false,1,0,https://cdli.earth/P432309
P453801,453801,"Nisaba 15, 0371",Anonymous 453801,,Irisagrig (mod. uncertain),Ur III (ca. 2100-2000 BC),Šū-Suen.06.12.00,[object Object],[object Object],[object Object],tablet,[object Object],,,,[object Object],,lu2 me-luh-ha|me-luh-ha{ki},true,false,1,0,https://cdli.earth/P453801
P454137,454137,"Nisaba 15, 0951",Anonymous 454137,,Irisagrig (mod. uncertain),Ur III (ca. 2100-2000 BC),"Ibbi-Suen.03.07.00, Ibbi-Suen.03.08.00",[object Object],[object Object],[object Object],tablet,[object Object],,,,[object Object]; [object Object],,lu2 me-luh-ha,true,false,1,0,https://cdli.earth/P454137
P461937,461937,RIME 2.01.01.11 composite,,,,Old Akkadian (ca. 2340-2200 BC),Sargon.00.00.00,,[object Object],,,,,,,[object Object]; [object Object],,ma2 me-luh-ha|me-luh-ha{ki},true,false,2,0,https://cdli.earth/P461937
P461938,461938,RIME 2.01.01.12 composite,,,,Old Akkadian (ca. 2340-2200 BC),Sargon.00.00.00,,[object Object],,,,,,,[object Object],,ma2 me-luh-ha,true,false,1,0,https://cdli.earth/P461938
P461954,461954,RIME 2.01.02.08 composite,,,Nippur (mod. Nuffar),Old Akkadian (ca. 2340-2200 BC),Rimush.00.00.00,,[object Object],,,,,,,,,me-luh-ha{ki},true,false,1,0,https://cdli.earth/P461954
P469514,469514,CDLI Literary 000332 (Enki and Ninhursaga) composite,,,,Old Babylonian (ca. 1900-1600 BC),,,[object Object],,,[object Object],,,,,,me-luh-ha{ki},true,false,1,0,https://cdli.earth/P469514
P469516,469516,CDLI Literary 000334 (Enki and World Order) composite,,,Nippur (mod. Nuffar),Old Babylonian (ca. 1900-1600 BC),,,[object Object],,,[object Object],,,,,,me-luh-ha{ki},true,false,3,0,https://cdli.earth/P469516
P469679,469679,CDLI Literary 000375 (Curse of Agade) composite,,,,Old Babylonian (ca. 1900-1600 BC),00.00.00.00,,[object Object],,,[object Object],,,,[object Object]; [object Object],,me-luh-ha{ki},true,false,1,0,https://cdli.earth/P469679
P469955,469955,PTS unn02,PTS unn02,—,Puzriš-Dagan (mod. Drehem),Ur III (ca. 2100-2000 BC),Šulgi.46.12.16,[object Object],[object Object],[object Object],tablet,[object Object],,,,[object Object],,lu2-sun2-zi-da,false,true,0,1,https://cdli.earth/P469955
P500263,500263,"CTPSM 1, 073",GMII 1443,,Girsu (mod. Tello),Ur III (ca. 2100-2000 BC),Šū-Suen.09.00.00,[object Object],[object Object],[object Object],tablet,[object Object],,,,[object Object],,me-luh-ha-ta,true,false,1,0,https://cdli.earth/P500263
P512784,512784,"ZA 107, 179 no. 21",IM 208078,,Puzriš-Dagan (mod. Drehem),Ur III (ca. 2100-2000 BC),--.--.--.--,[object Object],[object Object],[object Object],tablet,[object Object],,,,,,me-luh-ha-ta,true,false,1,0,https://cdli.earth/P512784
P516138,516138,"CUSAS 40, 1354",IM —,,Irisagrig (mod. uncertain),Ur III (ca. 2100-2000 BC),Šū-Suen.06.03.00 ,,[object Object],[object Object],tablet,[object Object],,,,,,lu2 me-luh-ha|me-luh-ha{ki},true,false,1,0,https://cdli.earth/P516138
P516366,516366,"CUSAS 40, 1582",IM —,,Irisagrig (mod. uncertain),Ur III (ca. 2100-2000 BC),Šū-Suen.06.12.00 ,,[object Object],[object Object],tablet,[object Object],,,,,,lu2 me-luh-ha,true,false,1,0,https://cdli.earth/P516366
P525331,525331,CDLI seals 014339 (physical),AO 22310,,,Ur III (ca. 2100-2000 BC),,[object Object],[object Object],[object Object],Cylinder seal,[object Object],,,,,,me-luh-ha{ki},true,false,1,0,https://cdli.earth/P525331
