candidate_id,target_id,target_label,target_source_id,target_site,target_units,target_pattern,external_row_id,external_site,external_object_route,external_object_tier,external_text,external_units,external_pattern,candidate_assignments,candidate_values,site_relation,object_bridge_state,pattern_site_candidate_count,pattern_all_focus_count,same_row_target_ambiguity_count,decision,skeptic_reason
onomastic_90b16cdc8dbb9d,interpreter_shu_ilishu,szu-i3-li2-su / Shu-ilishu,P525331 / CDLI Seals 014339,*,szu-i3-li2-su,ABCD,148.1,Failaka,Failaka Kjaerum 1983 cat.279/319 unresolved,catalogue_candidate_unresolved,]090-001-350-716+,090-001-350-716,ABCD,090=szu;001=i3;350=li2;716=su,090=szu;001=i3;350=li2;716=su,generic_meluhha_context_not_site_specific,no_exact_row_to_catalogue_mapping,6,6,4,rejected_site_mismatch_or_generic_context,The target phrase is not tied to this object by exact object identity; pattern compatibility alone is inadmissible.
onomastic_f1876592e94417,interpreter_shu_ilishu,szu-i3-li2-su / Shu-ilishu,P525331 / CDLI Seals 014339,*,szu-i3-li2-su,ABCD,2153.1,Luristan,data/open_prototype/lipi/metadata_filtered.csv,not_in_object_level_queue,+831-413-840-091+,831-413-840-091,ABCD,831=szu;413=i3;840=li2;091=su,831=szu;413=i3;840=li2;091=su,generic_meluhha_context_not_site_specific,not_in_current_object_level_queue,6,6,4,rejected_site_mismatch_or_generic_context,The target phrase is not tied to this object by exact object identity; pattern compatibility alone is inadmissible.
onomastic_386cf3ab4215d7,interpreter_shu_ilishu,szu-i3-li2-su / Shu-ilishu,P525331 / CDLI Seals 014339,*,szu-i3-li2-su,ABCD,3864.1,Ra's al-Junayz,data/open_prototype/lipi/metadata_filtered.csv,not_in_object_level_queue,+740-029-220-000[,740-029-220-000,ABCD,740=szu;029=i3;220=li2;000=su,740=szu;029=i3;220=li2;000=su,generic_meluhha_context_not_site_specific,not_in_current_object_level_queue,6,6,4,rejected_site_mismatch_or_generic_context,The target phrase is not tied to this object by exact object identity; pattern compatibility alone is inadmissible.
onomastic_ff68b503818847,interpreter_shu_ilishu,szu-i3-li2-su / Shu-ilishu,P525331 / CDLI Seals 014339,*,szu-i3-li2-su,ABCD,5227.1,Karzakan,data/open_prototype/lipi/metadata_filtered.csv,not_in_object_level_queue,+220-455-031-091+,220-455-031-091,ABCD,220=szu;455=i3;031=li2;091=su,220=szu;455=i3;031=li2;091=su,generic_meluhha_context_not_site_specific,not_in_current_object_level_queue,6,6,4,rejected_site_mismatch_or_generic_context,The target phrase is not tied to this object by exact object identity; pattern compatibility alone is inadmissible.
onomastic_b57c89d1b4dcbe,interpreter_shu_ilishu,szu-i3-li2-su / Shu-ilishu,P525331 / CDLI Seals 014339,*,szu-i3-li2-su,ABCD,5228.1,Karzakan,data/open_prototype/lipi/metadata_filtered.csv,not_in_object_level_queue,+033-001-032-091+,033-001-032-091,ABCD,033=szu;001=i3;032=li2;091=su,033=szu;001=i3;032=li2;091=su,generic_meluhha_context_not_site_specific,not_in_current_object_level_queue,6,6,4,rejected_site_mismatch_or_generic_context,The target phrase is not tied to this object by exact object identity; pattern compatibility alone is inadmissible.
onomastic_d3fc3a268ab242,ur_guna_meluhha,ur gun3-a me-luh-ha / Meluhha dog/object phrase,P432309 line 9,Ur,ur-gun3-a-me-luh-ha,ABCDEF,3881.1,Susa,data/open_prototype/lipi/metadata_filtered.csv,not_in_object_level_queue,+700-604-407-090-365-000+,700-604-407-090-365-000,ABCDEF,700=ur;604=gun3;407=a;090=me;365=luh;000=ha,700=ur;604=gun3;407=a;090=me;365=luh;000=ha,site_mismatch,not_in_current_object_level_queue,1,3,0,rejected_site_mismatch_or_generic_context,The target phrase is not tied to this object by exact object identity; pattern compatibility alone is inadmissible.
onomastic_941bac060b2efe,ur_guna_meluhha,ur gun3-a me-luh-ha / Meluhha dog/object phrase,P432309 line 9,Ur,ur-gun3-a-me-luh-ha,ABCDEF,3898.1,Ur,Gadd no.16 / U17649 verified local row mapping,verified_object_mapping_indus_only,+002-004-328-001-803-415+,002-004-328-001-803-415,ABCDEF,002=ur;004=gun3;328=a;001=me;803=luh;415=ha,002=ur;004=gun3;328=a;001=me;803=luh;415=ha,same_site,mapped_indus_object_no_readable_cuneiform_bridge,1,3,1,rejected_mapped_indus_object_has_no_readable_script_bridge,"The row is object-mapped, but the mapped object is Indus-only in the current source surface. The cuneiform phrase comes from a separate text, so this is still site plus length/pattern evidence."
onomastic_7c28438e7dfcf3,ur_guna_meluhha,ur gun3-a me-luh-ha / Meluhha dog/object phrase,P432309 line 9,Ur,ur-gun3-a-me-luh-ha,ABCDEF,5229.1,Saar,data/open_prototype/lipi/metadata_filtered.csv,not_in_object_level_queue,+031-093-001-091-220-055+,031-093-001-091-220-055,ABCDEF,031=ur;093=gun3;001=a;091=me;220=luh;055=ha,031=ur;093=gun3;001=a;091=me;220=luh;055=ha,site_mismatch,not_in_current_object_level_queue,1,3,0,rejected_site_mismatch_or_generic_context,The target phrase is not tied to this object by exact object identity; pattern compatibility alone is inadmissible.
onomastic_d1f1949123b00e,dar_meluhha,dar me-luh-ha / Ur administrative object phrase,BDTNS 011069 / P137088 line 4,Ur,dar-me-luh-ha,ABCD,147.1,Failaka,Failaka Kjaerum 1983 cat.279/319 unresolved,catalogue_candidate_unresolved,+317-817-000-090+,317-817-000-090,ABCD,317=dar;817=me;000=luh;090=ha,317=dar;817=me;000=luh;090=ha,site_mismatch,no_exact_row_to_catalogue_mapping,0,6,4,rejected_site_mismatch_or_generic_context,The target phrase is not tied to this object by exact object identity; pattern compatibility alone is inadmissible.
onomastic_00f6e331f3d9ff,dar_meluhha,dar me-luh-ha / Ur administrative object phrase,BDTNS 011069 / P137088 line 4,Ur,dar-me-luh-ha,ABCD,148.1,Failaka,Failaka Kjaerum 1983 cat.279/319 unresolved,catalogue_candidate_unresolved,]090-001-350-716+,090-001-350-716,ABCD,090=dar;001=me;350=luh;716=ha,090=dar;001=me;350=luh;716=ha,site_mismatch,no_exact_row_to_catalogue_mapping,0,6,4,rejected_site_mismatch_or_generic_context,The target phrase is not tied to this object by exact object identity; pattern compatibility alone is inadmissible.
onomastic_3e62b0191ce58f,dar_meluhha,dar me-luh-ha / Ur administrative object phrase,BDTNS 011069 / P137088 line 4,Ur,dar-me-luh-ha,ABCD,2153.1,Luristan,data/open_prototype/lipi/metadata_filtered.csv,not_in_object_level_queue,+831-413-840-091+,831-413-840-091,ABCD,831=dar;413=me;840=luh;091=ha,831=dar;413=me;840=luh;091=ha,site_mismatch,not_in_current_object_level_queue,0,6,4,rejected_site_mismatch_or_generic_context,The target phrase is not tied to this object by exact object identity; pattern compatibility alone is inadmissible.
onomastic_98d8cfe9adf5e5,dar_meluhha,dar me-luh-ha / Ur administrative object phrase,BDTNS 011069 / P137088 line 4,Ur,dar-me-luh-ha,ABCD,3864.1,Ra's al-Junayz,data/open_prototype/lipi/metadata_filtered.csv,not_in_object_level_queue,+740-029-220-000[,740-029-220-000,ABCD,740=dar;029=me;220=luh;000=ha,740=dar;029=me;220=luh;000=ha,site_mismatch,not_in_current_object_level_queue,0,6,4,rejected_site_mismatch_or_generic_context,The target phrase is not tied to this object by exact object identity; pattern compatibility alone is inadmissible.
onomastic_3459b245443248,dar_meluhha,dar me-luh-ha / Ur administrative object phrase,BDTNS 011069 / P137088 line 4,Ur,dar-me-luh-ha,ABCD,5227.1,Karzakan,data/open_prototype/lipi/metadata_filtered.csv,not_in_object_level_queue,+220-455-031-091+,220-455-031-091,ABCD,220=dar;455=me;031=luh;091=ha,220=dar;455=me;031=luh;091=ha,site_mismatch,not_in_current_object_level_queue,0,6,4,rejected_site_mismatch_or_generic_context,The target phrase is not tied to this object by exact object identity; pattern compatibility alone is inadmissible.
onomastic_fc662203f62a05,dar_meluhha,dar me-luh-ha / Ur administrative object phrase,BDTNS 011069 / P137088 line 4,Ur,dar-me-luh-ha,ABCD,5228.1,Karzakan,data/open_prototype/lipi/metadata_filtered.csv,not_in_object_level_queue,+033-001-032-091+,033-001-032-091,ABCD,033=dar;001=me;032=luh;091=ha,033=dar;001=me;032=luh;091=ha,site_mismatch,not_in_current_object_level_queue,0,6,4,rejected_site_mismatch_or_generic_context,The target phrase is not tied to this object by exact object identity; pattern compatibility alone is inadmissible.
onomastic_525c009c6d1335,ur_dlamma_dumu_meluhha,ur-dlamma dumu me-luh-ha,BDTNS 000128 / P108448,Girsu,ur-dlamma-dumu-me-luh-ha,ABCDEF,3881.1,Susa,data/open_prototype/lipi/metadata_filtered.csv,not_in_object_level_queue,+700-604-407-090-365-000+,700-604-407-090-365-000,ABCDEF,700=ur;604=dlamma;407=dumu;090=me;365=luh;000=ha,700=ur;604=dlamma;407=dumu;090=me;365=luh;000=ha,site_mismatch,not_in_current_object_level_queue,0,3,0,rejected_site_mismatch_or_generic_context,The target phrase is not tied to this object by exact object identity; pattern compatibility alone is inadmissible.
onomastic_25cf2765574453,ur_dlamma_dumu_meluhha,ur-dlamma dumu me-luh-ha,BDTNS 000128 / P108448,Girsu,ur-dlamma-dumu-me-luh-ha,ABCDEF,3898.1,Ur,Gadd no.16 / U17649 verified local row mapping,verified_object_mapping_indus_only,+002-004-328-001-803-415+,002-004-328-001-803-415,ABCDEF,002=ur;004=dlamma;328=dumu;001=me;803=luh;415=ha,002=ur;004=dlamma;328=dumu;001=me;803=luh;415=ha,site_mismatch,mapped_indus_object_no_readable_cuneiform_bridge,0,3,1,rejected_site_mismatch_or_generic_context,The target phrase is not tied to this object by exact object identity; pattern compatibility alone is inadmissible.
onomastic_997badae3466d3,ur_dlamma_dumu_meluhha,ur-dlamma dumu me-luh-ha,BDTNS 000128 / P108448,Girsu,ur-dlamma-dumu-me-luh-ha,ABCDEF,5229.1,Saar,data/open_prototype/lipi/metadata_filtered.csv,not_in_object_level_queue,+031-093-001-091-220-055+,031-093-001-091-220-055,ABCDEF,031=ur;093=dlamma;001=dumu;091=me;220=luh;055=ha,031=ur;093=dlamma;001=dumu;091=me;220=luh;055=ha,site_mismatch,not_in_current_object_level_queue,0,3,0,rejected_site_mismatch_or_generic_context,The target phrase is not tied to this object by exact object identity; pattern compatibility alone is inadmissible.
onomastic_5269dab6881dbc,ur_digalim_dumu_meluhha,ur-digalim dumu me-luh-ha,P124739,Girsu,ur-digalim-dumu-me-luh-ha,ABCDEF,3881.1,Susa,data/open_prototype/lipi/metadata_filtered.csv,not_in_object_level_queue,+700-604-407-090-365-000+,700-604-407-090-365-000,ABCDEF,700=ur;604=digalim;407=dumu;090=me;365=luh;000=ha,700=ur;604=digalim;407=dumu;090=me;365=luh;000=ha,site_mismatch,not_in_current_object_level_queue,0,3,0,rejected_site_mismatch_or_generic_context,The target phrase is not tied to this object by exact object identity; pattern compatibility alone is inadmissible.
onomastic_5553d9a10a49d3,ur_digalim_dumu_meluhha,ur-digalim dumu me-luh-ha,P124739,Girsu,ur-digalim-dumu-me-luh-ha,ABCDEF,3898.1,Ur,Gadd no.16 / U17649 verified local row mapping,verified_object_mapping_indus_only,+002-004-328-001-803-415+,002-004-328-001-803-415,ABCDEF,002=ur;004=digalim;328=dumu;001=me;803=luh;415=ha,002=ur;004=digalim;328=dumu;001=me;803=luh;415=ha,site_mismatch,mapped_indus_object_no_readable_cuneiform_bridge,0,3,1,rejected_site_mismatch_or_generic_context,The target phrase is not tied to this object by exact object identity; pattern compatibility alone is inadmissible.
onomastic_40272484cc08a5,ur_digalim_dumu_meluhha,ur-digalim dumu me-luh-ha,P124739,Girsu,ur-digalim-dumu-me-luh-ha,ABCDEF,5229.1,Saar,data/open_prototype/lipi/metadata_filtered.csv,not_in_object_level_queue,+031-093-001-091-220-055+,031-093-001-091-220-055,ABCDEF,031=ur;093=digalim;001=dumu;091=me;220=luh;055=ha,031=ur;093=digalim;001=dumu;091=me;220=luh;055=ha,site_mismatch,not_in_current_object_level_queue,0,3,0,rejected_site_mismatch_or_generic_context,The target phrase is not tied to this object by exact object identity; pattern compatibility alone is inadmissible.
onomastic_952ed0450df00d,dumu_meluhha,dumu me-luh-ha,multiple Ur III formulae,*,dumu-me-luh-ha,ABCD,147.1,Failaka,Failaka Kjaerum 1983 cat.279/319 unresolved,catalogue_candidate_unresolved,+317-817-000-090+,317-817-000-090,ABCD,317=dumu;817=me;000=luh;090=ha,317=dumu;817=me;000=luh;090=ha,generic_meluhha_context_not_site_specific,no_exact_row_to_catalogue_mapping,6,6,4,rejected_site_mismatch_or_generic_context,The target phrase is not tied to this object by exact object identity; pattern compatibility alone is inadmissible.
onomastic_9e4e71067570ee,dumu_meluhha,dumu me-luh-ha,multiple Ur III formulae,*,dumu-me-luh-ha,ABCD,148.1,Failaka,Failaka Kjaerum 1983 cat.279/319 unresolved,catalogue_candidate_unresolved,]090-001-350-716+,090-001-350-716,ABCD,090=dumu;001=me;350=luh;716=ha,090=dumu;001=me;350=luh;716=ha,generic_meluhha_context_not_site_specific,no_exact_row_to_catalogue_mapping,6,6,4,rejected_site_mismatch_or_generic_context,The target phrase is not tied to this object by exact object identity; pattern compatibility alone is inadmissible.
onomastic_f30b34023a5f91,dumu_meluhha,dumu me-luh-ha,multiple Ur III formulae,*,dumu-me-luh-ha,ABCD,2153.1,Luristan,data/open_prototype/lipi/metadata_filtered.csv,not_in_object_level_queue,+831-413-840-091+,831-413-840-091,ABCD,831=dumu;413=me;840=luh;091=ha,831=dumu;413=me;840=luh;091=ha,generic_meluhha_context_not_site_specific,not_in_current_object_level_queue,6,6,4,rejected_site_mismatch_or_generic_context,The target phrase is not tied to this object by exact object identity; pattern compatibility alone is inadmissible.
onomastic_5d2cdd10ea986a,dumu_meluhha,dumu me-luh-ha,multiple Ur III formulae,*,dumu-me-luh-ha,ABCD,3864.1,Ra's al-Junayz,data/open_prototype/lipi/metadata_filtered.csv,not_in_object_level_queue,+740-029-220-000[,740-029-220-000,ABCD,740=dumu;029=me;220=luh;000=ha,740=dumu;029=me;220=luh;000=ha,generic_meluhha_context_not_site_specific,not_in_current_object_level_queue,6,6,4,rejected_site_mismatch_or_generic_context,The target phrase is not tied to this object by exact object identity; pattern compatibility alone is inadmissible.
onomastic_3c5fd1d38c60ef,dumu_meluhha,dumu me-luh-ha,multiple Ur III formulae,*,dumu-me-luh-ha,ABCD,5227.1,Karzakan,data/open_prototype/lipi/metadata_filtered.csv,not_in_object_level_queue,+220-455-031-091+,220-455-031-091,ABCD,220=dumu;455=me;031=luh;091=ha,220=dumu;455=me;031=luh;091=ha,generic_meluhha_context_not_site_specific,not_in_current_object_level_queue,6,6,4,rejected_site_mismatch_or_generic_context,The target phrase is not tied to this object by exact object identity; pattern compatibility alone is inadmissible.
onomastic_c829b8cc7621df,dumu_meluhha,dumu me-luh-ha,multiple Ur III formulae,*,dumu-me-luh-ha,ABCD,5228.1,Karzakan,data/open_prototype/lipi/metadata_filtered.csv,not_in_object_level_queue,+033-001-032-091+,033-001-032-091,ABCD,033=dumu;001=me;032=luh;091=ha,033=dumu;001=me;032=luh;091=ha,generic_meluhha_context_not_site_specific,not_in_current_object_level_queue,6,6,4,rejected_site_mismatch_or_generic_context,The target phrase is not tied to this object by exact object identity; pattern compatibility alone is inadmissible.
onomastic_4c6b220e0b0112,iba_lu_meluhha,i3-ba lu2 me-luh-ha,Irisagrig ration formula,Irisagrig,i3-ba-lu2-me-luh-ha,ABCDEF,3881.1,Susa,data/open_prototype/lipi/metadata_filtered.csv,not_in_object_level_queue,+700-604-407-090-365-000+,700-604-407-090-365-000,ABCDEF,700=i3;604=ba;407=lu2;090=me;365=luh;000=ha,700=i3;604=ba;407=lu2;090=me;365=luh;000=ha,site_mismatch,not_in_current_object_level_queue,0,3,0,rejected_site_mismatch_or_generic_context,The target phrase is not tied to this object by exact object identity; pattern compatibility alone is inadmissible.
onomastic_3a293150473c1f,iba_lu_meluhha,i3-ba lu2 me-luh-ha,Irisagrig ration formula,Irisagrig,i3-ba-lu2-me-luh-ha,ABCDEF,3898.1,Ur,Gadd no.16 / U17649 verified local row mapping,verified_object_mapping_indus_only,+002-004-328-001-803-415+,002-004-328-001-803-415,ABCDEF,002=i3;004=ba;328=lu2;001=me;803=luh;415=ha,002=i3;004=ba;328=lu2;001=me;803=luh;415=ha,site_mismatch,mapped_indus_object_no_readable_cuneiform_bridge,0,3,1,rejected_site_mismatch_or_generic_context,The target phrase is not tied to this object by exact object identity; pattern compatibility alone is inadmissible.
onomastic_6be5ff084e1d29,iba_lu_meluhha,i3-ba lu2 me-luh-ha,Irisagrig ration formula,Irisagrig,i3-ba-lu2-me-luh-ha,ABCDEF,5229.1,Saar,data/open_prototype/lipi/metadata_filtered.csv,not_in_object_level_queue,+031-093-001-091-220-055+,031-093-001-091-220-055,ABCDEF,031=i3;093=ba;001=lu2;091=me;220=luh;055=ha,031=i3;093=ba;001=lu2;091=me;220=luh;055=ha,site_mismatch,not_in_current_object_level_queue,0,3,0,rejected_site_mismatch_or_generic_context,The target phrase is not tied to this object by exact object identity; pattern compatibility alone is inadmissible.
onomastic_e9eea360c8adae,gug_girin_meluhha,gug gi-rin me-luh-ha / Meluhha carnelian,Gudea commodity contexts,Girsu,gug-gi-rin-me-luh-ha,ABCDEF,3881.1,Susa,data/open_prototype/lipi/metadata_filtered.csv,not_in_object_level_queue,+700-604-407-090-365-000+,700-604-407-090-365-000,ABCDEF,700=gug;604=gi;407=rin;090=me;365=luh;000=ha,700=gug;604=gi;407=rin;090=me;365=luh;000=ha,site_mismatch,not_in_current_object_level_queue,0,3,0,rejected_site_mismatch_or_generic_context,The target phrase is not tied to this object by exact object identity; pattern compatibility alone is inadmissible.
onomastic_8be6d5647494dd,gug_girin_meluhha,gug gi-rin me-luh-ha / Meluhha carnelian,Gudea commodity contexts,Girsu,gug-gi-rin-me-luh-ha,ABCDEF,3898.1,Ur,Gadd no.16 / U17649 verified local row mapping,verified_object_mapping_indus_only,+002-004-328-001-803-415+,002-004-328-001-803-415,ABCDEF,002=gug;004=gi;328=rin;001=me;803=luh;415=ha,002=gug;004=gi;328=rin;001=me;803=luh;415=ha,site_mismatch,mapped_indus_object_no_readable_cuneiform_bridge,0,3,1,rejected_site_mismatch_or_generic_context,The target phrase is not tied to this object by exact object identity; pattern compatibility alone is inadmissible.
onomastic_878ac47e6337a3,gug_girin_meluhha,gug gi-rin me-luh-ha / Meluhha carnelian,Gudea commodity contexts,Girsu,gug-gi-rin-me-luh-ha,ABCDEF,5229.1,Saar,data/open_prototype/lipi/metadata_filtered.csv,not_in_object_level_queue,+031-093-001-091-220-055+,031-093-001-091-220-055,ABCDEF,031=gug;093=gi;001=rin;091=me;220=luh;055=ha,031=gug;093=gi;001=rin;091=me;220=luh;055=ha,site_mismatch,not_in_current_object_level_queue,0,3,0,rejected_site_mismatch_or_generic_context,The target phrase is not tied to this object by exact object identity; pattern compatibility alone is inadmissible.
