record_id,record_type,left_namespace,left_id,right_namespace,right_id,artifact_id,local_row_id,local_text,mayig_side_id,evidence_class,decision_status,crosswalk_accepted,source_path,source_sha256,observation,blocking_condition
R04,namespace_relation,Mayig_feature,P041,Mahadevan,M034,,,,,pinned_feature_metadata,accepted_metadata_link_only,false,evidence/tmp/mayig_feature_namespace_probe/repo/indus-valley-script-corpus-ad2f1e218a34b8c33c57de0d6cb8d99272765bbb/features/P041.json,9DB51B7614620DD00B82ECEAF6D1850E382AB448DD889F5D3F46C87EFED77028,"Pinned Mayig asserts P041 -> M034; same-number local 034 is a separate namespace.",independent_Mahadevan_concordance_not_in_current_packet
R05,namespace_relation,Mayig_parpola_grapheme,V041,Mayig_feature,P301,,,,,pinned_reverse_namespace_lookup,accepted_metadata_link_only,false,evidence/tmp/mayig_feature_namespace_probe/repo/indus-valley-script-corpus-ad2f1e218a34b8c33c57de0d6cb8d99272765bbb/features/P301.json,861C82295AD56D28E9BCCBDC8814DBFAFB77D4934E464E41565D918CDE1C1B95,"V041 occurs on P301 rather than P041 in the complete pinned Mayig feature set.",independent_Parpola_grapheme_concordance_not_in_current_packet
R06,namespace_relation,Parpola_2019_article,sign_no_41,Mayig_feature,P041,,,,,visual_and_namespace_conflict,rejected_numeric_shortcut,false,evidence/tmp/parpola_1994_signlist/rendered/fig5_1_p70_sign41_all_variants_crop.png,9D55FF7DBB18696FD2C3C2BCEE62B60690D5F9FE28D8613953977BA567A8511C,"Article sign no. 41 is the Parpola 1994 anthropomorphic family; Mayig P041 is numbered independently and cites V141, not V041.",
R07,namespace_relation,Parpola_2019_article,sign_no_41,Mayig_parpola_grapheme,V041,,,,,visual_and_namespace_conflict,rejected_numeric_shortcut,false,evidence/tmp/mayig_feature_namespace_probe/repo/indus-valley-script-corpus-ad2f1e218a34b8c33c57de0d6cb8d99272765bbb/features/P301.json,861C82295AD56D28E9BCCBDC8814DBFAFB77D4934E464E41565D918CDE1C1B95,"Mayig V041 is attached to hatched-box feature P301 and cannot be used as Parpola 1994 sign no. 41 by number.",
R08,namespace_relation,Parpola_2019_article,sign_no_41,Lipi_local,110,,,,,same_role_object_inference,p0_same_side_identity_pending,false,evidence/tmp/pdfs/parpola_2019_bone_rods.pdf,E22312306A7CE0E2CD54BA77251D65B01254F91E35F5F0A2CFE8F0FC545AFFCC,"Parpola places sign no. 41 on the reverse of H-940/H-2147/H-2148; each object's shorter local row contains 110.",same_physical_side_and_independent_mapped_recurrence_not_proved
R09,namespace_relation,Mayig_feature,P041,Lipi_local,112,M-33,2561.1,+740-032-923-382-233-002-112+,M-33A,singleton_position_alignment,pressure_only_not_accepted,false,research/data/open_prototype/reports/crosswalk_alignment_pairs.csv,935AD5B75B61AC8F7FC5E736DDA109475B23A29B510AA0D61577C3EC34971473,"The only current Mayig P041 occurrence is terminal in M-33A and aligns positionally with terminal local 112 in M-33.",single_overlap_without_source_signlist_bridge
R10,namespace_relation,Mayig_feature,P041,Lipi_local,041,,,,,numeric_label_collision,rejected_numeric_shortcut,false,research/data/open_prototype/lipi/metadata_filtered.csv,B3E2A94EFDF70EAA893BBBBD35FD057B53F766C82823A3EFB8EE37F9365311FE,"Local 041 occurs only in M-1151 and M-2128; neither is the Mayig P041 occurrence M-33A.",no_overlap_or_source_crosswalk
R11,namespace_relation,Wells,W112,Lipi_local,112,,,,,numeric_label_collision,no_relation_demonstrated,false,evidence/tmp/mayig_feature_namespace_probe/repo/indus-valley-script-corpus-ad2f1e218a34b8c33c57de0d6cb8d99272765bbb/features/P041.json,9DB51B7614620DD00B82ECEAF6D1850E382AB448DD889F5D3F46C87EFED77028,"The shared digits 112 do not bridge Wells W112 to Lipi local 112; Mayig metadata and the M-33 positional alignment are different evidence.",independent_Wells_to_Lipi_source_crosswalk_absent
R12,namespace_relation,Mahadevan,M034,Lipi_local,034,,,,,numeric_label_collision,no_relation_demonstrated,false,evidence/tmp/mayig_feature_namespace_probe/repo/indus-valley-script-corpus-ad2f1e218a34b8c33c57de0d6cb8d99272765bbb/features/P041.json,9DB51B7614620DD00B82ECEAF6D1850E382AB448DD889F5D3F46C87EFED77028,"The shared digits 034 do not bridge Mahadevan M034 to the 182 Lipi local 034 rows.",independent_Mahadevan_to_Lipi_source_crosswalk_absent
O01,object_anchor,Mayig_feature,P041,Lipi_local,112,M-33,2561.1,+740-032-923-382-233-002-112+,M-33A,paired_sequence_record,sequence_visible_singleton_pressure,false,evidence/tmp/p041_mayig_route/corpus__m001_m099__m033.json,297AC2881C84AE99699393217A658682C749B2EEBC5E80D26B51DAA90BC666A,"Mayig M-33A ends P122-P041 and local M-33 ends 002-112; the full seven-position sequences align one-to-one in the current overlap.",no_source_panel_or_independent_recurrence
O02,object_anchor,Lipi_local,110,Parpola_2019_article,sign_no_41,H-940,1820.2,+110+,,source_visible_local_row,H940_B_visible_but_graphically_unresolved,false,evidence/tmp/h940_higher_res_route/derived/h940_b_panel_from_iiif_max.png,648D94F3A5A1BC0D2FA43E745981D3FAABC63F8C649D9CE77CF489E4CDD57DFD,"CISI-labeled H-940 B is source-visible and the local B-side candidate is +110+; current image shows a split/wavy vertical form rather than a decisive match.",CISI_B_not_proved_equal_to_Parpola_reverse_and_image_quality_insufficient
O03,object_anchor,Lipi_local,110,Parpola_2019_article,sign_no_41,H-2147,673.1,]110+,,source_visible_object_component_pressure,H2147_object_visible_not_row_mapped,false,evidence/tmp/h940_higher_res_route/derived/h2147_fig10_item17_face_raw_recrop.png,8FF99000E9FD1D1DA2AF951AC018991D19049046FEA02F826F12CA03047785B6,"H95-2514 is source-visible; its candidate face contains multiple components, and the visible panel has not been mapped to fragmentary local row 673.1.",row_to_panel_and_reverse_side_identity_absent
O04,object_anchor,Lipi_local,110,Parpola_2019_article,sign_no_41,H-2148,481.2,+110+,,source_visible_count_mapped,H2148_strongest_p0_anchor_crosswalk_unaccepted,false,evidence/tmp/h2148_h2100_h2152_110_route/derived/h2148_kenoyer2005_fig14_item1_panels_recrop.png,77AA909F85E01254F6A6802B1802C5EEBD4B92471489FA138DEEE79301D7B16C,"H2001-5142 shows one one-sign panel and one three-sign panel matching local row lengths; the one-sign form is visually compatible with Parpola sign no. 41.",source_does_not_label_one_sign_panel_as_reverse_or_local_110
O05,object_control,Lipi_local,110,,,H-2100,817.2,+110[,,local_metadata_only,mandatory_outside_control_source_dark,false,research/data/open_prototype/lipi/metadata_filtered.csv,B3E2A94EFDF70EAA893BBBBD35FD057B53F766C82823A3EFB8EE37F9365311FE,"Fragmentary local 110 row outside the three-object Parpola branch.",source_panel_not_available_in_checked_packet
O06,object_control,Lipi_local,110,,,H-2152,865.1,+110[,,local_metadata_only,mandatory_outside_control_source_dark,false,research/data/open_prototype/lipi/metadata_filtered.csv,B3E2A94EFDF70EAA893BBBBD35FD057B53F766C82823A3EFB8EE37F9365311FE,"Fragmentary local 110 row outside the three-object Parpola branch.",source_panel_not_available_in_checked_packet
O07,object_control,Lipi_local,110,,,Kanmer,4881.1,+110[,,local_metadata_only,mandatory_outside_control_source_holder_only,false,research/data/open_prototype/lipi/metadata_filtered.csv,B3E2A94EFDF70EAA893BBBBD35FD057B53F766C82823A3EFB8EE37F9365311FE,"Kanmer pottery/graffiti row is a material/site control outside the Parpola branch.",object_panel_and_source_transcription_not_available_in_checked_packet
